city,month,booking_volume_index,price_premium_factor,popular_traveler_type
Mumbai,1,1.53,1.28,Family
Mumbai,2,1.32,1.11,Family
Mumbai,3,1.29,1.11,Family
Mumbai,4,0.99,1.0,Business
Mumbai,5,0.83,1.0,Business
Mumbai,6,0.9,1.0,Business
Mumbai,7,0.76,1.0,Solo
Mumbai,8,0.64,1.0,Solo
Mumbai,9,0.65,1.0,Solo
Mumbai,10,1.58,1.37,Family
Mumbai,11,1.22,1.44,Family
Mumbai,12,1.64,1.32,Family
Delhi,1,1.68,1.14,Family
Delhi,2,1.76,1.36,Family
Delhi,3,1.52,1.36,Family
Delhi,4,1.14,1.0,Business
Delhi,5,1.11,1.0,Business
Delhi,6,0.84,1.0,Business
Delhi,7,0.91,1.0,Solo
Delhi,8,0.93,1.0,Solo
Delhi,9,0.61,1.0,Solo
Delhi,10,1.7,1.1,Family
Delhi,11,1.44,1.39,Family
Delhi,12,1.71,1.34,Family
Bangalore,1,1.72,1.12,Family
Bangalore,2,1.55,1.19,Family
Bangalore,3,1.67,1.34,Family
Bangalore,4,0.86,1.0,Business
Bangalore,5,1.02,1.0,Business
Bangalore,6,1.16,1.0,Business
Bangalore,7,0.69,1.0,Solo
Bangalore,8,0.96,1.0,Solo
Bangalore,9,0.8,1.0,Solo
Bangalore,10,1.76,1.27,Family
Bangalore,11,1.38,1.46,Family
Bangalore,12,1.75,1.2,Family
Chennai,1,1.39,1.27,Family
Chennai,2,1.4,1.3,Family
Chennai,3,1.45,1.31,Family
Chennai,4,1.09,1.0,Business
Chennai,5,0.89,1.0,Business
Chennai,6,1.19,1.0,Business
Chennai,7,0.74,1.0,Solo
Chennai,8,0.88,1.0,Solo
Chennai,9,0.61,1.0,Solo
Chennai,10,1.49,1.19,Family
Chennai,11,1.26,1.17,Family
Chennai,12,1.68,1.46,Family
Kolkata,1,1.33,1.23,Family
Kolkata,2,1.4,1.12,Family
Kolkata,3,1.71,1.23,Family
Kolkata,4,1.07,1.0,Business
Kolkata,5,0.81,1.0,Business
Kolkata,6,0.85,1.0,Business
Kolkata,7,0.64,1.0,Solo
Kolkata,8,0.79,1.0,Solo
Kolkata,9,0.84,1.0,Solo
Kolkata,10,1.73,1.19,Family
Kolkata,11,1.36,1.43,Family
Kolkata,12,1.36,1.22,Family
Hyderabad,1,1.79,1.31,Family
Hyderabad,2,1.26,1.13,Family
Hyderabad,3,1.24,1.46,Family
Hyderabad,4,1.18,1.0,Business
Hyderabad,5,1.06,1.0,Business
Hyderabad,6,1.08,1.0,Business
Hyderabad,7,0.9,1.0,Solo
Hyderabad,8,0.97,1.0,Solo
Hyderabad,9,0.99,1.0,Solo
Hyderabad,10,1.68,1.44,Family
Hyderabad,11,1.32,1.31,Family
Hyderabad,12,1.47,1.23,Family
Pune,1,1.65,1.43,Family
Pune,2,1.67,1.34,Family
Pune,3,1.65,1.33,Family
Pune,4,0.98,1.0,Business
Pune,5,1.15,1.0,Business
Pune,6,1.05,1.0,Business
Pune,7,0.82,1.0,Solo
Pune,8,0.95,1.0,Solo
Pune,9,0.66,1.0,Solo
Pune,10,1.58,1.22,Family
Pune,11,1.67,1.21,Family
Pune,12,1.46,1.22,Family
Ahmedabad,1,1.45,1.29,Family
Ahmedabad,2,1.69,1.11,Family
Ahmedabad,3,1.66,1.19,Family
Ahmedabad,4,1.11,1.0,Business
Ahmedabad,5,1.09,1.0,Business
Ahmedabad,6,0.97,1.0,Business
Ahmedabad,7,0.72,1.0,Solo
Ahmedabad,8,0.61,1.0,Solo
Ahmedabad,9,0.77,1.0,Solo
Ahmedabad,10,1.76,1.35,Family
Ahmedabad,11,1.49,1.4,Family
Ahmedabad,12,1.5,1.18,Family
Jaipur,1,1.27,1.33,Family
Jaipur,2,1.5,1.28,Family
Jaipur,3,1.75,1.34,Family
Jaipur,4,1.08,1.0,Business
Jaipur,5,0.86,1.0,Business
Jaipur,6,0.98,1.0,Business
Jaipur,7,0.64,1.0,Solo
Jaipur,8,0.76,1.0,Solo
Jaipur,9,0.82,1.0,Solo
Jaipur,10,1.65,1.38,Family
Jaipur,11,1.28,1.43,Family
Jaipur,12,1.4,1.25,Family
Lucknow,1,1.62,1.22,Family
Lucknow,2,1.3,1.43,Family
Lucknow,3,1.34,1.22,Family
Lucknow,4,0.95,1.0,Business
Lucknow,5,1.2,1.0,Business
Lucknow,6,0.95,1.0,Business
Lucknow,7,0.82,1.0,Solo
Lucknow,8,0.85,1.0,Solo
Lucknow,9,0.7,1.0,Solo
Lucknow,10,1.35,1.27,Family
Lucknow,11,1.43,1.48,Family
Lucknow,12,1.75,1.22,Family
