hotel_name,hotel_id,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state,price_range,latitude,longitude,hotel_type,room_types,data_quality_score,star_rating_clean,has_coordinates,amenity_free_wifi,amenity_air_conditioning,amenity_24_7_front_desk,amenity_spa,amenity_pool,amenity_gym,amenity_restaurant,amenity_room_service,amenity_business_center,amenity_meeting_rooms,amenity_bar,amenity_swimming_pool,amenity_parking,amenity_travel_desk,amenity_airport_shuttle,amenity_conference_hall,amenity_valet_parking,total_amenities_count
The Park Bangalore,806,3.9,Very Good,4187.0,5.0,Ulsoor,Unknown,-1.0,7567.0,2254.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Keys Select by Lemon Tree Hotels, Whitefield, Bengaluru",1821,4.0,Very Good,2201.0,4.0,Brookefield,Unknown,-1.0,1509.0,531.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITC Windsor - A Luxury Collection Hotel,2427,4.4,Excellent,1315.0,5.0,Vasanth Nagar ,Bangalore Palace,2.4,9900.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemon Tree Premier Ulsoor Lake Bangalore,2685,4.0,Very Good,5089.0,5.0,Sivanchetti Gardens ,Ulsoor Lake,0.77,2347.0,918.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Keys Select by Lemon Tree Hotels, Hosur Road, Bengaluru",34,4.0,Very Good,3290.0,4.0,Hosur road,Unknown,-1.0,2522.0,1014.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Chancery Pavilion,4521,3.8,Very Good,4764.0,5.0,Ashok Nagar ,MG Road,2.4,6580.0,1540.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radisson Blu Atria Bengaluru,2379,4.3,Excellent,2372.0,5.0,Palace road,Unknown,-1.0,10200.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemon Tree Hotel Electronics City Bangalore,3013,4.1,Very Good,2314.0,4.0,Electronic City,Unknown,-1.0,2598.0,1016.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru",4269,4.3,Excellent,2076.0,5.0,Richmond road,Unknown,-1.0,7700.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Mercure Bangalore - An Accor Brand,180,4.3,Excellent,426.0,5.0,Koramangala,Unknown,-1.0,9700.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holiday Inn Express Bengaluru Yeshwantpur,2894,3.7,Very Good,1602.0,3.0,Tumkur road,Unknown,-1.0,3680.0,480.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goSTOPS Bengaluru - Rooms & Dorms,472,4.2,Very Good,500.0,-1.0,Gandhi Nagar,Unknown,-1.0,1098.0,269.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holiday Inn Bengaluru Racecourse,2743,4.0,Very Good,2156.0,5.0,Gandhi Nagar,Unknown,-1.0,7249.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fortune Select JP Cosmos - Member ITC Hotel Group,3595,4.0,Very Good,2944.0,5.0,Vasanth Nagar ,Bangalore Palace,2.9,5999.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyatt Centric MG Road Bangalore,4084,4.2,Very Good,1162.0,5.0,Ulsoor,Unknown,-1.0,6250.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibis Bengaluru City Centre - An Accor Brand,599,3.9,Very Good,1805.0,4.0,Sampangi Rama Nagar ,Cubbon Park,1.8,4299.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Fern Residency - Yeshwanthpur, Bengaluru",3014,4.0,Very Good,1618.0,4.0,Tumkur road,Unknown,-1.0,4112.0,831.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashraya International Hotel,1069,3.7,Very Good,664.0,3.0,Infantry Road ,MG Road,2.3,2792.0,564.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davanam Sarovar Portico Suites,1074,4.3,Excellent,1865.0,4.0,Koramangala,Unknown,-1.0,5076.0,1026.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taj M G Road, Bengaluru",3729,4.6,Excellent,1715.0,5.0,Sivanchetti Gardens ,MG Road,2.9,9000.0,692.5,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Draper Startup House Koramangala | Dorms & Rooms,231,4.4,Excellent,222.0,-1.0,Koramangala,Unknown,-1.0,1113.0,294.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lalit Ashok Bangalore,3342,3.8,Very Good,2542.0,5.0,Seshadripuram,Unknown,-1.0,6698.0,1354.0,Bangalore,Karnataka,Unknown,18.91982855,77.19652865,Unknown,Unknown,100.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
