hotel_id,name,star_rating,price_per_night_inr,vegetarian_restaurant,wifi_available,parking_available,ac_available,latitude,longitude,gym_available,pool_available,spa_available,business_center,room_service,metro_distance_km,railway_distance_km,airport_distance_km,property_type_Business Hotel,property_type_Guesthouse,property_type_Heritage Property,property_type_Hotel,property_type_Resort,city_Bangalore,city_Chennai,city_Delhi,city_Hyderabad,city_Jaipur,city_Kolkata,city_Lucknow,city_Mumbai,city_Pune,state_Gujarat,state_Karnataka,state_Maharashtra,state_Rajasthan,state_Tamil Nadu,state_Telangana,state_Uttar Pradesh,state_West Bengal
1,Delhi Grand Hotel,0.9048169271191098,-0.24205808414067842,1,1,1,0,-1.6496533346010585,-1.093479435232381,1,0,1,0,0,-0.01315176136689784,-1.754936670384412,1.1203370902628644,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Radisson Pune,-0.7759575505015258,-0.42106206293404913,1,1,0,1,-0.6014157391530438,-0.9517989163468009,1,0,1,0,0,0.9207011167560031,-1.607683416451745,-0.8549631061793067,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
3,Taj Kolkata,1.1849460067225481,-1.1130629964324665,0,0,0,1,-1.1645656603941335,-0.9408728483578583,1,1,1,1,0,2.1969667168573017,0.4722687953471747,0.2694385441031602,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
4,Hyderabad Grand Hotel,-0.9160220903032456,-1.5301847550655223,0,0,1,1,-0.06307698027068458,-0.021228978089926607,0,1,0,0,0,-1.6318300834465933,0.8404019301788419,0.2086600765203241,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
5,Hyatt Lucknow,1.3250105465242683,0.6932330867889767,1,1,0,1,-0.06307698027068458,-0.021228978089926607,1,1,0,1,0,2.228095146128065,0.08572900377392416,1.6825379154040985,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
6,Treebo Mumbai,0.7647523873173895,1.5259987590289303,0,1,0,0,-2.0285106642557498,1.0830095012932712,1,1,0,1,1,-1.5384447956343033,1.5582615431005935,1.5153971295512991,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
7,Lemon Tree Mumbai,-0.6358930106998066,-1.6064785045409218,0,0,1,1,0.33431946504734494,-1.7778862976511722,1,1,1,0,1,1.6989118485250874,-0.30081078779932635,-0.9157415737621428,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
8,OYO Jaipur Premium,0.6246878475156703,0.1625019917700355,0,0,0,1,-1.773925941837191,-2.0345780504548823,1,1,1,1,1,-2.098756522508044,-0.6137239524062436,0.11749237514607007,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
9,Treebo Kolkata,-0.07563485149292773,1.5396688255208906,0,1,0,0,-1.6361008029828192,-0.2112425347944139,1,1,1,0,0,-0.01315176136689784,-1.3868035355527448,-0.9841173497928334,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
10,Marriott Jaipur,-1.196151169906685,-0.61373610821938,0,1,1,0,-0.06307698027068458,-0.021228978089926607,1,1,1,1,1,-0.07540861990842464,-1.0186704007210776,-0.26997035569450983,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
11,Leela Palace Mumbai,-0.49582847089808696,0.6389222820776753,0,0,0,0,-0.799317624921902,2.179710892163046,1,0,1,1,0,1.6055265607127975,-1.2211436248784944,1.6445513731648258,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
12,Leela Palace Delhi,-1.476280249510124,-1.3131262668485868,1,0,1,1,-1.8756425792788272,-1.7635386645828297,0,0,1,0,1,-1.6629585127173567,0.4906754520887583,-0.07244033605029258,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,Delhi Grand Hotel,-0.21569939129464746,1.683573984943012,1,1,0,1,-0.06307698027068458,-0.021228978089926607,1,0,0,1,0,-0.01315176136689784,0.6931486762461753,0.4517739468516682,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,Jaipur Grand Hotel,0.6246878475156703,1.6327730621688357,1,1,0,1,-0.06307698027068458,-0.021228978089926607,1,0,0,1,0,0.6094168240483694,-0.8530104900468273,0.033921982219670396,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
15,Taj Mumbai,0.48462330771394996,-0.04956876948361728,1,0,1,0,-0.1914377920367667,1.0099695985805737,1,1,1,1,0,-1.6007016541758297,-1.3315835653279946,-0.5814600020565447,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
16,Radisson Mumbai,-1.0560866301049652,-0.2139790286436791,1,0,0,1,-0.06307698027068458,-0.021228978089926607,1,0,1,1,0,-0.01315176136689784,-0.337624101282493,0.6493039664958855,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
17,Oberoi Chennai,-1.196151169906685,-1.070020760045619,1,0,1,1,-0.06307698027068458,-0.021228978089926607,1,1,1,1,0,1.636654989983561,1.613481513325343,-0.680225011878653,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
18,Hyatt Jaipur,0.6246878475156703,1.521380493322187,1,1,0,1,2.0775824505960414,-1.957988080375486,0,0,0,1,0,-0.01315176136689784,-1.1107036844289944,-1.4855397073512309,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
19,Pune Grand Hotel,0.0644296883087914,1.5348658291858774,1,0,0,1,-0.06307698027068458,-0.021228978089926607,0,1,0,0,0,0.8895726874852398,0.15935563074025766,-0.9841173497928334,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
20,Treebo Pune,0.9048169271191098,-0.6710026029829971,0,0,1,0,-0.24148041971067116,0.45106178086467447,0,0,0,1,0,-0.01315176136689784,1.5766681998421763,0.8772232199315206,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
21,Oberoi Delhi,0.0644296883087914,0.3045598449094597,1,0,1,1,-1.848533760758202,2.2474234703374294,1,0,0,1,0,-1.1649036443851426,0.5274887655719249,-1.622291259412612,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,Hyatt Delhi,-1.0560866301049652,1.410911577616887,1,1,1,0,-0.0959056742830982,0.23381409650148155,0,0,0,0,1,-0.01315176136689784,-0.11674422038349275,-0.7486007879093438,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,Treebo Chennai,-0.7759575505015258,1.4310472160982879,1,0,0,1,-0.06307698027068458,-0.021228978089926607,0,1,1,1,1,-1.5695732249050665,-1.0186704007210776,-0.21678919655952836,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
24,Hilton Hyderabad,-0.07563485149292773,-1.347486163706757,0,0,1,0,1.9066507267023836,-0.8001935125674849,1,0,1,0,0,-0.511206629699112,0.5643020790550914,1.0899478564714467,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
25,Marriott Bangalore,1.4650750863259876,1.5088188105998452,0,1,1,0,-0.10824019393168333,-1.9045024535270734,0,0,0,0,0,-0.01315176136689784,1.134908438044176,-0.7713927132529074,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
26,Marriott Delhi,-1.7564093291135634,1.5407772092905088,0,1,1,1,-0.06307698027068458,-0.021228978089926607,1,1,1,1,1,-1.7252153712588834,1.5398548863590098,-0.049648410706729276,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Radisson Kolkata,-1.196151169906685,-1.0310425974807054,0,1,1,0,1.7612417915132976,-0.4591357145184976,1,1,1,1,0,-0.01315176136689784,0.325015541414508,-1.2272312201241777,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
28,Lucknow Grand Hotel,-0.49582847089808696,0.8687271836452224,0,1,0,1,-0.06307698027068458,-0.021228978089926607,1,0,0,0,1,1.0452148338390568,1.59507485658376,-0.7106142456700713,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
29,Marriott Jaipur,-0.07563485149292773,-0.09981550037298449,1,1,0,0,-0.0956324051444069,0.5860137175730987,0,0,1,0,1,-1.102646785843616,-0.7977905198220772,0.3985927877166867,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
30,Hilton Kolkata,-1.7564093291135634,-0.5679229124084864,1,0,0,1,0.6633160094412461,0.05455401909338483,1,0,1,0,1,0.3603893898822627,-0.11674422038349275,0.1782708427289059,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
31,OYO Pune Premium,0.20449422811051113,0.40523803731646385,0,0,0,0,0.9790577007025549,-0.7248827382883998,1,1,1,0,0,-0.01315176136689784,1.6502948268085103,0.1554789173853426,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
32,Taj Kolkata,1.1849460067225481,0.06884356323728118,0,1,0,1,-0.06307698027068458,-0.021228978089926607,1,0,1,0,1,-0.01315176136689784,0.23298225770659117,-0.03445379381102005,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
33,Radisson Ahmedabad,-1.0560866301049652,-1.4134349979990515,0,1,1,0,0.37479897277309454,0.9245146574616453,1,1,1,0,1,-0.01315176136689784,-0.4480640417319934,1.469813278864172,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
34,Lemon Tree Kolkata,1.745204165929427,0.12407802108993117,1,1,1,1,-1.702043303734802,-1.0614421895617785,1,1,0,0,0,-1.196032073655906,0.6931486762461753,0.7632635932137031,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
35,Taj Ahmedabad,0.6246878475156703,-0.12309155953497077,1,0,1,1,1.7628556970924418,1.5478924407418393,0,0,0,1,0,-0.01315176136689784,0.6747420195045919,1.5837729055819896,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
36,Hilton Jaipur,-0.07563485149292773,-1.2375714398862663,1,0,0,0,-1.0832342940760658,0.8704720851389188,1,0,1,1,0,-0.2621791955330048,-0.7977905198220772,1.7737056167783523,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
37,Treebo Pune,1.0448814669208288,-1.172176797478781,0,0,0,0,1.5505850831394106,-0.6614878676361151,0,0,1,0,1,-0.7913624931359822,1.613481513325343,-0.2547757387988009,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
