hotel_name,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state
The Park Bangalore,3.9,Very Good,4187,5,Ulsoor,,,,7567,2254,Bangalore,Karnataka
"Keys Select by Lemon Tree Hotels, Whitefield, Bengaluru",4,Very Good,2201,4,Brookefield,,,,1509,531,Bangalore,Karnataka
ITC Windsor - A Luxury Collection Hotel,4.4,Excellent,1315,5,Vasanth Nagar ,Bangalore Palace,2.4 km ,2.4,9900,,Bangalore,Karnataka
Lemon Tree Premier Ulsoor Lake Bangalore,4,Very Good,5089,5,Sivanchetti Gardens ,Ulsoor Lake,770 m ,0.77,2347,918,Bangalore,Karnataka
"Keys Select by Lemon Tree Hotels, Hosur Road, Bengaluru",4,Very Good,3290,4,Hosur road,,,,2522,1014,Bangalore,Karnataka
The Chancery Pavilion,3.8,Very Good,4764,5,Ashok Nagar ,MG Road,2.4 km ,2.4,6580,1540,Bangalore,Karnataka
Radisson Blu Atria Bengaluru,4.3,Excellent,2372,5,Palace road,,,,10200,,Bangalore,Karnataka
Lemon Tree Hotel Electronics City Bangalore,4.1,Very Good,2314,4,Electronic City,,,,2598,1016,Bangalore,Karnataka
"Welcomhotel by ITC Hotels, Richmond Road, Bengaluru",4.3,Excellent,2076,5,Richmond road,,,,7700,,Bangalore,Karnataka
Grand Mercure Bangalore - An Accor Brand,4.3,Excellent,426,5,Koramangala,,,,9700,,Bangalore,Karnataka
Holiday Inn Express Bengaluru Yeshwantpur,3.7,Very Good,1602,3,Tumkur road,,,,3680,480,Bangalore,Karnataka
goSTOPS Bengaluru - Rooms & Dorms,4.2,Very Good,500,,Gandhi Nagar,,,,1098,269,Bangalore,Karnataka
Holiday Inn Bengaluru Racecourse,4,Very Good,2156,5,Gandhi Nagar,,,,7249,,Bangalore,Karnataka
Fortune Select JP Cosmos - Member ITC Hotel Group,4,Very Good,2944,5,Vasanth Nagar ,Bangalore Palace,2.9 km ,2.9,5999,,Bangalore,Karnataka
Hyatt Centric MG Road Bangalore,4.2,Very Good,1162,5,Ulsoor,,,,6250,,Bangalore,Karnataka
Ibis Bengaluru City Centre - An Accor Brand,3.9,Very Good,1805,4,Sampangi Rama Nagar ,Cubbon Park,1.8 km ,1.8,4299,,Bangalore,Karnataka
"The Fern Residency - Yeshwanthpur, Bengaluru",4,Very Good,1618,4,Tumkur road,,,,4112,831,Bangalore,Karnataka
Ashraya International Hotel,3.7,Very Good,664,3,Infantry Road ,MG Road,2.3 km ,2.3,2792,564,Bangalore,Karnataka
Davanam Sarovar Portico Suites,4.3,Excellent,1865,4,Koramangala,,,,5076,1026,Bangalore,Karnataka
"Taj M G Road, Bengaluru",4.6,Excellent,1715,5,Sivanchetti Gardens ,MG Road,2.9 km ,2.9,9000,,Bangalore,Karnataka
Draper Startup House Koramangala | Dorms & Rooms,4.4,Excellent,222,,Koramangala,,,,1113,294,Bangalore,Karnataka
The Lalit Ashok Bangalore,3.8,Very Good,2542,5,Seshadripuram,,,,6698,1354,Bangalore,Karnataka
"Vivanta Bengaluru, Residency Road",4.3,Excellent,1022,5,Residency Road ,MG Road,1.5 km ,1.5,7000,,Bangalore,Karnataka
ibis Bengaluru Hebbal - An Accor Brand,4.1,Very Good,237,4,Hebbal,,,,4499,,Bangalore,Karnataka
Vividus,4.2,Very Good,1791,5,Gandhi Nagar,,,,6547,2156,Bangalore,Karnataka
Citrus Hotel Cunningham,4.1,Very Good,1869,5,Cunningham Road ,Indira Gandhi Musical Fountain Park,780 m ,0.78,3934,1075,Bangalore,Karnataka
Citrus Classic Bengaluru,3.9,Very Good,527,4,Outer Ring Road,,,,3575,977,Bangalore,Karnataka
"Taj Yeshwantpur, Bengaluru",4.6,Excellent,2138,5,Tumkur road,,,,7500,,Bangalore,Karnataka
Lemon Tree Hotel Whitefield,4.1,Very Good,2327,4,Brookefield,,,,2347,843,Bangalore,Karnataka
"Golden Lotus Bangalore Boutique Suites | Rooms & Garden
Like a 3",3.8,Very Good,865,,Richmond road ,MG Road,3.0 km ,3,2660,754,Bangalore,Karnataka
Ramada Encore,4.4,Excellent,4271,4,Domlur Layout,,,,5640,1140,Bangalore,Karnataka
Ibis Bengaluru Hosur Road - An Accor Brand,3.9,Very Good,1381,3,Hosur road,,,,4499,,Bangalore,Karnataka
"The Oberoi, Bengaluru",4.7,Excellent,1565,5,Ulsoor,,,,11500,,Bangalore,Karnataka
Holiday Inn Express Bengaluru Whitefield ITPL,3.5,Very Good,1242,3,Whitefield,,,,3399,,Bangalore,Karnataka
The Hosteller Bangalore Brigade Road,,,,,Ashok Nagar ,MG Road,2.2 km ,2.2,1330,315,Bangalore,Karnataka
Ginger Bangalore (IRR),3.6,Very Good,1639,3,Domlur Layout,,,,1689,,Bangalore,Karnataka
Gokulam Grand Hotel & Spa,4.1,Very Good,1537,5,Mathikere,,,,6409,1295,Bangalore,Karnataka
Bloom Hotel - Airport Road Bengaluru,4.4,Excellent,191,3,Near Bangalore Airport ,Kempegowda Airport ,7.7 km ,7.7,4000,,Bangalore,Karnataka
Hotel Ramanashree Richmond Circle,3.8,Very Good,686,3,Sampangi Rama Nagar ,Cubbon Park,2.1 km ,2.1,2792,564,Bangalore,Karnataka
"SRS Suites
Like a 3",4.4,Excellent,20,,Koramangala,,,,3178,806,Bangalore,Karnataka
JP CORDIAL,3.7,Very Good,1750,3,Majestic,,,,2726,638,Bangalore,Karnataka
