hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Maya,Agra,Uttar Pradesh,,,,,27.166379,78.0373174,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9572-543639,info@maya.com,https://www.maya.com,,4.0,341,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Gateway Hotel,Agra,Uttar Pradesh,"Fatehabad Road, Agra",,,,27.1615917,78.0407622,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6450-844342,info@thegatewa.com,https://www.thegatewayhot.com,,3.5,101,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Marina,Agra,Uttar Pradesh,,,,,27.1974545,78.0026026,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9977-391761,info@marina.com,https://www.marina.com,,3.8,391,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Howard Park Plaza,Agra,Uttar Pradesh,,,,,27.1628283,78.0368457,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9568-550023,info@howardpar.com,https://www.parkplaza.com/agrain,,3.3,250,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Oberoi Amarvilas,Agra,Uttar Pradesh,,5,,,27.167935,78.0489443,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-7987-483475,info@theoberoi.com,https://www.theoberoiamar.com,,4.0,235,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
ITC Mughal,Agra,Uttar Pradesh,,5,,,27.1610537,78.0439887,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9719-784414,info@itcmughal.com,https://www.itcmughal.com,,3.3,252,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel the Oasis,Agra,Uttar Pradesh,,,,,27.161931,78.0366311,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7051-449489,info@hotelthe.com,https://www.hoteltheoasis.com,,3.7,93,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Laurie's Hotel,Agra,Uttar Pradesh,Agra,,,,27.1681349,78.00856,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6010-229939,info@lauriesh.com,https://www.laurieshotel.com,,3.6,206,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Wyndham Grand Agra,Agra,Uttar Pradesh,,,,,27.1568439,78.0638321,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-6309-435710,info@wyndhamgr.com,https://www.wyndhamgranda.com,,4.2,329,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Ray of Maya,Agra,Uttar Pradesh,,,,,27.1661393,78.0364429,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7516-793819,info@rayofmay.com,https://www.rayofmaya.com,,4.2,410,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
