hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Spice,Ahmedabad,Gujarat,,,,,23.0125449,72.5679747,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7374-355571,info@spice.com,https://www.spice.com,,3.5,188,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Dev Regency,Ahmedabad,Gujarat,,3,,,23.0156138,72.5656966,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9388-973775,info@devregenc.com,https://www.devregency.com,,3.8,267,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Comfort Inn,Ahmedabad,Gujarat,Ahmedabad,,,,23.0810988,72.6169531,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7975-458908,info@comfortin.com,https://www.comfortinn.com,,3.4,467,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sabermati Ashram Guesthouse,Ahmedabad,Gujarat,,,,,23.0613841,72.579973,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8815-490896,info@sabermati.com,https://www.sabermatiashra.com,,4.1,55,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Alkan,Ahmedabad,Gujarat,,,,,23.0292295,72.5834609,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8039-773646,info@hotelalka.com,https://www.hotelalkan.com,,3.6,466,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Grand Bhagwati,Ahmedabad,Gujarat,,,,,23.042462,72.5144059,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-8865-511544,info@thegrand.com,https://www.thegrandbhagw.com,,4.1,109,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Kaka Bhajipav,Ahmedabad,Gujarat,,,,,23.0037105,72.6379538,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8714-324616,info@kakabhaji.com,https://www.kakabhajipav.com,,4.1,349,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Gateway Hotel Ummed,Ahmedabad,Gujarat,Ahmedabad,,,,23.0823961,72.6165176,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6680-328166,info@gatewayho.com,https://www.gatewayhotelu.com,,3.9,227,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Al-Aman Hotel,Ahmedabad,Gujarat,,,,,23.0171175,72.589927,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7176-543261,info@alamanho.com,https://www.alamanhotel.com,,3.6,170,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Cadillac Guest House,Ahmedabad,Gujarat,,,,,23.0259742,72.5814073,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8820-718971,info@cadillacg.com,https://www.cadillacguest.com,,3.9,27,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
