hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source,data_quality_score
The Ambassador,New Delhi,Delhi,"Subramania Bharti Marg, New Delhi",,,,28.6017391,77.228846,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 11 6626 1000,info@theambass.com,https://www.vivantabytaj.com/Ambassador-New-Delhi/Overview.html,,3.7,258,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap,100
Trident Hotel,New Delhi,Delhi,,,,,28.5013247,77.0894338,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9437-231728,info@tridentho.com,https://www.tridenthotel.com,,3.5,113,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap,100
Radisson Blu Plaza Delhi Airport,New Delhi,Delhi,,,,,28.5431492,77.1195279,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9268-539849,info@radissonb.com,https://www.radissonblupl.com,,3.4,289,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap,100
Hotel Surya,New Delhi,Delhi,,,,,28.5614243,77.2697503,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7208-270068,info@hotelsury.com,https://www.hotelsurya.com,,3.4,294,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap,100
Master Guest House,New Delhi,Delhi,"R-500, Pamposh Road, New Delhi",,,,28.6346805,77.185038,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+ 91 (11) 28741089,info@mastergue.com,https://master-guesthouse.com/,,3.5,497,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap,100
Jaypee Vasant Continental Hotel,New Delhi,Delhi,,,,,28.5565495,77.1640135,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9751-631121,info@jaypeevas.com,https://www.jaypeevasantc.com,,3.5,94,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap,100
Parkland Hotel,New Delhi,Delhi,,,,,28.5672888,77.2281718,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8031-574374,info@parklandh.com,https://www.parklandhotel.com,,3.7,297,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap,100
Vishal Residency Hotel,New Delhi,Delhi,,,,,28.5426758,77.1190259,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8512-113278,info@vishalres.com,https://www.vishalresidenc.com,,3.5,79,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap,100
Yatri Guesthouse,New Delhi,Delhi,,,,,28.6422845,77.2053386,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6576-545110,info@yatrigues.com,https://www.yatriguesthous.com,,3.3,476,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap,100
Hotel Metropolis,New Delhi,Delhi,,,,,28.6407045,77.2105994,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7478-489066,info@hotelmetr.com,https://www.hotelmetropoli.com,,4.1,454,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap,100
