hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Hotel Palash Residency,Bhopal,Madhya Pradesh,,,,,23.2382984,77.3960366,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9897-693270,info@hotelpala.com,https://www.hotelpalashre.com,,3.6,377,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Ashirwad Regency,Bhopal,Madhya Pradesh,,,,,23.2691961,77.4087226,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7705-129052,info@ashirwadr.com,https://www.ashirwadregenc.com,,3.8,306,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
rental house agency,Bhopal,Madhya Pradesh,J K Road,,,,23.2632877,77.4608157,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,9200200555,winnerabc123@gmail.com,https://www.keyraya.com/,,3.4,323,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
hotel shalimar true geoposition,Bhopal,Madhya Pradesh,,,,,23.2625199,77.4111968,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7493-511443,info@hotelshal.com,https://www.hotelshalimar.com,,3.8,295,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Shree Vaibhav Marriage Garden,Bhopal,Madhya Pradesh,Kolar Road ,,,,23.1687522,77.4158194,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9296-495268,info@shreevaib.com,https://www.shreevaibhavm.com,,3.4,244,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Amra Shree Marriage Garden,Bhopal,Madhya Pradesh,Kolar Road ,,,,23.1683433,77.4155959,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8780-118134,info@amrashree.com,https://www.amrashreemarr.com,,3.5,365,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Motel Shiraz,Bhopal,Madhya Pradesh,,,,,23.2302029,77.4328228,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7952-396607,info@motelshir.com,https://www.motelshiraz.com,,3.6,419,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Shreemaya,Bhopal,Madhya Pradesh,,,,,23.2648294,77.4098687,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7696-114435,info@hotelshre.com,https://www.hotelshreemaya.com,,3.6,339,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Jyoti,Bhopal,Madhya Pradesh,,,,,23.2650934,77.4093363,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9596-744771,info@hoteljyot.com,https://www.hoteljyoti.com,,3.8,158,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Panchwati,Bhopal,Madhya Pradesh,,,,,23.2650512,77.4059812,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8095-676678,info@hotelpanc.com,https://www.hotelpanchwati.com,,3.6,31,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Amer Greens ,Bhopal,Madhya Pradesh,,,,,23.1380859,77.4880018,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7787-968759,info@amergreen.com,https://www.amergreens.com,,4.0,249,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Rajdoot Gaurav,Bhopal,Madhya Pradesh,"7, Bhopal Sanchi Road, Bhopal",3,,,23.2640984,77.4076497,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9885-876954,info@hotelrajd.com,https://www.hotelrajdootg.com,,4.1,109,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Bharti,Bhopal,Madhya Pradesh,"Sultania Road, bhopal",,,,23.2619825,77.4078008,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7409-476176,info@hotelbhar.com,https://www.hotelbharti.com,,4.0,283,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
