hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
The Ambassador,Delhi,Delhi,"Subramania Bharti Marg, New Delhi",,,,28.6017391,77.228846,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 11 6626 1000,info@theambass.com,https://www.vivantabytaj.com/Ambassador-New-Delhi/Overview.html,,4.0,281,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Trident Hotel,Delhi,Delhi,,,,,28.5013247,77.0894338,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7195-566104,info@tridentho.com,https://www.tridenthotel.com,,3.3,60,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Radisson Blu Plaza Delhi Airport,Delhi,Delhi,,,,,28.5431492,77.1195279,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9146-825420,info@radissonb.com,https://www.radissonblupl.com,,3.2,37,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Surya,Delhi,Delhi,,,,,28.5614243,77.2697503,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9544-447154,info@hotelsury.com,https://www.hotelsurya.com,,3.2,125,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Master Guest House,Delhi,Delhi,"R-500, Pamposh Road, New Delhi",,,,28.6346805,77.185038,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+ 91 (11) 28741089,info@mastergue.com,https://master-guesthouse.com/,,3.8,118,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Jaypee Vasant Continental Hotel,Delhi,Delhi,,,,,28.5565495,77.1640135,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7524-450245,info@jaypeevas.com,https://www.jaypeevasantc.com,,3.8,384,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Parkland Hotel,Delhi,Delhi,,,,,28.5672888,77.2281718,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8903-973059,info@parklandh.com,https://www.parklandhotel.com,,4.0,129,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Vishal Residency Hotel,Delhi,Delhi,,,,,28.5426758,77.1190259,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7925-258796,info@vishalres.com,https://www.vishalresidenc.com,,4.1,469,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Yatri Guesthouse,Delhi,Delhi,,,,,28.6422845,77.2053386,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8305-346112,info@yatrigues.com,https://www.yatriguesthous.com,,3.8,197,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Metropolis,Delhi,Delhi,,,,,28.6407045,77.2105994,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9533-155361,info@hotelmetr.com,https://www.hotelmetropoli.com,,4.2,447,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Tara Palace,Delhi,Delhi,,,,,28.6534876,77.2345124,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-6886-411093,info@hoteltara.com,https://www.hoteltarapala.com,,4.2,471,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Star Paradise,Delhi,Delhi,,,,,28.6410897,77.2156719,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6274-518632,info@starparad.com,https://www.starparadise.com,,3.6,185,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Vivek,Delhi,Delhi,,,,,28.6410436,77.212675,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9771-109409,info@vivek.com,https://www.vivek.com,,4.1,390,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Arjun Guesthouse,Delhi,Delhi,,,,,28.6408235,77.2121133,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9222-708431,info@arjungues.com,https://www.arjunguesthous.com,,3.6,64,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Tree of Life,Delhi,Delhi,,,,,28.524386,77.2044421,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6624-952615,info@treeofli.com,https://www.treeoflife.com,,3.4,325,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Vishal,Delhi,Delhi,,,,,28.6409016,77.2118997,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9048-224429,info@vishal.com,https://www.vishal.com,,3.4,104,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hare Krishna Guest House,Delhi,Delhi,"1572-73, Main Bazaar, New Delhi",,,,28.6409675,77.2121571,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,011 41541340,reservationhotelharekrishna@gmail.com,http://www.hotelharekrishna.com/,,3.9,99,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Anoop,Delhi,Delhi,,,,,28.6409297,77.2121018,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9232-712457,info@anoop.com,https://www.anoop.com,,3.3,145,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Maidens Hotel,Delhi,Delhi,"7, Sham Nath Marg",,,,28.674394,77.2261858,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 11 2397 5464,info@maidensho.com,https://www.maidenshotel.com/,,3.6,438,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Radisson Blu Marina Hotel Connaught Place,Delhi,Delhi,"59, Connaught Circus (Indira Chowk), Connaught Place, New Delhi",4,,,28.6339659,77.2171659,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 11 4690 9090,info@radissonb.com,https://www.radissonblu.com/en/marinahotel-newdelhi?s_cid=os.apac-IN-blu-INDNEDL-gmb,,3.6,390,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Florence,Delhi,Delhi,,,,,28.6518872,77.191918,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8250-754406,info@hotelflor.com,https://www.hotelflorence.com,,3.6,408,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
DSUI,Delhi,Delhi,,,,,28.5940756,77.1621131,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8338-550020,info@dsui.com,https://www.dsui.com,,3.8,36,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Imperial Hotel,Delhi,Delhi,New Delhi,,,,28.625283,77.2183628,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9587-859478,info@imperialh.com,https://www.imperialhotel.com,,3.6,192,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Krishna,Delhi,Delhi,"Arakashan Road, Ram Nagar, New Delhi",,,,28.6459152,77.2146894,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7462-852268,info@hotelkris.com,https://www.hotelkrishna.com,,4.2,480,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Fraser Suites,Delhi,Delhi,,,,,28.5940973,77.299018,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7524-407509,info@frasersui.com,https://www.frasersuites.com,,4.2,281,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Imperial Villa,Delhi,Delhi,,,,,28.5658144,77.2481626,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-11-4997-7000,info@imperialv.com,https://www.imperialvilla.com,,3.8,400,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Leela,Delhi,Delhi,,,,,28.5058141,77.0962567,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-6526-916281,info@theleela.com,https://www.theleela.com/,,4.8,282,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Radisson Blu MBD Hote,Delhi,Delhi,"L-2, Sector 18, Noida",,,,28.5685211,77.3225515,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8119-300949,info@radissonb.com,https://www.radissonblumb.com,,3.5,493,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Savoy Suites,Delhi,Delhi,,,,,28.5800504,77.3152466,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8251-687278,info@savoysuit.com,https://www.savoysuites.com,,4.0,182,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Gushi International,Delhi,Delhi,,,,,28.6416237,77.2133024,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8977-636278,info@gushiinte.com,https://www.gushiinternati.com,,4.0,289,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Rak International,Delhi,Delhi,,,,,28.6416783,77.2133717,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9923-748496,info@rakintern.com,https://www.rakinternation.com,,3.7,407,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sapna,Delhi,Delhi,,,,,28.6406194,77.211041,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7067-252341,info@sapna.com,https://www.sapna.com,,3.4,127,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Cottage Ganga Inn,Delhi,Delhi,,,,,28.6413645,77.2124645,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-11-23561516,info@cottagega.com,https://www.cottagegangai.com,,3.8,287,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Ajanta,Delhi,Delhi,"8647, Arakashan Road, Ram Nagar, New Delhi",,,,28.6457798,77.2158487,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 11 42350000,info@ajantahotel.com,https://www.ajantahotel.com/,,3.4,66,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Shere Punjab,Delhi,Delhi,"Arakashan Road, Ram Nagar, New Delhi",,,,28.6460535,77.2157419,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9397-647283,info@sherepunj.com,https://www.sherepunjab.com,,3.7,110,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
IRCTC-Ginger Rail Yatri Niwas,Delhi,Delhi,,,,,28.6444996,77.2226902,Internet,Budget,+91-8204-347354,info@irctcging.com,https://www.irctcgingerra.com,,3.6,414,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Indus Biznotel,Delhi,Delhi,"Greater Kailash 1, New Delhi",,,,28.5493151,77.2428571,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+911140267700,info@indusbizn.com,https://www.indusbiznotel.com/,,3.8,21,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Red Fox Hotel,Delhi,Delhi,,,,,28.6069221,77.3329324,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9515-729257,info@redfoxho.com,https://www.redfoxhotel.com,,4.0,302,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Silver Ferns,Delhi,Delhi,,,,,28.5229836,77.2081097,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7314-669766,info@silverfer.com,https://www.silverferns.com,,3.5,286,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Country Inn By Carlson,Delhi,Delhi,,,,,28.5278241,77.2204446,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9773-843488,info@countryin.com,https://www.countryinns.com/new-delhi-hotel-in-110017/inddesk,,3.6,354,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Uppal International,Delhi,Delhi,"28, Arakashan Road",,,,28.6464415,77.213339,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8384-664682,info@uppalinte.com,https://www.uppalinternati.com,,4.2,148,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
the umbro,Delhi,Delhi,,,,,28.5273495,77.1005457,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6622-545206,info@theumbro.com,https://www.theumbro.com,,3.4,116,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
sunstar heights,Delhi,Delhi,,,,,28.645239,77.1834003,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7315-889078,info@sunstarhe.com,https://www.sunstarheights.com,,4.1,75,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Cottage Yes Please,Delhi,Delhi,,,,,28.6410109,77.2104394,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7248-263423,info@cottageye.com,https://www.cottageyesple.com,,3.8,296,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
