hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Hotel Blue Moon,Dispur,Assam,,,,,26.1913525,91.7532184,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7028-970728,info@hotelblue.com,https://www.hotelbluemoon.com,,3.7,66,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Brahmaputra Ashok,Dispur,Assam,,,,,26.1909754,91.7508093,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7528-346527,info@hotelbrah.com,https://www.hotelbrahmaput.com,,3.6,244,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Biswanath,Dispur,Assam,Guwahati,,,,26.1797559,91.7525509,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6511-451717,info@hotelbisw.com,https://www.hotelbiswanath.com,,3.4,25,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Guest house,Dispur,Assam,,,,,26.1322171,91.8101336,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8123-531708,info@guesthous.com,https://www.guesthouse.com,,3.6,90,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
D Mukta Lodge,Dispur,Assam,,,,,26.1840021,91.7698601,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9631-806198,info@dmuktalo.com,https://www.dmuktalodge.com,,3.6,101,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel City Park,Dispur,Assam,,,,,26.1813384,91.7411759,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7321-425902,info@hotelcity.com,https://www.hotelcitypark.com,,3.7,251,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sundarban Guest House,Dispur,Assam,Paltan Bazaar,,,,26.1792898,91.7528794,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,03612730722,info@sundarban.com,https://www.sundarbanguest.com,,3.2,254,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
H.B. Lodge,Dispur,Assam,,,,,26.1349631,91.8103635,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9807-257208,info@hblodge.com,https://www.hblodge.com,,3.8,421,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Red Rose,Dispur,Assam,,,,,26.209115,91.6861006,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9047-939533,info@hotelred.com,https://www.hotelredrose.com,,3.6,115,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Ornate,Dispur,Assam,B. Baruah Road,,,,26.1783304,91.756655,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8328-179844,info@theornate.com,https://www.theornate.com,,3.9,170,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Blissful Eyrie,Dispur,Assam,"48, Borbari Main Road, Guwahait",,,,26.1578522,91.8170066,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+919599692372,jili.eplanner@gmail.com,https://www.blissfuleyrie.com,,3.5,20,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Luit Vista,Dispur,Assam,"50, Nabagraha Hills,, Guwahati",,,,26.1929529,91.7671411,Internet,Budget,+91-9887-565996,info@luitvista.com,https://www.luitvista.com,,3.5,239,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
CHITRALEKHA LODGE,Dispur,Assam,,,,,26.137972,91.7970351,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7105-167586,info@chitralekh.com,https://www.chitralekhalod.com,,3.7,395,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
THREE LITTLE BIRDS HOMESTAY,Dispur,Assam,,,,,26.136567,91.7995999,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6801-686450,info@threelitt.com,https://www.threelittlebi.com,,3.3,272,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Springbuck Homestay,Dispur,Assam,,,,,26.1665186,91.777922,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6291-286945,info@thespring.com,https://www.thespringbuck.com,,3.4,129,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Graham Sojourn Homestay,Dispur,Assam,Lamb Road,,,,26.1883975,91.7539949,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8462-430627,info@grahamsoj.com,https://www.grahamsojourn.com,,3.5,304,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Mukta Lodge,Dispur,Assam,,,,,26.18376,91.771215,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8191-142522,info@muktalodg.com,https://www.muktalodge.com,,3.5,363,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel NE Gateway,Dispur,Assam,,,,,26.1580735,91.6735367,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6918-724869,info@hotelneg.com,https://www.hotelnegatewa.com,,3.4,39,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Times,Dispur,Assam,,,,,26.1579963,91.6744267,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6287-876171,info@hoteltime.com,https://www.hoteltimes.com,,3.7,220,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
City Lodge,Dispur,Assam,,,,,26.1586471,91.68467,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8778-816485,info@citylodge.com,https://www.citylodge.com,,3.7,383,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Victoria Fooding and Lodging,Dispur,Assam,,,,,26.1805508,91.7510694,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6814-170876,info@hotelvict.com,https://www.hotelvictoria.com,,3.5,289,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Maitri Residency,Dispur,Assam,,,,,26.180297,91.7511331,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7013-379337,info@hotelmait.com,https://www.hotelmaitrire.com,,3.8,179,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Coronation,Dispur,Assam,,,,,26.1805014,91.7511892,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8986-206741,info@hotelcoro.com,https://www.hotelcoronatio.com,,3.7,187,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Classic,Dispur,Assam,,,,,26.1803679,91.7511419,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9607-487236,info@hotelclas.com,https://www.hotelclassic.com,,3.2,472,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Suro Guest House,Dispur,Assam,,,,,26.1797735,91.7514749,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7284-255099,info@suroguest.com,https://www.suroguesthous.com,,3.9,404,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel MM,Dispur,Assam,,,,,26.179701,91.7516952,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8131-722988,info@hotelmm.com,https://www.hotelmm.com,,4.2,271,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Atithi,Dispur,Assam,,,,,26.178474,91.7509996,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7582-554791,info@hotelatit.com,https://www.hotelatithi.com,,3.8,199,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Arya,Dispur,Assam,,,,,26.1765329,91.7555671,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7981-367932,info@hotelarya.com,https://www.hotelarya.com,,3.5,194,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Daffodils,Dispur,Assam,,,,,26.1806646,91.7497787,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9570-260548,info@hoteldaff.com,https://www.hoteldaffodils.com,,3.2,434,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
