hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Taj Tristar,Hyderabad,Telangana,,,,,17.4414402,78.4935002,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-9946-300076,info@tajtrista.com,https://www.tajtristar.com,,4.2,94,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Aditya Hometel,Hyderabad,Telangana,,,,,17.4381698,78.4484662,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9311-908038,info@adityahom.com,https://www.adityahometel.com,,3.8,469,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Taj Banjara,Hyderabad,Telangana,,,,,17.4096457,78.4488565,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-7206-289846,info@tajbanjar.com,https://www.tajbanjara.com,,4.6,402,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Amrutha Castle,Hyderabad,Telangana,,,,,17.4075442,78.4688643,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8246-176427,info@amruthaca.com,https://www.amruthacastle.com,,3.8,379,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Golkonda,Hyderabad,Telangana,,,,,17.404432,78.4536723,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9371-842989,info@hotelgolk.com,https://www.hotelgolkonda.com,,3.4,318,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Surya Residency,Hyderabad,Telangana,,,,,17.4412748,78.4484934,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8773-447099,info@suryaresi.com,https://www.suryaresidency.com,,3.7,433,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Taj Belson,Hyderabad,Telangana,,,,,17.4423612,78.4936495,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-9979-766053,info@tajbelson.com,https://www.tajbelson.com,,4.5,122,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Sri Krishna Residency,Hyderabad,Telangana,,,,,17.4419662,78.4460383,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8241-876423,info@srikrishn.com,https://www.srikrishnares.com,,3.7,369,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Taj Mahal,Hyderabad,Telangana,,,,,17.3994045,78.4925404,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-7739-370310,info@tajmahal.com,https://www.tajmahal.com,,4.0,390,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Quality Inn,Hyderabad,Telangana,,3,,,17.4303895,78.3749902,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9365-467680,info@qualityin.com,https://www.qualityinn.com,,3.5,217,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Green Casserole,Hyderabad,Telangana,,,,,17.3937827,78.4704939,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8007-583405,info@greencass.com,https://www.greencasserole.com,,4.1,102,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Bvreddy,Hyderabad,Telangana,"Plot No 77, Difence colony",,,,17.472471,78.52087,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,04040266214,info@bvreddy.com,https://www.bvreddy.com,,3.8,201,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Fortune Select Manohar,Hyderabad,Telangana,,3,,,17.4444673,78.4711656,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9088-493544,info@fortunese.com,https://www.fortuneselect.com,,3.6,196,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Casa Luxurio,Hyderabad,Telangana,,,,,17.4207186,78.4437788,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8791-318504,info@casaluxur.com,https://www.casaluxurio.com,,3.5,409,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Raj Comfort Inn,Hyderabad,Telangana,,,,,17.4419957,78.485717,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9323-885374,info@rajcomfor.com,https://www.rajcomfortinn.com,,3.8,401,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Swan Suites,Hyderabad,Telangana,,,,,17.4453553,78.3847305,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7401-633211,info@swansuite.com,https://www.swansuites.com,,4.1,315,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Baseraa,Hyderabad,Telangana,,,,,17.4413193,78.5001715,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8839-554809,info@baseraa.com,https://www.baseraa.com,,3.6,353,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Swagath de Royal,Hyderabad,Telangana,,,,,17.4598195,78.3660069,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7166-736599,info@swagathde.com,https://www.swagathderoya.com,,3.5,499,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
