hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Umaid Bhawan,Jaipur,Rajasthan,Jaipur,,,,26.928392,75.7922242,Swimming Pool,Budget,+91-9530-230054,info@umaidbhaw.com,https://www.umaidbhawan.com/,,3.4,348,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Holiday Inn,Jaipur,Rajasthan,,,,,26.9441899,75.8390478,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8311-899576,info@holidayin.com,https://www.holidayinn.com,,3.6,312,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Jasvilas,Jaipur,Rajasthan,"C-9, Sawai Jai Singh Highway, Jaipur",,,,26.9298944,75.7879303,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7029-146861,info@jasvilas.com,https://www.jasvilas.com,,3.9,158,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Oberoi  Rajvilas,Jaipur,Rajasthan,,5,,,26.8763394,75.8838128,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-7480-717647,info@theoberoi.com,https://www.theoberoiraj.com,,4.1,35,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Devi Niketan Heritage Hotel,Jaipur,Rajasthan,Jaipur,,,,26.912392,75.796346,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 141 2370076,deviniketan@gmail.com,https://www.deviniketan.com/,,3.8,55,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Royal Guest House,Jaipur,Rajasthan,,,,,26.9239979,75.799532,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8375-286671,info@royalgues.com,https://www.royalguesthou.com,,3.9,160,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Shahpura House,Jaipur,Rajasthan,Jaipur,5,,,26.9278442,75.7877823,Internet,Budget,+91-7852-159090,info@shahpurah.com,https://www.shahpurahouse.com,,4.0,460,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Paradise,Jaipur,Rajasthan,,,,,26.9480695,75.7736096,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8193-998724,info@paradise.com,https://www.paradise.com,,3.7,433,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Dera Rawatsar - Heritage Hotel,Jaipur,Rajasthan,Jaipur,3,,,26.9252318,75.8015175,Internet,Budget,+91-9662-858527,info@derarawat.com,https://www.derarawatsar.com,,3.2,404,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Pearl Palace Hotel,Jaipur,Rajasthan,Jaipur,,,,26.9163557,75.7955547,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-7719-664460,info@pearlpala.com,https://www.pearlpalaceho.com,,4.6,285,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Jaipur Inn,Jaipur,Rajasthan,,,,,26.9284885,75.7981485,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9744-667146,info@jaipurinn.com,https://www.jaipurinn.com,,3.9,444,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Jwala Niketan,Jaipur,Rajasthan,Jaipur,,,,26.9199193,75.8003982,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7639-522251,info@jwalanike.com,https://www.jwalaniketan.com,,3.8,313,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Devraj Niwas - Boutique Hotel,Jaipur,Rajasthan,Jaipur,,,,26.9219552,75.7932865,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8115-162115,info@devrajniw.com,https://www.devrajniwas.com,,3.6,388,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Alsisar's Haveli,Jaipur,Rajasthan,"Sansar Chandra Rd, Shri Ram Colony, Sindhi Camp, Jaipur, Rajasthan 302001, Jaipur",,,,26.9229753,75.80485,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7523-566003,info@alsisars.com,https://www.alsisarshavel.com,,4.2,495,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Om Tower,Jaipur,Rajasthan,,,,,26.9179313,75.7999767,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8828-204232,info@hotelomt.com,https://www.hotelomtower.com,,3.3,325,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
