hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
The Ambassador,New Delhi,Delhi,"Subramania Bharti Marg, New Delhi",,,,28.6017391,77.228846,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 11 6626 1000,info@theambass.com,https://www.vivantabytaj.com/Ambassador-New-Delhi/Overview.html,,3.7,258,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Trident Hotel,New Delhi,Delhi,,,,,28.5013247,77.0894338,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9437-231728,info@tridentho.com,https://www.tridenthotel.com,,3.5,113,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Radisson Blu Plaza Delhi Airport,New Delhi,Delhi,,,,,28.5431492,77.1195279,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9268-539849,info@radissonb.com,https://www.radissonblupl.com,,3.4,289,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Surya,New Delhi,Delhi,,,,,28.5614243,77.2697503,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7208-270068,info@hotelsury.com,https://www.hotelsurya.com,,3.4,294,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Master Guest House,New Delhi,Delhi,"R-500, Pamposh Road, New Delhi",,,,28.6346805,77.185038,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+ 91 (11) 28741089,info@mastergue.com,https://master-guesthouse.com/,,3.5,497,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Jaypee Vasant Continental Hotel,New Delhi,Delhi,,,,,28.5565495,77.1640135,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9751-631121,info@jaypeevas.com,https://www.jaypeevasantc.com,,3.5,94,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Parkland Hotel,New Delhi,Delhi,,,,,28.5672888,77.2281718,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8031-574374,info@parklandh.com,https://www.parklandhotel.com,,3.7,297,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Vishal Residency Hotel,New Delhi,Delhi,,,,,28.5426758,77.1190259,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8512-113278,info@vishalres.com,https://www.vishalresidenc.com,,3.5,79,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Yatri Guesthouse,New Delhi,Delhi,,,,,28.6422845,77.2053386,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6576-545110,info@yatrigues.com,https://www.yatriguesthous.com,,3.3,476,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Metropolis,New Delhi,Delhi,,,,,28.6407045,77.2105994,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7478-489066,info@hotelmetr.com,https://www.hotelmetropoli.com,,4.1,454,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Tara Palace,New Delhi,Delhi,,,,,28.6534876,77.2345124,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-6501-500825,info@hoteltara.com,https://www.hoteltarapala.com,,4.3,58,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Star Paradise,New Delhi,Delhi,,,,,28.6410897,77.2156719,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9744-156398,info@starparad.com,https://www.starparadise.com,,3.5,150,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Vivek,New Delhi,Delhi,,,,,28.6410436,77.212675,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9714-976408,info@vivek.com,https://www.vivek.com,,3.9,478,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Arjun Guesthouse,New Delhi,Delhi,,,,,28.6408235,77.2121133,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8975-327235,info@arjungues.com,https://www.arjunguesthous.com,,3.6,359,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Tree of Life,New Delhi,Delhi,,,,,28.524386,77.2044421,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9460-235468,info@treeofli.com,https://www.treeoflife.com,,3.3,152,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Vishal,New Delhi,Delhi,,,,,28.6409016,77.2118997,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7717-895242,info@vishal.com,https://www.vishal.com,,3.4,422,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hare Krishna Guest House,New Delhi,Delhi,"1572-73, Main Bazaar, New Delhi",,,,28.6409675,77.2121571,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,011 41541340,reservationhotelharekrishna@gmail.com,http://www.hotelharekrishna.com/,,3.9,405,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Anoop,New Delhi,Delhi,,,,,28.6409297,77.2121018,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7226-242314,info@anoop.com,https://www.anoop.com,,3.5,260,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
