hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Rajhans Wing,Surat,Gujarat,"A401, Sant Crystal Avenue",,,,21.2130302,72.7731014,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6233-643409,info@rajhanswi.com,https://www.rajhanswing.com,,3.3,247,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Rajhans Residency,Surat,Gujarat,,,,,21.2296973,72.7887434,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6008-348306,info@rajhansre.com,https://www.rajhansresiden.com,,4.0,287,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
girnar farm delivery kamrej,Surat,Gujarat,"AT.PO/AAMBOLI N.H. NO. 8 NEAR IRB TALL PLAZZA, AAMBOLI SURAT",,,,21.2993438,72.9539794,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 7211175175,girnarfarmdeliverykamrej175@gmail.com,https://girnar-farm-delivery-kamrej.business.site/,,3.5,241,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
UPCOMIN,Surat,Gujarat,,,,,21.135816,72.7492576,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9625-223527,info@upcomin.com,https://www.upcomin.com,,4.0,130,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel New City Light,Surat,Gujarat,"401 Central plaza , Opp Bharthana BRTS anuvrat dwar to Khattu shyam mandir, Road, New City Light, Althan, Surat, Gujarat 395007",,,,21.1527445,72.7978962,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9579-217519,info@hotelnew.com,https://www.hotelnewcity.com,,3.6,172,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hilton Garden Inn Surat City Centre,Surat,Gujarat,"No:7/39, City Survey, Opposite Railway Station, Surat, Gujarat",5,,,21.2044033,72.8392597,"Internet, Air Conditioning",Budget,+91 261 360 2222,STVGI_GM @hilton.com,https://www.hilton.com/en/hotels/stvgigi-hilton-garden-inn-surat-city-centre/,,3.6,44,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Marriott Surat,Surat,Gujarat,"764 Bus Stand, Near Airport, Surat",4,3124,Mid-range (₹2000-5000),21.141042,72.762648,"Free WiFi, Air Conditioning, 24/7 Front Desk, Meeting Rooms, Business Center, Restaurant, Gym, Conference Hall",Business,+91-8276-702468,reservations@marriottsur.com,https://www.marriott.com,,3.9,704,Well-located hotel offering quality service in Surat,13:00,10:00,"Standard Room, Deluxe Room, Executive Room",Generated
Fortune Heights Surat,Surat,Gujarat,"248 MG Road, Near Metro Station, Surat",5,9267,Premium (₹5000-10000),21.094685,72.907518,"Free WiFi, Air Conditioning, 24/7 Front Desk, Gym, Concierge, Spa, Bar, Swimming Pool, Restaurant, Valet Parking",Luxury,+91-9031-328642,reservations@fortunesur.com,https://www.fortune.com,,3.6,571,Popular luxury hotel with convenient city access,14:00,10:00,"Standard Room, Deluxe Room, Presidential Suite, Junior Suite, Royal Suite",Generated
Surat Lodge,Surat,Gujarat,"287 Civil Lines, Near Hospital, Surat",5,23873,Luxury (Above ₹10000),21.248531,72.789764,"Free WiFi, Air Conditioning, 24/7 Front Desk, Concierge, Valet Parking, Swimming Pool, Spa, Bar, Room Service, Restaurant",Luxury,+91-8673-917585,reservations@gingersur.com,https://www.ginger.com,,4.0,517,Popular luxury hotel with convenient city access,15:00,10:00,"Standard Room, Deluxe Room, Royal Suite, Presidential Suite, Junior Suite",Generated
Hotel Suites,Surat,Gujarat,"618 MG Road, Near Shopping Mall, Surat",4,6553,Premium (₹5000-10000),21.183754,72.761046,"Free WiFi, Air Conditioning, 24/7 Front Desk, Business Center, Restaurant, Conference Hall",Business,+91-9290-879661,reservations@oberoisur.com,https://www.oberoi.com,,4.3,365,Well-located hotel offering quality service in Surat,15:00,12:00,"Standard Room, Deluxe Room, Conference Room",Generated
