hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
sri gavuri nivas,Thiruvananthapuram,Kerala,,,,,8.5231268,76.9297678,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9000-890076,info@srigavuri.com,https://www.srigavuriniva.com,,3.9,154,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Uday Samudra,Thiruvananthapuram,Kerala,,,,,8.4014875,76.9724317,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7227-878088,info@udaysamud.com,https://www.udaysamudra.com,,3.5,414,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Samudra,Thiruvananthapuram,Kerala,,,,,8.4001231,76.9728292,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8560-740976,info@samudra.com,https://www.ktdc.com/samudra/,,4.1,461,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Pankaj Hotel,Thiruvananthapuram,Kerala,,,,,8.4958271,76.9479098,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 471 2464645,info@pankajhot.com,http://www.pankajhotel.com/,,3.9,109,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Highland Park,Thiruvananthapuram,Kerala,,,,,8.4890801,76.9492938,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 471 2333200,info@highlandp.com,https://highland-hotels.com,,3.6,175,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Geeth,Thiruvananthapuram,Kerala,,,,,8.4943055,76.9471179,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9808-510834,info@geeth.com,https://www.geeth.com,,4.1,347,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Swagath Holiday Resort,Thiruvananthapuram,Kerala,Kovalam,,,,8.3896073,76.9780008,"Free WiFi, Air Conditioning, 24/7 Front Desk, Pool, Restaurant, Gym, Spa",Resort,+91 999 508 8883,info@swagathho.com,https://swagathresorts.com/,,3.4,443,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sea View Palace,Thiruvananthapuram,Kerala,,,,,8.3857644,76.9800524,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-9217-858029,info@seaviewp.com,https://www.seaviewpalace.com,,4.7,354,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Kovalam Beach,Thiruvananthapuram,Kerala,"Beach Road, Kovalam",,,,8.3908083,76.9751013,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9604-490726,info@kovalambe.com,https://kovalambeachhotel.com,,3.4,84,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Linchu Ayurvedic Beach Resort,Thiruvananthapuram,Kerala,"Beach Road, Kovalam",,,,8.3881805,76.9778989,"Free WiFi, Air Conditioning, 24/7 Front Desk, Pool, Restaurant, Gym, Spa",Resort,+91 0471 2481010,drnishavinod@gmail.com,https://www.linchuayurvedi.com,,3.7,261,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sea Rock,Thiruvananthapuram,Kerala,"Beach Road, Kovalam",,,,8.3881602,76.976694,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7564-910321,info@searock.com,https://www.searock.com,,3.3,273,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sea View,Thiruvananthapuram,Kerala,Kovalam,,,,8.3902619,76.9750666,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8391-836197,info@seaview.com,https://www.seaview.com,,3.2,25,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
University Guesthouse,Thiruvananthapuram,Kerala,,,,,8.5620083,76.8837431,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8978-594369,info@university.com,https://www.universitygues.com,,3.6,134,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
