hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Hotel Legend,Vadodara,Gujarat,,,,,22.2565335,73.2258652,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8972-539974,info@hotellege.com,https://www.hotellegend.com,,3.6,313,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Nirmal,Vadodara,Gujarat,,,,,22.2370962,73.2089023,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6798-798041,info@hotelnirm.com,https://www.hotelnirmal.com,,3.5,181,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
MSUniversity,Vadodara,Gujarat,,,,,22.3142967,73.18725,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8277-487707,info@msuniversi.com,https://www.msuniversity.com,,3.7,453,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Kismat kathiyavadi,Vadodara,Gujarat,,,,,22.1643645,73.1834409,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9897-499935,info@kismatkat.com,https://www.kismatkathiyav.com,,4.2,295,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Shagun Residency,Vadodara,Gujarat,,,,,22.2980864,73.1644009,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7243-753414,info@shagunres.com,https://www.shagunresidenc.com,,3.4,477,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sunrise,Vadodara,Gujarat,,,,,22.3079672,73.1761034,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7405-789362,info@sunrise.com,https://www.sunrise.com,,3.6,52,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hampton by Hilton Vadodara-Alkapuri,Vadodara,Gujarat,"14, Friends Co-op Society, Vadodara",3.5,,,22.311994,73.1687578,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-265-2303000,reservations@hamptonvadodara.com,https://www.hilton.com/en/hotels/bdqhxhx-hampton-vadodara-alkapuri/,,3.6,96,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sri Krishna,Vadodara,Gujarat,,,,,22.3079248,73.1800284,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9177-498208,info@srikrishn.com,https://www.srikrishna.com,,4.2,427,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Mine,Vadodara,Gujarat,,,,,22.3253933,73.1997274,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6006-705265,info@mine.com,https://www.mine.com,,3.5,57,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sayaji Hotel,Vadodara,Gujarat,,,,,22.3081747,73.1876963,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7045-480690,info@sayajihot.com,https://www.sayajihotel.com,,4.1,385,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Airport,Vadodara,Gujarat,,3,,,22.3340682,73.2162605,Air Conditioning,Budget,+91-6927-375434,info@hotelairp.com,https://www.hotelairport.com,,3.4,452,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Tansha Regal by Mango Hotel,Vadodara,Gujarat,,,,,22.4418673,73.1996347,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9402-252990,info@tanshareg.com,https://www.tansharegalby.com,,3.5,476,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Country Inn Heights Vadodara,Vadodara,Gujarat,"125 City Center, Near Metro Station, Vadodara",3,2896,Mid-range (₹2000-5000),22.308561,73.200653,"Free WiFi, Air Conditioning, 24/7 Front Desk, Laundry Service, Parking",Budget,+91-8360-382658,reservations@countryinnvad.com,https://www.countryinn.com,,4.1,182,Popular budget hotel with convenient city access,12:00,12:00,"Standard Room, Deluxe Room, Twin Room",Generated
