hotel_id,landmark_type,landmark_name,distance_km,travel_time_minutes,traffic_aware
ahm001,airport,Sardar Vallabhbhai Patel International Airport,15.12,,False
ahm001,railway,Ahmedabad Junction,12.36,,False
ahm001,bus,Geeta Mandir Bus Stand,12.98,,False
ahm001,business,SG Highway,1.8,,False
ahm001,law_garden,Law Garden,9.46,,False
ahm002,airport,Sardar Vallabhbhai Patel International Airport,11.01,,False
ahm002,railway,Ahmedabad Junction,7.31,,False
ahm002,bus,Geeta Mandir Bus Stand,7.83,,False
ahm002,business,SG Highway,3.57,,False
ahm002,law_garden,Law Garden,4.33,,False
ahm003,airport,Sardar Vallabhbhai Patel International Airport,9.02,,False
ahm003,railway,Ahmedabad Junction,4.55,,False
ahm003,bus,Geeta Mandir Bus Stand,5.01,,False
ahm003,business,SG Highway,6.34,,False
ahm003,law_garden,Law Garden,1.5,,False
ahm004,airport,Sardar Vallabhbhai Patel International Airport,6.07,,False
ahm004,railway,Ahmedabad Junction,4.24,,False
ahm004,bus,Geeta Mandir Bus Stand,6.07,,False
ahm004,business,SG Highway,7.4,,False
ahm004,law_garden,Law Garden,3.38,,False
ahm005,airport,Sardar Vallabhbhai Patel International Airport,8.27,,False
ahm005,railway,Ahmedabad Junction,3.47,,False
ahm005,bus,Geeta Mandir Bus Stand,3.97,,False
ahm005,business,SG Highway,7.4,,False
ahm005,law_garden,Law Garden,0.4,,False
ahm006,airport,Sardar Vallabhbhai Patel International Airport,13.39,,False
ahm006,railway,Ahmedabad Junction,9.63,,False
ahm006,bus,Geeta Mandir Bus Stand,9.9,,False
ahm006,business,SG Highway,2.51,,False
ahm006,law_garden,Law Garden,6.58,,False
ahm007,airport,Sardar Vallabhbhai Patel International Airport,13.74,,False
ahm007,railway,Ahmedabad Junction,10.21,,False
ahm007,bus,Geeta Mandir Bus Stand,10.57,,False
ahm007,business,SG Highway,1.93,,False
ahm007,law_garden,Law Garden,7.19,,False
ahm008,airport,Sardar Vallabhbhai Patel International Airport,6.64,,False
ahm008,railway,Ahmedabad Junction,3.74,,False
ahm008,bus,Geeta Mandir Bus Stand,5.32,,False
ahm008,business,SG Highway,7.22,,False
ahm008,law_garden,Law Garden,2.39,,False
ahm009,airport,Sardar Vallabhbhai Patel International Airport,10.53,,False
ahm009,railway,Ahmedabad Junction,7.41,,False
ahm009,bus,Geeta Mandir Bus Stand,8.22,,False
ahm009,business,SG Highway,3.21,,False
ahm009,law_garden,Law Garden,4.62,,False
ahm010,airport,Sardar Vallabhbhai Patel International Airport,4.99,,False
ahm010,railway,Ahmedabad Junction,2.35,,False
ahm010,bus,Geeta Mandir Bus Stand,4.46,,False
ahm010,business,SG Highway,9.2,,False
ahm010,law_garden,Law Garden,3.06,,False
ahm011,airport,Sardar Vallabhbhai Patel International Airport,12.12,,False
ahm011,railway,Ahmedabad Junction,8.99,,False
ahm011,bus,Geeta Mandir Bus Stand,9.65,,False
ahm011,business,SG Highway,1.71,,False
ahm011,law_garden,Law Garden,6.11,,False
ahm012,airport,Sardar Vallabhbhai Patel International Airport,7.09,,False
ahm012,railway,Ahmedabad Junction,2.53,,False
ahm012,bus,Geeta Mandir Bus Stand,3.64,,False
ahm012,business,SG Highway,8.1,,False
ahm012,law_garden,Law Garden,0.93,,False
ahm013,airport,Sardar Vallabhbhai Patel International Airport,8.42,,False
ahm013,railway,Ahmedabad Junction,4.62,,False
ahm013,bus,Geeta Mandir Bus Stand,5.54,,False
ahm013,business,SG Highway,6.0,,False
ahm013,law_garden,Law Garden,1.94,,False
ahm014,airport,Sardar Vallabhbhai Patel International Airport,7.73,,False
ahm014,railway,Ahmedabad Junction,4.45,,False
ahm014,bus,Geeta Mandir Bus Stand,5.69,,False
ahm014,business,SG Highway,6.25,,False
ahm014,law_garden,Law Garden,2.26,,False
ahm015,airport,Sardar Vallabhbhai Patel International Airport,9.06,,False
ahm015,railway,Ahmedabad Junction,12.48,,False
ahm015,bus,Geeta Mandir Bus Stand,14.67,,False
ahm015,business,SG Highway,11.97,,False
ahm015,law_garden,Law Garden,12.4,,False
ahm016,airport,Sardar Vallabhbhai Patel International Airport,14.13,,False
ahm016,railway,Ahmedabad Junction,10.03,,False
ahm016,bus,Geeta Mandir Bus Stand,10.07,,False
ahm016,business,SG Highway,3.46,,False
ahm016,law_garden,Law Garden,6.96,,False
ahm017,airport,Sardar Vallabhbhai Patel International Airport,10.22,,False
ahm017,railway,Ahmedabad Junction,9.4,,False
ahm017,bus,Geeta Mandir Bus Stand,10.92,,False
ahm017,business,SG Highway,4.31,,False
ahm017,law_garden,Law Garden,7.48,,False
ahm018,airport,Sardar Vallabhbhai Patel International Airport,8.3,,False
ahm018,railway,Ahmedabad Junction,3.45,,False
ahm018,bus,Geeta Mandir Bus Stand,3.92,,False
ahm018,business,SG Highway,7.46,,False
ahm018,law_garden,Law Garden,0.37,,False
ahm019,airport,Sardar Vallabhbhai Patel International Airport,11.96,,False
ahm019,railway,Ahmedabad Junction,9.06,,False
ahm019,bus,Geeta Mandir Bus Stand,9.83,,False
ahm019,business,SG Highway,1.56,,False
ahm019,law_garden,Law Garden,6.24,,False
ahm020,airport,Sardar Vallabhbhai Patel International Airport,6.16,,False
ahm020,railway,Ahmedabad Junction,4.24,,False
ahm020,bus,Geeta Mandir Bus Stand,6.05,,False
ahm020,business,SG Highway,7.33,,False
ahm020,law_garden,Law Garden,3.32,,False
ahm021,airport,Sardar Vallabhbhai Patel International Airport,3.25,,False
ahm021,railway,Ahmedabad Junction,5.93,,False
ahm021,bus,Geeta Mandir Bus Stand,8.18,,False
ahm021,business,SG Highway,10.47,,False
ahm021,law_garden,Law Garden,6.77,,False
ahm022,airport,Sardar Vallabhbhai Patel International Airport,7.02,,False
ahm022,railway,Ahmedabad Junction,2.46,,False
ahm022,bus,Geeta Mandir Bus Stand,3.62,,False
ahm022,business,SG Highway,8.16,,False
ahm022,law_garden,Law Garden,0.99,,False
ahm023,airport,Sardar Vallabhbhai Patel International Airport,8.04,,False
ahm023,railway,Ahmedabad Junction,3.85,,False
ahm023,bus,Geeta Mandir Bus Stand,4.71,,False
ahm023,business,SG Highway,6.8,,False
ahm023,law_garden,Law Garden,1.14,,False
ahm024,airport,Sardar Vallabhbhai Patel International Airport,6.92,,False
ahm024,railway,Ahmedabad Junction,1.97,,False
ahm024,bus,Geeta Mandir Bus Stand,3.07,,False
ahm024,business,SG Highway,8.69,,False
ahm024,law_garden,Law Garden,1.19,,False
ahm025,airport,Sardar Vallabhbhai Patel International Airport,10.72,,False
ahm025,railway,Ahmedabad Junction,9.15,,False
ahm025,bus,Geeta Mandir Bus Stand,10.45,,False
ahm025,business,SG Highway,3.12,,False
ahm025,law_garden,Law Garden,6.89,,False
ahm026,airport,Sardar Vallabhbhai Patel International Airport,10.7,,False
ahm026,railway,Ahmedabad Junction,8.81,,False
ahm026,bus,Geeta Mandir Bus Stand,10.01,,False
ahm026,business,SG Highway,2.82,,False
ahm026,law_garden,Law Garden,6.43,,False
ahm027,airport,Sardar Vallabhbhai Patel International Airport,6.85,,False
ahm027,railway,Ahmedabad Junction,2.54,,False
ahm027,bus,Geeta Mandir Bus Stand,3.83,,False
ahm027,business,SG Highway,8.09,,False
ahm027,law_garden,Law Garden,1.2,,False
ahm028,airport,Sardar Vallabhbhai Patel International Airport,7.98,,False
ahm028,railway,Ahmedabad Junction,3.85,,False
ahm028,bus,Geeta Mandir Bus Stand,4.76,,False
ahm028,business,SG Highway,6.78,,False
ahm028,law_garden,Law Garden,1.21,,False
ahm029,airport,Sardar Vallabhbhai Patel International Airport,8.23,,False
ahm029,railway,Ahmedabad Junction,3.54,,False
ahm029,bus,Geeta Mandir Bus Stand,4.12,,False
ahm029,business,SG Highway,7.28,,False
ahm029,law_garden,Law Garden,0.51,,False
ahm030,airport,Sardar Vallabhbhai Patel International Airport,6.41,,False
ahm030,railway,Ahmedabad Junction,3.98,,False
ahm030,bus,Geeta Mandir Bus Stand,5.68,,False
ahm030,business,SG Highway,7.24,,False
ahm030,law_garden,Law Garden,2.85,,False
ahm031,airport,Sardar Vallabhbhai Patel International Airport,10.65,,False
ahm031,railway,Ahmedabad Junction,9.77,,False
ahm031,bus,Geeta Mandir Bus Stand,11.24,,False
ahm031,business,SG Highway,4.07,,False
ahm031,law_garden,Law Garden,7.77,,False
ahm032,airport,Sardar Vallabhbhai Patel International Airport,7.6,,False
ahm032,railway,Ahmedabad Junction,3.0,,False
ahm032,bus,Geeta Mandir Bus Stand,3.87,,False
ahm032,business,SG Highway,7.68,,False
ahm032,law_garden,Law Garden,0.54,,False
ahm033,airport,Sardar Vallabhbhai Patel International Airport,10.25,,False
ahm033,railway,Ahmedabad Junction,10.48,,False
ahm033,bus,Geeta Mandir Bus Stand,12.21,,False
ahm033,business,SG Highway,5.96,,False
ahm033,law_garden,Law Garden,8.94,,False
ahm034,airport,Sardar Vallabhbhai Patel International Airport,10.1,,False
ahm034,railway,Ahmedabad Junction,10.02,,False
ahm034,bus,Geeta Mandir Bus Stand,11.7,,False
ahm034,business,SG Highway,5.46,,False
ahm034,law_garden,Law Garden,8.39,,False
ahm035,airport,Sardar Vallabhbhai Patel International Airport,6.86,,False
ahm035,railway,Ahmedabad Junction,2.59,,False
ahm035,bus,Geeta Mandir Bus Stand,3.89,,False
ahm035,business,SG Highway,8.03,,False
ahm035,law_garden,Law Garden,1.22,,False
ahm036,airport,Sardar Vallabhbhai Patel International Airport,13.41,,False
ahm036,railway,Ahmedabad Junction,9.11,,False
ahm036,bus,Geeta Mandir Bus Stand,9.07,,False
ahm036,business,SG Highway,3.96,,False
ahm036,law_garden,Law Garden,6.03,,False
ahm037,airport,Sardar Vallabhbhai Patel International Airport,5.25,,False
ahm037,railway,Ahmedabad Junction,4.36,,False
ahm037,bus,Geeta Mandir Bus Stand,6.38,,False
ahm037,business,SG Highway,8.12,,False
ahm037,law_garden,Law Garden,4.11,,False
ahm038,airport,Sardar Vallabhbhai Patel International Airport,7.84,,False
ahm038,railway,Ahmedabad Junction,3.83,,False
ahm038,bus,Geeta Mandir Bus Stand,4.83,,False
ahm038,business,SG Highway,6.79,,False
ahm038,law_garden,Law Garden,1.32,,False
ahm039,airport,Sardar Vallabhbhai Patel International Airport,6.92,,False
ahm039,railway,Ahmedabad Junction,1.99,,False
ahm039,bus,Geeta Mandir Bus Stand,3.11,,False
ahm039,business,SG Highway,8.66,,False
ahm039,law_garden,Law Garden,1.17,,False
ahm040,airport,Sardar Vallabhbhai Patel International Airport,1.44,,False
ahm040,railway,Ahmedabad Junction,6.48,,False
ahm040,bus,Geeta Mandir Bus Stand,8.68,,False
ahm040,business,SG Highway,12.65,,False
ahm040,law_garden,Law Garden,8.15,,False
ahm041,airport,Sardar Vallabhbhai Patel International Airport,11.32,,False
ahm041,railway,Ahmedabad Junction,9.08,,False
ahm041,bus,Geeta Mandir Bus Stand,10.12,,False
ahm041,business,SG Highway,2.08,,False
ahm041,law_garden,Law Garden,6.51,,False
ahm042,airport,Sardar Vallabhbhai Patel International Airport,12.49,,False
ahm042,railway,Ahmedabad Junction,6.73,,False
ahm042,bus,Geeta Mandir Bus Stand,4.55,,False
ahm042,business,SG Highway,12.62,,False
ahm042,law_garden,Law Garden,6.41,,False
ahm043,airport,Sardar Vallabhbhai Patel International Airport,6.37,,False
ahm043,railway,Ahmedabad Junction,11.97,,False
ahm043,bus,Geeta Mandir Bus Stand,13.78,,False
ahm043,business,SG Highway,19.24,,False
ahm043,law_garden,Law Garden,14.36,,False
ahm044,airport,Sardar Vallabhbhai Patel International Airport,1.18,,False
ahm044,railway,Ahmedabad Junction,6.56,,False
ahm044,bus,Geeta Mandir Bus Stand,8.73,,False
ahm044,business,SG Highway,13.0,,False
ahm044,law_garden,Law Garden,8.34,,False
ahm045,airport,Sardar Vallabhbhai Patel International Airport,7.88,,False
ahm045,railway,Ahmedabad Junction,3.27,,False
ahm045,bus,Geeta Mandir Bus Stand,4.02,,False
ahm045,business,SG Highway,7.45,,False
ahm045,law_garden,Law Garden,0.46,,False
ahm046,airport,Sardar Vallabhbhai Patel International Airport,11.69,,False
ahm046,railway,Ahmedabad Junction,17.55,,False
ahm046,bus,Geeta Mandir Bus Stand,19.52,,False
ahm046,business,SG Highway,23.08,,False
ahm046,law_garden,Law Garden,19.56,,False
ahm047,airport,Sardar Vallabhbhai Patel International Airport,14.28,,False
ahm047,railway,Ahmedabad Junction,10.03,,False
ahm047,bus,Geeta Mandir Bus Stand,9.96,,False
ahm047,business,SG Highway,3.9,,False
ahm047,law_garden,Law Garden,6.95,,False
ahm048,airport,Sardar Vallabhbhai Patel International Airport,10.08,,False
ahm048,railway,Ahmedabad Junction,7.61,,False
ahm048,bus,Geeta Mandir Bus Stand,8.7,,False
ahm048,business,SG Highway,3.28,,False
ahm048,law_garden,Law Garden,5.1,,False
ahm049,airport,Sardar Vallabhbhai Patel International Airport,6.63,,False
ahm049,railway,Ahmedabad Junction,1.57,,False
ahm049,bus,Geeta Mandir Bus Stand,2.86,,False
ahm049,business,SG Highway,9.07,,False
ahm049,law_garden,Law Garden,1.57,,False
ahm050,airport,Sardar Vallabhbhai Patel International Airport,10.67,,False
ahm050,railway,Ahmedabad Junction,8.3,,False
ahm050,bus,Geeta Mandir Bus Stand,9.37,,False
ahm050,business,SG Highway,2.67,,False
ahm050,law_garden,Law Garden,5.76,,False
ahm051,airport,Sardar Vallabhbhai Patel International Airport,8.12,,False
ahm051,railway,Ahmedabad Junction,3.54,,False
ahm051,bus,Geeta Mandir Bus Stand,4.21,,False
ahm051,business,SG Highway,7.21,,False
ahm051,law_garden,Law Garden,0.6,,False
ahm052,airport,Sardar Vallabhbhai Patel International Airport,6.78,,False
ahm052,railway,Ahmedabad Junction,2.68,,False
ahm052,bus,Geeta Mandir Bus Stand,4.04,,False
ahm052,business,SG Highway,7.96,,False
ahm052,law_garden,Law Garden,1.35,,False
ahm053,airport,Sardar Vallabhbhai Patel International Airport,8.01,,False
ahm053,railway,Ahmedabad Junction,4.34,,False
ahm053,bus,Geeta Mandir Bus Stand,5.4,,False
ahm053,business,SG Highway,6.28,,False
ahm053,law_garden,Law Garden,1.87,,False
ahm054,airport,Sardar Vallabhbhai Patel International Airport,19.19,,False
ahm054,railway,Ahmedabad Junction,15.25,,False
ahm054,bus,Geeta Mandir Bus Stand,15.14,,False
ahm054,business,SG Highway,6.44,,False
ahm054,law_garden,Law Garden,12.17,,False
ahm055,airport,Sardar Vallabhbhai Patel International Airport,4.29,,False
ahm055,railway,Ahmedabad Junction,9.97,,False
ahm055,bus,Geeta Mandir Bus Stand,12.14,,False
ahm055,business,SG Highway,15.16,,False
ahm055,law_garden,Law Garden,11.59,,False
ahm056,airport,Sardar Vallabhbhai Patel International Airport,7.68,,False
ahm056,railway,Ahmedabad Junction,3.71,,False
ahm056,bus,Geeta Mandir Bus Stand,4.76,,False
ahm056,business,SG Highway,6.91,,False
ahm056,law_garden,Law Garden,1.3,,False
ahm057,airport,Sardar Vallabhbhai Patel International Airport,10.22,,False
ahm057,railway,Ahmedabad Junction,7.61,,False
ahm057,bus,Geeta Mandir Bus Stand,8.64,,False
ahm057,business,SG Highway,3.18,,False
ahm057,law_garden,Law Garden,5.03,,False
ahm058,airport,Sardar Vallabhbhai Patel International Airport,7.98,,False
ahm058,railway,Ahmedabad Junction,3.04,,False
ahm058,bus,Geeta Mandir Bus Stand,3.58,,False
ahm058,business,SG Highway,7.82,,False
ahm058,law_garden,Law Garden,0.04,,False
ahm059,airport,Sardar Vallabhbhai Patel International Airport,17.27,,False
ahm059,railway,Ahmedabad Junction,14.15,,False
ahm059,bus,Geeta Mandir Bus Stand,14.52,,False
ahm059,business,SG Highway,3.95,,False
ahm059,law_garden,Law Garden,11.14,,False
ahm060,airport,Sardar Vallabhbhai Patel International Airport,4.71,,False
ahm060,railway,Ahmedabad Junction,4.61,,False
ahm060,bus,Geeta Mandir Bus Stand,6.73,,False
ahm060,business,SG Highway,8.63,,False
ahm060,law_garden,Law Garden,4.7,,False
ahm061,airport,Sardar Vallabhbhai Patel International Airport,7.9,,False
ahm061,railway,Ahmedabad Junction,3.11,,False
ahm061,bus,Geeta Mandir Bus Stand,3.76,,False
ahm061,business,SG Highway,7.68,,False
ahm061,law_garden,Law Garden,0.21,,False
ahm062,airport,Sardar Vallabhbhai Patel International Airport,16.29,,False
ahm062,railway,Ahmedabad Junction,12.84,,False
ahm062,bus,Geeta Mandir Bus Stand,11.1,,False
ahm062,business,SG Highway,22.04,,False
ahm062,law_garden,Law Garden,14.62,,False
ahm063,airport,Sardar Vallabhbhai Patel International Airport,8.26,,False
ahm063,railway,Ahmedabad Junction,4.44,,False
ahm063,bus,Geeta Mandir Bus Stand,5.38,,False
ahm063,business,SG Highway,6.19,,False
ahm063,law_garden,Law Garden,1.8,,False
ahm064,airport,Sardar Vallabhbhai Patel International Airport,8.7,,False
ahm064,railway,Ahmedabad Junction,3.62,,False
ahm064,bus,Geeta Mandir Bus Stand,3.79,,False
ahm064,business,SG Highway,7.58,,False
ahm064,law_garden,Law Garden,0.7,,False
ahm065,airport,Sardar Vallabhbhai Patel International Airport,8.07,,False
ahm065,railway,Ahmedabad Junction,3.15,,False
ahm065,bus,Geeta Mandir Bus Stand,3.67,,False
ahm065,business,SG Highway,7.73,,False
ahm065,law_garden,Law Garden,0.07,,False
ahm066,airport,Sardar Vallabhbhai Patel International Airport,8.16,,False
ahm066,railway,Ahmedabad Junction,3.41,,False
ahm066,bus,Geeta Mandir Bus Stand,3.97,,False
ahm066,business,SG Highway,7.43,,False
ahm066,law_garden,Law Garden,0.37,,False
ahm067,airport,Sardar Vallabhbhai Patel International Airport,7.82,,False
ahm067,railway,Ahmedabad Junction,3.26,,False
ahm067,bus,Geeta Mandir Bus Stand,4.06,,False
ahm067,business,SG Highway,7.44,,False
ahm067,law_garden,Law Garden,0.53,,False
ahm068,airport,Sardar Vallabhbhai Patel International Airport,9.07,,False
ahm068,railway,Ahmedabad Junction,3.96,,False
ahm068,bus,Geeta Mandir Bus Stand,3.99,,False
ahm068,business,SG Highway,7.42,,False
ahm068,law_garden,Law Garden,1.06,,False
ahm069,airport,Sardar Vallabhbhai Patel International Airport,8.34,,False
ahm069,railway,Ahmedabad Junction,2.56,,False
ahm069,bus,Geeta Mandir Bus Stand,0.5,,False
ahm069,business,SG Highway,11.08,,False
ahm069,law_garden,Law Garden,3.42,,False
ahm070,airport,Sardar Vallabhbhai Patel International Airport,7.33,,False
ahm070,railway,Ahmedabad Junction,3.8,,False
ahm070,bus,Geeta Mandir Bus Stand,5.08,,False
ahm070,business,SG Highway,6.87,,False
ahm070,law_garden,Law Garden,1.79,,False
ahm071,airport,Sardar Vallabhbhai Patel International Airport,7.88,,False
ahm071,railway,Ahmedabad Junction,2.33,,False
ahm071,bus,Geeta Mandir Bus Stand,0.33,,False
ahm071,business,SG Highway,11.68,,False
ahm071,law_garden,Law Garden,3.92,,False
ahm072,airport,Sardar Vallabhbhai Patel International Airport,4.96,,False
ahm072,railway,Ahmedabad Junction,10.5,,False
ahm072,bus,Geeta Mandir Bus Stand,12.7,,False
ahm072,business,SG Highway,15.12,,False
ahm072,law_garden,Law Garden,11.96,,False
ahm073,airport,Sardar Vallabhbhai Patel International Airport,6.59,,False
ahm073,railway,Ahmedabad Junction,1.53,,False
ahm073,bus,Geeta Mandir Bus Stand,2.86,,False
ahm073,business,SG Highway,9.1,,False
ahm073,law_garden,Law Garden,1.62,,False
ahm074,airport,Sardar Vallabhbhai Patel International Airport,9.17,,False
ahm074,railway,Ahmedabad Junction,3.98,,False
ahm074,bus,Geeta Mandir Bus Stand,3.89,,False
ahm074,business,SG Highway,7.55,,False
ahm074,law_garden,Law Garden,1.17,,False
ahm075,airport,Sardar Vallabhbhai Patel International Airport,8.43,,False
ahm075,railway,Ahmedabad Junction,5.32,,False
ahm075,bus,Geeta Mandir Bus Stand,6.44,,False
ahm075,business,SG Highway,5.37,,False
ahm075,law_garden,Law Garden,2.89,,False
ahm076,airport,Sardar Vallabhbhai Patel International Airport,4.61,,False
ahm076,railway,Ahmedabad Junction,9.33,,False
ahm076,bus,Geeta Mandir Bus Stand,11.58,,False
ahm076,business,SG Highway,12.93,,False
ahm076,law_garden,Law Garden,10.33,,False
ahm077,airport,Sardar Vallabhbhai Patel International Airport,4.62,,False
ahm077,railway,Ahmedabad Junction,9.39,,False
ahm077,bus,Geeta Mandir Bus Stand,11.64,,False
ahm077,business,SG Highway,13.04,,False
ahm077,law_garden,Law Garden,10.41,,False
ahm078,airport,Sardar Vallabhbhai Patel International Airport,7.24,,False
ahm078,railway,Ahmedabad Junction,1.39,,False
ahm078,bus,Geeta Mandir Bus Stand,1.42,,False
ahm078,business,SG Highway,10.14,,False
ahm078,law_garden,Law Garden,2.35,,False
ahm079,airport,Sardar Vallabhbhai Patel International Airport,7.78,,False
ahm079,railway,Ahmedabad Junction,3.03,,False
ahm079,bus,Geeta Mandir Bus Stand,3.75,,False
ahm079,business,SG Highway,7.72,,False
ahm079,law_garden,Law Garden,0.29,,False
ahm080,airport,Sardar Vallabhbhai Patel International Airport,6.87,,False
ahm080,railway,Ahmedabad Junction,2.01,,False
ahm080,bus,Geeta Mandir Bus Stand,3.17,,False
ahm080,business,SG Highway,8.63,,False
ahm080,law_garden,Law Garden,1.19,,False
ahm081,airport,Sardar Vallabhbhai Patel International Airport,7.72,,False
ahm081,railway,Ahmedabad Junction,2.24,,False
ahm081,bus,Geeta Mandir Bus Stand,2.49,,False
ahm081,business,SG Highway,8.91,,False
ahm081,law_garden,Law Garden,1.12,,False
ahm082,airport,Sardar Vallabhbhai Patel International Airport,12.88,,False
ahm082,railway,Ahmedabad Junction,9.96,,False
ahm082,bus,Geeta Mandir Bus Stand,10.65,,False
ahm082,business,SG Highway,0.72,,False
ahm082,law_garden,Law Garden,7.1,,False
ahm083,airport,Sardar Vallabhbhai Patel International Airport,23.69,,False
ahm083,railway,Ahmedabad Junction,18.99,,False
ahm083,bus,Geeta Mandir Bus Stand,18.31,,False
ahm083,business,SG Highway,11.8,,False
ahm083,law_garden,Law Garden,16.02,,False
ahm084,airport,Sardar Vallabhbhai Patel International Airport,3.68,,False
