hotel_id,city,display_name,latitude,longitude,formatted_address,hospitals_count_1km,pharmacies_count_1km,shopping_count_1km,restaurants_count_1km,banks_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score
ahm001,Ahmedabad,"Taj Skyline, Ahmedabad",23.0441549,72.48227729999999,"Taj Skyline Ahmedabad, Sankalp Square III, Opp. Saket 3, Sindhubhavan Road, nr. Neelkanth Green, PRL Colony, Thaltej, Shilaj, Ahmedabad, Gujarat 380059, India",0,0,0,1,0,0,1,0,0,1,0,0,4,0,0,0,0,0,5
ahm002,Ahmedabad,"ITC Narmada, a Luxury Collection Hotel, Ahmedabad",23.0296101,72.530075,"Survey # 104 A, Judges Bunglow Rd, I I M, Vastrapur, Ahmedabad, Gujarat 380015, India",27,0,2,3,1,0,1,0,4,8,30,25,12,10,0,100,0,80,55
ahm003,Ahmedabad,"Radisson Blu Hotel, Ahmedabad",23.0235616,72.5570168,"Near Panchvati Cross Roads, Chimanlal Girdharlal Rd, Ambawadi, Ahmedabad, Gujarat 380006, India",28,0,2,13,0,0,5,0,1,22,36,25,52,0,0,100,0,20,100
ahm004,Ahmedabad,"Welcomhotel By ITC Hotels, Ashram Road, Ahmedabad",23.0526254,72.5716833,"15, Ashram Road, Dandi Kuch Cir, Old Wadaj, Ahmedabad, Gujarat 380013, India",20,0,0,0,0,0,3,0,1,30,20,0,0,0,0,100,0,20,100
ahm005,Ahmedabad,Four Points by Sheraton Ahmedabad,23.0224261,72.5676799,"opposite Gujarat College, Ellisbridge, Ahmedabad, Gujarat 380006, India",27,0,0,3,0,1,8,0,1,29,22,0,12,0,20,100,0,20,100
ahm006,Ahmedabad,Novotel Ahmedabad,23.0239972,72.5072893,"Iscon Cross Roads, Sarkhej - Gandhinagar Hwy, next to Wide Angle Cinema, Ramdev Nagar, Ahmedabad, Gujarat 380015, India",3,0,1,7,1,2,2,0,2,1,22,12,28,10,40,60,0,40,31
ahm007,Ahmedabad,DoubleTree by Hilton Ahmedabad,23.0282074,72.50164629999999,"Ambli Rd, Vikram Nagar, Ahmedabad, Gujarat 380058, India",0,0,1,9,1,1,2,0,2,0,11,12,36,10,20,0,0,40,23
ahm008,Ahmedabad,Hyatt Regency Ahmedabad,23.0436557,72.5703442,"17/A, Ashram Rd, Usmanpura, Ahmedabad, Gujarat 380014, India",40,0,0,3,2,0,3,0,0,33,25,0,12,20,0,100,0,0,100
ahm009,Ahmedabad,Hyatt Ahmedabad,23.039463599999998,72.5305022,"next to Alpha One Mall, Vastrapur, Ahmedabad, Gujarat 380015, India",29,0,3,7,1,1,1,0,2,11,36,37,28,10,20,100,0,40,67
ahm010,Ahmedabad,Hotel Elysian Residency,23.0441447,72.58965830000001,"Hotel Elysian Residency, Opp Reliance Mall Near Namaste Circle(BAPS Circle, Road, Jain Colony, Shahibag, Ahmedabad, Gujarat 380004, India",11,0,1,0,1,0,3,0,0,35,24,12,0,10,0,100,0,0,100
ahm011,Ahmedabad,Pride Plaza Hotel Ahmedabad,23.0381549,72.5145022,"Judges Bungalow Rd, off Sarkhej - Gandhinagar Highway, Bodakdev, Ahmedabad, Gujarat 380054, India",6,0,1,11,1,0,1,0,4,10,33,12,44,10,0,100,0,80,65
ahm012,Ahmedabad,"Lemon Tree Premier, The Atrium, Ahmedabad",23.028933000000002,72.57693139999999,"Off Nehru Bridge, Sabarmati, Flat-c, Jasmine Flat, Riverfront Rd, opp. Lemon tree Hotel, Old City, Towards, Khanpur, Ahmedabad, Gujarat 380001, India",16,0,0,10,3,2,7,0,1,32,32,0,40,30,40,100,0,20,100
ahm013,Ahmedabad,Regenta Central Antarim Hotel,23.0331714,72.5568904,"Between, Girish Coldrink and Xaviers Corner, Chimanlal Girdharlal Rd, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380006, India",20,0,1,18,3,0,4,0,0,25,41,12,72,30,0,100,0,0,100
ahm014,Ahmedabad,Hotel Cosmopolitan,23.0397407,72.56051719999999,"Darshan Society, Road, near Stadium Circle, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009, India",43,0,0,15,4,0,2,0,0,28,38,0,60,40,0,100,0,0,100
ahm015,Ahmedabad,THE HILLOCK AHMEDABAD,23.133669400000002,72.5669654,"THE HILLOCK AHMEDABAD, Opp. The CBD, 200 ft, Ring Road, nr. Vaishnodevi Circle, Ahmedabad, Gujarat 382421, India",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahm016,Ahmedabad,Crowne Plaza Ahmedabad City Centre,23.0146335,72.504128,"Sarkhej - Gandhinagar Hwy, near Shapath V, Prahlad Nagar, Ahmedabad, Gujarat 380015, India",2,0,0,7,1,1,2,0,2,1,15,0,28,10,20,40,0,40,25
ahm017,Ahmedabad,Renaissance Ahmedabad Hotel,23.07526,72.5267243,"Behind Ganesh Meridian Complex, Sola Road, Sarkhej - Gandhinagar Hwy, Vishwas City 1, Sola, Ahmedabad, Gujarat 380060, India",2,0,0,0,0,0,1,0,1,2,8,0,0,0,0,40,0,20,14
ahm018,Ahmedabad,Hotel The Westend,23.0218059,72.5679669,"Hotel Westend, Gujarat College Rd, Ellisbridge, Ahmedabad, Gujarat 380006, India",28,0,0,3,0,1,8,0,1,29,22,0,12,0,20,100,0,20,100
ahm019,Ahmedabad,The Grand Bhagwati,23.042414599999997,72.51466479999999,"Plot No 380, NH 8C, Sarkhej - Gandhinagar Hwy, opp. Gurudwara, Bodakdev, Ahmedabad, Gujarat 380054, India",6,0,0,6,0,0,1,0,4,11,24,0,24,0,0,100,0,80,60
ahm020,Ahmedabad,Fairfield by Marriott Ahmedabad,23.0520233,72.5710493,"Ashram Rd, Satyawadi Society, Usmanpura, Ahmedabad, Gujarat 380013, India",21,0,0,0,0,0,3,0,1,30,20,0,0,0,0,100,0,20,100
ahm021,Ahmedabad,Hotel Royal Comfort,23.079014800000003,72.5954156,"Shell Petrol Pump, Pushti Sparsh Arcade, 308-320, B/S, opp. to Rathi Apartment, Dharm Nagar II, Sabarmati, Ahmedabad, Gujarat 380005, India",16,0,1,2,3,0,0,0,2,24,29,12,8,30,0,100,0,40,92
ahm022,Ahmedabad,Palette River Front formerly Host Inn,23.0292213,72.57757219999999,"hotel, Nehru Brg, opposite BMC Bank, Old City, Corner, Khanpur, Ahmedabad, Gujarat 380001, India",18,0,0,10,3,2,7,0,1,31,32,0,40,30,40,100,0,20,100
ahm023,Ahmedabad,"Lemon Tree Hotel, Ahmedabad",23.0296816,72.5640165,"434/1, Mithakali Six, Cross Rd, Maharashtra Society, Navrangpura, Ahmedabad, Gujarat 380006, India",18,0,0,19,3,0,5,0,1,32,39,0,76,30,0,100,0,20,100
ahm024,Ahmedabad,Hotel City Inn,23.0264825,72.5822049,"Seema Chambers, Relief Rd, opp. Electricity House, Old City, Gheekanta, Lal Darwaja, Ahmedabad, Gujarat 380001, India",13,0,0,11,3,2,7,0,1,35,33,0,44,30,40,100,0,20,100
ahm025,Ahmedabad,"Fortune Select SG Highway, Ahmedabad - Member ITC Hotels’ Group",23.0644295,72.5222848,"Sarkhej - Gandhinagar Hwy, near Palladium Mall, Ghatlodiya, Ahmedabad, Gujarat 380054, India",7,0,1,0,0,0,1,0,3,10,23,12,0,0,0,100,0,60,52
ahm026,Ahmedabad,Cambay Grand Ahmedabad,23.0589646,72.5231565,"Gulab Tower Rd, Near PERD Centre, Thaltej, Ahmedabad, Gujarat 380054, India",7,0,1,0,0,0,1,0,3,10,23,12,0,0,0,100,0,60,52
ahm027,Ahmedabad,Centra Hotel,23.0316254,72.57736779999999,"Hotel Centra, Bhilwas, Khanpur, Ahmedabad, Gujarat 380001, India",24,0,0,10,3,1,6,0,1,31,32,0,40,30,20,100,0,20,100
ahm028,Ahmedabad,HOTEL NALANDA,23.0305468,72.5640671,"Mithakhali Six Rd, Maharashtra Society, Ellisbridge, Ahmedabad, Gujarat 380006, India",20,0,0,18,3,0,5,0,1,32,38,0,72,30,0,100,0,20,100
ahm029,Ahmedabad,"Fortune Park, Ahmedabad - Member ITC hotels' group",23.023836499999998,72.566914,"Opp Gujarat College, Purshottam Mavlankar Marg, Ellisbridge, Ahmedabad, Gujarat 380006, India",27,0,0,6,0,0,7,0,1,33,24,0,24,0,0,100,0,20,100
ahm030,Ahmedabad,Fortune Landmark Ahmedabad - Member ITC Hotels' Group,23.0478105,72.5705122,"Ashram Rd, Shanti Nagar, Usmanpura, Ahmedabad, Gujarat 380013, India",29,0,0,1,1,0,3,0,1,32,22,0,4,10,0,100,0,20,100
ahm031,Ahmedabad,Aarya Grand Hotels & Resorts,23.0755288,72.5225608,"Kargil Petrol Pump Lane, Vrundavan Party Plot Rd, near Gujarat High Court, Sola, Ahmedabad, Gujarat 380060, India",3,0,0,0,0,0,1,0,1,2,12,0,0,0,0,60,0,20,15
ahm032,Ahmedabad,Hotel Riverview,23.027022499999998,72.5720901,"Nehru Brg, near Sakar VII, Vishalpur, Ellisbridge, Ahmedabad, Gujarat 380009, India",15,0,0,6,2,1,6,0,1,31,27,0,24,20,20,100,0,20,100
ahm033,Ahmedabad,Hotel Paris Plaza,23.0921439,72.52847059999999,"H-202, S G BUSINESS HUB, Sarkhej - Gandhinagar Hwy, nr. Sola, bhagwat, Gota, Ahmedabad, Gujarat 382470, India",0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,12,0,8
ahm034,Ahmedabad,"Vivanta Ahmedabad, SG Highway",23.086648399999998,72.5289313,"147, 53, Sarkhej - Gandhinagar Hwy, opposite Bhagwat Vidhya Peeth, Sola, Ahmedabad, Gujarat 380061, India",2,1,0,0,0,0,1,0,1,2,10,0,0,0,0,40,12,20,15
ahm035,Ahmedabad,The Cama - A Sabarmati Riverfront Hotel,23.032004399999998,72.57690939999999,"2HJG+FPF, Mahaveer Marg, Old City, Khanpur, Ahmedabad, Gujarat 380001, India",24,0,0,7,3,0,6,0,1,30,30,0,28,30,0,100,0,20,100
ahm036,Ahmedabad,Hotel Rajdeep Inn - Deluxe & Super Deluxe Rooms Booking In Ahmedabad | Corporate Accommodation,23.0122169,72.5136445,"Shell Petrol Pump, Near, 100 Feet Anand Nagar Rd, Prahlad Nagar, Ahmedabad, Gujarat 380015, India",7,0,0,5,1,1,2,0,3,5,25,0,20,10,20,100,0,60,43
ahm037,Ahmedabad,SilverCloud Hotel & Banquets,23.0586609,72.5778958,"726 & 727 opp Gandhi Ashram & Dandi Bridge, 3H5H+F3J, Ashram Rd, opp. gandhi ashram and dandi bridge, Hridaya Kunj, Old Wadaj, Ahmedabad, Gujarat 380027, India",10,0,0,2,0,0,3,0,1,33,21,0,8,0,0,100,0,20,100
ahm038,Ahmedabad,Hotel Silver Heights,23.032085,72.564538,"Mithakhali Cir, Nr. Passport Office, Mithakhali, Navrangpura, Ahmedabad, Gujarat 380009, India",26,0,0,18,4,0,5,0,1,30,40,0,72,40,0,100,0,20,100
ahm039,Ahmedabad,Hotel Noble Inn,23.026709999999998,72.5819357,"Hanuman Gali, Relief Rd, opp. to Electric City house, Old City, Gheekanta, Lal Darwaja, Ahmedabad, Gujarat 380001, India",11,0,0,11,3,2,7,0,1,35,33,0,44,30,40,100,0,20,100
ahm040,Ahmedabad,The Ummed Ahmedabad,23.082569200000002,72.61672829999999,"The Ummed, Airport Cir, Sardarnagar, Hansol, Ahmedabad, Gujarat 382475, India",1,0,0,0,0,1,0,0,0,4,4,0,0,0,20,20,0,0,15
ahm041,Ahmedabad,Binori A Boutique Hotel,23.0538119,72.51799749999999,"Thaltej Cross Roads, Sarkhej - Gandhinagar Hwy, Bhaikakanagar, Thaltej, Ahmedabad, Gujarat 380054, India",5,0,1,0,0,0,1,0,3,10,23,12,0,0,0,100,0,60,52
ahm042,Ahmedabad,Hotel New York,22.966678299999998,72.58849,"3rd Floor, 3rd Floor, Narayan Arcade, Bus Stop, near, Shahwadi Rd, opp. Gokulesh Petrol Pump, Narolgam, Ahmedabad, Gujarat 382405, India",8,0,0,0,0,0,0,0,0,0,20,0,0,0,0,100,0,0,8
ahm043,Ahmedabad,Hotel The Crown,23.1103553,72.6741648,"320 3Rd Floor Atlanta Business Hub Nana Chiloda Circle, Sardar Patel Ring Rd, GIDC Naroda, Ahmedabad, Gujarat 382330, India",0,0,0,3,0,0,0,0,0,0,2,0,12,0,0,0,0,0,2
ahm044,Ahmedabad,HOTEL THE PACIFIC,23.082348399999997,72.620351,"Ashram Shooping Center, opp. Dr. C.G English School, Sardarnagar, Hansol, Ahmedabad, Gujarat 382475, India",2,0,0,0,1,1,0,0,1,4,9,0,0,10,20,40,0,20,20
