hotel_id,landmark_type,landmark_name,distance_km,travel_time_minutes,traffic_aware
ben001,airport,Kempegowda International Airport,27.99,,False
ben001,railway,Krantivira Sangolli Rayanna Railway Station,1.16,,False
ben001,bus,Majestic Bus Stand (Kempegowda Bus Station),0.69,,False
ben001,business,Whitefield,18.61,,False
ben001,electronic_city,Electronic City,17.41,,False
ben002,airport,Kempegowda International Airport,27.42,,False
ben002,railway,Krantivira Sangolli Rayanna Railway Station,1.49,,False
ben002,bus,Majestic Bus Stand (Kempegowda Bus Station),1.1,,False
ben002,business,Whitefield,18.55,,False
ben002,electronic_city,Electronic City,17.87,,False
ben003,airport,Kempegowda International Airport,33.64,,False
ben003,railway,Krantivira Sangolli Rayanna Railway Station,7.37,,False
ben003,bus,Majestic Bus Stand (Kempegowda Bus Station),7.25,,False
ben003,business,Whitefield,17.91,,False
ben003,electronic_city,Electronic City,10.72,,False
ben004,airport,Kempegowda International Airport,28.35,,False
ben004,railway,Krantivira Sangolli Rayanna Railway Station,1.17,,False
ben004,bus,Majestic Bus Stand (Kempegowda Bus Station),0.72,,False
ben004,business,Whitefield,18.57,,False
ben004,electronic_city,Electronic City,17.04,,False
ben005,airport,Kempegowda International Airport,26.78,,False
ben005,railway,Krantivira Sangolli Rayanna Railway Station,5.48,,False
ben005,bus,Majestic Bus Stand (Kempegowda Bus Station),5.02,,False
ben005,business,Whitefield,14.25,,False
ben005,electronic_city,Electronic City,14.98,,False
ben006,airport,Kempegowda International Airport,28.46,,False
ben006,railway,Krantivira Sangolli Rayanna Railway Station,3.05,,False
ben006,bus,Majestic Bus Stand (Kempegowda Bus Station),2.64,,False
ben006,business,Whitefield,16.91,,False
ben006,electronic_city,Electronic City,15.37,,False
ben007,airport,Kempegowda International Airport,27.52,,False
ben007,railway,Krantivira Sangolli Rayanna Railway Station,4.42,,False
ben007,bus,Majestic Bus Stand (Kempegowda Bus Station),3.97,,False
ben007,business,Whitefield,15.37,,False
ben007,electronic_city,Electronic City,15.04,,False
ben008,airport,Kempegowda International Airport,28.28,,False
ben008,railway,Krantivira Sangolli Rayanna Railway Station,1.05,,False
ben008,bus,Majestic Bus Stand (Kempegowda Bus Station),0.59,,False
ben008,business,Whitefield,18.68,,False
ben008,electronic_city,Electronic City,17.21,,False
ben009,airport,Kempegowda International Airport,29.02,,False
ben009,railway,Krantivira Sangolli Rayanna Railway Station,3.48,,False
ben009,bus,Majestic Bus Stand (Kempegowda Bus Station),3.12,,False
ben009,business,Whitefield,16.8,,False
ben009,electronic_city,Electronic City,14.71,,False
ben010,airport,Kempegowda International Airport,27.32,,False
ben010,railway,Krantivira Sangolli Rayanna Railway Station,4.45,,False
ben010,bus,Majestic Bus Stand (Kempegowda Bus Station),4.0,,False
ben010,business,Whitefield,15.31,,False
ben010,electronic_city,Electronic City,15.19,,False
ben011,airport,Kempegowda International Airport,27.38,,False
ben011,railway,Krantivira Sangolli Rayanna Railway Station,3.4,,False
ben011,bus,Majestic Bus Stand (Kempegowda Bus Station),2.94,,False
ben011,business,Whitefield,16.34,,False
ben011,electronic_city,Electronic City,15.94,,False
ben012,airport,Kempegowda International Airport,26.62,,False
ben012,railway,Krantivira Sangolli Rayanna Railway Station,3.97,,False
ben012,bus,Majestic Bus Stand (Kempegowda Bus Station),3.5,,False
ben012,business,Whitefield,15.8,,False
ben012,electronic_city,Electronic City,16.24,,False
ben013,airport,Kempegowda International Airport,27.55,,False
ben013,railway,Krantivira Sangolli Rayanna Railway Station,1.34,,False
ben013,bus,Majestic Bus Stand (Kempegowda Bus Station),0.96,,False
ben013,business,Whitefield,18.66,,False
ben013,electronic_city,Electronic City,17.87,,False
ben014,airport,Kempegowda International Airport,29.27,,False
ben014,railway,Krantivira Sangolli Rayanna Railway Station,2.96,,False
ben014,bus,Majestic Bus Stand (Kempegowda Bus Station),2.64,,False
ben014,business,Whitefield,17.42,,False
ben014,electronic_city,Electronic City,15.03,,False
ben015,airport,Kempegowda International Airport,28.31,,False
ben015,railway,Krantivira Sangolli Rayanna Railway Station,0.96,,False
ben015,bus,Majestic Bus Stand (Kempegowda Bus Station),0.5,,False
ben015,business,Whitefield,18.77,,False
ben015,electronic_city,Electronic City,17.27,,False
ben016,airport,Kempegowda International Airport,27.78,,False
ben016,railway,Krantivira Sangolli Rayanna Railway Station,3.63,,False
ben016,bus,Majestic Bus Stand (Kempegowda Bus Station),3.19,,False
ben016,business,Whitefield,16.16,,False
ben016,electronic_city,Electronic City,15.41,,False
ben017,airport,Kempegowda International Airport,27.23,,False
ben017,railway,Krantivira Sangolli Rayanna Railway Station,8.93,,False
ben017,bus,Majestic Bus Stand (Kempegowda Bus Station),8.49,,False
ben017,business,Whitefield,11.04,,False
ben017,electronic_city,Electronic City,12.87,,False
ben018,airport,Kempegowda International Airport,28.04,,False
ben018,railway,Krantivira Sangolli Rayanna Railway Station,1.21,,False
ben018,bus,Majestic Bus Stand (Kempegowda Bus Station),0.74,,False
ben018,business,Whitefield,18.54,,False
ben018,electronic_city,Electronic City,17.3,,False
ben019,airport,Kempegowda International Airport,28.73,,False
ben019,railway,Krantivira Sangolli Rayanna Railway Station,0.96,,False
ben019,bus,Majestic Bus Stand (Kempegowda Bus Station),0.64,,False
ben019,business,Whitefield,18.87,,False
ben019,electronic_city,Electronic City,16.98,,False
ben020,airport,Kempegowda International Airport,26.74,,False
ben020,railway,Krantivira Sangolli Rayanna Railway Station,6.33,,False
ben020,bus,Majestic Bus Stand (Kempegowda Bus Station),5.87,,False
ben020,business,Whitefield,13.43,,False
ben020,electronic_city,Electronic City,14.5,,False
ben021,airport,Kempegowda International Airport,20.15,,False
ben021,railway,Krantivira Sangolli Rayanna Railway Station,8.63,,False
ben021,bus,Majestic Bus Stand (Kempegowda Bus Station),8.33,,False
ben021,business,Whitefield,16.85,,False
ben021,electronic_city,Electronic City,22.47,,False
ben022,airport,Kempegowda International Airport,32.03,,False
ben022,railway,Krantivira Sangolli Rayanna Railway Station,3.77,,False
ben022,bus,Majestic Bus Stand (Kempegowda Bus Station),3.84,,False
ben022,business,Whitefield,19.92,,False
ben022,electronic_city,Electronic City,14.86,,False
ben023,airport,Kempegowda International Airport,28.3,,False
ben023,railway,Krantivira Sangolli Rayanna Railway Station,1.25,,False
ben023,bus,Majestic Bus Stand (Kempegowda Bus Station),0.8,,False
ben023,business,Whitefield,18.49,,False
ben023,electronic_city,Electronic City,17.0,,False
ben024,airport,Kempegowda International Airport,26.23,,False
ben024,railway,Krantivira Sangolli Rayanna Railway Station,2.64,,False
ben024,bus,Majestic Bus Stand (Kempegowda Bus Station),2.29,,False
ben024,business,Whitefield,17.98,,False
ben024,electronic_city,Electronic City,18.41,,False
ben025,airport,Kempegowda International Airport,27.88,,False
ben025,railway,Krantivira Sangolli Rayanna Railway Station,2.79,,False
ben025,bus,Majestic Bus Stand (Kempegowda Bus Station),3.07,,False
ben025,business,Whitefield,21.64,,False
ben025,electronic_city,Electronic City,20.62,,False
ben026,airport,Kempegowda International Airport,27.01,,False
ben026,railway,Krantivira Sangolli Rayanna Railway Station,7.76,,False
ben026,bus,Majestic Bus Stand (Kempegowda Bus Station),7.31,,False
ben026,business,Whitefield,12.1,,False
ben026,electronic_city,Electronic City,13.53,,False
ben027,airport,Kempegowda International Airport,25.51,,False
ben027,railway,Krantivira Sangolli Rayanna Railway Station,7.53,,False
ben027,bus,Majestic Bus Stand (Kempegowda Bus Station),7.06,,False
ben027,business,Whitefield,12.23,,False
ben027,electronic_city,Electronic City,15.11,,False
ben028,airport,Kempegowda International Airport,27.49,,False
ben028,railway,Krantivira Sangolli Rayanna Railway Station,1.43,,False
ben028,bus,Majestic Bus Stand (Kempegowda Bus Station),1.03,,False
ben028,business,Whitefield,18.57,,False
ben028,electronic_city,Electronic City,17.83,,False
ben029,airport,Kempegowda International Airport,34.94,,False
ben029,railway,Krantivira Sangolli Rayanna Railway Station,7.52,,False
ben029,bus,Majestic Bus Stand (Kempegowda Bus Station),7.52,,False
ben029,business,Whitefield,19.87,,False
ben029,electronic_city,Electronic City,11.62,,False
ben030,airport,Kempegowda International Airport,28.08,,False
ben030,railway,Krantivira Sangolli Rayanna Railway Station,1.31,,False
ben030,bus,Majestic Bus Stand (Kempegowda Bus Station),0.84,,False
ben030,business,Whitefield,18.43,,False
ben030,electronic_city,Electronic City,17.15,,False
ben031,airport,Kempegowda International Airport,34.73,,False
ben031,railway,Krantivira Sangolli Rayanna Railway Station,8.39,,False
ben031,bus,Majestic Bus Stand (Kempegowda Bus Station),8.3,,False
ben031,business,Whitefield,18.41,,False
ben031,electronic_city,Electronic City,9.98,,False
ben032,airport,Kempegowda International Airport,31.81,,False
ben032,railway,Krantivira Sangolli Rayanna Railway Station,7.83,,False
ben032,bus,Majestic Bus Stand (Kempegowda Bus Station),7.55,,False
ben032,business,Whitefield,15.2,,False
ben032,electronic_city,Electronic City,10.16,,False
ben033,airport,Kempegowda International Airport,27.65,,False
ben033,railway,Krantivira Sangolli Rayanna Railway Station,8.55,,False
ben033,bus,Majestic Bus Stand (Kempegowda Bus Station),8.12,,False
ben033,business,Whitefield,11.55,,False
ben033,electronic_city,Electronic City,12.61,,False
ben034,airport,Kempegowda International Airport,28.31,,False
ben034,railway,Krantivira Sangolli Rayanna Railway Station,3.94,,False
ben034,bus,Majestic Bus Stand (Kempegowda Bus Station),3.53,,False
ben034,business,Whitefield,16.04,,False
ben034,electronic_city,Electronic City,14.77,,False
ben035,airport,Kempegowda International Airport,28.23,,False
ben035,railway,Krantivira Sangolli Rayanna Railway Station,0.79,,False
