hotel_id,place_id,display_name,formatted_address,latitude,longitude,rating,user_rating_count,price_level,business_status,city,place_uri,directions_uri,reviews_uri,photos_uri,write_review_uri,website_uri,phone_number,international_phone,opening_hours,types,editorial_summary,serves_vegetarian_food,serves_breakfast,serves_lunch,serves_dinner,serves_brunch,serves_beer,serves_wine,serves_cocktails,allows_dogs,good_for_children,good_for_groups,good_for_watching_sports,live_music,menu_for_children,outdoor_seating,reservable,delivery,takeout,curbside_pickup,dine_in,restroom,wheelchair_accessible_entrance,wheelchair_accessible_parking,accepts_credit_cards,accepts_debit_cards,accepts_cash_only,parking_free,parking_paid,parking_street,parking_garage,valet_parking,ev_charging_available,fuel_options,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score,hospitals_count_1km,pharmacies_count_1km,banks_count_1km,restaurants_count_1km,shopping_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km
ben001,ChIJnZPrnREWrjsROEt759f8xI8,Holiday Inn Bengaluru Racecourse by IHG,"Ward No.94, 16/1, Seshadri Rd, Gandhi Nagar, Bengaluru, Karnataka 560009, India",12.9799654,77.57847850000002,4.5,12915,,OPERATIONAL,Bengaluru,https://maps.google.com/?cid=10359683047090768696&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bae16119deb939d:0x8fc4fcd7e77b4b38!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bae16119deb939d:0x8fc4fcd7e77b4b38!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae16119deb939d:0x8fc4fcd7e77b4b38!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae16119deb939d:0x8fc4fcd7e77b4b38!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.ihg.com/holidayinn/hotels/us/en/bangalore/blrex/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-IN-_-BLREX,080 4620 5900,+91 80 4620 5900,,"[""hotel"", ""lodging"", ""event_venue"", ""point_of_interest"", ""establishment""]","Cosy rooms in a functional lodging offering complimentary breakfast & Wi-Fi, plus a gym & a pool.",,,,,,,,,,True,,,,,,,,,,,,True,True,True,,False,,,,,,False,,84,37,100,100,0,100,100,100,100,9,8,47,77,3,0,9,5,17,238
ben002,ChIJp57-PhQWrjsRr4Ya5WZRjb8,Goldfinch Hotel Bengaluru,"32/3, Crescent Rd, off Race Course Road, High Grounds, Gandhi Nagar, Bengaluru, Karnataka 560001, India",12.985376899999999,77.5794755,4.1,12714,,OPERATIONAL,Bengaluru,https://maps.google.com/?cid=13802777935332673199&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bae16143efe9ea7:0xbf8d5166e51a86af!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bae16143efe9ea7:0xbf8d5166e51a86af!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae16143efe9ea7:0xbf8d5166e51a86af!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae16143efe9ea7:0xbf8d5166e51a86af!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.goldfinchhotels.com/goldfinch-bengaluru/,080 4129 1300,+91 80 4129 1300,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Upscale hotel with free breakfast & relaxed restaurants, as well as a spa & event space.",True,,,,,,,,,True,,,False,False,,True,True,True,,True,,False,True,,True,False,,,,,,False,,84,37,100,100,0,100,100,100,100,10,9,27,72,3,0,10,4,14,234
ben003,ChIJRcmm1ggVrjsRPNUd8Y5YvyE,Hotel Paramos Inn,"1353, Marenahalli Rd, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041, India",12.916703,77.593904,4.4,497,,OPERATIONAL,Bengaluru,https://maps.google.com/?cid=2431759694757221692&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bae1508d6a6c945:0x21bf588ef11dd53c!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bae1508d6a6c945:0x21bf588ef11dd53c!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae1508d6a6c945:0x21bf588ef11dd53c!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae1508d6a6c945:0x21bf588ef11dd53c!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.paramos.in/,080 4166 0005,+91 80 4166 0005,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Informal hotel featuring warmly decorated rooms with flat-screen TVs, plus a restaurant.",,,,,,,,,,True,,,,,,,,,,,,,,,True,True,,,,,,False,,100,100,100,100,20,100,100,100,100,22,12,48,87,9,1,6,3,9,99
ben004,ChIJiXfgDA4WrjsRao4j9Db3W7E,GRAND KALINGA HOTEL,"19 & 20, 3rd Main Rd, Gandhi Nagar, Bengaluru, Karnataka 560009, India",12.976225900000001,77.5786043,4.2,1329,,OPERATIONAL,Bengaluru,https://maps.google.com/?cid=12780080182990179946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bae160e0ce07789:0xb15bf736f4238e6a!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bae160e0ce07789:0xb15bf736f4238e6a!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae160e0ce07789:0xb15bf736f4238e6a!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae160e0ce07789:0xb15bf736f4238e6a!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,082170 63585,+91 82170 63585,,"[""hotel"", ""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Unpretentious hotel offering an open-air restaurant & a trendy rooftop bar, plus breakfast.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,82,50,100,100,0,100,75,100,100,9,6,54,72,4,0,11,6,18,225
ben005,ChIJGdo6XIMWrjsR27K3QpD1ZXA,"The Oberoi, Bengaluru","37-39, Mahatma Gandhi Rd, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560001, India",12.9736048,77.6184025,4.7,9736,,OPERATIONAL,Bengaluru,https://maps.google.com/?cid=8099149504839135963&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bae16835c3ada19:0x7065f59042b7b2db!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bae16835c3ada19:0x7065f59042b7b2db!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae16835c3ada19:0x7065f59042b7b2db!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae16835c3ada19:0x7065f59042b7b2db!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.oberoihotels.com/hotels-in-bengaluru/?utm_source=GMBlisting&utm_medium=organic,080 2558 5858,+91 80 2558 5858,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""thai_restaurant"", ""cafe"", ""spa"", ""lodging"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Grand hotel with private balconies & 24-hour butler service, plus 3 restaurants & a spa.",,,,,,,,,,True,,,,,,,,,,,,True,True,,True,False,,,,,,False,,81,75,100,100,0,100,37,100,100,8,3,50,67,6,0,1,12,13,105
ben006,ChIJPwAdcyQXrjsRMC1CufxnUuw,ibis Bengaluru City Centre,"Plot No - 30, Raja Ram Mohan Roy Rd, off Richmond Road, Sampangi Rama Nagara, Bengaluru, Karnataka 560027, India",12.967381999999999,77.593907,4.3,8924,,OPERATIONAL,Bengaluru,https://maps.google.com/?cid=17028787476178808112&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bae1724731d003f:0xec5267fcb9422d30!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bae1724731d003f:0xec5267fcb9422d30!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae1724731d003f:0xec5267fcb9422d30!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae1724731d003f:0xec5267fcb9422d30!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6454&merchantid=seo-maps-IN-6454&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,080 4254 8000,+91 80 4254 8000,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Informal budget hotel featuring a restaurant & a rooftop bar, plus breakfast & a 24/7 gym",,False,,,,,,,,True,,,,,,,True,True,True,True,,True,True,,,,,,True,,,False,,84,37,100,100,0,100,100,100,100,23,11,57,116,3,0,7,7,15,160
ben007,ChIJpaudY4AWrjsRwaJ2qkt7m7k,The Grand Magrath Hotel,"The Grand Magrath Hotel, 30, Magrath Rd, Ashok Nagar, Bengaluru, Karnataka 560025, India",12.9705151,77.608066,4.2,5897,,OPERATIONAL,Bengaluru,https://maps.google.com/?cid=13374419083319485121&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bae1680639daba5:0xb99b7b4baa76a2c1!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bae1680639daba5:0xb99b7b4baa76a2c1!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae1680639daba5:0xb99b7b4baa76a2c1!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae1680639daba5:0xb99b7b4baa76a2c1!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,http://www.thegrandmagrath.com/,080 4021 5555,+91 80 4021 5555,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""banquet_hall"", ""wedding_venue"", ""lodging"", ""event_venue"", ""point_of_interest"", ""establishment""]",Refined hotel in a Colonial-style building featuring a pool & a restaurant set on the rooftop.,,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,100,100,100,100,20,100,100,100,100,9,9,80,269,18,1,2,7,12,134
ben008,ChIJ8VvWKl0XrjsR2_k_u_Wwa0U,FabHotel Royale Basant Residency,"3, 4th Main Rd, opp. Jain Temple, Gandhi Nagar, Bengaluru, Karnataka 560009, India",12.977431,77.577646,3.8,182,,OPERATIONAL,Bengaluru,https://maps.google.com/?cid=5002286380580075995&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bae175d2ad65bf1:0x456bb0f5bb3ff9db!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bae175d2ad65bf1:0x456bb0f5bb3ff9db!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae175d2ad65bf1:0x456bb0f5bb3ff9db!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae175d2ad65bf1:0x456bb0f5bb3ff9db!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.fabhotels.com/hotels-in-bangalore/fabhotel-royale-basant-residency.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic,070424 24242,+91 70424 24242,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,False,,82,50,100,100,0,100,75,100,100,10,6,51,78,4,0,11,6,18,233
ben009,ChIJKwNz0lkVrjsRAhYoI8QHJe4,LANGFORD KEYS By TGI,"35/2, Langford Rd Cross, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka 560025, India",12.9613176,77.5951343,4.4,724,,OPERATIONAL,Bengaluru,https://maps.google.com/?cid=17160130494149957122&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bae1559d273032b:0xee2507c423281602!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bae1559d273032b:0xee2507c423281602!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae1559d273032b:0xee2507c423281602!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae1559d273032b:0xee2507c423281602!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.tgihotels.com/langford-keys-shanti-nagar-bangalore/,080 4175 0238,+91 80 4175 0238,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",Streamlined rooms with Wi-Fi in a laid-back hotel featuring a restaurant & a fitness centre.,,,,,,,,,,True,,,,,,,,,,,,True,,,,False,,,,,,False,,96,87,100,100,0,100,100,100,100,24,12,43,67,7,0,10,7,14,139
ben010,ChIJs0LbooAWrjsReeRA5nHypkw,"Vivanta Bengaluru, Residency Road","66, Residency Rd, Srinivas Nagar, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India",12.9722428,77.6086284,4.4,6912,,OPERATIONAL,Bengaluru,https://maps.google.com/?cid=5523368564024730745&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bae1680a2db42b3:0x4ca6f271e640e479!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bae1680a2db42b3:0x4ca6f271e640e479!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae1680a2db42b3:0x4ca6f271e640e479!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bae1680a2db42b3:0x4ca6f271e640e479!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.vivantahotels.com/en-in/hotels/vivanta-bengaluru-residency-road?utm_source=google&utm_medium=local&utm_campaign=vivanta-bengaluru-residency-road&utm_content=vivanta-bengaluru-residency-road-gmb,080666 04545,+91 80666 04545,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Warm, understated rooms & suites, plus multiple dining options, an outdoor pool & a spa.",,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,False,,,,,,False,,97,100,100,100,20,100,87,100,100,8,7,84,269,15,1,2,7,13,127
