hotel_id,city,display_name,latitude,longitude,formatted_address,hospitals_count_1km,pharmacies_count_1km,shopping_count_1km,restaurants_count_1km,banks_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score
ben001,Bengaluru,Holiday Inn Bengaluru Racecourse by IHG,12.9799654,77.57847850000002,"Ward No.94, 16/1, Seshadri Rd, Gandhi Nagar, Bengaluru, Karnataka 560009, India",9,8,3,77,47,0,9,5,17,238,84,37,100,100,0,100,100,100,100
ben002,Bengaluru,Goldfinch Hotel Bengaluru,12.985376899999999,77.5794755,"32/3, Crescent Rd, off Race Course Road, High Grounds, Gandhi Nagar, Bengaluru, Karnataka 560001, India",10,9,3,72,27,0,10,4,14,234,84,37,100,100,0,100,100,100,100
ben003,Bengaluru,Hotel Paramos Inn,12.916703,77.593904,"1353, Marenahalli Rd, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041, India",22,12,9,87,48,1,6,3,9,99,100,100,100,100,20,100,100,100,100
ben004,Bengaluru,GRAND KALINGA HOTEL,12.976225900000001,77.5786043,"19 & 20, 3rd Main Rd, Gandhi Nagar, Bengaluru, Karnataka 560009, India",9,6,4,72,54,0,11,6,18,225,82,50,100,100,0,100,75,100,100
ben005,Bengaluru,"The Oberoi, Bengaluru",12.9736048,77.6184025,"37-39, Mahatma Gandhi Rd, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560001, India",8,3,6,67,50,0,1,12,13,105,81,75,100,100,0,100,37,100,100
ben006,Bengaluru,ibis Bengaluru City Centre,12.967381999999999,77.593907,"Plot No - 30, Raja Ram Mohan Roy Rd, off Richmond Road, Sampangi Rama Nagara, Bengaluru, Karnataka 560027, India",23,11,3,116,57,0,7,7,15,160,84,37,100,100,0,100,100,100,100
ben007,Bengaluru,The Grand Magrath Hotel,12.9705151,77.608066,"The Grand Magrath Hotel, 30, Magrath Rd, Ashok Nagar, Bengaluru, Karnataka 560025, India",9,9,18,269,80,1,2,7,12,134,100,100,100,100,20,100,100,100,100
ben008,Bengaluru,FabHotel Royale Basant Residency,12.977431,77.577646,"3, 4th Main Rd, opp. Jain Temple, Gandhi Nagar, Bengaluru, Karnataka 560009, India",10,6,4,78,51,0,11,6,18,233,82,50,100,100,0,100,75,100,100
ben009,Bengaluru,LANGFORD KEYS By TGI,12.9613176,77.5951343,"35/2, Langford Rd Cross, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka 560025, India",24,12,7,67,43,0,10,7,14,139,96,87,100,100,0,100,100,100,100
ben010,Bengaluru,"Vivanta Bengaluru, Residency Road",12.9722428,77.6086284,"66, Residency Rd, Srinivas Nagar, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India",8,7,15,269,84,1,2,7,13,127,97,100,100,100,20,100,87,100,100
ben011,Bengaluru,The Chancery Hotel,12.975633,77.5992626,"10/6, Lavelle Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",7,16,10,252,76,2,5,8,19,143,100,100,100,100,40,100,100,100,100
ben012,Bengaluru,Open Hotel by Olive - The Infantry Hotel,12.9807654,77.6045479,"66, Infantry Rd, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001, India",13,11,12,213,75,2,3,8,16,147,100,100,100,100,40,100,100,100,100
ben013,Bengaluru,"Vividus Hotels , Bangalore",12.9846679,77.578344,"#3, Kumarakrupa Rd, Madhava Nagar, Gandhi Nagar, Bengaluru, Karnataka 560001, India",10,11,3,72,31,0,10,4,13,232,84,37,100,100,0,100,100,100,100
ben014,Bengaluru,"Treebo Apple Villa, Bangalore",12.961428699999999,77.5893619,"Left Wing, Apple Villa, No. 16, Lal Bagh Main Rd, behind SP Complex, Srinivas Colony, Sudhama Nagar, Bengaluru, Karnataka 560027, India",23,7,0,58,47,0,13,8,14,142,72,0,100,100,0,100,87,100,100
ben015,Bengaluru,Arafa Inn,12.977621099999999,77.5768501,"23, 5th Main Road, 3rd Cross Rd, behind Chicken County Restaurant, Gandhi Nagar, Bengaluru, Karnataka 560009, India",10,6,4,77,51,0,11,6,17,233,82,50,100,100,0,100,75,100,100
ben016,Bengaluru,Nahar Heritage Hotel,12.9710454,77.6007245,"14, St Mark's Rd, opposite Bishop Cotton Girls School, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",11,15,12,287,64,2,6,8,15,142,100,100,100,100,40,100,100,100,100
ben017,Bengaluru,The Leela Palace Bengaluru - Garden City's Only Modern Palace Hotel,12.9603365,77.6484361,"23, HAL Old Airport Rd, HAL 2nd Stage, Kodihalli, Bengaluru, Karnataka 560008, India",20,20,11,113,34,2,1,5,3,48,100,100,100,100,40,100,100,60,100
ben018,Bengaluru,MySpace Silverstar Hotel,12.979153,77.579093,"126, 6th Cross Rd, near Freedom Park, Opposite Vajreshwari Combines, Gandhi Nagar, Bengaluru, Karnataka 560009, India",10,7,3,76,43,0,10,5,17,236,81,37,100,100,0,100,87,100,100
ben019,Bengaluru,Hotel Swagath,12.973812599999999,77.57579799999999,"75 Hospital Road, Balepete Main Rd, near Upparpet Police Station, Balepete, Chickpet, Bengaluru, Karnataka 560053, India",10,8,4,71,52,0,12,5,16,215,87,50,100,100,0,100,100,100,100
ben020,Bengaluru,Trinity Suites,12.9712518,77.6260029,"1/3, Artillery Rd, Halasuru, Cambridge Layout, Bengaluru, Karnataka 560008, India",18,9,4,47,32,0,1,8,8,98,87,50,100,100,0,100,100,100,100
ben021,Bengaluru,"Country Inn & Suites by Radisson, Bengaluru Hebbal Road",13.0419462,77.6130838,"Plot No 514, Outer Ring Rd, opp. Lumbini Garden, Kanaka Nagar, Veerannapalya, Nagavara, Bengaluru, Karnataka 560045, India",1,1,0,25,4,1,7,1,3,36,32,0,100,40,20,20,12,60,100
ben022,Bengaluru,Treebo Akshaya Bull Temple,12.9441156,77.5679755,"47, 1, Bull Temple Rd, Sunkenahalli, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004, India",41,4,6,66,39,0,18,2,6,87,83,75,100,100,0,100,50,100,100
