hotel_id,landmark_type,landmark_name,distance_km,travel_time_minutes,traffic_aware
che001,airport,Chennai International Airport,5.69,,False
che001,railway,Chennai Central Railway Station,9.99,,False
che001,bus,CMBT Bus Stand,6.94,,False
che001,business,Guindy Industrial Estate,0.87,,False
che001,marina_beach,Marina Beach,7.96,,False
che002,airport,Chennai International Airport,11.42,,False
che002,railway,Chennai Central Railway Station,7.3,,False
che002,bus,CMBT Bus Stand,8.73,,False
che002,business,Guindy Industrial Estate,6.65,,False
che002,marina_beach,Marina Beach,3.72,,False
che003,airport,Chennai International Airport,12.9,,False
che003,railway,Chennai Central Railway Station,2.29,,False
che003,bus,CMBT Bus Stand,4.23,,False
che003,business,Guindy Industrial Estate,8.6,,False
che003,marina_beach,Marina Beach,4.05,,False
che004,airport,Chennai International Airport,6.13,,False
che004,railway,Chennai Central Railway Station,9.69,,False
che004,bus,CMBT Bus Stand,6.92,,False
che004,business,Guindy Industrial Estate,1.31,,False
che004,marina_beach,Marina Beach,7.56,,False
che005,airport,Chennai International Airport,1.66,,False
che005,railway,Chennai Central Railway Station,13.82,,False
che005,bus,CMBT Bus Stand,9.38,,False
che005,business,Guindy Industrial Estate,3.39,,False
che005,marina_beach,Marina Beach,12.1,,False
che006,airport,Chennai International Airport,12.26,,False
che006,railway,Chennai Central Railway Station,2.77,,False
che006,bus,CMBT Bus Stand,4.24,,False
che006,business,Guindy Industrial Estate,7.84,,False
che006,marina_beach,Marina Beach,3.5,,False
che007,airport,Chennai International Airport,11.65,,False
che007,railway,Chennai Central Railway Station,3.5,,False
che007,bus,CMBT Bus Stand,4.63,,False
che007,business,Guindy Industrial Estate,7.06,,False
che007,marina_beach,Marina Beach,2.92,,False
che008,airport,Chennai International Airport,9.53,,False
che008,railway,Chennai Central Railway Station,5.78,,False
che008,bus,CMBT Bus Stand,4.75,,False
che008,business,Guindy Industrial Estate,4.83,,False
che008,marina_beach,Marina Beach,4.17,,False
che009,airport,Chennai International Airport,1.81,,False
che009,railway,Chennai Central Railway Station,13.71,,False
che009,bus,CMBT Bus Stand,9.31,,False
che009,business,Guindy Industrial Estate,3.26,,False
che009,marina_beach,Marina Beach,11.97,,False
che010,airport,Chennai International Airport,4.31,,False
che010,railway,Chennai Central Railway Station,11.1,,False
che010,bus,CMBT Bus Stand,7.32,,False
che010,business,Guindy Industrial Estate,0.58,,False
che010,marina_beach,Marina Beach,9.29,,False
che011,airport,Chennai International Airport,10.84,,False
che011,railway,Chennai Central Railway Station,4.26,,False
che011,bus,CMBT Bus Stand,4.2,,False
che011,business,Guindy Industrial Estate,6.28,,False
che011,marina_beach,Marina Beach,3.51,,False
che012,airport,Chennai International Airport,10.03,,False
che012,railway,Chennai Central Railway Station,5.29,,False
che012,bus,CMBT Bus Stand,4.77,,False
che012,business,Guindy Industrial Estate,5.33,,False
che012,marina_beach,Marina Beach,3.72,,False
che013,airport,Chennai International Airport,4.46,,False
che013,railway,Chennai Central Railway Station,10.62,,False
che013,bus,CMBT Bus Stand,6.39,,False
che013,business,Guindy Industrial Estate,1.07,,False
che013,marina_beach,Marina Beach,9.15,,False
che014,airport,Chennai International Airport,9.03,,False
che014,railway,Chennai Central Railway Station,11.65,,False
che014,bus,CMBT Bus Stand,11.01,,False
che014,business,Guindy Industrial Estate,5.51,,False
che014,marina_beach,Marina Beach,8.32,,False
che015,airport,Chennai International Airport,10.79,,False
che015,railway,Chennai Central Railway Station,4.25,,False
che015,bus,CMBT Bus Stand,3.36,,False
che015,business,Guindy Industrial Estate,6.44,,False
che015,marina_beach,Marina Beach,4.23,,False
che016,airport,Chennai International Airport,12.46,,False
che016,railway,Chennai Central Railway Station,2.67,,False
che016,bus,CMBT Bus Stand,4.96,,False
che016,business,Guindy Industrial Estate,7.89,,False
che016,marina_beach,Marina Beach,2.71,,False
che017,airport,Chennai International Airport,19.23,,False
che017,railway,Chennai Central Railway Station,28.38,,False
che017,bus,CMBT Bus Stand,26.91,,False
che017,business,Guindy Industrial Estate,20.03,,False
che017,marina_beach,Marina Beach,24.9,,False
che018,airport,Chennai International Airport,16.91,,False
che018,railway,Chennai Central Railway Station,26.22,,False
che018,bus,CMBT Bus Stand,24.6,,False
che018,business,Guindy Industrial Estate,17.7,,False
che018,marina_beach,Marina Beach,22.79,,False
che019,airport,Chennai International Airport,8.08,,False
che019,railway,Chennai Central Railway Station,6.97,,False
che019,bus,CMBT Bus Stand,3.97,,False
che019,business,Guindy Industrial Estate,3.68,,False
che019,marina_beach,Marina Beach,5.86,,False
che020,airport,Chennai International Airport,9.68,,False
che020,railway,Chennai Central Railway Station,5.42,,False
che020,bus,CMBT Bus Stand,4.07,,False
che020,business,Guindy Industrial Estate,5.12,,False
che020,marina_beach,Marina Beach,4.33,,False
che021,airport,Chennai International Airport,12.54,,False
che021,railway,Chennai Central Railway Station,2.69,,False
che021,bus,CMBT Bus Stand,5.2,,False
che021,business,Guindy Industrial Estate,7.93,,False
che021,marina_beach,Marina Beach,2.45,,False
che022,airport,Chennai International Airport,9.06,,False
che022,railway,Chennai Central Railway Station,6.42,,False
che022,bus,CMBT Bus Stand,5.22,,False
che022,business,Guindy Industrial Estate,4.28,,False
che022,marina_beach,Marina Beach,4.51,,False
che023,airport,Chennai International Airport,11.01,,False
che023,railway,Chennai Central Railway Station,4.03,,False
che023,bus,CMBT Bus Stand,3.74,,False
che023,business,Guindy Industrial Estate,6.57,,False
che023,marina_beach,Marina Beach,3.84,,False
che024,airport,Chennai International Airport,13.94,,False
che024,railway,Chennai Central Railway Station,2.12,,False
che024,bus,CMBT Bus Stand,6.68,,False
che024,business,Guindy Industrial Estate,9.23,,False
che024,marina_beach,Marina Beach,1.67,,False
che025,airport,Chennai International Airport,11.73,,False
che025,railway,Chennai Central Railway Station,20.37,,False
che025,bus,CMBT Bus Stand,18.69,,False
che025,business,Guindy Industrial Estate,11.84,,False
che025,marina_beach,Marina Beach,17.03,,False
che026,airport,Chennai International Airport,5.98,,False
che026,railway,Chennai Central Railway Station,9.8,,False
che026,bus,CMBT Bus Stand,6.94,,False
che026,business,Guindy Industrial Estate,1.16,,False
che026,marina_beach,Marina Beach,7.71,,False
che027,airport,Chennai International Airport,12.7,,False
che027,railway,Chennai Central Railway Station,2.91,,False
che027,bus,CMBT Bus Stand,3.54,,False
che027,business,Guindy Industrial Estate,8.6,,False
che027,marina_beach,Marina Beach,4.9,,False
che028,airport,Chennai International Airport,8.6,,False
che028,railway,Chennai Central Railway Station,6.43,,False
che028,bus,CMBT Bus Stand,3.43,,False
che028,business,Guindy Industrial Estate,4.31,,False
