hotel_id,place_id,display_name,formatted_address,latitude,longitude,rating,user_rating_count,price_level,business_status,city,place_uri,directions_uri,reviews_uri,photos_uri,write_review_uri,website_uri,phone_number,international_phone,opening_hours,types,editorial_summary,serves_vegetarian_food,serves_breakfast,serves_lunch,serves_dinner,serves_brunch,serves_beer,serves_wine,serves_cocktails,allows_dogs,good_for_children,good_for_groups,good_for_watching_sports,live_music,menu_for_children,outdoor_seating,reservable,delivery,takeout,curbside_pickup,dine_in,restroom,wheelchair_accessible_entrance,wheelchair_accessible_parking,accepts_credit_cards,accepts_debit_cards,accepts_cash_only,parking_free,parking_paid,parking_street,parking_garage,valet_parking,ev_charging_available,fuel_options,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score,hospitals_count_1km,pharmacies_count_1km,banks_count_1km,restaurants_count_1km,shopping_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km
che001,ChIJ4Uu1W21nUjoRQ2axHcnJyfI,"ITC Grand Chola, a Luxury Collection Hotel, Chennai","63, Mount Rd, Little Mount, Guindy, Chennai, Tamil Nadu 600032, India",13.010613,80.2206015,4.7,41887,PRICE_LEVEL_VERY_EXPENSIVE,OPERATIONAL,Chennai,https://maps.google.com/?cid=17494736093121177155&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a52676d5bb54be1:0xf2c9c9c91db16643!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a52676d5bb54be1:0xf2c9c9c91db16643!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a52676d5bb54be1:0xf2c9c9c91db16643!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a52676d5bb54be1:0xf2c9c9c91db16643!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.marriott.com/en-us/hotels/maalc-itc-grand-chola-a-luxury-collection-hotel-chennai/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,044 2220 0000,+91 44 2220 0000,,"[""hotel"", ""wedding_venue"", ""event_venue"", ""lodging"", ""point_of_interest"", ""establishment""]","Palatial choice offering elegant rooms & luxe suites with multiple dining options, plus shopping.",,,,,,,,,,True,,,,,,True,False,,,,,True,True,,True,False,True,,,,True,False,,22,25,32,10,20,40,0,60,100,2,0,1,8,2,1,12,0,3,48
che002,ChIJj-bP-95nUjoRj2WldDKRWGY,The Leela Palace Chennai - Seaside Modern Palace Hotel,"Adyar Sea Face, Leela Palace Rd, MRC Nagar, Raja Annamalai Puram, Chennai, Tamil Nadu 600028, India",13.017048,80.2736566,4.6,15454,,OPERATIONAL,Chennai,https://maps.google.com/?cid=7374804035710576015&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a5267defbcfe68f:0x6658913274a5658f!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a5267defbcfe68f:0x6658913274a5658f!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a5267defbcfe68f:0x6658913274a5658f!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a5267defbcfe68f:0x6658913274a5658f!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.theleela.com/the-leela-palace-chennai/?utm_source=GMBlisting&utm_medium=organic,044 6665 1234,+91 44 6665 1234,,"[""hotel"", ""extended_stay_hotel"", ""resort_hotel"", ""wedding_venue"", ""massage"", ""spa"", ""event_venue"", ""lodging"", ""point_of_interest"", ""establishment""]","Upscale lodging with refined dining & ocean views, plus a spa, a gym & an outdoor pool.",,,,,,,,,,True,,,,,,,,,,,,True,True,,True,False,,,,,,False,,17,12,12,0,0,60,0,100,100,3,0,0,3,1,0,3,0,5,32
che003,ChIJ_1NKffJnUjoR2_RDx0hAGDQ,The Madras Grand - Hotel Egmore,"1, Chinna St, Egmore, Chennai, Tamil Nadu 600008, India",13.075251,80.25602479999999,4.5,1274,,OPERATIONAL,Chennai,https://maps.google.com/?cid=3753820970738250971&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a5267f27d4a53ff:0x34184048c743f4db!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a5267f27d4a53ff:0x34184048c743f4db!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a5267f27d4a53ff:0x34184048c743f4db!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a5267f27d4a53ff:0x34184048c743f4db!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,http://themadrasgrand.com/,093848 81777,+91 93848 81777,,"[""hotel"", ""inn"", ""extended_stay_hotel"", ""bed_and_breakfast"", ""lodging"", ""point_of_interest"", ""establishment""]","Understated rooms in a polished hotel featuring a restaurant & a gym, plus breakfast.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,61,25,100,100,0,100,0,100,100,34,0,20,28,2,0,19,1,10,89
che004,ChIJPwzVz3JnUjoRenVEA9W6Kss,"Lemon Tree Hotel, Chennai","72, Sardar Patel Rd, Venkta Puram, Guindy, Chennai, Tamil Nadu 600032, India",13.0111566,80.2246885,3.9,5501,PRICE_LEVEL_INEXPENSIVE,OPERATIONAL,Chennai,https://maps.google.com/?cid=14639718962766837114&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a526772cfd50c3f:0xcb2abad50344757a!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a526772cfd50c3f:0xcb2abad50344757a!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a526772cfd50c3f:0xcb2abad50344757a!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a526772cfd50c3f:0xcb2abad50344757a!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://lemontreehotels.com/lemon-tree-hotel/chennai/hotels-in-chennai?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,044 4423 2323,+91 44 4423 2323,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""banquet_hall"", ""inn"", ""bed_and_breakfast"", ""resort_hotel"", ""motel"", ""event_venue"", ""lodging"", ""point_of_interest"", ""establishment""]","Informal lodging with a restaurant & a bar with a billiards table, plus a gym.",,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,False,,,,,,False,,32,25,32,20,40,60,25,40,100,3,2,2,8,2,2,11,0,2,41
che005,ChIJpcUI-RdeUjoRRfKPvaNO8O4,"Trident, Chennai","1, 24, Grand Southern Trunk Rd, Kannan Colony, Meenambakkam, Chennai, Tamil Nadu 600027, India",12.9940827,80.1861962,4.5,7469,,OPERATIONAL,Chennai,https://maps.google.com/?cid=17217347840604369477&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a525e17f908c5a5:0xeef04ea3bd8ff245!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a525e17f908c5a5:0xeef04ea3bd8ff245!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a525e17f908c5a5:0xeef04ea3bd8ff245!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a525e17f908c5a5:0xeef04ea3bd8ff245!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.tridenthotels.com/hotels-in-chennai?utm_source=GMBlisting&utm_medium=organic,044 2234 4747,+91 44 2234 4747,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Casual rooms & suites in an upscale property offering a garden, 2 restaurants & a spa.",,,,,,,,,,True,True,,,,,,,True,,,,True,True,,True,,,,,,,False,,35,0,24,100,20,40,37,20,100,2,3,12,6,0,1,6,0,1,38
che006,ChIJg7w6CRRmUjoRLXhrkGmescI,"Radisson Blu Hotel, Chennai City Centre","2, .Ethiraj Salai, C-In, C Road, Egmore, Chennai, Tamil Nadu 600008, India",13.0670863,80.25572280000002,4.5,18047,,OPERATIONAL,Chennai,https://maps.google.com/?cid=14029168490467522605&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a526614093abc83:0xc2b19e69906b782d!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a526614093abc83:0xc2b19e69906b782d!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a526614093abc83:0xc2b19e69906b782d!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a526614093abc83:0xc2b19e69906b782d!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.radissonhotels.com/en-us/hotels/radisson-blu-chennai-city-centre?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INTNCHECTR,044 6640 4444,+91 44 6640 4444,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Contemporary hotel featuring free breakfast & Wi-Fi, plus a cigar lounge, an outdoor pool & a spa.",,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,False,,,,,,False,,64,37,100,100,20,100,0,100,100,19,0,24,29,3,1,21,1,12,71
che007,ChIJ89U7NT5mUjoRVHdkkpR0nfw,ibis Chennai City Centre,"690, Anna Salai, Mount Rd, Thousand Lights, Chennai, Tamil Nadu 600006, India",13.0573106,80.2566684,4.5,16410,,OPERATIONAL,Chennai,https://maps.google.com/?cid=18202833450361452372&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a52663e353bd5f3:0xfc9d749492647754!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a52663e353bd5f3:0xfc9d749492647754!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a52663e353bd5f3:0xfc9d749492647754!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a52663e353bd5f3:0xfc9d749492647754!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=8020&merchantid=seo-maps-IN-8020&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,044 7122 5588,+91 44 7122 5588,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",Unfussy rooms in a streamlined hotel featuring a relaxed 24-hour restaurant & a bar.,,,,,,,,,,True,,,,,,,,,,,,True,True,,True,False,,,,,,False,,58,12,100,100,20,100,0,100,100,7,0,11,34,1,1,33,1,16,69
che008,ChIJbW7Oxk1mUjoRFYylSVejkdk,Grand Chennai by GRT Hotels,"120, Sir Thyagaraya Rd, Drivers Colony, T. Nagar, Chennai, Tamil Nadu 600017, India",13.0401407,80.2451383,4.4,16852,,OPERATIONAL,Chennai,https://maps.google.com/?cid=15677491373146475541&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a52664dc6ce6e6d:0xd991a35749a58c15!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a52664dc6ce6e6d:0xd991a35749a58c15!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a52664dc6ce6e6d:0xd991a35749a58c15!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a52664dc6ce6e6d:0xd991a35749a58c15!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.grthotels.com/grand-chennai/,080 6925 0505,+91 80 6925 0505,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""banquet_hall"", ""wine_bar"", ""wedding_venue"", ""buffet_restaurant"", ""bar"", ""spa"", ""event_venue"", ""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Modern quarters in a contemporary hotel with dining options & a bar, plus 2 pools & a spa.",,,,,,,,,,True,,,,,,,,True,,,,True,True,True,True,False,,,,,,False,,86,100,96,100,0,100,37,100,100,23,3,29,24,9,0,31,1,10,55
che009,ChIJbyX3dWlmUjoR71fEKyBekdM,Radisson Blu Hotel & Suites GRT Chennai,"531, Grand Southern Trunk Rd, Parangi Malai, Palavanthangal, Chennai, Tamil Nadu 600016, India",12.994229299999999,80.1875621,4.4,6858,,OPERATIONAL,Chennai,https://maps.google.com/?cid=15245069705892091887&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a52666975f7256f:0xd3915e202bc457ef!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a52666975f7256f:0xd3915e202bc457ef!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a52666975f7256f:0xd3915e202bc457ef!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a52666975f7256f:0xd3915e202bc457ef!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.radissonhotels.com/en-us/hotels/radisson-blu-chennai?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INTNCHE1,080 6221 0101,+91 80 6221 0101,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Chic airport hotel offering restaurants, an outdoor pool & a spa, plus free airport shuttle service.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,False,,,,,,False,,35,0,24,100,20,40,37,20,100,2,3,12,6,0,1,6,0,1,39
che010,ChIJmWoPFkFnUjoRI-GtrMXTAjY,Hablis - A Business Hotel In Chennal,"19, Grand Southern Trunk Rd, Ramapuram, Guindy, Chennai, Tamil Nadu 600032, India",13.0076343,80.2081675,4.2,11739,,OPERATIONAL,Chennai,https://maps.google.com/?cid=3891905873960624419&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a526741160f6a99:0x3602d3c5acade123!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a526741160f6a99:0x3602d3c5acade123!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a526741160f6a99:0x3602d3c5acade123!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a526741160f6a99:0x3602d3c5acade123!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.hablis.com/,044 4023 5555,+91 44 4023 5555,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Laid-back hotel with a rooftop pool, dining & gym, plus free Wi-Fi, breakfast & an airport shuttle.",,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,True,,,,,,False,,34,12,36,30,0,100,0,40,100,7,0,3,9,1,0,10,0,2,56
