hotel_id,city,display_name,latitude,longitude,formatted_address,hospitals_count_1km,pharmacies_count_1km,shopping_count_1km,restaurants_count_1km,banks_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score
che001,Chennai,"ITC Grand Chola, a Luxury Collection Hotel, Chennai",13.010613,80.2206015,"63, Mount Rd, Little Mount, Guindy, Chennai, Tamil Nadu 600032, India",2,0,2,8,1,1,12,0,3,48,22,25,32,10,20,40,0,60,100
che002,Chennai,The Leela Palace Chennai - Seaside Modern Palace Hotel,13.017048,80.2736566,"Adyar Sea Face, Leela Palace Rd, MRC Nagar, Raja Annamalai Puram, Chennai, Tamil Nadu 600028, India",3,0,1,3,0,0,3,0,5,32,17,12,12,0,0,60,0,100,100
che003,Chennai,The Madras Grand - Hotel Egmore,13.075251,80.25602479999999,"1, Chinna St, Egmore, Chennai, Tamil Nadu 600008, India",34,0,2,28,20,0,19,1,10,89,61,25,100,100,0,100,0,100,100
che004,Chennai,"Lemon Tree Hotel, Chennai",13.0111566,80.2246885,"72, Sardar Patel Rd, Venkta Puram, Guindy, Chennai, Tamil Nadu 600032, India",3,2,2,8,2,2,11,0,2,41,32,25,32,20,40,60,25,40,100
che005,Chennai,"Trident, Chennai",12.9940827,80.1861962,"1, 24, Grand Southern Trunk Rd, Kannan Colony, Meenambakkam, Chennai, Tamil Nadu 600027, India",2,3,0,6,12,1,6,0,1,38,35,0,24,100,20,40,37,20,100
che006,Chennai,"Radisson Blu Hotel, Chennai City Centre",13.0670863,80.25572280000002,"2, .Ethiraj Salai, C-In, C Road, Egmore, Chennai, Tamil Nadu 600008, India",19,0,3,29,24,1,21,1,12,71,64,37,100,100,20,100,0,100,100
che007,Chennai,ibis Chennai City Centre,13.0573106,80.2566684,"690, Anna Salai, Mount Rd, Thousand Lights, Chennai, Tamil Nadu 600006, India",7,0,1,34,11,1,33,1,16,69,58,12,100,100,20,100,0,100,100
che008,Chennai,Grand Chennai by GRT Hotels,13.0401407,80.2451383,"120, Sir Thyagaraya Rd, Drivers Colony, T. Nagar, Chennai, Tamil Nadu 600017, India",23,3,9,24,29,0,31,1,10,55,86,100,96,100,0,100,37,100,100
che009,Chennai,Radisson Blu Hotel & Suites GRT Chennai,12.994229299999999,80.1875621,"531, Grand Southern Trunk Rd, Parangi Malai, Palavanthangal, Chennai, Tamil Nadu 600016, India",2,3,0,6,12,1,6,0,1,39,35,0,24,100,20,40,37,20,100
che010,Chennai,Hablis - A Business Hotel In Chennal,13.0076343,80.2081675,"19, Grand Southern Trunk Rd, Ramapuram, Guindy, Chennai, Tamil Nadu 600032, India",7,0,1,9,3,0,10,0,2,56,34,12,36,30,0,100,0,40,100
