hotel_id,place_id,display_name,formatted_address
che001,ChIJ4Uu1W21nUjoRQ2axHcnJyfI,"ITC Grand Chola, a Luxury Collection Hotel, Chennai","63, Mount Rd, Little Mount, Guindy, Chennai, Tamil Nadu 600032, India"
che002,ChIJj-bP-95nUjoRj2WldDKRWGY,The Leela Palace Chennai - Seaside Modern Palace Hotel,"Adyar Sea Face, Leela Palace Rd, MRC Nagar, Raja Annamalai Puram, Chennai, Tamil Nadu 600028, India"
che003,ChIJ_1NKffJnUjoR2_RDx0hAGDQ,The Madras Grand - Hotel Egmore,"1, Chinna St, Egmore, Chennai, Tamil Nadu 600008, India"
che004,ChIJPwzVz3JnUjoRenVEA9W6Kss,"Lemon Tree Hotel, Chennai","72, Sardar Patel Rd, Venkta Puram, Guindy, Chennai, Tamil Nadu 600032, India"
che005,ChIJpcUI-RdeUjoRRfKPvaNO8O4,"Trident, Chennai","1, 24, Grand Southern Trunk Rd, Kannan Colony, Meenambakkam, Chennai, Tamil Nadu 600027, India"
che006,ChIJg7w6CRRmUjoRLXhrkGmescI,"Radisson Blu Hotel, Chennai City Centre","2, .Ethiraj Salai, C-In, C Road, Egmore, Chennai, Tamil Nadu 600008, India"
che007,ChIJ89U7NT5mUjoRVHdkkpR0nfw,ibis Chennai City Centre,"690, Anna Salai, Mount Rd, Thousand Lights, Chennai, Tamil Nadu 600006, India"
che008,ChIJbW7Oxk1mUjoRFYylSVejkdk,Grand Chennai by GRT Hotels,"120, Sir Thyagaraya Rd, Drivers Colony, T. Nagar, Chennai, Tamil Nadu 600017, India"
che009,ChIJbyX3dWlmUjoR71fEKyBekdM,Radisson Blu Hotel & Suites GRT Chennai,"531, Grand Southern Trunk Rd, Parangi Malai, Palavanthangal, Chennai, Tamil Nadu 600016, India"
che010,ChIJmWoPFkFnUjoRI-GtrMXTAjY,Hablis - A Business Hotel In Chennal,"19, Grand Southern Trunk Rd, Ramapuram, Guindy, Chennai, Tamil Nadu 600032, India"
che011,ChIJJ8BNJVBnUjoR7W-fg3x1P8I,The Park Chennai,"601, Anna Salai, near US Embassy, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600006, India"
che012,ChIJgVo7bEZmUjoR_YXqOhW4Nf4,Hyatt Regency Chennai,"365, Anna Salai, Sadras, Teynampet, Chennai, Tamil Nadu 600018, India"
che013,ChIJVVf9rz5nUjoRrVsT-8U6c3I,Hilton Chennai,"124, 1, Jawaharlal Nehru Salai, Poomagal Nagar, Guindy, Chennai, Tamil Nadu 600032, India"
che014,ChIJDYqGJBBdUjoRIlpn4iY5uaA,Holiday Inn Chennai Omr It Expressway by IHG,"110, Rajiv Gandhi Salai, PTK nagar, Thiruvanmiyur, Chennai, Tamil Nadu 600041, India"
che015,ChIJFYBioUNnUjoRQlBoq8IVdsM,UPAR Hotels Nungambakkam,"Ponnagipuram, Noor Veerasamy Ln, Nungambakkam, Chennai, Tamil Nadu 600034, India"
che016,ChIJTQ3LkhZmUjoRaWDuEENY7Hk,"Taj Connemara, Chennai","Binny Rd, Anna Salai, Chennai, Tamil Nadu 600002, India"
che017,ChIJ_VQjwl9aUjoRpELEnMekUeQ,ibis Chennai Sipcot,"ibis Chennai Sipcot, Rajiv Gandhi Salai, opp. Sipcot It Park, near state highway 49, Chennai, Egattur, Tamil Nadu 603103, India"
che018,ChIJLWWHQlNaUjoRjIqVQNVyooU,Ilara Hotels & Spa,"1A, 1B, Rajiv Gandhi Salai, OMR, Navalur, Chennai, Tamil Nadu 600130, India"
che019,ChIJncTcb_9mUjoR7hwcJOt4xxs,Hotel Taz Kamar Inn,"36, Rangan St, Postal Colony, T. Nagar, Chennai, Tamil Nadu 600017, India"
che020,ChIJtQsolkZmUjoR-L0W88Uj6kI,The Accord Metropolitan,"Just 2 kms away from US Embassy, 35, Gopathi Narayanaswami Chetty Rd, Lakshimi Colony, T. Nagar, Chennai, Tamil Nadu 600017, India"
che021,ChIJRxNWuxdmUjoRAMP9oon-tS0,"Taj Club House, Chennai","2, Club House Rd, near Bank of Baroda, Express Estate, Royapettah, Chennai, Tamil Nadu 600002, India"
che022,ChIJo_N9oE5nUjoRCXNoTX1KFoE,Pullman Chennai Anna Salai,"636, Anna Salai, Satya Murthy Nagar, Teynampet, Chennai, Tamil Nadu 600035, India"
che023,ChIJoY2RdEJmUjoRcfpd1MDkpMI,"Taj Coromandel, Chennai","37, Uthamar Gandhi Rd, near Makkal TV Office, Nungambakkam, Chennai, Tamil Nadu 600034, India"
che024,ChIJlaIomwJnUjoRgEL-6p-U854,Woodlands Inn,"No.2/2, New, CN Krishna Swamy Salai, opp. M. A. Chidambaram Cricket Stadium, Chepauk, Triplicane, Chennai, Tamil Nadu 600005, India"
che025,ChIJUwoxO3xcUjoR_HcOZVAQqPE,Novotel Chennai OMR,"It Expressway, opp. Elcot Sez, Sholinganallur, Chennai, Tamil Nadu 600119, India"
che026,ChIJO2Rd3nJnUjoRyT-oFDcwfVE,Park Hyatt Chennai,"39, Velachery Rd, near Raj Bhavan, Little Mount, Guindy, Chennai, Tamil Nadu 600032, India"
che027,ChIJc8uF1nVmUjoRbwUUWouzJuE,"The Pride Hotel, Chennai","216, E V R Periyar Salai, Poonamalle High Road, near Sangam Cinema, Kilpauk, Chennai, Tamil Nadu 600010, India"
che028,ChIJyxSMbfhmUjoR5ZL8sbniWf0,A.R Residency,"26, Ramachandra St, T. Nagar, Chennai, Tamil Nadu 600017, India"
che029,ChIJiauRQr9nUjoR-riZyrFPi3g,GRAND ONE TOWER,"3-2, Wallace Gdn 3rd St, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006, India"
che030,ChIJlfDfL9xnUjoRaaa7wjp8-7w,Somerset Greenways Chennai,"94, Sathyadev Ave, MRC Nagar, Raja Annamalai Puram, Chennai, Tamil Nadu 600028, India"
che031,ChIJk8m2uatnUjoRD8C6LWXtjUY,THE K11 HOTELS - CHENNAI,"28, Sarojini St, near Saibaba Temple, T. Nagar, Chennai, Tamil Nadu 600017, India"
che032,ChIJORxanU9mUjoRzd81TtsnbqI,GT Grande Hotel-Near US Consulate & Singapore Consulate,"30, 2nd Street, N Boag Rd, near Singapore Consulate, Neelangarai, T. Nagar, Chennai, Tamil Nadu 600017, India"
che033,ChIJV14pcQlhUjoRtG2DE0cl6zU,M Stays,"2nd Floor, 98/99, Vanagaram-Ambattur Rd, Rajankuppam, Vanagaram, Chennai, Tamil Nadu 600095, India"
che034,ChIJG0-Y5MJnUjoR10M5uvomZPo,Kaira Park,"14/14A, CV Raman Rd, Natesan Colony, Alwarpet, Chennai, Tamil Nadu 600018, India"
che035,ChIJS-MFozdmUjoR_ZmiVXFISio,Welcomhotel By ITC Hotels - Cathedral Road,"Cathedral Rd, Parthasarathypuram, Teynampet, Chennai, Tamil Nadu 600086, India"
che036,ChIJgQ5o_7pnUjoR0PkpeXK2Xm4,S Hotels Chennai,"42, Thanikachalam Rd, T. Nagar, Chennai, Tamil Nadu 600017, India"
che037,ChIJt0tmy31cUjoR00VW91ujBOQ,ibis Chennai OMR,"It Expressway, opp. Elcot Sez, Sholinganallur, Chennai, Tamil Nadu 600119, India"
che038,ChIJs_4lSw1nUjoRlk1DsKns1i0,Ramada Plaza by Wyndham Chennai,"36, Sardar Patel Rd, Venkta Puram, Guindy, Chennai, Tamil Nadu 600032, India"
che039,ChIJEVOZCO5nUjoR0PWMqL02zxw,Stay Court (Business Class Hotel),"Old.No.06, New.No.08, Nabikhan, Shaik Ali Subedar St, Periamet, Poongavanapuram, Chennai, Tamil Nadu 600003, India"
che040,ChIJtwUoLRxmUjoRf4MBAzb9FLA,Royal Palace Hotel Marina Chennai,"NO 1, Tassuddin, Jani Jhan Khan Rd, near Adam Market, Police Quarters, Triplicane, Chennai, Tamil Nadu 600005, India"
che041,ChIJsX7Z5ihnUjoRP0sBsvDCk4s,Layalee Grande Hotel Chennai,"12A, Jawaharlal Nehru Salai, opp. Jaya TV Office, Thiru Vi Ka Industrial Estate, Ekkatuthangal, Chennai, Tamil Nadu 600034, India"
che042,ChIJ6S7-zRtlUjoRMgH1FTd2IFA,The Park Avenue Hotel,"nabi khan, Shaik Ali Subedar St, opposite to sheraton grande hotel, Periamet, periyamet, Chennai, Tamil Nadu 600003, India"
