hotel_id,landmark_type,landmark_name,distance_km,travel_time_minutes,traffic_aware
del001,airport,Indira Gandhi International Airport,14.99,,False
del001,railway,New Delhi Railway Station,1.44,,False
del001,bus,Kashmere Gate ISBT,4.67,,False
del001,business,Connaught Place,1.03,,False
del001,karol_bagh,Karol Bagh,4.22,,False
del002,airport,Indira Gandhi International Airport,2.4,,False
del002,railway,New Delhi Railway Station,14.68,,False
del002,bus,Kashmere Gate ISBT,17.91,,False
del002,business,Connaught Place,13.56,,False
del002,karol_bagh,Karol Bagh,13.73,,False
del003,airport,Indira Gandhi International Airport,14.35,,False
del003,railway,New Delhi Railway Station,5.53,,False
del003,bus,Kashmere Gate ISBT,8.66,,False
del003,business,Connaught Place,4.51,,False
del003,karol_bagh,Karol Bagh,7.78,,False
del004,airport,Indira Gandhi International Airport,13.51,,False
del004,railway,New Delhi Railway Station,2.61,,False
del004,bus,Kashmere Gate ISBT,4.65,,False
del004,business,Connaught Place,2.8,,False
del004,karol_bagh,Karol Bagh,0.64,,False
del005,airport,Indira Gandhi International Airport,8.16,,False
del005,railway,New Delhi Railway Station,7.13,,False
del005,bus,Kashmere Gate ISBT,10.4,,False
del005,business,Connaught Place,6.03,,False
del005,karol_bagh,Karol Bagh,6.49,,False
del006,airport,Indira Gandhi International Airport,13.93,,False
del006,railway,New Delhi Railway Station,1.58,,False
del006,bus,Kashmere Gate ISBT,5.12,,False
del006,business,Connaught Place,0.29,,False
del006,karol_bagh,Karol Bagh,3.54,,False
del007,airport,Indira Gandhi International Airport,12.37,,False
del007,railway,New Delhi Railway Station,12.79,,False
del007,bus,Kashmere Gate ISBT,13.42,,False
del007,business,Connaught Place,12.84,,False
del007,karol_bagh,Karol Bagh,9.77,,False
del008,airport,Indira Gandhi International Airport,5.46,,False
del008,railway,New Delhi Railway Station,13.25,,False
del008,bus,Kashmere Gate ISBT,16.7,,False
del008,business,Connaught Place,12.02,,False
del008,karol_bagh,Karol Bagh,12.96,,False
del009,airport,Indira Gandhi International Airport,2.32,,False
del009,railway,New Delhi Railway Station,13.86,,False
del009,bus,Kashmere Gate ISBT,17.06,,False
del009,business,Connaught Place,12.76,,False
del009,karol_bagh,Karol Bagh,12.85,,False
del010,airport,Indira Gandhi International Airport,2.29,,False
del010,railway,New Delhi Railway Station,13.75,,False
del010,bus,Kashmere Gate ISBT,16.94,,False
del010,business,Connaught Place,12.65,,False
del010,karol_bagh,Karol Bagh,12.72,,False
del011,airport,Indira Gandhi International Airport,7.67,,False
del011,railway,New Delhi Railway Station,18.63,,False
del011,bus,Kashmere Gate ISBT,20.66,,False
del011,business,Connaught Place,18.04,,False
del011,karol_bagh,Karol Bagh,16.18,,False
del012,airport,Indira Gandhi International Airport,8.5,,False
del012,railway,New Delhi Railway Station,6.79,,False
del012,bus,Kashmere Gate ISBT,10.07,,False
del012,business,Connaught Place,5.69,,False
del012,karol_bagh,Karol Bagh,6.19,,False
del013,airport,Indira Gandhi International Airport,3.03,,False
del013,railway,New Delhi Railway Station,13.46,,False
del013,bus,Kashmere Gate ISBT,16.72,,False
del013,business,Connaught Place,12.33,,False
del013,karol_bagh,Karol Bagh,12.59,,False
del014,airport,Indira Gandhi International Airport,2.77,,False
del014,railway,New Delhi Railway Station,14.03,,False
del014,bus,Kashmere Gate ISBT,17.28,,False
del014,business,Connaught Place,12.9,,False
del014,karol_bagh,Karol Bagh,13.14,,False
del015,airport,Indira Gandhi International Airport,14.54,,False
del015,railway,New Delhi Railway Station,12.47,,False
del015,bus,Kashmere Gate ISBT,12.45,,False
del015,business,Connaught Place,12.76,,False
del015,karol_bagh,Karol Bagh,9.46,,False
del016,airport,Indira Gandhi International Airport,13.29,,False
del016,railway,New Delhi Railway Station,2.86,,False
del016,bus,Kashmere Gate ISBT,4.88,,False
del016,business,Connaught Place,2.99,,False
del016,karol_bagh,Karol Bagh,0.62,,False
del017,airport,Indira Gandhi International Airport,3.09,,False
del017,railway,New Delhi Railway Station,13.42,,False
del017,bus,Kashmere Gate ISBT,16.69,,False
del017,business,Connaught Place,12.29,,False
del017,karol_bagh,Karol Bagh,12.56,,False
del018,airport,Indira Gandhi International Airport,14.85,,False
del018,railway,New Delhi Railway Station,0.3,,False
del018,bus,Kashmere Gate ISBT,3.75,,False
del018,business,Connaught Place,1.12,,False
del018,karol_bagh,Karol Bagh,2.84,,False
del019,airport,Indira Gandhi International Airport,2.11,,False
del019,railway,New Delhi Railway Station,13.84,,False
del019,bus,Kashmere Gate ISBT,17.01,,False
del019,business,Connaught Place,12.75,,False
del019,karol_bagh,Karol Bagh,12.78,,False
del020,airport,Indira Gandhi International Airport,22.51,,False
del020,railway,New Delhi Railway Station,9.38,,False
del020,bus,Kashmere Gate ISBT,9.67,,False
del020,business,Connaught Place,9.57,,False
del020,karol_bagh,Karol Bagh,12.39,,False
del021,airport,Indira Gandhi International Airport,3.12,,False
del021,railway,New Delhi Railway Station,17.25,,False
del021,bus,Kashmere Gate ISBT,20.45,,False
del021,business,Connaught Place,16.14,,False
del021,karol_bagh,Karol Bagh,16.21,,False
del022,airport,Indira Gandhi International Airport,18.64,,False
del022,railway,New Delhi Railway Station,12.89,,False
del022,bus,Kashmere Gate ISBT,15.52,,False
del022,business,Connaught Place,12.03,,False
del022,karol_bagh,Karol Bagh,15.34,,False
del023,airport,Indira Gandhi International Airport,13.47,,False
del023,railway,New Delhi Railway Station,1.69,,False
del023,bus,Kashmere Gate ISBT,5.1,,False
del023,business,Connaught Place,0.84,,False
del023,karol_bagh,Karol Bagh,2.79,,False
del024,airport,Indira Gandhi International Airport,10.4,,False
del024,railway,New Delhi Railway Station,5.59,,False
del024,bus,Kashmere Gate ISBT,9.1,,False
del024,business,Connaught Place,4.34,,False
del024,karol_bagh,Karol Bagh,6.02,,False
del025,airport,Indira Gandhi International Airport,11.8,,False
del025,railway,New Delhi Railway Station,12.9,,False
del025,bus,Kashmere Gate ISBT,16.37,,False
del025,business,Connaught Place,11.64,,False
del025,karol_bagh,Karol Bagh,14.04,,False
del026,airport,Indira Gandhi International Airport,2.59,,False
del026,railway,New Delhi Railway Station,14.25,,False
del026,bus,Kashmere Gate ISBT,17.49,,False
del026,business,Connaught Place,13.12,,False
del026,karol_bagh,Karol Bagh,13.32,,False
del027,airport,Indira Gandhi International Airport,2.78,,False
del027,railway,New Delhi Railway Station,13.88,,False
del027,bus,Kashmere Gate ISBT,17.13,,False
del027,business,Connaught Place,12.75,,False
del027,karol_bagh,Karol Bagh,12.99,,False
del028,airport,Indira Gandhi International Airport,17.11,,False
del028,railway,New Delhi Railway Station,13.66,,False
del028,bus,Kashmere Gate ISBT,16.63,,False
del028,business,Connaught Place,12.63,,False
del028,karol_bagh,Karol Bagh,15.77,,False
del029,airport,Indira Gandhi International Airport,2.1,,False
del029,railway,New Delhi Railway Station,14.0,,False
del029,bus,Kashmere Gate ISBT,17.18,,False
del029,business,Connaught Place,12.91,,False
del029,karol_bagh,Karol Bagh,12.95,,False
del030,airport,Indira Gandhi International Airport,5.01,,False
del030,railway,New Delhi Railway Station,17.46,,False
del030,bus,Kashmere Gate ISBT,19.86,,False
del030,business,Connaught Place,16.72,,False
del030,karol_bagh,Karol Bagh,15.31,,False
del031,airport,Indira Gandhi International Airport,13.49,,False
del031,railway,New Delhi Railway Station,2.67,,False
del031,bus,Kashmere Gate ISBT,6.18,,False
del031,business,Connaught Place,1.42,,False
del031,karol_bagh,Karol Bagh,4.52,,False
del032,airport,Indira Gandhi International Airport,13.85,,False
del032,railway,New Delhi Railway Station,1.98,,False
del032,bus,Kashmere Gate ISBT,5.5,,False
del032,business,Connaught Place,0.74,,False
del032,karol_bagh,Karol Bagh,3.99,,False
del033,airport,Indira Gandhi International Airport,2.78,,False
del033,railway,New Delhi Railway Station,13.87,,False
del033,bus,Kashmere Gate ISBT,17.12,,False
del033,business,Connaught Place,12.74,,False
del033,karol_bagh,Karol Bagh,12.98,,False
del034,airport,Indira Gandhi International Airport,17.12,,False
del034,railway,New Delhi Railway Station,10.2,,False
del034,bus,Kashmere Gate ISBT,9.07,,False
del034,business,Connaught Place,10.9,,False
del034,karol_bagh,Karol Bagh,7.58,,False
del035,airport,Indira Gandhi International Airport,26.19,,False
del035,railway,New Delhi Railway Station,17.82,,False
del035,bus,Kashmere Gate ISBT,15.25,,False
del035,business,Connaught Place,18.86,,False
del035,karol_bagh,Karol Bagh,15.95,,False
del036,airport,Indira Gandhi International Airport,2.09,,False
del036,railway,New Delhi Railway Station,13.75,,False
del036,bus,Kashmere Gate ISBT,16.92,,False
del036,business,Connaught Place,12.66,,False
del036,karol_bagh,Karol Bagh,12.67,,False
del037,airport,Indira Gandhi International Airport,14.28,,False
del037,railway,New Delhi Railway Station,0.97,,False
del037,bus,Kashmere Gate ISBT,4.08,,False
del037,business,Connaught Place,1.22,,False
del037,karol_bagh,Karol Bagh,2.26,,False
del038,airport,Indira Gandhi International Airport,2.62,,False
del038,railway,New Delhi Railway Station,14.3,,False
del038,bus,Kashmere Gate ISBT,17.55,,False
del038,business,Connaught Place,13.17,,False
del038,karol_bagh,Karol Bagh,13.39,,False
del039,airport,Indira Gandhi International Airport,9.11,,False
del039,railway,New Delhi Railway Station,7.6,,False
del039,bus,Kashmere Gate ISBT,11.12,,False
del039,business,Connaught Place,6.33,,False
del039,karol_bagh,Karol Bagh,7.91,,False
del040,airport,Indira Gandhi International Airport,2.9,,False
del040,railway,New Delhi Railway Station,13.61,,False
del040,bus,Kashmere Gate ISBT,16.86,,False
del040,business,Connaught Place,12.48,,False
del040,karol_bagh,Karol Bagh,12.72,,False
del041,airport,Indira Gandhi International Airport,2.59,,False
del041,railway,New Delhi Railway Station,14.4,,False
del041,bus,Kashmere Gate ISBT,17.64,,False
del041,business,Connaught Place,13.27,,False
del041,karol_bagh,Karol Bagh,13.48,,False
del042,airport,Indira Gandhi International Airport,14.41,,False
del042,railway,New Delhi Railway Station,0.89,,False
del042,bus,Kashmere Gate ISBT,3.95,,False
del042,business,Connaught Place,1.31,,False
del042,karol_bagh,Karol Bagh,2.25,,False
del043,airport,Indira Gandhi International Airport,15.08,,False
del043,railway,New Delhi Railway Station,0.51,,False
del043,bus,Kashmere Gate ISBT,3.33,,False
del043,business,Connaught Place,1.61,,False
del043,karol_bagh,Karol Bagh,2.58,,False
del044,airport,Indira Gandhi International Airport,14.77,,False
del044,railway,New Delhi Railway Station,0.39,,False
del044,bus,Kashmere Gate ISBT,3.79,,False
del044,business,Connaught Place,1.1,,False
del044,karol_bagh,Karol Bagh,2.76,,False
del045,airport,Indira Gandhi International Airport,13.6,,False
del045,railway,New Delhi Railway Station,2.43,,False
del045,bus,Kashmere Gate ISBT,5.95,,False
del045,business,Connaught Place,1.18,,False
del045,karol_bagh,Karol Bagh,4.33,,False
del046,airport,Indira Gandhi International Airport,2.54,,False
del046,railway,New Delhi Railway Station,14.33,,False
del046,bus,Kashmere Gate ISBT,17.57,,False
del046,business,Connaught Place,13.21,,False
del046,karol_bagh,Karol Bagh,13.41,,False
del047,airport,Indira Gandhi International Airport,2.91,,False
