hotel_id,place_id,display_name,formatted_address,latitude,longitude,rating,user_rating_count,price_level,business_status,city,place_uri,directions_uri,reviews_uri,photos_uri,write_review_uri,website_uri,phone_number,international_phone,opening_hours,types,editorial_summary,serves_vegetarian_food,serves_breakfast,serves_lunch,serves_dinner,serves_brunch,serves_beer,serves_wine,serves_cocktails,allows_dogs,good_for_children,good_for_groups,good_for_watching_sports,live_music,menu_for_children,outdoor_seating,reservable,delivery,takeout,curbside_pickup,dine_in,restroom,wheelchair_accessible_entrance,wheelchair_accessible_parking,accepts_credit_cards,accepts_debit_cards,accepts_cash_only,parking_free,parking_paid,parking_street,parking_garage,valet_parking,ev_charging_available,fuel_options,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score,hospitals_count_1km,pharmacies_count_1km,banks_count_1km,restaurants_count_1km,shopping_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km
del001,ChIJw1CAvjH9DDkRuAxJNsAqajk,The Lalit New Delhi,"Fire Brigade Lane, Barakhamba, New Delhi, Delhi 110001, India",28.6316615,77.2272325,4.4,30217,,OPERATIONAL,Delhi,https://maps.google.com/?cid=4137166212726066360&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x390cfd31be8050c3:0x396a2ac036490cb8!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x390cfd31be8050c3:0x396a2ac036490cb8!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390cfd31be8050c3:0x396a2ac036490cb8!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390cfd31be8050c3:0x396a2ac036490cb8!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.thelalit.com/the-lalit-delhi/,011 4444 7777,+91 11 4444 7777,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Sophisticated rooms & suites in a posh lodging featuring 6 eateries, a nightclub & a spa.",,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,True,,,,,,False,,62,25,100,100,40,80,25,100,100,4,2,79,176,2,2,11,18,12,83
del002,ChIJAQAAMLD-DDkRdPtt8LsVujA,"Radisson Blu Plaza Hotel, Delhi Airport","Near, Nh 8, Block R, Mahipalpur Extension, Mahipalpur, New Delhi, Delhi 110037, India",28.5438333,77.1201521,4.6,44900,,OPERATIONAL,Delhi,https://maps.google.com/?cid=3511142756425530228&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x390cfeb030000001:0x30ba15bbf06dfb74!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x390cfeb030000001:0x30ba15bbf06dfb74!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390cfeb030000001:0x30ba15bbf06dfb74!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390cfeb030000001:0x30ba15bbf06dfb74!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.radissonhotels.com/en-us/hotels/radisson-blu-new-delhi-airport?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INDLDELAIR,011 4250 0500,+91 11 4250 0500,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Modern quarters in an upscale business hotel with event space, multiple restaurants & a spa.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,False,,,,,,False,,45,25,48,100,0,60,12,0,65,3,1,11,12,2,0,8,0,0,7
del003,ChIJDbwn9uHiDDkRBBQtqfRdwkA,"The Oberoi, New Delhi","Dr Zakir Hussain Marg, Delhi Golf Club, Golf Links, New Delhi, Delhi 110003, India",28.596300099999997,77.2396602,4.6,11458,,OPERATIONAL,Delhi,https://maps.google.com/?cid=4666395469300962308&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x390ce2e1f627bc0d:0x40c25df4a92d1404!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x390ce2e1f627bc0d:0x40c25df4a92d1404!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390ce2e1f627bc0d:0x40c25df4a92d1404!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390ce2e1f627bc0d:0x40c25df4a92d1404!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.oberoihotels.com/hotels-in-delhi/?utm_source=GMBlisting&utm_medium=organic,011 2436 3030,+91 11 2436 3030,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""bar"", ""spa"", ""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Elegant rooms & suites in a high-end hotel offering a spa, a fitness centre & a rooftop bar.",,,,,,,,,,True,,,,,,,True,True,,True,,True,True,True,,False,,,,,,False,,22,0,28,40,20,40,12,60,100,2,1,4,7,0,1,9,15,3,32
del004,ChIJ-cFw1QcDDTkRZHlhKN9WUNs,Hotel O Delhi,"Metro Pillar No. 88, 8/32, opposite Multi Level Parking, behind Haldirams, Block 8, WEA, Karol Bagh, New Delhi, Delhi, 110005, India",28.6459773,77.1931693,4.4,976,,OPERATIONAL,Delhi,https://maps.google.com/?cid=15803226608898242916&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x390d0307d570c1f9:0xdb5056df28617964!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x390d0307d570c1f9:0xdb5056df28617964!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390d0307d570c1f9:0xdb5056df28617964!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390d0307d570c1f9:0xdb5056df28617964!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,099998 72182,+91 99998 72182,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""bed_and_breakfast"", ""lodging"", ""point_of_interest"", ""establishment""]","Unassuming budget hotel offering a restaurant & breakfast, plus 24-hour room service.",,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,False,,63,12,100,100,40,100,25,80,100,9,2,27,27,1,2,8,0,4,28
del005,ChIJe4zp0KMdDTkRm90YLrHBVg8,"Taj Palace, New Delhi","Taj Palace, 2, Sardar Patel Marg, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India",28.595082899999998,77.1709187,4.7,31942,,OPERATIONAL,Delhi,https://maps.google.com/?cid=1105283725292789147&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x390d1da3d0e98c7b:0xf56c1b12e18dd9b!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x390d1da3d0e98c7b:0xf56c1b12e18dd9b!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390d1da3d0e98c7b:0xf56c1b12e18dd9b!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390d1da3d0e98c7b:0xf56c1b12e18dd9b!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.tajhotels.com/en-in/hotels/taj-palace-new-delhi/rooms-and-suites?utm_source=google&utm_medium=local&utm_campaign=taj-palace-new-delhi,011 2611 0202,+91 11 2611 0202,,"[""hotel"", ""extended_stay_hotel"", ""resort_hotel"", ""event_venue"", ""lodging"", ""point_of_interest"", ""establishment""]","Polished quarters in a luxe hotel featuring 4 restaurants, a bar & an outdoor pool, plus a spa.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,46,12,100,40,0,60,25,60,100,3,2,4,66,1,0,7,3,3,29
del006,ChIJJZbTaLPiDDkR0iCsQ0HteV4,The Park,"Gurudwara, 15, Sansad Marg, near Bangla Sahib Road, near VFS Visa Centre, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India",28.628936799999998,77.2161842,4,15807,,OPERATIONAL,Delhi,https://maps.google.com/?cid=6807733176311226578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x390ce2b368d39625:0x5e79ed4143ac20d2!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x390ce2b368d39625:0x5e79ed4143ac20d2!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390ce2b368d39625:0x5e79ed4143ac20d2!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390ce2b368d39625:0x5e79ed4143ac20d2!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,http://www.theparkhotels.com/new-delhi.html,011 2374 3000,+91 11 2374 3000,,"[""hotel"", ""banquet_hall"", ""swimming_pool"", ""breakfast_restaurant"", ""bar"", ""event_venue"", ""sports_activity_location"", ""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Warm rooms in an upscale lodging offering 4 restaurants & bars, plus an outdoor pool, a gym & a spa.",True,True,True,True,,True,True,True,,True,,,True,,True,True,True,True,,,True,True,True,True,True,True,True,,,,,False,,76,37,100,100,20,100,62,100,100,10,5,108,190,3,1,12,19,12,82
del007,ChIJFzlAtHoEDTkRWL-rjvV_XKE,"Radisson Blu Hotel, New Delhi Paschim Vihar","Outer Ring Rd, Sunder Vihar, Paschim Vihar, New Delhi, Delhi, 110087, India",28.667239799999997,77.0915818,4.4,26476,,OPERATIONAL,Delhi,https://maps.google.com/?cid=11627309030601113432&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x390d047ab4403917:0xa15c7ff58eabbf58!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x390d047ab4403917:0xa15c7ff58eabbf58!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390d047ab4403917:0xa15c7ff58eabbf58!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390d047ab4403917:0xa15c7ff58eabbf58!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.radissonhotels.com/en-us/hotels/radisson-blu-new-delhi-paschim-vihar?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INDLDELPVI,011 4639 9999,+91 11 4639 9999,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Modern hotel with free Wi-Fi & an outdoor pool, plus 2 eateries, 2 lounges & a bakery.",True,,,True,,,,,,True,True,,,,,True,,,,,,True,True,,,,,,,,,False,,20,0,0,0,0,100,0,0,78,9,0,0,0,0,0,5,0,0,20
del008,ChIJB-shS9_jDDkRQQSbddJ0GOU,The Grand New Delhi,"Nelson Mandela Marg, Pocket 4, Vasant Kunj II, Vasant Kunj, New Delhi, Delhi 110070, India",28.5392485,77.15246719999999,4.3,9977,,OPERATIONAL,Delhi,https://maps.google.com/?cid=16508072881391600705&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x390ce3df4b21eb07:0xe51874d2759b0441!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x390ce3df4b21eb07:0xe51874d2759b0441!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390ce3df4b21eb07:0xe51874d2759b0441!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390ce3df4b21eb07:0xe51874d2759b0441!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,http://www.thegrandnewdelhi.com/?utm_source=google&utm_medium=organic,011 4766 1200,+91 11 4766 1200,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Sophisticated hotel offering multiple bars & restaurants, a pool & a spa, plus a fitness centre.",,,,,,,,,,True,True,,,,,,,,,,True,True,True,,True,False,,,,,,False,,21,12,24,90,0,0,0,60,44,0,0,9,6,1,0,5,0,3,4
del009,ChIJY6PJh2kcDTkRybb5KBGcqIY,ibis New Delhi Aerocity,"IGI Rd, Aerocity, Ibis, New Delhi, Delhi, 110037, India",28.551430999999997,77.123132,4.5,34274,,OPERATIONAL,Delhi,https://maps.google.com/?cid=9703176994685564617&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x390d1c6987c9a363:0x86a89c1128f9b6c9!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x390d1c6987c9a363:0x86a89c1128f9b6c9!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390d1c6987c9a363:0x86a89c1128f9b6c9!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390d1c6987c9a363:0x86a89c1128f9b6c9!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=7484&merchantid=seo-maps-IN-7484&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,011 4302 0202,+91 11 4302 0202,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",Warmly decorated rooms in an airport hotel featuring a restaurant & an outdoor pool.,,,,,,,,,,True,,,,,,,,,,,,True,True,,,False,,,,,,False,,41,25,56,90,0,40,12,0,70,2,1,9,14,2,0,6,0,0,10
del010,ChIJuWJbafgdDTkRgrD6U1ZCKtc,Hotel Pride Plaza,"Asset 5-A, Hospitality District, Indira Gandhi International Airport, Aerocity, New Delhi, Delhi 110037, India",28.5528734,77.1230965,4.8,16926,,OPERATIONAL,Delhi,https://maps.google.com/?cid=15504277605719912578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x390d1df8695b62b9:0xd72a425653fab082!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x390d1df8695b62b9:0xd72a425653fab082!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390d1df8695b62b9:0xd72a425653fab082!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x390d1df8695b62b9:0xd72a425653fab082!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.pridehotel.com/pride-plaza-hotel-aerocity-new-delhi-hotel/,011 7160 0700,+91 11 7160 0700,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",,,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,37,25,52,70,0,40,12,0,68,2,1,7,13,2,0,6,0,0,10
