hotel_id,city,display_name,latitude,longitude,formatted_address,hospitals_count_1km,pharmacies_count_1km,shopping_count_1km,restaurants_count_1km,banks_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score
del001,Delhi,The Lalit New Delhi,28.6316615,77.2272325,"Fire Brigade Lane, Barakhamba, New Delhi, Delhi 110001, India",4,2,2,176,79,2,11,18,12,83,62,25,100,100,40,80,25,100,100
del002,Delhi,"Radisson Blu Plaza Hotel, Delhi Airport",28.5438333,77.1201521,"Near, Nh 8, Block R, Mahipalpur Extension, Mahipalpur, New Delhi, Delhi 110037, India",3,1,2,12,11,0,8,0,0,7,45,25,48,100,0,60,12,0,65
del003,Delhi,"The Oberoi, New Delhi",28.596300099999997,77.2396602,"Dr Zakir Hussain Marg, Delhi Golf Club, Golf Links, New Delhi, Delhi 110003, India",2,1,0,7,4,1,9,15,3,32,22,0,28,40,20,40,12,60,100
del004,Delhi,Hotel O Delhi,28.6459773,77.1931693,"Metro Pillar No. 88, 8/32, opposite Multi Level Parking, behind Haldirams, Block 8, WEA, Karol Bagh, New Delhi, Delhi, 110005, India",9,2,1,27,27,2,8,0,4,28,63,12,100,100,40,100,25,80,100
del005,Delhi,"Taj Palace, New Delhi",28.595082899999998,77.1709187,"Taj Palace, 2, Sardar Patel Marg, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India",3,2,1,66,4,0,7,3,3,29,46,12,100,40,0,60,25,60,100
del006,Delhi,The Park,28.628936799999998,77.2161842,"Gurudwara, 15, Sansad Marg, near Bangla Sahib Road, near VFS Visa Centre, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India",10,5,3,190,108,1,12,19,12,82,76,37,100,100,20,100,62,100,100
del007,Delhi,"Radisson Blu Hotel, New Delhi Paschim Vihar",28.667239799999997,77.0915818,"Outer Ring Rd, Sunder Vihar, Paschim Vihar, New Delhi, Delhi, 110087, India",9,0,0,0,0,0,5,0,0,20,20,0,0,0,0,100,0,0,78
del008,Delhi,The Grand New Delhi,28.5392485,77.15246719999999,"Nelson Mandela Marg, Pocket 4, Vasant Kunj II, Vasant Kunj, New Delhi, Delhi 110070, India",0,0,1,6,9,0,5,0,3,4,21,12,24,90,0,0,0,60,44
del009,Delhi,ibis New Delhi Aerocity,28.551430999999997,77.123132,"IGI Rd, Aerocity, Ibis, New Delhi, Delhi, 110037, India",2,1,2,14,9,0,6,0,0,10,41,25,56,90,0,40,12,0,70
del010,Delhi,Hotel Pride Plaza,28.5528734,77.1230965,"Asset 5-A, Hospitality District, Indira Gandhi International Airport, Aerocity, New Delhi, Delhi 110037, India",2,1,2,13,7,0,6,0,0,10,37,25,52,70,0,40,12,0,68
del011,Delhi,"Radisson Blu Hotel, New Delhi Dwarka",28.5964764,77.0362777,"Dwarka City Centre, Plot 4, Sector 13, Dwarka, New Delhi, Delhi, 110078, India",12,4,2,21,22,1,4,1,4,15,68,25,84,100,20,100,50,80,100
del012,Delhi,"ITC Maurya, a Luxury Collection Hotel, New Delhi",28.597279,77.1734089,"ITC MAURYA, Sardar Patel Marg, Akhaura Block, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India",1,0,0,4,1,0,7,6,3,29,8,0,16,10,0,20,0,60,100
del013,Delhi,Hotel Decent Suites- Delhi Airport,28.5505693,77.1303434,"A Block, Road No. 6, Block RZ, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India",2,1,2,14,12,1,8,0,0,9,42,25,56,100,20,40,12,0,73
del014,Delhi,HOTEL AIRPORT CITY,28.5469008,77.1263599,"A -11, Rd Number 1, Block B, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India",2,1,2,14,13,1,8,0,0,10,42,25,56,100,20,40,12,0,76
del015,Delhi,"Hotel LA, New Delhi",28.686980000000002,77.10218689999999,"Road No - 43, Community Center, Plot A-1 & A-2, Mahaveer Hospital Road, nr. West Enclave, Mangolpuri Industrial Area Phase II, Phase 2, Pocket D, Industrial Area, Pitampura, New Delhi, Delhi, 110083, India",2,0,0,0,0,0,4,0,1,18,8,0,0,0,0,40,0,20,68
del016,Delhi,Bloom Hotel - Karol Bagh,28.6454114,77.1905177,"17A/32, Gurudwara Rd, near Decor World, Block 10, WEA, Karol Bagh, New Delhi, Delhi, 110005, India",9,2,1,26,25,3,8,0,4,27,63,12,100,100,60,100,25,80,100
del017,Delhi,"De Pavilion Hotel, Delhi",28.550575499999997,77.1309965,"250-A, Road No. 6, Block RZ, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India",2,1,2,13,12,1,8,0,0,9,42,25,52,100,20,40,12,0,73
