hotel_id,place_id,display_name,formatted_address
del001,ChIJw1CAvjH9DDkRuAxJNsAqajk,The Lalit New Delhi,"Fire Brigade Lane, Barakhamba, New Delhi, Delhi 110001, India"
del002,ChIJAQAAMLD-DDkRdPtt8LsVujA,"Radisson Blu Plaza Hotel, Delhi Airport","Near, Nh 8, Block R, Mahipalpur Extension, Mahipalpur, New Delhi, Delhi 110037, India"
del003,ChIJDbwn9uHiDDkRBBQtqfRdwkA,"The Oberoi, New Delhi","Dr Zakir Hussain Marg, Delhi Golf Club, Golf Links, New Delhi, Delhi 110003, India"
del004,ChIJ-cFw1QcDDTkRZHlhKN9WUNs,Hotel O Delhi,"Metro Pillar No. 88, 8/32, opposite Multi Level Parking, behind Haldirams, Block 8, WEA, Karol Bagh, New Delhi, Delhi, 110005, India"
del005,ChIJe4zp0KMdDTkRm90YLrHBVg8,"Taj Palace, New Delhi","Taj Palace, 2, Sardar Patel Marg, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India"
del006,ChIJJZbTaLPiDDkR0iCsQ0HteV4,The Park,"Gurudwara, 15, Sansad Marg, near Bangla Sahib Road, near VFS Visa Centre, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India"
del007,ChIJFzlAtHoEDTkRWL-rjvV_XKE,"Radisson Blu Hotel, New Delhi Paschim Vihar","Outer Ring Rd, Sunder Vihar, Paschim Vihar, New Delhi, Delhi, 110087, India"
del008,ChIJB-shS9_jDDkRQQSbddJ0GOU,The Grand New Delhi,"Nelson Mandela Marg, Pocket 4, Vasant Kunj II, Vasant Kunj, New Delhi, Delhi 110070, India"
del009,ChIJY6PJh2kcDTkRybb5KBGcqIY,ibis New Delhi Aerocity,"IGI Rd, Aerocity, Ibis, New Delhi, Delhi, 110037, India"
del010,ChIJuWJbafgdDTkRgrD6U1ZCKtc,Hotel Pride Plaza,"Asset 5-A, Hospitality District, Indira Gandhi International Airport, Aerocity, New Delhi, Delhi 110037, India"
del011,ChIJNVRyWcgaDTkRj3BVa6ccnAo,"Radisson Blu Hotel, New Delhi Dwarka","Dwarka City Centre, Plot 4, Sector 13, Dwarka, New Delhi, Delhi, 110078, India"
del012,ChIJLy-pP0AdDTkRFML0H0_aU38,"ITC Maurya, a Luxury Collection Hotel, New Delhi","ITC MAURYA, Sardar Patel Marg, Akhaura Block, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India"
del013,ChIJgeOd8K4dDTkRDLEwgrfmGwk,Hotel Decent Suites- Delhi Airport,"A Block, Road No. 6, Block RZ, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
del014,ChIJHaWKGvAdDTkR1l7uIkF9HwE,HOTEL AIRPORT CITY,"A -11, Rd Number 1, Block B, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
del015,ChIJPWZW_gkEDTkRvJ3DTtFoPVQ,"Hotel LA, New Delhi","Road No - 43, Community Center, Plot A-1 & A-2, Mahaveer Hospital Road, nr. West Enclave, Mangolpuri Industrial Area Phase II, Phase 2, Pocket D, Industrial Area, Pitampura, New Delhi, Delhi, 110083, India"
del016,ChIJf9AdFZ0DDTkROoUXx6i7QvM,Bloom Hotel - Karol Bagh,"17A/32, Gurudwara Rd, near Decor World, Block 10, WEA, Karol Bagh, New Delhi, Delhi, 110005, India"
del017,ChIJGSgZBUEcDTkRRd8_ULbNj6U,"De Pavilion Hotel, Delhi","250-A, Road No. 6, Block RZ, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
del018,ChIJtRHB2kD9DDkRUY0APHYy8cI,Hotel Gold Regency,"4350, Main Bazar Rd, Bagichi Ramchander, Kaseru Walan, Paharganj, New Delhi, Delhi, 110055, India"
del019,ChIJqbcKFGkcDTkRL3QOLixS8iI,JW Marriott Hotel New Delhi Aerocity,"Asset Area 4 - Hospitality District Delhi, Aerocity, New Delhi, Delhi 110037, India"
del020,ChIJSYldhsvkDDkRzAmX8vxgfs0,Park Inn by Radisson New Delhi IP Extension,"Plot No. 6A, I.P.Extension, Patparganj, New Delhi, Delhi, 110092, India"
del021,ChIJ0eh7Mf8bDTkRgCXeEZ2x5kA,"Four Points by Sheraton New Delhi, Airport Highway","Plot No 9, National Highway 8, D Block, Samalka, New Delhi, Delhi 110097, India"
del022,ChIJ5RjjCirlDDkR5wrzax-BZEs,HR Grand Hotel,"256/9, Main Road, behind Apollo Hospital, Pocket 10B, Jasola Vihar, New Delhi, Delhi 110025, India"
del023,ChIJUSFeDx39DDkRUZ0AnE3rqmo,The Metropolitan Hotel & Spa,"THE METROPOLITAN HOTEL, Sector 4, Gole Market, New Delhi, Delhi 110001, India"
del024,ChIJGwNKtJ_iDDkRzM29RVCaCN8,The Ashok,"50, Niti Marg, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India"
del025,ChIJ6WZ8vfThDDkRF0B00AQtb3U,Sheraton New Delhi Hotel,"Saket District Centre, District Centre, Sector 6, Saket, New Delhi, Delhi 110017, India"
del026,ChIJ01RYkd0dDTkRcowtxjOpraI,Foxoso Delhi Airport - T3,"10 A, near Vishal Mega Mart, L block, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
del027,ChIJQcH65xwdDTkRcF0kAI2f3WI,Hotel Pearl Mahipalpur Delhi Airport,"Delhi Airport, A 92, Rd Number 2, near Aerocity, Block B, N.H-48, Mahipalpur, New Delhi, Delhi 110037, India"
del028,ChIJBXnLrFvhDDkRAiQRIACRglQ,Crowne Plaza New Delhi Okhla by IHG,"Community Center, Plot No. 1, Pocket A, Okhla Phase I, Okhla, New Delhi, Delhi 110020, India"
del029,ChIJpattQWkcDTkRvGRvDsXAetM,"Lemon Tree Premier, Delhi Airport","Asset No. 6, Indira Gandhi Int'l Airport, 6, Northern Access Rd, Aerocity, New Delhi, Delhi 110037, India"
del030,ChIJF6F7gOEaDTkRsbOosIh1sUk,"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travelers","District Center, Plot No.3, Sector 10 Dwarka, Dwarka, New Delhi, Delhi, 110075, India"
del031,ChIJ58c5DMriDDkRIdu-LiFHx4I,Le Méridien New Delhi,"Windsor Pl, Connaught Place, New Delhi, Delhi 110001, India"
del032,ChIJd-QC6zX9DDkRqWwtu31Dj84,The Imperial New Delhi,"Janpath Ln, Janpath, Connaught Place, New Delhi, Delhi 110001, India"
del033,ChIJl3TF8RYdDTkRyaLZH-V1eEo,Hotel Festival Mahipalpur Delhi Airport,"KH No 415/2, Airport NH-8, Rd Number 2, near IGI Road, Aerocity, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
del034,ChIJVVVVJdQDDTkRyYcuYnqjUqc,Hotel City Park- Hotels in Delhi,"City Park, Adarsh Nagar, Block KP, Poorvi Pitampura, Pitampura, Delhi, 110034, India"
del035,ChIJvfDCaMerDTkRij3h8iw-1bM,Tivoli Grand Resort Hotel,"Main, GT Karnal Rd, opp. Sai Baba Mandir, Alipur, New Delhi, Delhi, 110036, India"
del036,ChIJ889s5WgcDTkRWbiDhs9kfDc,"Andaz Delhi, by Hyatt","Asset No. 1, Aerocity, New Delhi, Delhi 110037, India"
del037,ChIJTWxjE0z9DDkRWK-rr0q_d7w,Hotel The Magic Tree - Paharganj New Delhi,"1826, 1827, Lakshmi Narayan St, Chuna Mandi, Paharganj, New Delhi, Delhi 110055, India"
del038,ChIJWT9tW5AdDTkRrVM7VtKZjw8,Airport Hotel Royal Inn igi,"70, near IGI Road, L block, Mahipalpur Extension, Airport, New Delhi, Delhi 110037, India"
del039,ChIJl0eXb2AdDTkR99fS9QTynaM,"The Leela Palace, New Delhi","Africa Ave, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110023, India"
del040,ChIJJZbBIxcdDTkRWHSDuiBGNDc,Hotel Delhi 37,"A-147, National Highway No-08, Near, IGI Rd, Block RZ, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
del041,ChIJK7IvNhUcDTkRJuiQWy3VMfE,Hotel Viva Palace,"443, Street Number 7, L block, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
del042,ChIJ_7dctsT9DDkRA8tKV5lWFa4,The Prime Delhi,"2352-54, Chuna Mandi, Paharganj, New Delhi, Delhi 110055, India"
del043,ChIJUQbQB0L9DDkR4kMbtnRzQps,Hotel Sun International- Budget Hotel near New Delhi Railway Station,"7875, Arakashan Rd, Prem Nagar, Ram Nagar, Paharganj, New Delhi, Delhi 110055, India"
del044,ChIJwf_MRAD9DDkRznzk4HA4_kI,Hotel Gold palace,"4563, Main Bazar Rd, Main Bazar, Kaseru Walan, Paharganj, New Delhi, Delhi, 110055, India"
del045,ChIJ0R_nhcriDDkRDN1R9jpuGKM,Shangri-La Eros New Delhi,"19, Ashoka Rd, Janpath, Connaught Place, New Delhi, Delhi 110001, India"
del046,ChIJSd7DxXkdDTkR_kNlrRYEIPk,NewDelhi Hotel Citizen,"L 42A/354, near Bank of Baroda, Block R, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
del047,ChIJBb3mYrQdDTkRv0Dx43jGpGQ,Hotel Urban Tree,"KH-398/2, Rd Number 2, Block A, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India"
del048,ChIJY6Gyi5UCDTkRmjXmCUzwY6w,Jaypee Siddharth - 5 Star Luxury Hotels in Delhi,"3, Rajendra Place, New Delhi, Delhi 110008, India"
del049,ChIJTelod2r9DDkRNcR4Skjiyg4,Hotel Delhi Regency,"Hotel Delhi Regency, 8184-85, Arakashan Rd, Multani Dhanda, Paharganj, New Delhi, Delhi 110055, India"
del050,ChIJw24RZZTjDDkRliDrTFWVODY,Hotel The Royal Plaza,"19, Ashoka Rd, Janpath, Connaught Place, New Delhi, Delhi 110001, India"
del051,ChIJ5-z-Hc_jDDkRZyU2Wz8Mae4,Eros Hotel New Delhi Nehru Place,"EROS HOTEL, Nehru Place, New Delhi, Delhi 110019, India"
del052,ChIJI1fsiqb9DDkRxxtLxlsOTNA,Maidens Hotel,"7, Sham Nath Marg, Prema Kunj, Civil Lines, New Delhi, Delhi, 110054, India"
del053,ChIJp5HEBvEbDTkRUZfbGY7nZsE,Ashok Country Resort,"30 Rajokri Road, D Block, Kapas Hera, New Delhi, Delhi 110097, India"
del054,ChIJxfQBwkj9DDkR0O1jIgQi6oE,"The Connaught, New Delhi - IHCL SeleQtions","37, Shaheed Bhagat Singh Marg, Shivaji Stadium, Connaught Place, New Delhi, Delhi 110001, India"
del055,ChIJQyYXEzf9DDkR5QTe2w_zVPM,Hotel Palace Heights,"D-26/28, RADIAL ROAD NO 6, BEHIND ODEON CINEMA, 11001, Hotel Palace Heights, D-26/28, Radial Road No.6, D Block, Connaught Place, New Delhi, Delhi 110001, India"
del056,ChIJ7bfQAnIcDTkR6QuFSvjr3e4,"Red Fox by Lemon Tree Hotels, Delhi Airport","Asset No 6, Red Fox Hotel, IGI Rd, next to Lemon Tree Premier, Aerocity, New Delhi, Delhi 110037, India"
del057,ChIJMdyRYz_9DDkR4yFKmyfjev0,Hotel Pink City,"4252, Katra Neel Rd, opposite Railway Station, Ratan Lal Market, Aram Bagh, Paharganj, New Delhi, Delhi, 110055, India"
del058,ChIJ7yY1S0AcDTkRZIaCEtrF_-A,"Taurus Sarovar Portico Hotel, New Delhi","Igi Airport Road, Gurgaon - Delhi Expy, Block B, Mahipalpur Extension, Mahipalpur, New Delhi, Delhi 110037, India"
del059,ChIJEaA-2MPiDDkR6C6xllFemnE,"Taj Mahal, New Delhi","Taj Mahal, New Delhi Number 1, South Block, Man Singh Road Area, New Delhi, Delhi 110011, India"
del060,ChIJUXQfIkD9DDkRcVucp8aFAD8,Hotel Woodland Deluxe,"8235, 6, Arakashan Rd, Multani Dhanda, Paharganj, New Delhi, Delhi 110055, India"
del061,ChIJfZabjD_9DDkR0siMJiwLzR8,Hotel Ajanta - Free Airport Pick Up Service,"8647, Arakashan Rd, Ram Nagar, Paharganj, New Delhi, Delhi 110055, India"
del062,ChIJMxiT1OH9DDkRU1GuGjDKbsU,The Grand Uddhav,"4953-54, Ramdwara Rd, Bagichi Ramchander, Nehru Bazar, Paharganj, New Delhi, Delhi 110055, India"
del063,ChIJX0S8fIMdDTkRbGj9XIX3Ejs,Hyatt Regency Delhi,"Ring Rd, Bhikaji Cama Place, Rama Krishna Puram, New Delhi, Delhi 110066, India"
del064,ChIJU49SbgD9DDkR-M6pCRWvU3Q,Hotel Horizon By Shanti,"8688-8689, Arakashan Rd, near St. Anthony School, Arya Nagar, Paharganj, New Delhi, Delhi 110055, India"
del065,ChIJZ4NoknoEDTkR8Mpe-A1kvxA,Hotel Waterfall Paschim Vihar New delhi,"A-3, Outer Ring Rd, Shubham Enclave, Main, Paschim Vihar, New Delhi, Delhi, 110063, India"
del066,ChIJsWZJJEH9DDkRLIvrsH_SoIY,Hotel Hari Piorko,"4775 Main Bazar, Tooti Chowk, near 6, Bazar Sangatrashan, Bagichi Ramchander, Aram Bagh, Paharganj, New Delhi, Delhi 110055, India"
del067,ChIJ52dGUtcDDTkR9ccRlGw9PG0,Hotel White Saffron By F9 Hotels,"182, Vaishali, Dakshini Pitampura, Pitampura, New Delhi, Delhi, 110034, India"
del068,ChIJKxoe42scDTkR2juAJzvf8D8,Roseate House,"Asset 10, Northern Access Rd, Aerocity, Hospitality District, Indira Gandhi International Airport, New Delhi, Delhi 110037, India"
del069,ChIJlcln2EP9DDkROnn1qO-48TA,Jyoti Mahal A Royal Heritage Hotel - 10 Mins from New Delhi Railway station & 2Mins From Metro.,"2488 - 90, Nalwa Street Aram Bagh, Bazar Sangatrashan, Chuna Mandi, Paharganj, New Delhi, Delhi 110055, India"
del070,ChIJDaWrNO7iDDkRjGd9KR2dnw8,The Lodhi,"Lodhi Rd, CGO Complex, Pragati Vihar, New Delhi, Delhi 110003, India"
del071,ChIJBUyBs_EBDTkR6NDsh_942IY,GALLIVANTO INN,"Building no- 60, near primary school, Badli, Rohini, Delhi, 110042, India"
del072,ChIJoXCAC4UCDTkR74kNa9O7gqI,Hotel Sunshine Delhi,"17B, 21, Desh Bandhu Gupta Rd, behind MCD office Karol Bagh, Christian Colony, Block 17 B, Dev Nagar, Karol Bagh, Delhi, 110005, India"
del073,ChIJUy66hJ79DDkRvKr2xkN1Cms,Hotel Star Villa,"98-99, KRISHNA GALI, Main Bazar, Aram Bagh, Paharganj, New Delhi, Delhi, 110055, India"
del074,ChIJda712aMDDTkRHVw3A7xAp0Q,Seven Seas Hotel,"12, M2K Rd, Mangalam Place, Rohini, New Delhi, Delhi, 110085, India"
del075,ChIJ0yLaR0H9DDkR4ItbT8FxMO8,Hotel Shelton,"5043, Main Bazar Rd, near six tooti chowk, Bazar Sangatrashan, Bharat Nagar, Paharganj, Delhi, New Delhi, Delhi 110055, India"
del076,ChIJHz7lHYbkDDkRQZl9dr2Tnkw,Crowne Plaza New Delhi Mayur Vihar Noida by IHG,"District Centre, 13 B, Mayur Place, Mayur Vihar, New Delhi, Delhi, 110091, India"
del077,ChIJV7Tarzf9DDkRhgc0y-Qqgkw,"Radisson Blu Marina Hotel, Delhi Connaught Place","G-59 Connaught Circus, Block G, Connaught Place, New Delhi, Delhi 110001, India"
del078,ChIJsRPVdQ79DDkR_oNDxRA6InE,Hotel Le Mem,"741-745, railway station, Church Mission Rd, opposite old delhi, Cloth Market, Katra Ghel, Khari Baoli, Chandni Chowk, Delhi, 110006, India"
