hotel_id,landmark_type,landmark_name,distance_km,travel_time_minutes,traffic_aware
hyd001,airport,Rajiv Gandhi International Airport,21.36,,False
hyd001,railway,Hyderabad Deccan (Nampally),4.18,,False
hyd001,bus,MGBS Bus Stand,5.49,,False
hyd001,business,HITEC City,10.49,,False
hyd001,charminar,Charminar,7.09,,False
hyd002,airport,Rajiv Gandhi International Airport,19.08,,False
hyd002,railway,Hyderabad Deccan (Nampally),1.79,,False
hyd002,bus,MGBS Bus Stand,3.8,,False
hyd002,business,HITEC City,9.39,,False
hyd002,charminar,Charminar,5.16,,False
hyd003,airport,Rajiv Gandhi International Airport,23.87,,False
hyd003,railway,Hyderabad Deccan (Nampally),11.41,,False
hyd003,bus,MGBS Bus Stand,13.59,,False
hyd003,business,HITEC City,1.37,,False
hyd003,charminar,Charminar,14.12,,False
hyd004,airport,Rajiv Gandhi International Airport,26.55,,False
hyd004,railway,Hyderabad Deccan (Nampally),13.5,,False
hyd004,bus,MGBS Bus Stand,15.74,,False
hyd004,business,HITEC City,3.37,,False
hyd004,charminar,Charminar,16.43,,False
hyd005,airport,Rajiv Gandhi International Airport,20.67,,False
hyd005,railway,Hyderabad Deccan (Nampally),3.58,,False
hyd005,bus,MGBS Bus Stand,5.69,,False
hyd005,business,HITEC City,8.02,,False
hyd005,charminar,Charminar,7.0,,False
hyd006,airport,Rajiv Gandhi International Airport,23.22,,False
hyd006,railway,Hyderabad Deccan (Nampally),11.2,,False
hyd006,bus,MGBS Bus Stand,13.34,,False
hyd006,business,HITEC City,1.68,,False
hyd006,charminar,Charminar,13.79,,False
hyd007,airport,Rajiv Gandhi International Airport,23.06,,False
hyd007,railway,Hyderabad Deccan (Nampally),10.65,,False
hyd007,bus,MGBS Bus Stand,12.81,,False
hyd007,business,HITEC City,1.12,,False
hyd007,charminar,Charminar,13.31,,False
hyd008,airport,Rajiv Gandhi International Airport,18.08,,False
hyd008,railway,Hyderabad Deccan (Nampally),0.79,,False
hyd008,bus,MGBS Bus Stand,2.71,,False
hyd008,business,HITEC City,10.12,,False
hyd008,charminar,Charminar,4.06,,False
hyd009,airport,Rajiv Gandhi International Airport,21.85,,False
hyd009,railway,Hyderabad Deccan (Nampally),9.84,,False
hyd009,bus,MGBS Bus Stand,11.93,,False
hyd009,business,HITEC City,1.92,,False
hyd009,charminar,Charminar,12.33,,False
hyd010,airport,Rajiv Gandhi International Airport,19.94,,False
hyd010,railway,Hyderabad Deccan (Nampally),3.11,,False
hyd010,bus,MGBS Bus Stand,5.34,,False
hyd010,business,HITEC City,7.71,,False
hyd010,charminar,Charminar,6.52,,False
hyd011,airport,Rajiv Gandhi International Airport,19.71,,False
hyd011,railway,Hyderabad Deccan (Nampally),3.34,,False
hyd011,bus,MGBS Bus Stand,5.62,,False
hyd011,business,HITEC City,7.11,,False
hyd011,charminar,Charminar,6.66,,False
hyd012,airport,Rajiv Gandhi International Airport,19.99,,False
hyd012,railway,Hyderabad Deccan (Nampally),3.73,,False
hyd012,bus,MGBS Bus Stand,6.01,,False
hyd012,business,HITEC City,6.76,,False
hyd012,charminar,Charminar,7.03,,False
hyd013,airport,Rajiv Gandhi International Airport,5.24,,False
hyd013,railway,Hyderabad Deccan (Nampally),17.24,,False
hyd013,bus,MGBS Bus Stand,16.51,,False
hyd013,business,HITEC City,21.09,,False
hyd013,charminar,Charminar,14.95,,False
hyd014,airport,Rajiv Gandhi International Airport,19.88,,False
hyd014,railway,Hyderabad Deccan (Nampally),3.41,,False
hyd014,bus,MGBS Bus Stand,5.69,,False
hyd014,business,HITEC City,7.14,,False
hyd014,charminar,Charminar,6.76,,False
hyd015,airport,Rajiv Gandhi International Airport,24.08,,False
hyd015,railway,Hyderabad Deccan (Nampally),12.71,,False
hyd015,bus,MGBS Bus Stand,14.82,,False
hyd015,business,HITEC City,3.05,,False
hyd015,charminar,Charminar,15.22,,False
hyd016,airport,Rajiv Gandhi International Airport,23.2,,False
hyd016,railway,Hyderabad Deccan (Nampally),5.95,,False
hyd016,bus,MGBS Bus Stand,7.82,,False
hyd016,business,HITEC City,8.45,,False
hyd016,charminar,Charminar,9.29,,False
hyd017,airport,Rajiv Gandhi International Airport,20.28,,False
hyd017,railway,Hyderabad Deccan (Nampally),4.39,,False
hyd017,bus,MGBS Bus Stand,6.67,,False
hyd017,business,HITEC City,6.03,,False
hyd017,charminar,Charminar,7.62,,False
hyd018,airport,Rajiv Gandhi International Airport,23.24,,False
hyd018,railway,Hyderabad Deccan (Nampally),11.2,,False
hyd018,bus,MGBS Bus Stand,13.34,,False
hyd018,business,HITEC City,1.67,,False
hyd018,charminar,Charminar,13.8,,False
hyd019,airport,Rajiv Gandhi International Airport,19.21,,False
hyd019,railway,Hyderabad Deccan (Nampally),2.01,,False
hyd019,bus,MGBS Bus Stand,3.49,,False
hyd019,business,HITEC City,10.29,,False
hyd019,charminar,Charminar,5.02,,False
hyd020,airport,Rajiv Gandhi International Airport,23.65,,False
hyd020,railway,Hyderabad Deccan (Nampally),11.27,,False
hyd020,bus,MGBS Bus Stand,13.43,,False
hyd020,business,HITEC City,1.34,,False
hyd020,charminar,Charminar,13.95,,False
hyd021,airport,Rajiv Gandhi International Airport,19.22,,False
hyd021,railway,Hyderabad Deccan (Nampally),2.89,,False
hyd021,bus,MGBS Bus Stand,5.17,,False
hyd021,business,HITEC City,7.44,,False
hyd021,charminar,Charminar,6.17,,False
hyd022,airport,Rajiv Gandhi International Airport,23.83,,False
hyd022,railway,Hyderabad Deccan (Nampally),10.77,,False
hyd022,bus,MGBS Bus Stand,12.98,,False
hyd022,business,HITEC City,0.54,,False
hyd022,charminar,Charminar,13.59,,False
hyd023,airport,Rajiv Gandhi International Airport,21.58,,False
hyd023,railway,Hyderabad Deccan (Nampally),4.66,,False
hyd023,bus,MGBS Bus Stand,6.82,,False
hyd023,business,HITEC City,7.2,,False
hyd023,charminar,Charminar,8.1,,False
hyd024,airport,Rajiv Gandhi International Airport,20.52,,False
hyd024,railway,Hyderabad Deccan (Nampally),5.45,,False
hyd024,bus,MGBS Bus Stand,7.71,,False
hyd024,business,HITEC City,4.81,,False
hyd024,charminar,Charminar,8.5,,False
hyd025,airport,Rajiv Gandhi International Airport,23.05,,False
hyd025,railway,Hyderabad Deccan (Nampally),10.72,,False
hyd025,bus,MGBS Bus Stand,12.87,,False
hyd025,business,HITEC City,1.23,,False
hyd025,charminar,Charminar,13.36,,False
hyd026,airport,Rajiv Gandhi International Airport,22.43,,False
hyd026,railway,Hyderabad Deccan (Nampally),14.22,,False
hyd026,bus,MGBS Bus Stand,16.05,,False
hyd026,business,HITEC City,6.46,,False
hyd026,charminar,Charminar,16.05,,False
hyd027,airport,Rajiv Gandhi International Airport,18.44,,False
hyd027,railway,Hyderabad Deccan (Nampally),2.04,,False
hyd027,bus,MGBS Bus Stand,4.31,,False
hyd027,business,HITEC City,8.2,,False
hyd027,charminar,Charminar,5.26,,False
hyd028,airport,Rajiv Gandhi International Airport,20.76,,False
hyd028,railway,Hyderabad Deccan (Nampally),3.78,,False
hyd028,bus,MGBS Bus Stand,5.93,,False
hyd028,business,HITEC City,7.67,,False
hyd028,charminar,Charminar,7.21,,False
hyd029,airport,Rajiv Gandhi International Airport,21.82,,False
hyd029,railway,Hyderabad Deccan (Nampally),13.59,,False
hyd029,bus,MGBS Bus Stand,15.39,,False
hyd029,business,HITEC City,6.19,,False
