hotel_id,place_id,display_name,formatted_address,latitude,longitude,rating,user_rating_count,price_level,business_status,city,place_uri,directions_uri,reviews_uri,photos_uri,write_review_uri,website_uri,phone_number,international_phone,opening_hours,types,editorial_summary,serves_vegetarian_food,serves_breakfast,serves_lunch,serves_dinner,serves_brunch,serves_beer,serves_wine,serves_cocktails,allows_dogs,good_for_children,good_for_groups,good_for_watching_sports,live_music,menu_for_children,outdoor_seating,reservable,delivery,takeout,curbside_pickup,dine_in,restroom,wheelchair_accessible_entrance,wheelchair_accessible_parking,accepts_credit_cards,accepts_debit_cards,accepts_cash_only,parking_free,parking_paid,parking_street,parking_garage,valet_parking,ev_charging_available,fuel_options,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score,hospitals_count_1km,pharmacies_count_1km,banks_count_1km,restaurants_count_1km,shopping_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km
hyd001,ChIJgeE2cPeZyzsRW4Yql-JFFkk,Hyderabad Marriott Hotel & Convention Centre,"Tank Bund Rd, opposite Hussain Sagar, Bhagyalaxmi Nagar, Lake, Hyderabad, Telangana 500080, India",17.4242848,78.4871452,4.4,21064,,OPERATIONAL,Hyderabad,https://maps.google.com/?cid=5266473653757445723&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bcb99f77036e181:0x491645e2972a865b!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bcb99f77036e181:0x491645e2972a865b!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb99f77036e181:0x491645e2972a865b!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb99f77036e181:0x491645e2972a865b!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.marriott.com/en-us/hotels/hydmc-hyderabad-marriott-hotel-and-convention-centre/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,040 6652 2999,+91 40 6652 2999,,"[""hotel"", ""wedding_venue"", ""lodging"", ""event_venue"", ""point_of_interest"", ""establishment""]","Sleek, modern rooms, some with lake views in an upscale hotel with 2 restaurants & an outdoor pool.",,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,False,,,,,,False,,18,0,4,40,0,60,0,100,100,3,0,4,1,0,0,12,0,6,51
hyd002,ChIJVfQrJVyXyzsRZwxPZ74BlcU,Amrutha Castle,"5-9-16, NH 44, opposite State Secretariat, Ambedkar Colony, Khairtabad, Hyderabad, Telangana 500004, India",17.4076886,78.469107,4,16047,,OPERATIONAL,Hyderabad,https://maps.google.com/?cid=14237287714290338919&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bcb975c252bf455:0xc59501be674f0c67!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bcb975c252bf455:0xc59501be674f0c67!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb975c252bf455:0xc59501be674f0c67!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb975c252bf455:0xc59501be674f0c67!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,040 4443 3888,+91 40 4443 3888,,"[""hotel"", ""lodging"", ""bar"", ""point_of_interest"", ""establishment""]","Stylish quarters in an upscale Bavarian-style lodging with 2 restaurants, a rooftop pool & a gym.",,,,,,,,,,True,,,,,,,True,,,,False,True,True,True,True,False,,,,,,False,,71,37,100,100,0,100,37,100,100,17,3,25,27,3,0,18,0,8,37
hyd003,ChIJHalco96TyzsRUlJsvzAyi2w,"Trident, Hyderabad","Survey No.64, Hitech City Main Road, HITECH City, Jubilee Enclave, Madhapur, Hyderabad, Telangana 500081, India",17.449441,78.3786159,4.5,15881,,OPERATIONAL,Hyderabad,https://maps.google.com/?cid=7821400362810364498&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bcb93dea35ca91d:0x6c8b3230bf6c5252!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bcb93dea35ca91d:0x6c8b3230bf6c5252!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb93dea35ca91d:0x6c8b3230bf6c5252!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb93dea35ca91d:0x6c8b3230bf6c5252!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.tridenthotels.com/hotels-in-hyderabad?utm_source=GMBlisting&utm_medium=organic,040 6623 2323,+91 40 6623 2323,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Sophisticated hotel with an infinity pool & a spa, plus Indian & Italian restaurants.",,,,,,,,,,True,,,,,,True,True,True,True,True,,True,True,,,,,,,,,False,,66,37,100,100,20,100,12,100,100,11,1,31,57,3,1,8,0,11,12
hyd004,ChIJqfUnCjKSyzsRmxVciMDp__c,Novotel Hyderabad Convention Centre,"Near, Hitec City P.O Bag 1101, Izzathnagar, Hyderabad, Telangana 500081, India",17.4728501,78.3728443,4.6,26008,,OPERATIONAL,Hyderabad,https://maps.google.com/?cid=17870258859560146331&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bcb92320a27f5a9:0xf7ffe9c0885c159b!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bcb92320a27f5a9:0xf7ffe9c0885c159b!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb92320a27f5a9:0xf7ffe9c0885c159b!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb92320a27f5a9:0xf7ffe9c0885c159b!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6182&merchantid=seo-maps-IN-6182&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,040 6606 7000,+91 40 6606 7000,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Contemporary business hotel with an outdoor pool, a spa & a fitness centre, plus restaurants.",,,True,,,,,,,True,,,,,,,,True,,True,,True,True,,True,False,,,,,,False,,30,12,28,20,0,80,12,60,53,4,1,2,7,1,0,4,0,3,6
hyd005,ChIJS_vvpBSXyzsR40GrdQo2a6Y,THE PARK HYDERABAD,"22, Raj Bhavan Rd, Somajiguda, Hyderabad, Telangana 500082, India",17.423517399999998,78.462544,4.2,20107,,OPERATIONAL,Hyderabad,https://maps.google.com/?cid=11991737851355808227&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bcb9714a4effb4b:0xa66b360a75ab41e3!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bcb9714a4effb4b:0xa66b360a75ab41e3!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb9714a4effb4b:0xa66b360a75ab41e3!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb9714a4effb4b:0xa66b360a75ab41e3!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.theparkhotels.com/hyderabad/,040 4499 0000,+91 40 4499 0000,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Glam hotel featuring lake views, a spa & an outdoor pool, plus 3 restaurants, 2 bars & a nightclub.",,,,,,,,,,True,,,,,,,,,,,,True,True,,True,False,,,,,,False,,82,75,92,100,0,100,50,100,100,14,4,15,23,6,0,15,0,14,42
hyd006,ChIJEQjTFueTyzsRNlGMHopAjpE,"Red Fox by Lemon Tree Hotels, Hyderabad","Survey No. 64, Plot No. 2, Hitech City Main Rd, Phase 2, Madhapur, Hyderabad, Telangana 500081, India",17.4430045,78.3766563,4.5,2131,,OPERATIONAL,Hyderabad,https://maps.google.com/?cid=10488391544154640694&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bcb93e716d30811:0x918e408a1e8c5136!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bcb93e716d30811:0x918e408a1e8c5136!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb93e716d30811:0x918e408a1e8c5136!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb93e716d30811:0x918e408a1e8c5136!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.lemontreehotels.com/red-fox-hotel/hyderabad/hotels-hyderabad?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,040 4448 4848,+91 40 4448 4848,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""gym"", ""lodging"", ""event_venue"", ""sports_activity_location"", ""restaurant"", ""food"", ""health"", ""point_of_interest"", ""establishment""]","Unassuming hotel offering unfussy quarters & an informal cafe, plus complimentary breakfast.",True,False,True,True,True,False,False,False,,True,,True,False,True,,True,True,True,True,True,True,True,True,,True,False,,,,,,False,,64,37,100,100,20,100,0,100,100,5,0,15,34,3,1,8,0,10,10
hyd007,ChIJk8SsT-CTyzsRdujRl8Gt36o,"Deccan Serai Hotel, HITEC CITY, HYDERABAD","Survey No 82, Raheja Mindspace, 84, HUDA Techno Enclave, HITEC City, Hyderabad, Telangana 500081, India",17.442849199999998,78.3826125,4.4,34844,,OPERATIONAL,Hyderabad,https://maps.google.com/?cid=12312750953241634934&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bcb93e04facc493:0xaadfadc197d1e876!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bcb93e04facc493:0xaadfadc197d1e876!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb93e04facc493:0xaadfadc197d1e876!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb93e04facc493:0xaadfadc197d1e876!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://hitechcity.deccanserai.com/,084449 19999,+91 84449 19999,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""swimming_pool"", ""convention_center"", ""banquet_hall"", ""fine_dining_restaurant"", ""motel"", ""gym"", ""lodging"", ""indian_restaurant"", ""event_venue"", ""sports_activity_location"", ""food_store"", ""restaurant"", ""food"", ""store"", ""health"", ""point_of_interest"", ""establishment""]","Informal hotel offering an Indian restaurant & complimentary breakfast, plus a gym.",,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,False,,,,,,False,,87,50,100,100,20,100,100,100,100,15,9,43,96,4,1,7,0,10,12
hyd008,ChIJfXxgtWSXyzsRHp_B6tZ6mVo,The Grand Plaza Hotel,"5-9-88/A/1, Opposite Assembly Metro Station, Pillar No: A 1255, Public Gardens, A 1255, Public Garden Rd, beside Hajj House Lane, Fateh Maidan, Nampally, Hyderabad, Telangana 500001, India",17.397975199999998,78.4710295,3.7,1601,,OPERATIONAL,Hyderabad,https://maps.google.com/?cid=6528384198330392350&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bcb9764b5607c7d:0x5a997ad6eac19f1e!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bcb9764b5607c7d:0x5a997ad6eac19f1e!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb9764b5607c7d:0x5a997ad6eac19f1e!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb9764b5607c7d:0x5a997ad6eac19f1e!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,081068 28111,+91 81068 28111,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""guest_house"", ""extended_stay_hotel"", ""bed_and_breakfast"", ""banquet_hall"", ""wedding_venue"", ""lodging"", ""indian_restaurant"", ""event_venue"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Straightforward hotel offering a restaurant, as well as breakfast & Wi-Fi.",,,,,,,,,,True,,,,,,,,,,,,,True,,True,,,,,,,False,,73,12,100,100,20,100,75,100,100,17,6,29,27,1,1,22,0,12,40
hyd009,ChIJ9XmaoIiTyzsRnJ7stUGY-Z8,"ITC Kohenur, a Luxury Collection Hotel, Hyderabad","Survey No, 83/1, Hyderabad Knowledge City, Plot No.5, Silpa Gram Craft Village, Madhapur, Hyderabad, Telangana 500081, India",17.4321604,78.3850459,4.7,31387,,OPERATIONAL,Hyderabad,https://maps.google.com/?cid=11527412129223974556&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bcb9388a09a79f5:0x9ff99841b5ec9e9c!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bcb9388a09a79f5:0x9ff99841b5ec9e9c!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb9388a09a79f5:0x9ff99841b5ec9e9c!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb9388a09a79f5:0x9ff99841b5ec9e9c!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.marriott.com/en-us/hotels/hydlk-itc-kohenur-a-luxury-collection-hotel-hyderabad/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,040 6766 0101,+91 40 6766 0101,,"[""hotel"", ""wedding_venue"", ""lodging"", ""event_venue"", ""point_of_interest"", ""establishment""]","Polished hotel offering upscale restaurants & bars, plus lake views, a spa & a fitness centre.",,,False,True,,False,False,False,,True,,,False,,,True,,,,,True,False,True,,True,False,,,,,,False,,34,37,84,30,20,20,0,100,100,1,0,3,21,3,1,7,0,7,15
hyd010,ChIJJehaIEmXyzsR2B6fRlyYon4,Mercure Hyderabad KCP,"6-3-551, Banjara Hills Main Rd, Irram Manzil Colony, Punjagutta, Hyderabad, Telangana 500082, India",17.4176772,78.4566974,4.5,13008,,OPERATIONAL,Hyderabad,https://maps.google.com/?cid=9125023317095292632&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bcb9749205ae825:0x7ea2985c469f1ed8!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bcb9749205ae825:0x7ea2985c469f1ed8!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb9749205ae825:0x7ea2985c469f1ed8!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bcb9749205ae825:0x7ea2985c469f1ed8!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=8824&merchantid=seo-maps-IN-8824&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,040 6788 8888,+91 40 6788 8888,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Polished hotel offering warmly decorated rooms, plus 2 restaurants, a bar/lounge & a gym.",,,,,,,,,,True,,,,,,,,,,,,True,True,,True,False,,,,,,False,,90,100,100,100,0,100,50,100,100,23,4,17,31,9,0,14,0,14,36
