hotel_id,city,display_name,latitude,longitude,formatted_address,hospitals_count_1km,pharmacies_count_1km,shopping_count_1km,restaurants_count_1km,banks_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score
hyd001,Hyderabad,Hyderabad Marriott Hotel & Convention Centre,17.4242848,78.4871452,"Tank Bund Rd, opposite Hussain Sagar, Bhagyalaxmi Nagar, Lake, Hyderabad, Telangana 500080, India",3,0,0,1,4,0,12,0,6,51,18,0,4,40,0,60,0,100,100
hyd002,Hyderabad,Amrutha Castle,17.4076886,78.469107,"5-9-16, NH 44, opposite State Secretariat, Ambedkar Colony, Khairtabad, Hyderabad, Telangana 500004, India",17,3,3,27,25,0,18,0,8,37,71,37,100,100,0,100,37,100,100
hyd003,Hyderabad,"Trident, Hyderabad",17.449441,78.3786159,"Survey No.64, Hitech City Main Road, HITECH City, Jubilee Enclave, Madhapur, Hyderabad, Telangana 500081, India",11,1,3,57,31,1,8,0,11,12,66,37,100,100,20,100,12,100,100
hyd004,Hyderabad,Novotel Hyderabad Convention Centre,17.4728501,78.3728443,"Near, Hitec City P.O Bag 1101, Izzathnagar, Hyderabad, Telangana 500081, India",4,1,1,7,2,0,4,0,3,6,30,12,28,20,0,80,12,60,53
hyd005,Hyderabad,THE PARK HYDERABAD,17.423517399999998,78.462544,"22, Raj Bhavan Rd, Somajiguda, Hyderabad, Telangana 500082, India",14,4,6,23,15,0,15,0,14,42,82,75,92,100,0,100,50,100,100
hyd006,Hyderabad,"Red Fox by Lemon Tree Hotels, Hyderabad",17.4430045,78.3766563,"Survey No. 64, Plot No. 2, Hitech City Main Rd, Phase 2, Madhapur, Hyderabad, Telangana 500081, India",5,0,3,34,15,1,8,0,10,10,64,37,100,100,20,100,0,100,100
hyd007,Hyderabad,"Deccan Serai Hotel, HITEC CITY, HYDERABAD",17.442849199999998,78.3826125,"Survey No 82, Raheja Mindspace, 84, HUDA Techno Enclave, HITEC City, Hyderabad, Telangana 500081, India",15,9,4,96,43,1,7,0,10,12,87,50,100,100,20,100,100,100,100
hyd008,Hyderabad,The Grand Plaza Hotel,17.397975199999998,78.4710295,"5-9-88/A/1, Opposite Assembly Metro Station, Pillar No: A 1255, Public Gardens, A 1255, Public Garden Rd, beside Hajj House Lane, Fateh Maidan, Nampally, Hyderabad, Telangana 500001, India",17,6,1,27,29,1,22,0,12,40,73,12,100,100,20,100,75,100,100
hyd009,Hyderabad,"ITC Kohenur, a Luxury Collection Hotel, Hyderabad",17.4321604,78.3850459,"Survey No, 83/1, Hyderabad Knowledge City, Plot No.5, Silpa Gram Craft Village, Madhapur, Hyderabad, Telangana 500081, India",1,0,3,21,3,1,7,0,7,15,34,37,84,30,20,20,0,100,100
hyd010,Hyderabad,Mercure Hyderabad KCP,17.4176772,78.4566974,"6-3-551, Banjara Hills Main Rd, Irram Manzil Colony, Punjagutta, Hyderabad, Telangana 500082, India",23,4,9,31,17,0,14,0,14,36,90,100,100,100,0,100,50,100,100
