hotel_id,place_id,display_name,formatted_address
hyd001,ChIJgeE2cPeZyzsRW4Yql-JFFkk,Hyderabad Marriott Hotel & Convention Centre,"Tank Bund Rd, opposite Hussain Sagar, Bhagyalaxmi Nagar, Lake, Hyderabad, Telangana 500080, India"
hyd002,ChIJVfQrJVyXyzsRZwxPZ74BlcU,Amrutha Castle,"5-9-16, NH 44, opposite State Secretariat, Ambedkar Colony, Khairtabad, Hyderabad, Telangana 500004, India"
hyd003,ChIJHalco96TyzsRUlJsvzAyi2w,"Trident, Hyderabad","Survey No.64, Hitech City Main Road, HITECH City, Jubilee Enclave, Madhapur, Hyderabad, Telangana 500081, India"
hyd004,ChIJqfUnCjKSyzsRmxVciMDp__c,Novotel Hyderabad Convention Centre,"Near, Hitec City P.O Bag 1101, Izzathnagar, Hyderabad, Telangana 500081, India"
hyd005,ChIJS_vvpBSXyzsR40GrdQo2a6Y,THE PARK HYDERABAD,"22, Raj Bhavan Rd, Somajiguda, Hyderabad, Telangana 500082, India"
hyd006,ChIJEQjTFueTyzsRNlGMHopAjpE,"Red Fox by Lemon Tree Hotels, Hyderabad","Survey No. 64, Plot No. 2, Hitech City Main Rd, Phase 2, Madhapur, Hyderabad, Telangana 500081, India"
hyd007,ChIJk8SsT-CTyzsRdujRl8Gt36o,"Deccan Serai Hotel, HITEC CITY, HYDERABAD","Survey No 82, Raheja Mindspace, 84, HUDA Techno Enclave, HITEC City, Hyderabad, Telangana 500081, India"
hyd008,ChIJfXxgtWSXyzsRHp_B6tZ6mVo,The Grand Plaza Hotel,"5-9-88/A/1, Opposite Assembly Metro Station, Pillar No: A 1255, Public Gardens, A 1255, Public Garden Rd, beside Hajj House Lane, Fateh Maidan, Nampally, Hyderabad, Telangana 500001, India"
hyd009,ChIJ9XmaoIiTyzsRnJ7stUGY-Z8,"ITC Kohenur, a Luxury Collection Hotel, Hyderabad","Survey No, 83/1, Hyderabad Knowledge City, Plot No.5, Silpa Gram Craft Village, Madhapur, Hyderabad, Telangana 500081, India"
hyd010,ChIJJehaIEmXyzsR2B6fRlyYon4,Mercure Hyderabad KCP,"6-3-551, Banjara Hills Main Rd, Irram Manzil Colony, Punjagutta, Hyderabad, Telangana 500082, India"
hyd011,ChIJN_FppDeXyzsR2kJ1gGzcVoY,"Taj Krishna, Hyderabad","Rd Number 1, near Bartel India Expo, Mada Manzil, Banjara Hills, Hyderabad, Telangana 500034, India"
hyd012,ChIJFdg_pTaXyzsRgTgdsMHumWU,Hyatt Place Hyderabad Banjara Hills,"Rd Number 1, Zahara Nagar, Banjara Hills, Hyderabad, Telangana 500034, India"
hyd013,ChIJ8bUzOte_yzsRib288kE826I,Hotel Hyderabad Grand,"11-2/4 & 11-2/5, AH43, Madhura Nagar, Shamshabad, Hyderabad, Telangana 501218, India"
hyd014,ChIJ0XBF7DaXyzsRMhD-swGhefM,Taj Deccan,"Rd Number 1, Balapur Basthi, Banjara Hills, Hyderabad, Telangana 500034, India"
hyd015,ChIJk7ZK88CTyzsRw-YWp_IG-YQ,Radisson Hotel Hyderabad Hitec City,"Gachibowli - Miyapur Rd, Chhota Anjaiah Nagar, Gachibowli, Hyderabad, Telangana 500032, India"
hyd016,ChIJOf4ly6aQyzsRIvVNdJzA-lE,"The Manohar, Hyderabad","Begumpet Airport Road, Motilal Nehru Nagar, Begumpet, Hyderabad, Telangana 500016, India"
hyd017,ChIJPazaXzKXyzsReCqq2D3K71I,Radisson Blu Plaza Hotel Hyderabad Banjara Hills,"8-2-409, Road No.6, Green Valley, Banjara Hills, Hyderabad, Telangana 500034, India"
hyd018,ChIJ97WV-JSRyzsRRDA5Rwa3ndU,"Lemon Tree Premier, HITEC City, Hyderabad","Plot No. 2, Survey No. 64, HITEC City, Phase 2, Madhapur, Hyderabad, Telangana 500081, India"
hyd019,ChIJfV0o_CKZyzsRT4TTs1gzfBM,The Platinum Boutique Inn,"Liberty Crossroads, Sama Towers, 3-6-365, near TTD Balaji Temple, Gagan Mahal, Domalguda, Himayatnagar, Hyderabad, Telangana 500029, India"
hyd020,ChIJOxGzft6TyzsRnxGahoZdsso,ibis Hyderabad HITEC City,"Plot 3, Hitech City Main Rd, HUDA Techno Enclave, HITEC City, Hyderabad, Telangana 500081, India"
hyd021,ChIJydWgQDiXyzsRDCJbxivQEXQ,"Lemon Tree Hotel, Banjara Hills, Hyderabad","Next, CARE HOSPITALS BANJARA HILLS, Rd Number 1, Prem Nagar, Banjara Hills, Hyderabad, Telangana 500034, India"
hyd022,ChIJmY3GYpOTyzsR8QenCsVIGbA,Bloom Hotel - HITEC City,"No. 98/8/5, Jaihind Rd, near Danyon IT Technology, Cyber Hills Colony, VIP Hills, Jaihind Enclave, Madhapur, Hyderabad, Telangana 500081, India"
hyd023,ChIJmS8JobaQyzsRcphX-3j40OE,"ITC Kakatiya, a Luxury Collection Hotel, Hyderabad","6 -3 -1187, Teachers Colony, Greenlands, Begumpet, Hyderabad, Telangana 500016, India"
hyd024,ChIJbRyNuMiWyzsR0zjdWlNH_sE,Park Hyatt Hyderabad,"Road No. 2, Sri Nagar Colony, Kamalapuri Colony, Banjara Hills, Hyderabad, Telangana 500034, India"
hyd025,ChIJ45w4rOGTyzsR5uL2l9DFrAc,The Westin Hyderabad Mindspace,"Raheja It Park Hitec City, HUDA Techno Enclave, Madhapur, Hyderabad, Telangana 500081, India"
hyd026,ChIJM58rKoCTyzsRaWdn-ivIoV4,Sheraton Hyderabad Hotel,"115/1, Nanakramguda Rd, Financial District, Gachibowli, Hyderabad, Nanakramguda, Telangana 500032, India"
hyd027,ChIJw3KFakCXyzsRI91KGhtoLqA,The Golkonda Hotel,"10-1-124, Mehdipatnam - Banjara Hills Rd, Ambedkar Nagar, Masab Tank, Hyderabad, Telangana 500028, India"
hyd028,ChIJwwP9nLSQyzsRdIusAEcwucA,Katriya Hotel & Towers,"8, Raj Bhavan Rd, Somajiguda, Hyderabad, Telangana 500082, India"
hyd029,ChIJ3ZdZcX-UyzsRZg_cESE7Xgc,Hyatt Hyderabad Gachibowli,"Road No. 2, Financial District, Gachibowli, Hyderabad, Nanakramguda, Telangana 500019, India"
hyd030,ChIJCQEA8GuXyzsRJ9YS3oB96KU,"Hotel Wood Bridge Grand, Hyderabad","AC Guards Rd, Red Hills, Lakdikapul, Hyderabad, Telangana 500004, India"
