hotel_id,landmark_type,landmark_name,distance_km,travel_time_minutes,traffic_aware
jai001,airport,Jaipur International Airport,8.57,,False
jai001,railway,Jaipur Junction,3.91,,False
jai001,bus,Sindhi Camp Bus Stand,3.71,,False
jai001,business,MI Road,1.79,,False
jai001,amer_fort,Amer Fort,9.87,,False
jai002,airport,Jaipur International Airport,10.14,,False
jai002,railway,Jaipur Junction,0.87,,False
jai002,bus,Sindhi Camp Bus Stand,1.51,,False
jai002,business,MI Road,2.93,,False
jai002,amer_fort,Amer Fort,10.46,,False
jai003,airport,Jaipur International Airport,9.01,,False
jai003,railway,Jaipur Junction,2.04,,False
jai003,bus,Sindhi Camp Bus Stand,2.6,,False
jai003,business,MI Road,3.34,,False
jai003,amer_fort,Amer Fort,11.44,,False
jai004,airport,Jaipur International Airport,10.39,,False
jai004,railway,Jaipur Junction,3.25,,False
jai004,bus,Sindhi Camp Bus Stand,2.75,,False
jai004,business,MI Road,0.63,,False
jai004,amer_fort,Amer Fort,8.17,,False
jai005,airport,Jaipur International Airport,10.66,,False
jai005,railway,Jaipur Junction,1.25,,False
jai005,bus,Sindhi Camp Bus Stand,0.8,,False
jai005,business,MI Road,1.45,,False
jai005,amer_fort,Amer Fort,8.91,,False
jai006,airport,Jaipur International Airport,10.66,,False
jai006,railway,Jaipur Junction,0.36,,False
jai006,bus,Sindhi Camp Bus Stand,0.64,,False
jai006,business,MI Road,2.33,,False
jai006,amer_fort,Amer Fort,9.58,,False
jai007,airport,Jaipur International Airport,10.17,,False
jai007,railway,Jaipur Junction,0.73,,False
jai007,bus,Sindhi Camp Bus Stand,1.12,,False
jai007,business,MI Road,2.33,,False
jai007,amer_fort,Amer Fort,9.98,,False
jai008,airport,Jaipur International Airport,9.92,,False
jai008,railway,Jaipur Junction,1.06,,False
jai008,bus,Sindhi Camp Bus Stand,1.67,,False
jai008,business,MI Road,2.91,,False
jai008,amer_fort,Amer Fort,10.59,,False
jai009,airport,Jaipur International Airport,9.69,,False
jai009,railway,Jaipur Junction,1.21,,False
jai009,bus,Sindhi Camp Bus Stand,1.71,,False
jai009,business,MI Road,2.66,,False
jai009,amer_fort,Amer Fort,10.54,,False
jai010,airport,Jaipur International Airport,8.19,,False
jai010,railway,Jaipur Junction,5.26,,False
jai010,bus,Sindhi Camp Bus Stand,5.94,,False
jai010,business,MI Road,6.81,,False
jai010,amer_fort,Amer Fort,14.89,,False
jai011,airport,Jaipur International Airport,8.71,,False
jai011,railway,Jaipur Junction,2.34,,False
jai011,bus,Sindhi Camp Bus Stand,2.88,,False
jai011,business,MI Road,3.48,,False
jai011,amer_fort,Amer Fort,11.68,,False
jai012,airport,Jaipur International Airport,10.75,,False
jai012,railway,Jaipur Junction,0.69,,False
jai012,bus,Sindhi Camp Bus Stand,0.44,,False
jai012,business,MI Road,2.0,,False
jai012,amer_fort,Amer Fort,9.23,,False
jai013,airport,Jaipur International Airport,10.44,,False
jai013,railway,Jaipur Junction,0.79,,False
jai013,bus,Sindhi Camp Bus Stand,0.75,,False
jai013,business,MI Road,1.91,,False
jai013,amer_fort,Amer Fort,9.44,,False
jai014,airport,Jaipur International Airport,11.28,,False
jai014,railway,Jaipur Junction,0.43,,False
jai014,bus,Sindhi Camp Bus Stand,0.51,,False
jai014,business,MI Road,2.7,,False
jai014,amer_fort,Amer Fort,9.3,,False
jai015,airport,Jaipur International Airport,10.61,,False
jai015,railway,Jaipur Junction,1.74,,False
jai015,bus,Sindhi Camp Bus Stand,1.25,,False
jai015,business,MI Road,0.99,,False
jai015,amer_fort,Amer Fort,8.65,,False
jai016,airport,Jaipur International Airport,10.05,,False
jai016,railway,Jaipur Junction,0.86,,False
jai016,bus,Sindhi Camp Bus Stand,1.43,,False
jai016,business,MI Road,2.7,,False
jai016,amer_fort,Amer Fort,10.34,,False
jai017,airport,Jaipur International Airport,11.7,,False
jai017,railway,Jaipur Junction,0.87,,False
jai017,bus,Sindhi Camp Bus Stand,0.62,,False
jai017,business,MI Road,2.82,,False
jai017,amer_fort,Amer Fort,8.94,,False
jai018,airport,Jaipur International Airport,10.61,,False
jai018,railway,Jaipur Junction,0.44,,False
jai018,bus,Sindhi Camp Bus Stand,0.65,,False
jai018,business,MI Road,2.25,,False
jai018,amer_fort,Amer Fort,9.55,,False
jai019,airport,Jaipur International Airport,11.61,,False
jai019,railway,Jaipur Junction,3.16,,False
jai019,bus,Sindhi Camp Bus Stand,2.49,,False
jai019,business,MI Road,1.46,,False
jai019,amer_fort,Amer Fort,7.14,,False
jai020,airport,Jaipur International Airport,9.99,,False
jai020,railway,Jaipur Junction,0.92,,False
jai020,bus,Sindhi Camp Bus Stand,1.48,,False
jai020,business,MI Road,2.7,,False
jai020,amer_fort,Amer Fort,10.39,,False
jai021,airport,Jaipur International Airport,11.77,,False
jai021,railway,Jaipur Junction,1.09,,False
jai021,bus,Sindhi Camp Bus Stand,0.57,,False
jai021,business,MI Road,2.6,,False
jai021,amer_fort,Amer Fort,8.61,,False
jai022,airport,Jaipur International Airport,12.69,,False
jai022,railway,Jaipur Junction,2.15,,False
jai022,bus,Sindhi Camp Bus Stand,1.57,,False
jai022,business,MI Road,3.01,,False
jai022,amer_fort,Amer Fort,7.64,,False
jai023,airport,Jaipur International Airport,11.77,,False
jai023,railway,Jaipur Junction,0.91,,False
jai023,bus,Sindhi Camp Bus Stand,0.75,,False
jai023,business,MI Road,2.96,,False
jai023,amer_fort,Amer Fort,8.99,,False
jai024,airport,Jaipur International Airport,8.9,,False
jai024,railway,Jaipur Junction,3.59,,False
jai024,bus,Sindhi Camp Bus Stand,4.28,,False
jai024,business,MI Road,5.34,,False
jai024,amer_fort,Amer Fort,13.24,,False
jai025,airport,Jaipur International Airport,9.87,,False
jai025,railway,Jaipur Junction,1.01,,False
jai025,bus,Sindhi Camp Bus Stand,1.48,,False
jai025,business,MI Road,2.52,,False
jai025,amer_fort,Amer Fort,10.33,,False
jai026,airport,Jaipur International Airport,10.99,,False
jai026,railway,Jaipur Junction,0.71,,False
jai026,bus,Sindhi Camp Bus Stand,0.22,,False
jai026,business,MI Road,2.07,,False
jai026,amer_fort,Amer Fort,9.05,,False
jai027,airport,Jaipur International Airport,9.03,,False
jai027,railway,Jaipur Junction,2.08,,False
jai027,bus,Sindhi Camp Bus Stand,2.66,,False
jai027,business,MI Road,3.44,,False
jai027,amer_fort,Amer Fort,11.51,,False
jai028,airport,Jaipur International Airport,11.07,,False
jai028,railway,Jaipur Junction,1.44,,False
jai028,bus,Sindhi Camp Bus Stand,0.8,,False
jai028,business,MI Road,1.51,,False
jai028,amer_fort,Amer Fort,8.48,,False
jai029,airport,Jaipur International Airport,9.86,,False
jai029,railway,Jaipur Junction,1.5,,False
jai029,bus,Sindhi Camp Bus Stand,2.19,,False
jai029,business,MI Road,3.52,,False
jai029,amer_fort,Amer Fort,11.14,,False
jai030,airport,Jaipur International Airport,8.08,,False
jai030,railway,Jaipur Junction,3.33,,False
jai030,bus,Sindhi Camp Bus Stand,3.36,,False
jai030,business,MI Road,2.16,,False
jai030,amer_fort,Amer Fort,10.69,,False
jai031,airport,Jaipur International Airport,10.4,,False
jai031,railway,Jaipur Junction,2.32,,False
jai031,bus,Sindhi Camp Bus Stand,1.85,,False
jai031,business,MI Road,0.39,,False
jai031,amer_fort,Amer Fort,8.53,,False
jai032,airport,Jaipur International Airport,10.35,,False
jai032,railway,Jaipur Junction,2.4,,False
jai032,bus,Sindhi Camp Bus Stand,1.94,,False
jai032,business,MI Road,0.3,,False
jai032,amer_fort,Amer Fort,8.53,,False
jai033,airport,Jaipur International Airport,10.06,,False
jai033,railway,Jaipur Junction,1.2,,False
jai033,bus,Sindhi Camp Bus Stand,1.17,,False
jai033,business,MI Road,1.64,,False
