hotel_id,city,display_name,latitude,longitude,formatted_address,hospitals_count_1km,pharmacies_count_1km,shopping_count_1km,restaurants_count_1km,banks_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score
jai001,Jaipur,Hotel Rajasthan Palace,26.900878799999997,75.82113609999999,"Rajasthan Palace Hotel, 3, Peelwa Garden, Moti Doongari Road, Anand Puri, Bees Dukan, Adarsh Nagar, Jaipur, Rajasthan 302004, India",51,0,0,4,1,0,10,0,2,4,24,0,16,10,0,100,0,40,50
jai002,Jaipur,"Jai Mahal Palace, Jaipur",26.912171999999998,75.785178,"Gound Floor, Jacob Rd, near Bharat Petroleum, Civil Lines, Jaipur, Rajasthan 302006, India",10,1,0,9,1,1,13,0,2,28,31,0,36,10,20,100,12,40,100
jai003,Jaipur,Ginger Jaipur,26.9014329,75.78478419999999,"Mangalam GeejGarh House, Hawa Sadak, Sudarshanpura, Civil Lines, Jaipur, Rajasthan 302006, India",18,1,0,8,4,0,11,0,1,26,34,0,32,40,0,100,12,20,100
jai004,Jaipur,Jaipur Hotel New - A heritage hotel,26.9173908,75.8204605,"7, Chaura Rasta Rd, opposite GOLCHA CINEMA, Nehru Bazar, Film Colony, Modikhana, Jaipur, Rajasthan 302003, India",24,1,0,36,6,1,9,0,2,16,51,0,100,60,20,100,12,40,100
jai005,Jaipur,Hotel Maru Casa Jaipur | Budget 3 Star Hotels in Jaipur City Centre,26.9195009,75.80036799999999,"Sansar Chandra Rd, near Polo Victory, behind Man Singh Hotel, Sindhi Camp, Jaipur, Rajasthan 302001, India",17,11,4,48,26,1,13,0,3,27,87,50,100,100,20,100,100,60,100
jai006,Jaipur,"HOTEL ABHINEET PALACE, FAMILY HOTEL NEAR JAIPUR RAILWAY STATION",26.918171299999997,75.7910438,"Fateh Singh Market, Railway station, B-9, behind Kalpana Bus Agency, opp. Exit gate 3, Gopalbari, Jaipur, Rajasthan 302006, India",17,9,4,67,18,1,15,0,3,27,87,50,100,100,20,100,100,60,100
jai007,Jaipur,Luxsugero Jaipur,26.913666,75.790987,"WQ7R+F99, Ajmer Rd, Gopalbari, Jaipur, Rajasthan 302019, India",17,3,1,47,12,1,14,0,3,27,65,12,100,100,20,100,37,60,100
jai008,Jaipur,"Hotel Shahar Palace - Best Budget Hotels in Civil Lines, Jaipur",26.9102391,75.78577070000001,"Barwara House Colony, Ajmer Rd, Madrampur, Civil Lines, Jaipur, Rajasthan 302006, India",13,1,0,9,2,1,13,0,2,28,32,0,36,20,20,100,12,40,100
jai009,Jaipur,Rosé Amer,26.9087715,75.7887846,"7, Sawai Pratapsingh Rd, Madrampur, Civil Lines, Jaipur, Rajasthan 302006, India",16,1,0,23,3,1,14,0,2,28,45,0,92,30,20,100,12,40,100
jai010,Jaipur,Renest Jaipur,26.8801363,75.7585537,"Gopalpura Bypass Rd, near Ganga Jamuna Petrol Pump, New Aatish Market, Shanthi Nagar, Mansarovar, Jaipur, Rajasthan 302020, India",15,0,0,0,0,0,6,0,1,12,20,0,0,0,0,100,0,20,59
