hotel_id,landmark_type,landmark_name,distance_km,travel_time_minutes,traffic_aware
kol001,airport,Netaji Subhas Chandra Bose International Airport,14.24,,False
kol001,railway,Howrah Junction,2.64,,False
kol001,sealdah,Sealdah Railway Station,1.99,,False
kol001,bus,Esplanade Bus Terminus,0.75,,False
kol001,business,Sector V (Salt Lake),8.54,,False
kol002,airport,Netaji Subhas Chandra Bose International Airport,16.74,,False
kol002,railway,Howrah Junction,9.4,,False
kol002,sealdah,Sealdah Railway Station,6.49,,False
kol002,bus,Esplanade Bus Terminus,7.74,,False
kol002,business,Sector V (Salt Lake),7.85,,False
kol003,airport,Netaji Subhas Chandra Bose International Airport,14.17,,False
kol003,railway,Howrah Junction,2.54,,False
kol003,sealdah,Sealdah Railway Station,1.96,,False
kol003,bus,Esplanade Bus Terminus,0.68,,False
kol003,business,Sector V (Salt Lake),8.51,,False
kol004,airport,Netaji Subhas Chandra Bose International Airport,13.83,,False
kol004,railway,Howrah Junction,1.9,,False
kol004,sealdah,Sealdah Railway Station,2.07,,False
kol004,bus,Esplanade Bus Terminus,0.24,,False
kol004,business,Sector V (Salt Lake),8.61,,False
kol005,airport,Netaji Subhas Chandra Bose International Airport,13.25,,False
kol005,railway,Howrah Junction,6.95,,False
kol005,sealdah,Sealdah Railway Station,3.8,,False
kol005,bus,Esplanade Bus Terminus,5.8,,False
kol005,business,Sector V (Salt Lake),4.81,,False
kol006,airport,Netaji Subhas Chandra Bose International Airport,12.81,,False
kol006,railway,Howrah Junction,6.76,,False
kol006,sealdah,Sealdah Railway Station,3.62,,False
kol006,bus,Esplanade Bus Terminus,5.72,,False
kol006,business,Sector V (Salt Lake),4.46,,False
kol007,airport,Netaji Subhas Chandra Bose International Airport,15.68,,False
kol007,railway,Howrah Junction,5.0,,False
kol007,sealdah,Sealdah Railway Station,3.17,,False
kol007,bus,Esplanade Bus Terminus,3.1,,False
kol007,business,Sector V (Salt Lake),8.67,,False
kol008,airport,Netaji Subhas Chandra Bose International Airport,15.08,,False
kol008,railway,Howrah Junction,5.18,,False
kol008,sealdah,Sealdah Railway Station,2.8,,False
kol008,bus,Esplanade Bus Terminus,3.4,,False
kol008,business,Sector V (Salt Lake),7.8,,False
kol009,airport,Netaji Subhas Chandra Bose International Airport,13.1,,False
kol009,railway,Howrah Junction,3.75,,False
kol009,sealdah,Sealdah Railway Station,0.76,,False
kol009,bus,Esplanade Bus Terminus,2.56,,False
kol009,business,Sector V (Salt Lake),6.58,,False
kol010,airport,Netaji Subhas Chandra Bose International Airport,15.63,,False
kol010,railway,Howrah Junction,4.34,,False
kol010,sealdah,Sealdah Railway Station,3.06,,False
kol010,bus,Esplanade Bus Terminus,2.39,,False
kol010,business,Sector V (Salt Lake),9.07,,False
kol011,airport,Netaji Subhas Chandra Bose International Airport,14.83,,False
kol011,railway,Howrah Junction,3.48,,False
kol011,sealdah,Sealdah Railway Station,2.32,,False
kol011,bus,Esplanade Bus Terminus,1.55,,False
kol011,business,Sector V (Salt Lake),8.64,,False
kol012,airport,Netaji Subhas Chandra Bose International Airport,14.49,,False
kol012,railway,Howrah Junction,3.26,,False
kol012,sealdah,Sealdah Railway Station,1.99,,False
kol012,bus,Esplanade Bus Terminus,1.39,,False
kol012,business,Sector V (Salt Lake),8.37,,False
kol013,airport,Netaji Subhas Chandra Bose International Airport,13.93,,False
kol013,railway,Howrah Junction,2.68,,False
kol013,sealdah,Sealdah Railway Station,1.59,,False
kol013,bus,Esplanade Bus Terminus,0.98,,False
kol013,business,Sector V (Salt Lake),8.13,,False
kol014,airport,Netaji Subhas Chandra Bose International Airport,12.26,,False
kol014,railway,Howrah Junction,1.5,,False
