hotel_id,place_id,display_name,formatted_address,latitude,longitude,rating,user_rating_count,price_level,business_status,city,place_uri,directions_uri,reviews_uri,photos_uri,write_review_uri,website_uri,phone_number,international_phone,opening_hours,types,editorial_summary,serves_vegetarian_food,serves_breakfast,serves_lunch,serves_dinner,serves_brunch,serves_beer,serves_wine,serves_cocktails,allows_dogs,good_for_children,good_for_groups,good_for_watching_sports,live_music,menu_for_children,outdoor_seating,reservable,delivery,takeout,curbside_pickup,dine_in,restroom,wheelchair_accessible_entrance,wheelchair_accessible_parking,accepts_credit_cards,accepts_debit_cards,accepts_cash_only,parking_free,parking_paid,parking_street,parking_garage,valet_parking,ev_charging_available,fuel_options,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score,hospitals_count_1km,pharmacies_count_1km,banks_count_1km,restaurants_count_1km,shopping_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km
kol001,ChIJ33o0YBF3AjoRmeCs4RBy3Hk,"The Oberoi Grand, Kolkata","15, Jawaharlal Nehru Rd, New Market Area, Dharmatala, Taltala, Kolkata, West Bengal 700013, India",22.5616631,88.3513038,4.4,29149,,OPERATIONAL,Kolkata,https://maps.google.com/?cid=8781018790296871065&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a02771160347adf:0x79dc7210e1ace099!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a02771160347adf:0x79dc7210e1ace099!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a02771160347adf:0x79dc7210e1ace099!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a02771160347adf:0x79dc7210e1ace099!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.oberoihotels.com/hotels-in-kolkata/?utm_source=GMBlisting&utm_medium=organic,011 6911 0606,+91 11 6911 0606,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""thai_restaurant"", ""indian_restaurant"", ""lodging"", ""food_store"", ""restaurant"", ""food"", ""store"", ""point_of_interest"", ""establishment""]","Polished rooms and suites in an elegant venue offering refined dining, a spa & an outdoor pool.",,,,,,,,,,,,,,,,,True,,,,,True,True,True,True,True,,,,,,False,,84,50,100,100,0,100,87,100,100,6,7,28,74,4,0,14,3,6,107
kol002,ChIJdbImXUxxAjoR-VKnj6noQck,The Kolkata Hotel,"Shiv Mandir, EC 14, Rajdanga Main Rd, near Acropolis Mall, behind Kasba New Marke, Sector E, East Kolkata Twp, Kolkata, West Bengal 700107, India",22.5123885,88.3936308,4.8,237,,OPERATIONAL,Kolkata,https://maps.google.com/?cid=14502128090066932473&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a02714c5d26b275:0xc941e8a98fa752f9!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a02714c5d26b275:0xc941e8a98fa752f9!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a02714c5d26b275:0xc941e8a98fa752f9!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a02714c5d26b275:0xc941e8a98fa752f9!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://thekolkatahotel.com/,090386 15690,+91 90386 15690,,"[""hotel"", ""guest_house"", ""night_club"", ""private_guest_room"", ""laundry"", ""parking"", ""event_venue"", ""bar"", ""vegetarian_restaurant"", ""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,False,,28,12,28,10,0,80,12,20,77,4,1,1,7,1,0,0,0,1,19
kol003,ChIJ0QNORwh3AjoR0qwjCpfcB-c,Peerless Hotel Kolkata,"12, Jawaharlal Nehru Rd, Esplanade, Dharmatala, Taltala, Kolkata, West Bengal 700013, India",22.5625386,88.3513985,4.7,5145,,OPERATIONAL,Kolkata,https://maps.google.com/?cid=16647517088866610386&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a027708474e03d1:0xe707dc970a23acd2!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a027708474e03d1:0xe707dc970a23acd2!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a027708474e03d1:0xe707dc970a23acd2!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a027708474e03d1:0xe707dc970a23acd2!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://peerlesshotels.com/,070666 43322,+91 70666 43322,,"[""hotel"", ""fine_dining_restaurant"", ""bed_and_breakfast"", ""extended_stay_hotel"", ""event_venue"", ""inn"", ""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Warm quarters in an informal hotel featuring restaurants, a tea lounge & a fitness centre.",,,,,,,,,,True,,,,,,,,,,,,False,True,,,,,,,,,False,,82,50,100,100,0,100,75,100,100,5,6,30,54,4,0,13,3,6,110
kol004,ChIJU9qglaZ3AjoRnzE4LhuTKhI,The LaLiT Great Eastern Kolkata,"Dalhousie Square 1, 2,3, Old Court House St, Chowringhee North, Ward Number 1, Kolkata, West Bengal 700001, India",22.5681542,88.349876,4.5,17973,,OPERATIONAL,Kolkata,https://maps.google.com/?cid=1309020386653385119&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a0277a695a0da53:0x122a931b2e38319f!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a0277a695a0da53:0x122a931b2e38319f!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a0277a695a0da53:0x122a931b2e38319f!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a0277a695a0da53:0x122a931b2e38319f!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.thelalit.com/the-lalit-kolkata/,033 4444 7777,+91 33 4444 7777,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Elegant, posh lodging offering free breakfast, 5 restaurants & an extensive spa.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,True,,,,,,False,,62,25,100,100,20,80,25,100,100,4,2,15,28,2,1,11,3,5,131
kol005,ChIJTRxDnJ52AjoRlrNxBKA8T4g,"ITC Royal Bengal, a Luxury Collection Hotel, Kolkata","1, JBS Haldane Ave, Tangra, Kolkata, West Bengal 700046, India",22.5442808,88.398153,4.8,33726,,OPERATIONAL,Kolkata,https://maps.google.com/?cid=9822135970285335446&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a02769e9c431c4d:0x884f3ca00471b396!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a02769e9c431c4d:0x884f3ca00471b396!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a02769e9c431c4d:0x884f3ca00471b396!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a02769e9c431c4d:0x884f3ca00471b396!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.marriott.com/en-us/hotels/cculr-itc-royal-bengal-a-luxury-collection-hotel-kolkata/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,033 4446 4646,+91 33 4446 4646,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Polished rooms & suites in a luxe hotel with 7 restaurants, plus a pool, a gym & a spa.",,,,,,,,,,True,,,,,,,,,,,,True,True,,True,False,True,,,,,False,,12,12,20,10,0,20,0,20,50,1,0,1,5,1,0,1,0,1,12
kol006,ChIJYZ_kuZ12AjoRZoAMwZN1EaI,JW Marriott Hotel Kolkata,"4A, JBS Haldane Ave, Tangra, Kolkata, West Bengal 700105, India",22.548147399999998,88.39916939999999,4.6,31947,,OPERATIONAL,Kolkata,https://maps.google.com/?cid=11678244586207871078&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a02769db9e49f61:0xa2117593c10c8066!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a02769db9e49f61:0xa2117593c10c8066!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a02769db9e49f61:0xa2117593c10c8066!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a02769db9e49f61:0xa2117593c10c8066!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.marriott.com/en-us/hotels/ccujw-jw-marriott-hotel-kolkata/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,033 6633 0000,+91 33 6633 0000,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Sophisticated rooms & suites in a sleek high-rise hotel with a poolside bar, a spa & 2 restaurants.",True,True,True,True,,True,True,,,True,,,False,,,True,True,True,False,True,,True,True,,True,False,,,,,,False,,7,12,16,10,0,0,0,20,39,0,0,1,4,1,0,1,0,1,9
kol007,ChIJA6Xgd553AjoR-LkmKuSNuLg,Park Prime Kolkata - The Official Listing,"226, Acharya Jagdish Chandra Bose Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020, India",22.5408835,88.3564445,4.2,858,,OPERATIONAL,Kolkata,https://maps.google.com/?cid=13310544709792741880&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a02779e77e0a503:0xb8b88de42a26b9f8!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a02779e77e0a503:0xb8b88de42a26b9f8!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a02779e77e0a503:0xb8b88de42a26b9f8!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a02779e77e0a503:0xb8b88de42a26b9f8!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://chocolatehotels.in/parkprimekolkata/,033 6823 3096,+91 33 6823 3096,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Informal hotel featuring a restaurant, a bar & a rooftop pool, plus a gym & a spa.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,65,12,100,100,20,100,37,100,100,22,3,14,34,1,1,20,2,7,23
kol008,ChIJu3jk9OB2AjoRWYRjoAM9kQY,Hotel Platinum,"14, Syed Amir Ali Ave, Lower Range, Beck Bagan, Ballygunge, Kolkata, West Bengal 700017, India",22.541706899999998,88.3654583,3.9,828,,OPERATIONAL,Kolkata,https://maps.google.com/?cid=473226521635685465&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a0276e0f4e478bb:0x6913d03a0638459!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a0276e0f4e478bb:0x6913d03a0638459!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a0276e0f4e478bb:0x6913d03a0638459!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a0276e0f4e478bb:0x6913d03a0638459!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,http://hotelplatinum.co.in/,089610 50299,+91 89610 50299,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",Colourful rooms with flat-screen TVs in a laid-back hotel featuring a restaurant.,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,False,,59,12,56,100,20,100,50,100,100,22,4,12,14,1,1,17,2,5,21
kol009,ChIJfTXHfKt3AjoRbMdf33bZNho,Kzar Corporate Hotel Near Sealdah Railway station,"SCHEME LV, P-16, CIT Rd, near Ramlila Maidan, Sealdah, Raja Bazar, Kolkata, West Bengal 700014, India",22.5597794,88.3710874,4.1,1749,,OPERATIONAL,Kolkata,https://maps.google.com/?cid=1888936198305466220&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a0277ab7cc7357d:0x1a36d976df5fc76c!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a0277ab7cc7357d:0x1a36d976df5fc76c!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a0277ab7cc7357d:0x1a36d976df5fc76c!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a0277ab7cc7357d:0x1a36d976df5fc76c!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,098754 28075,+91 98754 28075,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""guest_house"", ""resort_hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",Straightforward rooms in an unpretentious hotel featuring a laid-back restaurant.,,,,,,,,,,True,,,,,,,,,,,,False,,,,,,,,,,False,,43,25,28,60,20,100,12,100,100,13,1,6,7,2,1,12,2,6,75
kol010,ChIJowUSzRZ3AjoRGmtSDBTF0Bc,"Kenilworth Hotel, Kolkata","1 And 2, Little Russel St, Kankaria Estates, Park Street area, Kolkata, West Bengal 700071, India",22.5460918,88.35006,4.4,6345,,OPERATIONAL,Kolkata,https://maps.google.com/?cid=1716088147924904730&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3a027716cd1205a3:0x17d0c5140c526b1a!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3a027716cd1205a3:0x17d0c5140c526b1a!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a027716cd1205a3:0x17d0c5140c526b1a!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3a027716cd1205a3:0x17d0c5140c526b1a!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.kenilworthhotels.com/russel-street-kolkata/,033 6621 4100,+91 33 6621 4100,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Elegant hotel featuring a vegetarian restaurant, an English pub & a cafe, plus a spa with a gym.",,,,,,,,,,True,,,False,,,True,True,True,,True,,True,True,True,,False,,,,,,False,,70,12,100,100,0,100,62,100,100,12,5,38,78,1,0,18,3,7,69
