hotel_id,city,display_name,latitude,longitude,formatted_address,hospitals_count_1km,pharmacies_count_1km,shopping_count_1km,restaurants_count_1km,banks_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score
kol001,Kolkata,"The Oberoi Grand, Kolkata",22.5616631,88.3513038,"15, Jawaharlal Nehru Rd, New Market Area, Dharmatala, Taltala, Kolkata, West Bengal 700013, India",6,7,4,74,28,0,14,3,6,107,84,50,100,100,0,100,87,100,100
kol002,Kolkata,The Kolkata Hotel,22.5123885,88.3936308,"Shiv Mandir, EC 14, Rajdanga Main Rd, near Acropolis Mall, behind Kasba New Marke, Sector E, East Kolkata Twp, Kolkata, West Bengal 700107, India",4,1,1,7,1,0,0,0,1,19,28,12,28,10,0,80,12,20,77
kol003,Kolkata,Peerless Hotel Kolkata,22.5625386,88.3513985,"12, Jawaharlal Nehru Rd, Esplanade, Dharmatala, Taltala, Kolkata, West Bengal 700013, India",5,6,4,54,30,0,13,3,6,110,82,50,100,100,0,100,75,100,100
kol004,Kolkata,The LaLiT Great Eastern Kolkata,22.5681542,88.349876,"Dalhousie Square 1, 2,3, Old Court House St, Chowringhee North, Ward Number 1, Kolkata, West Bengal 700001, India",4,2,2,28,15,1,11,3,5,131,62,25,100,100,20,80,25,100,100
kol005,Kolkata,"ITC Royal Bengal, a Luxury Collection Hotel, Kolkata",22.5442808,88.398153,"1, JBS Haldane Ave, Tangra, Kolkata, West Bengal 700046, India",1,0,1,5,1,0,1,0,1,12,12,12,20,10,0,20,0,20,50
kol006,Kolkata,JW Marriott Hotel Kolkata,22.548147399999998,88.39916939999999,"4A, JBS Haldane Ave, Tangra, Kolkata, West Bengal 700105, India",0,0,1,4,1,0,1,0,1,9,7,12,16,10,0,0,0,20,39
kol007,Kolkata,Park Prime Kolkata - The Official Listing,22.5408835,88.3564445,"226, Acharya Jagdish Chandra Bose Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020, India",22,3,1,34,14,1,20,2,7,23,65,12,100,100,20,100,37,100,100
kol008,Kolkata,Hotel Platinum,22.541706899999998,88.3654583,"14, Syed Amir Ali Ave, Lower Range, Beck Bagan, Ballygunge, Kolkata, West Bengal 700017, India",22,4,1,14,12,1,17,2,5,21,59,12,56,100,20,100,50,100,100
kol009,Kolkata,Kzar Corporate Hotel Near Sealdah Railway station,22.5597794,88.3710874,"SCHEME LV, P-16, CIT Rd, near Ramlila Maidan, Sealdah, Raja Bazar, Kolkata, West Bengal 700014, India",13,1,2,7,6,1,12,2,6,75,43,25,28,60,20,100,12,100,100
kol010,Kolkata,"Kenilworth Hotel, Kolkata",22.5460918,88.35006,"1 And 2, Little Russel St, Kankaria Estates, Park Street area, Kolkata, West Bengal 700071, India",12,5,1,78,38,0,18,3,7,69,70,12,100,100,0,100,62,100,100
kol011,Kolkata,The Park Hotel,22.5540974,88.351871,"17, Park St, Taltala, Kolkata, West Bengal 700016, India",5,7,3,98,45,0,16,3,7,83,81,37,100,100,0,100,87,100,100
kol012,Kolkata,Hotel Kempton,22.556460299999998,88.35393309999999,"3, Marquis St, Colootola, Esplanade, Dharmatala, Taltala, Kolkata, West Bengal 700016, India",6,8,4,95,42,0,15,3,7,88,87,50,100,100,0,100,100,100,100
kol013,Kolkata,Hotel Aura,22.5621811,88.35523119999999,"18, SN Banerjee Road, DHARAMTALLA, New Market Area, Janbazar, Taltala, Kolkata, West Bengal 700087, India",9,7,4,55,22,0,15,2,6,100,84,50,100,100,0,100,87,100,100
kol014,Kolkata,HOTEL ORCHID INN,22.5790358,88.3598513,"139, Mahatma Gandhi Rd, Central Avenue, Ward Number 43, Kolkata, West Bengal 700007, India",10,0,1,6,8,1,6,2,5,127,39,12,24,80,20,100,0,100,100
kol015,Kolkata,Townhouse Acme Near Park Street,22.5416889,88.36235219999999,"15/1,Circus Avenue Near Bangladesh High Commission Seven Point Crossing, Park St, Lower Range, Park Circus, Elgin, Kolkata, West Bengal 700017, India",24,4,1,18,13,2,18,2,6,21,62,12,72,100,40,100,50,100,100
kol016,Kolkata,Hyatt Regency Kolkata,22.5706781,88.40521199999999,"JA-1, JA Block, Sector 3, Bidhannagar, Kolkata, West Bengal 700106, India",3,1,1,3,7,1,5,0,5,23,30,12,12,70,20,60,12,100,100
kol017,Kolkata,"ITC Sonar, a Luxury Collection Hotel, Kolkata",22.5443003,88.3981362,"1, JBS Haldane Ave, Tangra, Kolkata, West Bengal 700046, India",1,0,1,5,1,0,1,0,1,12,12,12,20,10,0,20,0,20,50
kol018,Kolkata,"Taj Bengal, Kolkata",22.5374363,88.3340334,"No. 34-B, Belvedere Rd, near ALIPORE ZOO, Alipore, Kolkata, West Bengal 700027, India",3,0,0,1,1,0,14,1,4,26,14,0,4,10,0,60,0,80,100
