hotel_id,place_id,display_name,formatted_address
kol001,ChIJ33o0YBF3AjoRmeCs4RBy3Hk,"The Oberoi Grand, Kolkata","15, Jawaharlal Nehru Rd, New Market Area, Dharmatala, Taltala, Kolkata, West Bengal 700013, India"
kol002,ChIJdbImXUxxAjoR-VKnj6noQck,The Kolkata Hotel,"Shiv Mandir, EC 14, Rajdanga Main Rd, near Acropolis Mall, behind Kasba New Marke, Sector E, East Kolkata Twp, Kolkata, West Bengal 700107, India"
kol003,ChIJ0QNORwh3AjoR0qwjCpfcB-c,Peerless Hotel Kolkata,"12, Jawaharlal Nehru Rd, Esplanade, Dharmatala, Taltala, Kolkata, West Bengal 700013, India"
kol004,ChIJU9qglaZ3AjoRnzE4LhuTKhI,The LaLiT Great Eastern Kolkata,"Dalhousie Square 1, 2,3, Old Court House St, Chowringhee North, Ward Number 1, Kolkata, West Bengal 700001, India"
kol005,ChIJTRxDnJ52AjoRlrNxBKA8T4g,"ITC Royal Bengal, a Luxury Collection Hotel, Kolkata","1, JBS Haldane Ave, Tangra, Kolkata, West Bengal 700046, India"
kol006,ChIJYZ_kuZ12AjoRZoAMwZN1EaI,JW Marriott Hotel Kolkata,"4A, JBS Haldane Ave, Tangra, Kolkata, West Bengal 700105, India"
kol007,ChIJA6Xgd553AjoR-LkmKuSNuLg,Park Prime Kolkata - The Official Listing,"226, Acharya Jagdish Chandra Bose Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020, India"
kol008,ChIJu3jk9OB2AjoRWYRjoAM9kQY,Hotel Platinum,"14, Syed Amir Ali Ave, Lower Range, Beck Bagan, Ballygunge, Kolkata, West Bengal 700017, India"
kol009,ChIJfTXHfKt3AjoRbMdf33bZNho,Kzar Corporate Hotel Near Sealdah Railway station,"SCHEME LV, P-16, CIT Rd, near Ramlila Maidan, Sealdah, Raja Bazar, Kolkata, West Bengal 700014, India"
kol010,ChIJowUSzRZ3AjoRGmtSDBTF0Bc,"Kenilworth Hotel, Kolkata","1 And 2, Little Russel St, Kankaria Estates, Park Street area, Kolkata, West Bengal 700071, India"
kol011,ChIJQfOk-wV3AjoRGs05cT1ogvM,The Park Hotel,"17, Park St, Taltala, Kolkata, West Bengal 700016, India"
kol012,ChIJl-X76gV3AjoRfiyRxQZVv0c,Hotel Kempton,"3, Marquis St, Colootola, Esplanade, Dharmatala, Taltala, Kolkata, West Bengal 700016, India"
kol013,ChIJta2IoQd3AjoRFvHem2m9bv4,Hotel Aura,"18, SN Banerjee Road, DHARAMTALLA, New Market Area, Janbazar, Taltala, Kolkata, West Bengal 700087, India"
kol014,ChIJjVyGQO93AjoRM3uUg4AZgIM,HOTEL ORCHID INN,"139, Mahatma Gandhi Rd, Central Avenue, Ward Number 43, Kolkata, West Bengal 700007, India"
kol015,ChIJUV0WvRh3AjoRM9Kace_oKRs,Townhouse Acme Near Park Street,"15/1,Circus Avenue Near Bangladesh High Commission Seven Point Crossing, Park St, Lower Range, Park Circus, Elgin, Kolkata, West Bengal 700017, India"
kol016,ChIJde5Vn9Z1AjoRx00JZBBkQE4,Hyatt Regency Kolkata,"JA-1, JA Block, Sector 3, Bidhannagar, Kolkata, West Bengal 700106, India"
kol017,ChIJo9wyvp52AjoRI1ePBJUTVOA,"ITC Sonar, a Luxury Collection Hotel, Kolkata","1, JBS Haldane Ave, Tangra, Kolkata, West Bengal 700046, India"
kol018,ChIJaWZ2xUJ3AjoRl1NVunj8rqs,"Taj Bengal, Kolkata","No. 34-B, Belvedere Rd, near ALIPORE ZOO, Alipore, Kolkata, West Bengal 700027, India"
kol019,ChIJq6qqqtl2AjoR_G38CmPDItM,"Hotel Mulberry, Kolkata","44, Pankaj Mullick Sarani, Opposite Maddox Square Park, Ballygunge, Kolkata, West Bengal 700029, India"
kol020,ChIJWadZgcN1AjoRgkbE2np4Ug0,"Brio Hotel,Kolkata","IB 162, IB Block, Sector 3, Bidhannagar, Kolkata, West Bengal 700106, India"
kol021,ChIJzdIq7QF3AjoR-JQlvgz2yU8,Hotel Park Victoria,"Saberwal House, Free School St, Esplanade, Taltala, Kolkata, West Bengal 700016, India"
kol022,ChIJP0c3km53AjoRWnPz_M6ZkYY,Star Hotels,"22, Circus Ave Road(AJC Bose Road), Lower Range, Beck Bagan, Ballygunge, Kolkata, West Bengal 700017, India"
kol023,ChIJ45KIHCN3AjoR2xA6NE_ojcE,Roland Hotel,"28A, Rowland Rd, near Landsdown Crossing, Rowland Row, Ballygunge, Kolkata, West Bengal 700020, India"
kol024,ChIJ8c6p8eV1AjoRWVUP9NPByNY,"Zone by the Park Hotel, Kolkata","DG /02/1 -39, 11 (न्युटाउन, Action Area I, Newtown, New Town, West Bengal 700156, India"
kol025,ChIJM9fTCT11AjoRV-Pw_vZCErg,Novotel Kolkata - Hotel & Residences,"Sub-Central Business District(Action Area 1), Action Area 1C, Rajarhat, New Town, Kolkata, West Bengal 700107, India"
