hotel_id,place_id,display_name,formatted_address,latitude,longitude,rating,user_rating_count,price_level,business_status,city,place_uri,directions_uri,reviews_uri,photos_uri,write_review_uri,website_uri,phone_number,international_phone,opening_hours,types,editorial_summary,serves_vegetarian_food,serves_breakfast,serves_lunch,serves_dinner,serves_brunch,serves_beer,serves_wine,serves_cocktails,allows_dogs,good_for_children,good_for_groups,good_for_watching_sports,live_music,menu_for_children,outdoor_seating,reservable,delivery,takeout,curbside_pickup,dine_in,restroom,wheelchair_accessible_entrance,wheelchair_accessible_parking,accepts_credit_cards,accepts_debit_cards,accepts_cash_only,parking_free,parking_paid,parking_street,parking_garage,valet_parking,ev_charging_available,fuel_options,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score,hospitals_count_1km,pharmacies_count_1km,banks_count_1km,restaurants_count_1km,shopping_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km
luc001,ChIJzQ338b_imzkRijGXF0hg3L8,Hilton Garden Inn Lucknow,"TCG, 7/7, Vijaipur Colony, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",26.864170599999998,81.00823969999999,4.3,8076,,OPERATIONAL,Lucknow,https://maps.google.com/?cid=13825030818870276490&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x399be2bff1f70dcd:0xbfdc60481797318a!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x399be2bff1f70dcd:0xbfdc60481797318a!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399be2bff1f70dcd:0xbfdc60481797318a!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399be2bff1f70dcd:0xbfdc60481797318a!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.hilton.com/en/hotels/lkogigi-hilton-garden-inn-lucknow/?SEO_id=GMB-APAC-GI-LKOGIGI,0522 427 7777,+91 522 427 7777,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",Bright rooms & suites in a contemporary hotel offering a bar & a rooftop pool.,,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,False,,,,,,False,,11,0,12,10,0,40,0,60,33,2,0,1,3,0,0,3,0,3,4
luc002,ChIJESZAjeTjmzkRavD-J85eUkE,THE LUCKNOW HOTELS,"RAILWAY STATION, B3/6-7, opposite ROADWAYS WORKSHOP, near GOMTI NAGAR, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",26.8633208,81.00145289999999,4.6,378,,OPERATIONAL,Lucknow,https://maps.google.com/?cid=4706928800082882666&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x399be3e48d402611:0x41525ece27fef06a!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x399be3e48d402611:0x41525ece27fef06a!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399be3e48d402611:0x41525ece27fef06a!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399be3e48d402611:0x41525ece27fef06a!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",,,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,34,12,20,50,0,100,0,60,54,7,0,5,5,1,0,3,0,3,7
luc003,ChIJ6Sx3c6v9mzkR6bQwQPrAiIQ,Radisson Hotel Lucknow City Center,"24, Cantonment Rd, Kaiserbagh Officer's Colony, Kaiser Bagh, Lucknow, Uttar Pradesh 226001, India",26.845664900000003,80.9353459,4.4,7950,,OPERATIONAL,Lucknow,https://maps.google.com/?cid=9550095190890427625&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x399bfdab73772ce9:0x8488c0fa4030b4e9!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x399bfdab73772ce9:0x8488c0fa4030b4e9!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399bfdab73772ce9:0x8488c0fa4030b4e9!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399bfdab73772ce9:0x8488c0fa4030b4e9!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.radissonhotels.com/en-us/hotels/radisson-lucknow-city-center?cid=a:se+b:gmb+c:apac+i:local+e:rad+d:ind+h:INUPLKOCTR,0522 429 9999,+91 522 429 9999,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Streamlined rooms & suites in a humble hotel with 2 restaurants, a rooftop infinity pool & a spa.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,47,0,60,100,0,100,0,40,100,9,0,16,15,0,0,6,0,2,44
luc004,ChIJPxcLHb_imzkRI46fZEnqx88,Hyatt Regency Lucknow,"Regency Rd, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",26.866091899999997,81.0057359,4.3,9614,,OPERATIONAL,Lucknow,https://maps.google.com/?cid=14972193087158193699&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x399be2bf1d0b173f:0xcfc7ea49649f8e23!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x399be2bf1d0b173f:0xcfc7ea49649f8e23!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399be2bf1d0b173f:0xcfc7ea49649f8e23!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399be2bf1d0b173f:0xcfc7ea49649f8e23!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.hyatt.com/hyatt-regency/en-US/lkorl-hyatt-regency-lucknow?src=corp_lclb_google_seo_lkorl&utm_source=google&utm_medium=organic&utm_campaign=lmr,0522 426 1234,+91 522 426 1234,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Sophisticated lodging with 2 casual restaurants & an outdoor pool, plus a spa & a 24-hour gym.",,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,,,,,,,False,,21,12,12,30,0,60,0,60,48,3,0,3,3,1,0,3,0,3,7
luc005,ChIJc3V0qjv9mzkRJIjoF7fPY0Y,Renaissance Lucknow Hotel,"Vipin Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",26.8526539,80.9732884,4.4,8463,,OPERATIONAL,Lucknow,https://maps.google.com/?cid=5072125990636390436&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x399bfd3baa747573:0x4663cfb717e88824!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x399bfd3baa747573:0x4663cfb717e88824!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399bfd3baa747573:0x4663cfb717e88824!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399bfd3baa747573:0x4663cfb717e88824!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.marriott.com/en-us/hotels/lkobr-renaissance-lucknow-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,0522 405 5555,+91 522 405 5555,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Upmarket lodging in a slick tower offering modern rooms & 2 restaurants, plus a rooftop pool & bar.",,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,False,,,,,,False,,13,37,16,10,0,0,0,60,56,0,0,1,4,3,0,2,0,3,10
luc006,ChIJ11DHJXv5mzkRo5kZWxr3Rb4,Holiday Inn Lucknow Airport by IHG,"Metro Station, Kanpur - Lucknow Rd, near Transport Nagar, Sindhunagar, Lucknow, Uttar Pradesh 226008, India",26.7761709,80.8812045,4.4,2182,,OPERATIONAL,Lucknow,https://maps.google.com/?cid=13710636333168957859&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x399bf97b25c750d7:0xbe45f71a5b1999a3!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x399bf97b25c750d7:0xbe45f71a5b1999a3!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399bf97b25c750d7:0xbe45f71a5b1999a3!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399bf97b25c750d7:0xbe45f71a5b1999a3!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.ihg.com/holidayinn/hotels/us/en/lucknow/lkokn/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-IN-_-LKOKN,092198 09710,+91 92198 09710,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Informal airport hotel offering a buffet restaurant & a rooftop grill, plus an outdoor pool.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,13
luc007,ChIJgab7mTr9mzkRO_V6GBx1K-g,Taj Mahal Lucknow,"Gomti Nagar Ext Bypass Rd, near Beena cinema hall, Vipin Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",26.851598799999998,80.97357629999999,4.6,12539,,OPERATIONAL,Lucknow,https://maps.google.com/?cid=16729594004328084795&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x399bfd3a99fba681:0xe82b751c187af53b!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x399bfd3a99fba681:0xe82b751c187af53b!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399bfd3a99fba681:0xe82b751c187af53b!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399bfd3a99fba681:0xe82b751c187af53b!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.tajhotels.com/en-in/hotels/taj-mahal-lucknow?utm_source=Google&utm_medium=Local&utm_campaign=Taj-Mahal-Lucknow,0522 671 1000,+91 522 671 1000,,"[""hotel"", ""extended_stay_hotel"", ""resort_hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Elegant rooms & suites in an upscale hotel with 2 restaurants, an outdoor pool & a spa.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,13,37,16,10,0,0,0,60,56,0,0,1,4,3,0,2,0,3,10
luc008,ChIJY1VVVQn9mzkRhuQmJuUtniw,The Grand Radiant-3 Star Hotel in Lucknow,"36, Cantonment Rd, near Odean Cinema, Lalbagh, Lucknow, Uttar Pradesh 226001, India",26.842661399999997,80.9366533,4,2790,PRICE_LEVEL_MODERATE,OPERATIONAL,Lucknow,https://maps.google.com/?cid=3215057646199956614&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x399bfd0955555563:0x2c9e2de52626e486!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x399bfd0955555563:0x2c9e2de52626e486!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399bfd0955555563:0x2c9e2de52626e486!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399bfd0955555563:0x2c9e2de52626e486!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,http://www.thegrandradiant.com/,073881 02228,+91 73881 02228,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""wedding_venue"", ""lodging"", ""event_venue"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",Straightforward rooms in a relaxed hotel featuring a restaurant & a 24-hour coffee shop.,,,,,,,,,,True,,,,,,,,True,,,,True,True,,,,,,,,,False,,44,0,48,100,0,100,0,40,100,9,0,14,12,0,0,6,0,2,40
luc009,ChIJFwAAQDb9mzkRzTva3PThgjo,Hotel Aryan,"VX6H+Q84, Nehru Enclave Divider Rd, Nehru Enclave, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",26.861889500000004,80.97833969999999,3.8,1639,,OPERATIONAL,Lucknow,https://maps.google.com/?cid=4216180642965765069&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x399bfd3640000017:0x3a82e1f4dcda3bcd!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x399bfd3640000017:0x3a82e1f4dcda3bcd!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399bfd3640000017:0x3a82e1f4dcda3bcd!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399bfd3640000017:0x3a82e1f4dcda3bcd!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,096511 60176,+91 96511 60176,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]",Simple rooms with flat-screens in a down-to-earth hotel offering complimentary parking.,,,,,,,,,,True,,,,,,,,,,,,,False,,,,,,,,,False,,14,25,12,10,0,20,0,100,78,1,0,1,3,2,0,5,0,5,14
luc010,ChIJi-hS8jn7mzkRa-zXg2NrSp0,HOTEL DAMSON PLUM,"Plot No.F-1, 2, Amar Shaheed Path, Golf City, Sector B Ansal API, Lucknow, Muzaffar Nagar Ghusval, Uttar Pradesh 226030, India",26.7794782,80.9931704,4.4,1697,,OPERATIONAL,Lucknow,https://maps.google.com/?cid=11333989487389174891&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x399bfb39f252e88b:0x9d4a6b6383d7ec6b!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x399bfb39f252e88b:0x9d4a6b6383d7ec6b!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399bfb39f252e88b:0x9d4a6b6383d7ec6b!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x399bfb39f252e88b:0x9d4a6b6383d7ec6b!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,http://www.hoteldamsonplum.com/,0522 460 6555,+91 522 460 6555,,"[""hotel"", ""swimming_pool"", ""banquet_hall"", ""gym"", ""lodging"", ""bar"", ""event_venue"", ""sports_activity_location"", ""restaurant"", ""food"", ""health"", ""point_of_interest"", ""establishment""]","Warm rooms in an upmarket hotel offering a rooftop restaurant & infinity pool, plus a bar.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,14,12,8,10,40,40,0,0,14,2,0,1,2,1,2,1,0,0,0
