hotel_id,city,display_name,latitude,longitude,formatted_address,hospitals_count_1km,pharmacies_count_1km,shopping_count_1km,restaurants_count_1km,banks_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score
luc001,Lucknow,Hilton Garden Inn Lucknow,26.864170599999998,81.00823969999999,"TCG, 7/7, Vijaipur Colony, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",2,0,0,3,1,0,3,0,3,4,11,0,12,10,0,40,0,60,33
luc002,Lucknow,THE LUCKNOW HOTELS,26.8633208,81.00145289999999,"RAILWAY STATION, B3/6-7, opposite ROADWAYS WORKSHOP, near GOMTI NAGAR, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",7,0,1,5,5,0,3,0,3,7,34,12,20,50,0,100,0,60,54
luc003,Lucknow,Radisson Hotel Lucknow City Center,26.845664900000003,80.9353459,"24, Cantonment Rd, Kaiserbagh Officer's Colony, Kaiser Bagh, Lucknow, Uttar Pradesh 226001, India",9,0,0,15,16,0,6,0,2,44,47,0,60,100,0,100,0,40,100
luc004,Lucknow,Hyatt Regency Lucknow,26.866091899999997,81.0057359,"Regency Rd, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",3,0,1,3,3,0,3,0,3,7,21,12,12,30,0,60,0,60,48
luc005,Lucknow,Renaissance Lucknow Hotel,26.8526539,80.9732884,"Vipin Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",0,0,3,4,1,0,2,0,3,10,13,37,16,10,0,0,0,60,56
luc006,Lucknow,Holiday Inn Lucknow Airport by IHG,26.7761709,80.8812045,"Metro Station, Kanpur - Lucknow Rd, near Transport Nagar, Sindhunagar, Lucknow, Uttar Pradesh 226008, India",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,39
luc007,Lucknow,Taj Mahal Lucknow,26.851598799999998,80.97357629999999,"Gomti Nagar Ext Bypass Rd, near Beena cinema hall, Vipin Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",0,0,3,4,1,0,2,0,3,10,13,37,16,10,0,0,0,60,56
luc008,Lucknow,The Grand Radiant-3 Star Hotel in Lucknow,26.842661399999997,80.9366533,"36, Cantonment Rd, near Odean Cinema, Lalbagh, Lucknow, Uttar Pradesh 226001, India",9,0,0,12,14,0,6,0,2,40,44,0,48,100,0,100,0,40,100
luc009,Lucknow,Hotel Aryan,26.861889500000004,80.97833969999999,"VX6H+Q84, Nehru Enclave Divider Rd, Nehru Enclave, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India",1,0,2,3,1,0,5,0,5,14,14,25,12,10,0,20,0,100,78
luc010,Lucknow,HOTEL DAMSON PLUM,26.7794782,80.9931704,"Plot No.F-1, 2, Amar Shaheed Path, Golf City, Sector B Ansal API, Lucknow, Muzaffar Nagar Ghusval, Uttar Pradesh 226030, India",2,0,1,2,1,2,1,0,0,0,14,12,8,10,40,40,0,0,14
