hotel_id,place_id,display_name,formatted_address
luc001,ChIJzQ338b_imzkRijGXF0hg3L8,Hilton Garden Inn Lucknow,"TCG, 7/7, Vijaipur Colony, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India"
luc002,ChIJESZAjeTjmzkRavD-J85eUkE,THE LUCKNOW HOTELS,"RAILWAY STATION, B3/6-7, opposite ROADWAYS WORKSHOP, near GOMTI NAGAR, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India"
luc003,ChIJ6Sx3c6v9mzkR6bQwQPrAiIQ,Radisson Hotel Lucknow City Center,"24, Cantonment Rd, Kaiserbagh Officer's Colony, Kaiser Bagh, Lucknow, Uttar Pradesh 226001, India"
luc004,ChIJPxcLHb_imzkRI46fZEnqx88,Hyatt Regency Lucknow,"Regency Rd, Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India"
luc005,ChIJc3V0qjv9mzkRJIjoF7fPY0Y,Renaissance Lucknow Hotel,"Vipin Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India"
luc006,ChIJ11DHJXv5mzkRo5kZWxr3Rb4,Holiday Inn Lucknow Airport by IHG,"Metro Station, Kanpur - Lucknow Rd, near Transport Nagar, Sindhunagar, Lucknow, Uttar Pradesh 226008, India"
luc007,ChIJgab7mTr9mzkRO_V6GBx1K-g,Taj Mahal Lucknow,"Gomti Nagar Ext Bypass Rd, near Beena cinema hall, Vipin Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India"
luc008,ChIJY1VVVQn9mzkRhuQmJuUtniw,The Grand Radiant-3 Star Hotel in Lucknow,"36, Cantonment Rd, near Odean Cinema, Lalbagh, Lucknow, Uttar Pradesh 226001, India"
luc009,ChIJFwAAQDb9mzkRzTva3PThgjo,Hotel Aryan,"VX6H+Q84, Nehru Enclave Divider Rd, Nehru Enclave, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India"
luc010,ChIJi-hS8jn7mzkRa-zXg2NrSp0,HOTEL DAMSON PLUM,"Plot No.F-1, 2, Amar Shaheed Path, Golf City, Sector B Ansal API, Lucknow, Muzaffar Nagar Ghusval, Uttar Pradesh 226030, India"
luc011,ChIJT2NAb_H5mzkR0IS2hqmqRIs,Lemon Tree Hotel Lucknow,"Shaheed Path Chauraha Bagh No.2, Road, Kanpur - Lucknow Rd, Sindhunagar, Lucknow, Uttar Pradesh 226023, India"
