hotel_id,landmark_type,landmark_name,distance_km,travel_time_minutes,traffic_aware
mum001,airport,Chhatrapati Shivaji Maharaj International Airport,18.98,,False
mum001,railway,Chhatrapati Shivaji Maharaj Terminus,2.08,,False
mum001,bus,Mumbai Central Bus Depot,5.52,,False
mum001,business,Bandra Kurla Complex,16.15,,False
mum001,colaba,Colaba,2.56,,False
mum002,airport,Chhatrapati Shivaji Maharaj International Airport,10.53,,False
mum002,railway,Chhatrapati Shivaji Maharaj Terminus,6.48,,False
mum002,bus,Mumbai Central Bus Depot,3.79,,False
mum002,business,Bandra Kurla Complex,7.62,,False
mum002,colaba,Colaba,10.5,,False
mum003,airport,Chhatrapati Shivaji Maharaj International Airport,1.74,,False
mum003,railway,Chhatrapati Shivaji Maharaj Terminus,18.63,,False
mum003,bus,Mumbai Central Bus Depot,15.94,,False
mum003,business,Bandra Kurla Complex,4.77,,False
mum003,colaba,Colaba,22.76,,False
mum004,airport,Chhatrapati Shivaji Maharaj International Airport,7.04,,False
mum004,railway,Chhatrapati Shivaji Maharaj Terminus,11.66,,False
mum004,bus,Mumbai Central Bus Depot,8.27,,False
mum004,business,Bandra Kurla Complex,4.11,,False
mum004,colaba,Colaba,15.27,,False
mum005,airport,Chhatrapati Shivaji Maharaj International Airport,11.47,,False
mum005,railway,Chhatrapati Shivaji Maharaj Terminus,6.36,,False
mum005,bus,Mumbai Central Bus Depot,2.9,,False
mum005,business,Bandra Kurla Complex,8.44,,False
mum005,colaba,Colaba,9.91,,False
mum006,airport,Chhatrapati Shivaji Maharaj International Airport,2.06,,False
mum006,railway,Chhatrapati Shivaji Maharaj Terminus,18.84,,False
mum006,bus,Mumbai Central Bus Depot,16.22,,False
mum006,business,Bandra Kurla Complex,5.12,,False
mum006,colaba,Colaba,23.0,,False
mum007,airport,Chhatrapati Shivaji Maharaj International Airport,4.36,,False
mum007,railway,Chhatrapati Shivaji Maharaj Terminus,18.0,,False
mum007,bus,Mumbai Central Bus Depot,14.72,,False
mum007,business,Bandra Kurla Complex,4.74,,False
mum007,colaba,Colaba,21.73,,False
mum008,airport,Chhatrapati Shivaji Maharaj International Airport,5.91,,False
mum008,railway,Chhatrapati Shivaji Maharaj Terminus,19.29,,False
mum008,bus,Mumbai Central Bus Depot,17.47,,False
mum008,business,Bandra Kurla Complex,8.07,,False
mum008,colaba,Colaba,23.62,,False
mum009,airport,Chhatrapati Shivaji Maharaj International Airport,2.65,,False
mum009,railway,Chhatrapati Shivaji Maharaj Terminus,19.25,,False
mum009,bus,Mumbai Central Bus Depot,16.7,,False
mum009,business,Bandra Kurla Complex,5.69,,False
mum009,colaba,Colaba,23.44,,False
mum010,airport,Chhatrapati Shivaji Maharaj International Airport,9.54,,False
mum010,railway,Chhatrapati Shivaji Maharaj Terminus,25.95,,False
mum010,bus,Mumbai Central Bus Depot,22.82,,False
mum010,business,Bandra Kurla Complex,11.95,,False
mum010,colaba,Colaba,29.83,,False
mum011,airport,Chhatrapati Shivaji Maharaj International Airport,1.66,,False
mum011,railway,Chhatrapati Shivaji Maharaj Terminus,18.56,,False
mum011,bus,Mumbai Central Bus Depot,15.86,,False
mum011,business,Bandra Kurla Complex,4.69,,False
mum011,colaba,Colaba,22.69,,False
mum012,airport,Chhatrapati Shivaji Maharaj International Airport,2.67,,False
mum012,railway,Chhatrapati Shivaji Maharaj Terminus,19.44,,False
mum012,bus,Mumbai Central Bus Depot,16.83,,False
mum012,business,Bandra Kurla Complex,5.73,,False
mum012,colaba,Colaba,23.61,,False
mum013,airport,Chhatrapati Shivaji Maharaj International Airport,4.82,,False
mum013,railway,Chhatrapati Shivaji Maharaj Terminus,18.77,,False
mum013,bus,Mumbai Central Bus Depot,15.47,,False
mum013,business,Bandra Kurla Complex,5.48,,False
mum013,colaba,Colaba,22.48,,False
mum014,airport,Chhatrapati Shivaji Maharaj International Airport,18.72,,False
mum014,railway,Chhatrapati Shivaji Maharaj Terminus,2.21,,False
mum014,bus,Mumbai Central Bus Depot,4.76,,False
mum014,business,Bandra Kurla Complex,15.81,,False
mum014,colaba,Colaba,2.31,,False
mum015,airport,Chhatrapati Shivaji Maharaj International Airport,1.68,,False
mum015,railway,Chhatrapati Shivaji Maharaj Terminus,18.56,,False
mum015,bus,Mumbai Central Bus Depot,15.88,,False
mum015,business,Bandra Kurla Complex,4.72,,False
mum015,colaba,Colaba,22.7,,False
mum016,airport,Chhatrapati Shivaji Maharaj International Airport,2.08,,False
mum016,railway,Chhatrapati Shivaji Maharaj Terminus,15.28,,False
mum016,bus,Mumbai Central Bus Depot,12.38,,False
mum016,business,Bandra Kurla Complex,1.2,,False
mum016,colaba,Colaba,19.3,,False
mum017,airport,Chhatrapati Shivaji Maharaj International Airport,2.33,,False
mum017,railway,Chhatrapati Shivaji Maharaj Terminus,19.2,,False
mum017,bus,Mumbai Central Bus Depot,16.53,,False
mum017,business,Bandra Kurla Complex,5.38,,False
mum017,colaba,Colaba,23.35,,False
mum018,airport,Chhatrapati Shivaji Maharaj International Airport,2.56,,False
mum018,railway,Chhatrapati Shivaji Maharaj Terminus,14.45,,False
mum018,bus,Mumbai Central Bus Depot,11.91,,False
mum018,business,Bandra Kurla Complex,1.77,,False
mum018,colaba,Colaba,18.62,,False
mum019,airport,Chhatrapati Shivaji Maharaj International Airport,1.43,,False
mum019,railway,Chhatrapati Shivaji Maharaj Terminus,17.4,,False
mum019,bus,Mumbai Central Bus Depot,14.48,,False
mum019,business,Bandra Kurla Complex,3.32,,False
mum019,colaba,Colaba,21.41,,False
mum020,airport,Chhatrapati Shivaji Maharaj International Airport,3.11,,False
mum020,railway,Chhatrapati Shivaji Maharaj Terminus,19.96,,False
mum020,bus,Mumbai Central Bus Depot,17.13,,False
mum020,business,Bandra Kurla Complex,5.92,,False
mum020,colaba,Colaba,24.03,,False
mum021,airport,Chhatrapati Shivaji Maharaj International Airport,11.63,,False
mum021,railway,Chhatrapati Shivaji Maharaj Terminus,6.24,,False
mum021,bus,Mumbai Central Bus Depot,2.75,,False
mum021,business,Bandra Kurla Complex,8.6,,False
mum021,colaba,Colaba,9.76,,False
mum022,airport,Chhatrapati Shivaji Maharaj International Airport,3.48,,False
mum022,railway,Chhatrapati Shivaji Maharaj Terminus,20.22,,False
mum022,bus,Mumbai Central Bus Depot,17.63,,False
mum022,business,Bandra Kurla Complex,6.54,,False
mum022,colaba,Colaba,24.4,,False
mum023,airport,Chhatrapati Shivaji Maharaj International Airport,2.72,,False
mum023,railway,Chhatrapati Shivaji Maharaj Terminus,18.9,,False
mum023,bus,Mumbai Central Bus Depot,16.46,,False
mum023,business,Bandra Kurla Complex,5.64,,False
mum023,colaba,Colaba,23.12,,False
mum024,airport,Chhatrapati Shivaji Maharaj International Airport,15.29,,False
mum024,railway,Chhatrapati Shivaji Maharaj Terminus,4.03,,False
mum024,bus,Mumbai Central Bus Depot,1.49,,False
mum024,business,Bandra Kurla Complex,12.26,,False
mum024,colaba,Colaba,6.42,,False
mum025,airport,Chhatrapati Shivaji Maharaj International Airport,1.81,,False
mum025,railway,Chhatrapati Shivaji Maharaj Terminus,18.5,,False
mum025,bus,Mumbai Central Bus Depot,15.91,,False
mum025,business,Bandra Kurla Complex,4.86,,False
mum025,colaba,Colaba,22.67,,False
mum026,airport,Chhatrapati Shivaji Maharaj International Airport,1.99,,False
mum026,railway,Chhatrapati Shivaji Maharaj Terminus,18.68,,False
mum026,bus,Mumbai Central Bus Depot,15.82,,False
mum026,business,Bandra Kurla Complex,4.62,,False
mum026,colaba,Colaba,22.73,,False
mum027,airport,Chhatrapati Shivaji Maharaj International Airport,1.6,,False
