hotel_id,place_id,display_name,formatted_address,latitude,longitude,rating,user_rating_count,price_level,business_status,city,place_uri,directions_uri,reviews_uri,photos_uri,write_review_uri,website_uri,phone_number,international_phone,opening_hours,types,editorial_summary,serves_vegetarian_food,serves_breakfast,serves_lunch,serves_dinner,serves_brunch,serves_beer,serves_wine,serves_cocktails,allows_dogs,good_for_children,good_for_groups,good_for_watching_sports,live_music,menu_for_children,outdoor_seating,reservable,delivery,takeout,curbside_pickup,dine_in,restroom,wheelchair_accessible_entrance,wheelchair_accessible_parking,accepts_credit_cards,accepts_debit_cards,accepts_cash_only,parking_free,parking_paid,parking_street,parking_garage,valet_parking,ev_charging_available,fuel_options,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score,hospitals_count_1km,pharmacies_count_1km,banks_count_1km,restaurants_count_1km,shopping_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km
mum001,ChIJ____b8DR5zsRVz_XpIUEKcA,"The Taj Mahal Palace, Mumbai","Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9216631,72.8332028,4.7,33198,,OPERATIONAL,Mumbai,https://maps.google.com/?cid=13846603501370031959&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3be7d1c06fffffff:0xc0290485a4d73f57!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3be7d1c06fffffff:0xc0290485a4d73f57!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7d1c06fffffff:0xc0290485a4d73f57!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7d1c06fffffff:0xc0290485a4d73f57!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.tajhotels.com/en-in/hotels/taj-mahal-palace-mumbai?utm_medium=Local&utm_source=Google&utm_campaign=The-Taj-Mahal-Palace-Mumbai,022 6665 3366,+91 22 6665 3366,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Refined rooms in a high-end seafront hotel with 11 restaurants & bars, plus a luxe spa & pool.",,,,,,,,,,True,,,,,,,,,,,,True,True,,True,False,,,,,,False,,71,25,100,100,20,100,50,100,100,9,4,14,71,2,1,5,0,6,29
mum002,ChIJEz8BQETI5zsR2JmxqBO2X1w,"ITC Grand Central, a Luxury Collection Hotel, Mumbai","287, Dr Babasaheb Ambedkar Rd, Parel, Mumbai, Maharashtra 400012, India",18.9983626,72.83877679999999,4.7,23581,,OPERATIONAL,Mumbai,https://maps.google.com/?cid=6656238969827727832&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3be7c84440013f13:0x5c5fb613a8b199d8!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3be7c84440013f13:0x5c5fb613a8b199d8!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7c84440013f13:0x5c5fb613a8b199d8!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7c84440013f13:0x5c5fb613a8b199d8!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.marriott.com/en-us/hotels/bomrl-itc-grand-central-a-luxury-collection-hotel-mumbai/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,022 2410 1010,+91 22 2410 1010,,"[""hotel"", ""lodging"", ""wedding_venue"", ""event_venue"", ""point_of_interest"", ""establishment""]","Refined rooms in a posh hotel with restaurants & bars, plus a spa featuring an indoor pool.",,,,,,,,,,True,,,,,,,,,,,,True,True,,True,False,,,,,,False,,27,0,16,30,20,100,0,40,100,6,0,3,4,0,1,5,0,2,60
mum003,ChIJxwRMSyLO5zsRudODuSKThb8,Hilton Mumbai International Airport,"Chhatrapati Shivaji Maharaj Int'l Airport Rd, Ashok Nagar, Andheri East, Mumbai, Maharashtra 400099, India",19.1044496,72.8707395,4.5,26004,,OPERATIONAL,Mumbai,https://maps.google.com/?cid=13800598410497348537&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3be7ce224b4c04c7:0xbf859322b983d3b9!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3be7ce224b4c04c7:0xbf859322b983d3b9!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7ce224b4c04c7:0xbf859322b983d3b9!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7ce224b4c04c7:0xbf859322b983d3b9!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.hilton.com/en/hotels/bomaphi-hilton-mumbai-international-airport/?SEO_id=GMB-APAC-HI-BOMAPHI,022 6199 0000,+91 22 6199 0000,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Refined rooms & suites in an opulent hotel offering chic dining, an outdoor pool & event space.",,,,,,,,,,,,,,,True,,,,,,,True,True,True,True,False,,,,,,False,,61,25,100,100,40,100,0,100,100,13,0,11,26,2,2,9,0,5,37
mum004,ChIJSRH78kXJ5zsRMTuWOSp0uqI,"Taj Lands End, Mumbai","BJ Road, opp. ICICI Bank, Mount Mary, Bandra West, Mumbai, Maharashtra 400050, India",19.0439316,72.8192723,4.6,35317,,OPERATIONAL,Mumbai,https://maps.google.com/?cid=11725812304516102961&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3be7c945f2fb1149:0xa2ba742a39963b31!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3be7c945f2fb1149:0xa2ba742a39963b31!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7c945f2fb1149:0xa2ba742a39963b31!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7c945f2fb1149:0xa2ba742a39963b31!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.tajhotels.com/en-in/hotels/taj-lands-end-mumbai?utm_source=Google&utm_medium=Local&utm_campaign=Taj-Lands-End-Mumbai,022 6668 1234,+91 22 6668 1234,"{""openNow"": true, ""periods"": [{""open"": {""day"": 0, ""hour"": 0, ""minute"": 0}}], ""weekdayDescriptions"": [""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]}","[""hotel"", ""resort_hotel"", ""extended_stay_hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","High-end hotel with sea views & multiple restaurants, plus a spa, an outdoor pool & a hot tub.",,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,True,,,,,,False,,28,0,48,50,0,20,37,60,38,1,3,5,12,0,0,1,0,3,3
mum005,ChIJ_fKdy47O5zsROlaOFKFb5k0,Four Seasons Hotel Mumbai,"1/136, Dr Elijah Moses Rd, Gandhi Nagar, Upper Worli, Worli, Mumbai, Maharashtra 400018, India",18.9956404,72.82054509999999,4.5,15138,PRICE_LEVEL_VERY_EXPENSIVE,OPERATIONAL,Mumbai,https://maps.google.com/?cid=5613274732956636730&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3be7ce8ecb9df2fd:0x4de65ba1148e563a!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3be7ce8ecb9df2fd:0x4de65ba1148e563a!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7ce8ecb9df2fd:0x4de65ba1148e563a!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7ce8ecb9df2fd:0x4de65ba1148e563a!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.fourseasons.com/mumbai/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-mum-hre-mid-seo-na&utm_content=na-na&utm_term=na,022 6982 8000,+91 22 6982 8000,,"[""hotel"", ""resort_hotel"", ""extended_stay_hotel"", ""spa"", ""lodging"", ""wedding_venue"", ""event_venue"", ""point_of_interest"", ""establishment""]","Luxe hotel offering free Wi-Fi & breakfast, plus a restaurant, a spa & a rooftop pool.",,,,,,,,,,True,,,,,,,,True,,,,True,True,,True,False,,,,,,False,,43,25,64,30,0,100,0,20,100,7,0,3,16,2,0,9,0,1,41
mum006,ChIJWYnyhWrI5zsRh1tnwbNIHis,The Lalit Mumbai,"Chhatrapati Shivaji Maharaj Int'l Airport Rd, Navpada, Marol, Andheri East, Mumbai, Maharashtra 400059, India",19.1053238,72.8758792,4.4,26700,,OPERATIONAL,Mumbai,https://maps.google.com/?cid=3107000729813343111&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3be7c86a85f28959:0x2b1e48b3c1675b87!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3be7c86a85f28959:0x2b1e48b3c1675b87!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7c86a85f28959:0x2b1e48b3c1675b87!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7c86a85f28959:0x2b1e48b3c1675b87!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,http://www.thelalit.com/the-lalit-mumbai/,022 6699 2222,+91 22 6699 2222,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Upscale property with elegant quarters, warm dining & a pool, plus a spa, a gym & a screening room.",,,,,,,,,,True,,,,,,,,,,,,True,True,True,,False,,,,,,False,,50,12,100,50,0,100,0,100,100,8,0,5,28,1,0,9,0,5,36
mum007,ChIJLeZxYr_J5zsRKhLe6YkYhhI,JW Marriott Mumbai Juhu,"Jw Marriott Mumbai Juhu, Juhu Tara Rd, Juhu Tara, Juhu, Mumbai, Maharashtra 400049, India",19.1018504,72.8262233,4.6,31076,PRICE_LEVEL_INEXPENSIVE,OPERATIONAL,Mumbai,https://maps.google.com/?cid=1334781320175161898&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3be7c9bf6271e62d:0x12861889e9de122a!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3be7c9bf6271e62d:0x12861889e9de122a!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7c9bf6271e62d:0x12861889e9de122a!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7c9bf6271e62d:0x12861889e9de122a!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.marriott.com/en-us/hotels/bomjw-jw-marriott-mumbai-juhu/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,022 6693 3000,+91 22 6693 3000,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Contemporary lodging with 4 restaurants & 2 cafes, plus a spa, a fitness centre & an infinity pool.",,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,False,True,,,,,False,,74,37,100,100,0,100,50,80,100,5,4,10,45,3,0,3,0,4,11
mum008,ChIJkaJwZzbH5zsRR016xGzzqhg,"Taj The Trees, Mumbai","Off, Eastern Express Hwy, Pirojshanagar, Vikhroli, Mumbai, Maharashtra 400079, India",19.0934259,72.9217305,4.7,2291,,OPERATIONAL,Mumbai,https://maps.google.com/?cid=1777500651429449031&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3be7c7366770a291:0x18aaf36cc47a4d47!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3be7c7366770a291:0x18aaf36cc47a4d47!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7c7366770a291:0x18aaf36cc47a4d47!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7c7366770a291:0x18aaf36cc47a4d47!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.tajhotels.com/en-in/hotels/taj-the-trees?utm_source=Google&utm_campaign=taj-trees&utm_medium=Local,022 6980 0000,+91 22 6980 0000,,"[""hotel"", ""extended_stay_hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Modern luxury hotel offering an outdoor infinity pool, a sculpture park & international dining.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,28,12,12,20,0,100,0,20,100,6,0,2,3,1,0,5,0,1,32
mum009,ChIJQ9n9MC_J5zsR6NlRanrfj_c,"Lemon Tree Premier, Mumbai International Airport","Andheri - Kurla Rd, opposite Mittal Industrial Estate, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059, India",19.107635,72.88212299999999,4.2,4480,,OPERATIONAL,Mumbai,https://maps.google.com/?cid=17838722365900577256&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3be7c92f30fdd943:0xf78fdf7a6a51d9e8!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3be7c92f30fdd943:0xf78fdf7a6a51d9e8!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7c92f30fdd943:0xf78fdf7a6a51d9e8!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7c92f30fdd943:0xf78fdf7a6a51d9e8!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.lemontreehotels.com/lemon-tree-premier/mumbai/mumbai-international-airport?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,022 6825 1111,+91 22 6825 1111,,"[""hotel"", ""inn"", ""motel"", ""lodging"", ""point_of_interest"", ""establishment""]","Relaxed hotel offering an outdoor pool, a spa & a fitness room, plus dining & a bar.",True,,True,True,,False,False,,,True,,False,False,True,False,,True,,False,True,True,True,True,True,True,False,,,True,,True,False,,53,12,100,70,20,100,0,60,100,10,0,7,26,1,1,8,0,3,35
mum010,ChIJqxRSZP-25zsRKtXlArFwATM,Radisson Hotel Mumbai Goregaon,"S.V. Road, Veer Savarkar Flyover, Udyog Nagar, Goregaon West, Mumbai, Maharashtra 400062, India",19.1733403,72.8458571,4.2,5633,,OPERATIONAL,Mumbai,https://maps.google.com/?cid=3675342676471174442&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3be7b6ff645214ab:0x330170b102e5d52a!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3be7b6ff645214ab:0x330170b102e5d52a!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7b6ff645214ab:0x330170b102e5d52a!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3be7b6ff645214ab:0x330170b102e5d52a!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.radissonhotels.com/en-us/hotels/radisson-mumbai-goregaon?cid=a:se+b:gmb+c:apac+i:local+e:rad+d:ind+h:INMHBOMGOR,022 4215 8000,+91 22 4215 8000,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Understated hotel featuring a gym, a spa & a rooftop pool, plus 2 restaurants & a bar.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,35,12,12,70,40,100,0,60,100,24,0,7,3,1,2,3,1,3,36
