hotel_id,city,display_name,latitude,longitude,formatted_address,hospitals_count_1km,pharmacies_count_1km,shopping_count_1km,restaurants_count_1km,banks_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score
mum001,Mumbai,"The Taj Mahal Palace, Mumbai",18.9216631,72.8332028,"Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",9,4,2,71,14,1,5,0,6,29,71,25,100,100,20,100,50,100,100
mum002,Mumbai,"ITC Grand Central, a Luxury Collection Hotel, Mumbai",18.9983626,72.83877679999999,"287, Dr Babasaheb Ambedkar Rd, Parel, Mumbai, Maharashtra 400012, India",6,0,0,4,3,1,5,0,2,60,27,0,16,30,20,100,0,40,100
mum003,Mumbai,Hilton Mumbai International Airport,19.1044496,72.8707395,"Chhatrapati Shivaji Maharaj Int'l Airport Rd, Ashok Nagar, Andheri East, Mumbai, Maharashtra 400099, India",13,0,2,26,11,2,9,0,5,37,61,25,100,100,40,100,0,100,100
mum004,Mumbai,"Taj Lands End, Mumbai",19.0439316,72.8192723,"BJ Road, opp. ICICI Bank, Mount Mary, Bandra West, Mumbai, Maharashtra 400050, India",1,3,0,12,5,0,1,0,3,3,28,0,48,50,0,20,37,60,38
mum005,Mumbai,Four Seasons Hotel Mumbai,18.9956404,72.82054509999999,"1/136, Dr Elijah Moses Rd, Gandhi Nagar, Upper Worli, Worli, Mumbai, Maharashtra 400018, India",7,0,2,16,3,0,9,0,1,41,43,25,64,30,0,100,0,20,100
mum006,Mumbai,The Lalit Mumbai,19.1053238,72.8758792,"Chhatrapati Shivaji Maharaj Int'l Airport Rd, Navpada, Marol, Andheri East, Mumbai, Maharashtra 400059, India",8,0,1,28,5,0,9,0,5,36,50,12,100,50,0,100,0,100,100
mum007,Mumbai,JW Marriott Mumbai Juhu,19.1018504,72.8262233,"Jw Marriott Mumbai Juhu, Juhu Tara Rd, Juhu Tara, Juhu, Mumbai, Maharashtra 400049, India",5,4,3,45,10,0,3,0,4,11,74,37,100,100,0,100,50,80,100
mum008,Mumbai,"Taj The Trees, Mumbai",19.0934259,72.9217305,"Off, Eastern Express Hwy, Pirojshanagar, Vikhroli, Mumbai, Maharashtra 400079, India",6,0,1,3,2,0,5,0,1,32,28,12,12,20,0,100,0,20,100
mum009,Mumbai,"Lemon Tree Premier, Mumbai International Airport",19.107635,72.88212299999999,"Andheri - Kurla Rd, opposite Mittal Industrial Estate, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059, India",10,0,1,26,7,1,8,0,3,35,53,12,100,70,20,100,0,60,100
mum010,Mumbai,Radisson Hotel Mumbai Goregaon,19.1733403,72.8458571,"S.V. Road, Veer Savarkar Flyover, Udyog Nagar, Goregaon West, Mumbai, Maharashtra 400062, India",24,0,1,3,7,2,3,1,3,36,35,12,12,70,40,100,0,60,100
