hotel_id,place_id,display_name,formatted_address
mum001,ChIJ____b8DR5zsRVz_XpIUEKcA,"The Taj Mahal Palace, Mumbai","Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India"
mum002,ChIJEz8BQETI5zsR2JmxqBO2X1w,"ITC Grand Central, a Luxury Collection Hotel, Mumbai","287, Dr Babasaheb Ambedkar Rd, Parel, Mumbai, Maharashtra 400012, India"
mum003,ChIJxwRMSyLO5zsRudODuSKThb8,Hilton Mumbai International Airport,"Chhatrapati Shivaji Maharaj Int'l Airport Rd, Ashok Nagar, Andheri East, Mumbai, Maharashtra 400099, India"
mum004,ChIJSRH78kXJ5zsRMTuWOSp0uqI,"Taj Lands End, Mumbai","BJ Road, opp. ICICI Bank, Mount Mary, Bandra West, Mumbai, Maharashtra 400050, India"
mum005,ChIJ_fKdy47O5zsROlaOFKFb5k0,Four Seasons Hotel Mumbai,"1/136, Dr Elijah Moses Rd, Gandhi Nagar, Upper Worli, Worli, Mumbai, Maharashtra 400018, India"
mum006,ChIJWYnyhWrI5zsRh1tnwbNIHis,The Lalit Mumbai,"Chhatrapati Shivaji Maharaj Int'l Airport Rd, Navpada, Marol, Andheri East, Mumbai, Maharashtra 400059, India"
mum007,ChIJLeZxYr_J5zsRKhLe6YkYhhI,JW Marriott Mumbai Juhu,"Jw Marriott Mumbai Juhu, Juhu Tara Rd, Juhu Tara, Juhu, Mumbai, Maharashtra 400049, India"
mum008,ChIJkaJwZzbH5zsRR016xGzzqhg,"Taj The Trees, Mumbai","Off, Eastern Express Hwy, Pirojshanagar, Vikhroli, Mumbai, Maharashtra 400079, India"
mum009,ChIJQ9n9MC_J5zsR6NlRanrfj_c,"Lemon Tree Premier, Mumbai International Airport","Andheri - Kurla Rd, opposite Mittal Industrial Estate, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059, India"
mum010,ChIJqxRSZP-25zsRKtXlArFwATM,Radisson Hotel Mumbai Goregaon,"S.V. Road, Veer Savarkar Flyover, Udyog Nagar, Goregaon West, Mumbai, Maharashtra 400062, India"
mum011,ChIJDdSrLkHI5zsR7gGRQAAHCSQ,"ITC Maratha, a Luxury Collection Hotel, Mumbai","Chhatrapati Shivaji Maharaj Int'l Airport Rd, near International Airport, Ashok Nagar, Andheri East, Mumbai, Maharashtra 400099, India"
mum012,ChIJAXhZlWbJ5zsRloqgZBhCnYs,Radisson Blu Mumbai International Airport,"Off Marol Maroshi Rd, near Metro Station Marol Naka, Bori Colony, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059, India"
mum013,ChIJeW5hJJjJ5zsRRst7UJbbAQo,Novotel Mumbai Juhu Beach,"Balraj Sahni Rd, Juhu, Mumbai, Maharashtra 400049, India"
mum014,ChIJ____b-nR5zsRwb4q2GWqXjg,"The Oberoi, Mumbai","Nariman Point, Mumbai, Maharashtra 400021, India"
mum015,ChIJ1-E5EkHI5zsRW9qHnXnaeIw,Hyatt Regency Mumbai,"Chhatrapati Shivaji Maharaj Int'l Airport Rd, Ashok Nagar, Andheri East, Mumbai, Maharashtra 400099, India"
mum016,ChIJicI_AALJ5zsRrMFrgB6LMEA,Grand Hyatt Mumbai Hotel & Residences,"Bandra Kurla Complex, Siddharath Nagar, Vakola, Vicinity, Mumbai, Maharashtra 400055, India"
mum017,ChIJcVLrwD_I5zsRaaUtSlIRt1I,The Leela Mumbai - Resort Style Business Hotel,"Sahar Airport Road, Andheri - Kurla Rd, near Mumbai International Airport, Mariyyman Nagar, Greater Indra Nagar, Andheri East, Mumbai, Maharashtra 400059, India"
mum018,ChIJIagRS-nI5zsRGLstOKTvrHQ,"Trident, Bandra Kurla, Mumbai","C 56, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400098, India"
mum019,ChIJvUPcck3I5zsR5JpNAa9KUaQ,Hotel Sahara Star,"Chhatrapati Shivaji International, 70-C, Nehru Rd, Navpada, Airport Area, Vile Parle, Mumbai, Maharashtra 400099, India"
mum020,ChIJeTloBfvJ5zsRtz7LqVTojLY,Radisson Hotel Mumbai Andheri MIDC,"X, 22, MIDC Central Rd, Hanuman Nagar, Andheri East, Mumbai, Maharashtra 400093, India"
mum021,ChIJ-Rk5VR3P5zsRU1qeN-8INwc,Bloom Hotel - Worli,"Ground Flr, Dr Elijah Moses Rd, near Kathreena Tyre Services, Gandhi Nagar, Upper Worli, Worli, Mumbai, Maharashtra 400018, India"
mum022,ChIJqfw_YK7J5zsRPeDRXLA4dIk,THE BEST HOTEL MUMBAI,"Twin Arcade, A Wing, Military Rd, above Unity Finance Bank, Sankasth Pada Welfare Society, Marol, Andheri East, Mumbai, Maharashtra 400059, India"
mum023,ChIJFciORWTI5zsRr4DUFDsqvQA,Holiday Inn Mumbai International Airport by IHG,"Sakinaka, Junction, Andheri - Kurla Rd, Safed Pul, Andheri East, Mumbai, Maharashtra 400072, India"
mum024,ChIJRweDiKXP5zsRGUTy6pAqu5Q,Hotel Kemps Corner,"131, August Kranti Rd, Kemps Corner, Malabar Hill, Mumbai, Maharashtra 400026, India"
mum025,ChIJZ1eluQbJ5zsRVTTiDls0wgg,Fairmont Mumbai,"C06 At, Chhatrapati Shivaji Maharaj International Airport Mumbai, Terminal 2, C T S No 1405 (Part, Navpada, Maharaj, Vile Parle, Mumbai, Maharashtra 400099, India"
mum026,ChIJPSgUKfDJ5zsRlpDdrJTZqlc,Hotel Mumbai International,"SA CHAMBER, Sahar Rd, Mahatma Kabir Nagar, Chakala, ANDHERI (E, Mumbai, Maharashtra 400099, India"
mum027,ChIJgZsB20XJ5zsR_YHdYwrbeXk,"Aurika by Lemon Tree Hotels, Mumbai International Airport","NS C-04, CTS No. 145, A, Skycity, Chhatrapati Shivaji Maharaj Int'l Airport Rd, near Mumbai International Airport, AAI Colony, J B Nagar, Andheri East, Mumbai, Maharashtra 400099, India"
mum028,ChIJ8wVPq03I5zsRhYHHJC1nQKM,The Orchid Hotel Mumbai Vile Parle,"T1, 70-C, Nehru Rd, near Chhatrapati Shivaji Maharaj International Airport Mumbai, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099, India"
mum029,ChIJU_mVac3J5zsRFe2Mt2GVkfI,"Ginger Mumbai, Andheri East","Teli Gali, Andheri East, Mumbai, Maharashtra 400069, India"
mum030,ChIJCaERGp3J5zsR-SCGXrAa0ok,ibis Mumbai Vikhroli,"Cts No 17, Lal Bhahdur, Lal Bahadur Shastri Marg, Chandan Nagar, Vikhroli West, Mumbai, Maharashtra 400083, India"
mum031,ChIJuQH7RCPI5zsRc3JDrTZkFx4,Goldfinch Hotel,"Plot No.34, 21, MIDC Central Rd, near Akruti Center Point, Chakala Industrial Area (MIDC), Andheri East, Mumbai, Maharashtra 400093, India"
mum032,ChIJwf3RJe_R5zsR7_3ZfzIk-eM,"Trident, Nariman Point, Mumbai","Cr2 Mall, Netaji Subhash Chandra Bose Rd, Nariman Point, Mumbai, Maharashtra 400021, India"
mum033,ChIJU-VcVKi35zsRWL5BYCqnsto,The Westin Mumbai Garden City,"Oberoi Garden City, International Business Park, Yashodham, Goregaon, Mumbai, Maharashtra 400063, India"
mum034,ChIJl0JIOTLI5zsRx2xN-OqZxqM,Kohinoor Continental,"Andheri - Kurla Rd, J B Nagar, Andheri East, Mumbai, Maharashtra 400059, India"
mum035,ChIJcXLHGU3I5zsRuuHc62bQXvI,ibis Mumbai Airport,"Junction Of Nehru Road, Plot No F 77, Western Express Hwy, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099, India"
