hotel_id,landmark_type,landmark_name,distance_km,travel_time_minutes,traffic_aware
pun001,airport,Pune International Airport,9.46,,False
pun001,railway,Pune Junction,2.83,,False
pun001,bus,Shivajinagar Bus Stand,0.05,,False
pun001,business,Hinjawadi IT Park,15.43,,False
pun001,swargate,Swargate,3.69,,False
pun002,airport,Pune International Airport,3.41,,False
pun002,railway,Pune Junction,4.32,,False
pun002,bus,Shivajinagar Bus Stand,6.63,,False
pun002,business,Hinjawadi IT Park,20.22,,False
pun002,swargate,Swargate,7.27,,False
pun003,airport,Pune International Airport,5.95,,False
pun003,railway,Pune Junction,1.68,,False
pun003,bus,Shivajinagar Bus Stand,4.19,,False
pun003,business,Hinjawadi IT Park,18.81,,False
pun003,swargate,Swargate,4.72,,False
pun004,airport,Pune International Airport,16.4,,False
pun004,railway,Pune Junction,12.46,,False
pun004,bus,Shivajinagar Bus Stand,9.77,,False
pun004,business,Hinjawadi IT Park,5.66,,False
pun004,swargate,Swargate,12.96,,False
pun005,airport,Pune International Airport,5.73,,False
pun005,railway,Pune Junction,1.9,,False
pun005,bus,Shivajinagar Bus Stand,4.41,,False
pun005,business,Hinjawadi IT Park,18.95,,False
pun005,swargate,Swargate,4.92,,False
pun006,airport,Pune International Airport,5.8,,False
pun006,railway,Pune Junction,4.12,,False
pun006,bus,Shivajinagar Bus Stand,6.97,,False
pun006,business,Hinjawadi IT Park,21.85,,False
pun006,swargate,Swargate,6.07,,False
pun007,airport,Pune International Airport,7.49,,False
pun007,railway,Pune Junction,0.28,,False
pun007,bus,Shivajinagar Bus Stand,3.14,,False
pun007,business,Hinjawadi IT Park,18.36,,False
pun007,swargate,Swargate,3.21,,False
pun008,airport,Pune International Airport,2.8,,False
pun008,railway,Pune Junction,5.73,,False
pun008,bus,Shivajinagar Bus Stand,7.08,,False
pun008,business,Hinjawadi IT Park,18.6,,False
pun008,swargate,Swargate,8.9,,False
pun009,airport,Pune International Airport,7.37,,False
pun009,railway,Pune Junction,0.25,,False
pun009,bus,Shivajinagar Bus Stand,2.9,,False
pun009,business,Hinjawadi IT Park,18.02,,False
pun009,swargate,Swargate,3.42,,False
pun010,airport,Pune International Airport,9.46,,False
pun010,railway,Pune Junction,2.83,,False
pun010,bus,Shivajinagar Bus Stand,0.05,,False
pun010,business,Hinjawadi IT Park,15.43,,False
pun010,swargate,Swargate,3.69,,False
pun011,airport,Pune International Airport,7.31,,False
pun011,railway,Pune Junction,0.32,,False
pun011,bus,Shivajinagar Bus Stand,2.92,,False
pun011,business,Hinjawadi IT Park,18.02,,False
pun011,swargate,Swargate,3.49,,False
pun012,airport,Pune International Airport,5.23,,False
pun012,railway,Pune Junction,2.57,,False
pun012,bus,Shivajinagar Bus Stand,5.15,,False
pun012,business,Hinjawadi IT Park,19.61,,False
pun012,swargate,Swargate,5.44,,False
pun013,airport,Pune International Airport,6.04,,False
pun013,railway,Pune Junction,1.55,,False
pun013,bus,Shivajinagar Bus Stand,3.93,,False
pun013,business,Hinjawadi IT Park,18.5,,False
pun013,swargate,Swargate,4.68,,False
pun014,airport,Pune International Airport,7.16,,False
pun014,railway,Pune Junction,0.43,,False
pun014,bus,Shivajinagar Bus Stand,3.13,,False
pun014,business,Hinjawadi IT Park,18.2,,False
pun014,swargate,Swargate,3.58,,False
pun015,airport,Pune International Airport,5.5,,False
pun015,railway,Pune Junction,3.88,,False
pun015,bus,Shivajinagar Bus Stand,6.7,,False
pun015,business,Hinjawadi IT Park,21.47,,False
pun015,swargate,Swargate,6.02,,False
pun016,airport,Pune International Airport,9.42,,False
pun016,railway,Pune Junction,2.36,,False
pun016,bus,Shivajinagar Bus Stand,0.71,,False
pun016,business,Hinjawadi IT Park,16.1,,False
pun016,swargate,Swargate,3.0,,False
pun017,airport,Pune International Airport,4.12,,False
pun017,railway,Pune Junction,3.97,,False
pun017,bus,Shivajinagar Bus Stand,6.52,,False
pun017,business,Hinjawadi IT Park,20.62,,False
pun017,swargate,Swargate,6.73,,False
pun018,airport,Pune International Airport,7.43,,False
pun018,railway,Pune Junction,0.51,,False
pun018,bus,Shivajinagar Bus Stand,3.35,,False
pun018,business,Hinjawadi IT Park,18.58,,False
pun018,swargate,Swargate,3.23,,False
pun019,airport,Pune International Airport,9.39,,False
pun019,railway,Pune Junction,2.4,,False
pun019,bus,Shivajinagar Bus Stand,4.11,,False
pun019,business,Hinjawadi IT Park,19.48,,False
pun019,swargate,Swargate,1.54,,False
pun020,airport,Pune International Airport,10.27,,False
pun020,railway,Pune Junction,3.17,,False
pun020,bus,Shivajinagar Bus Stand,0.95,,False
pun020,business,Hinjawadi IT Park,15.67,,False
pun020,swargate,Swargate,3.05,,False
pun021,airport,Pune International Airport,2.15,,False
pun021,railway,Pune Junction,6.08,,False
pun021,bus,Shivajinagar Bus Stand,8.41,,False
pun021,business,Hinjawadi IT Park,21.56,,False
pun021,swargate,Swargate,8.93,,False
pun022,airport,Pune International Airport,2.48,,False
pun022,railway,Pune Junction,5.17,,False
pun022,bus,Shivajinagar Bus Stand,7.31,,False
pun022,business,Hinjawadi IT Park,20.36,,False
pun022,swargate,Swargate,8.17,,False
pun023,airport,Pune International Airport,2.07,,False
pun023,railway,Pune Junction,6.36,,False
pun023,bus,Shivajinagar Bus Stand,8.7,,False
pun023,business,Hinjawadi IT Park,21.82,,False
pun023,swargate,Swargate,9.19,,False
pun024,airport,Pune International Airport,2.32,,False
pun024,railway,Pune Junction,5.3,,False
pun024,bus,Shivajinagar Bus Stand,7.41,,False
pun024,business,Hinjawadi IT Park,20.36,,False
pun024,swargate,Swargate,8.32,,False
pun025,airport,Pune International Airport,10.1,,False
pun025,railway,Pune Junction,4.18,,False
pun025,bus,Shivajinagar Bus Stand,1.44,,False
pun025,business,Hinjawadi IT Park,13.99,,False
pun025,swargate,Swargate,4.99,,False
pun026,airport,Pune International Airport,13.07,,False
pun026,railway,Pune Junction,8.65,,False
pun026,bus,Shivajinagar Bus Stand,10.66,,False
pun026,business,Hinjawadi IT Park,25.85,,False
pun026,swargate,Swargate,7.24,,False
pun027,airport,Pune International Airport,10.72,,False
pun027,railway,Pune Junction,3.47,,False
pun027,bus,Shivajinagar Bus Stand,1.47,,False
pun027,business,Hinjawadi IT Park,15.79,,False
pun027,swargate,Swargate,2.83,,False
pun028,airport,Pune International Airport,2.52,,False
pun028,railway,Pune Junction,5.37,,False
pun028,bus,Shivajinagar Bus Stand,7.66,,False
pun028,business,Hinjawadi IT Park,20.93,,False
pun028,swargate,Swargate,8.28,,False
pun029,airport,Pune International Airport,10.94,,False
pun029,railway,Pune Junction,4.7,,False
pun029,bus,Shivajinagar Bus Stand,1.84,,False
pun029,business,Hinjawadi IT Park,13.75,,False
pun029,swargate,Swargate,4.94,,False
pun030,airport,Pune International Airport,5.78,,False
pun030,railway,Pune Junction,4.02,,False
pun030,bus,Shivajinagar Bus Stand,6.86,,False
pun030,business,Hinjawadi IT Park,21.73,,False
pun030,swargate,Swargate,5.99,,False
pun031,airport,Pune International Airport,11.58,,False
pun031,railway,Pune Junction,4.37,,False
pun031,bus,Shivajinagar Bus Stand,2.17,,False
pun031,business,Hinjawadi IT Park,15.35,,False
pun031,swargate,Swargate,3.31,,False
pun032,airport,Pune International Airport,10.91,,False
pun032,railway,Pune Junction,3.81,,False
pun032,bus,Shivajinagar Bus Stand,1.47,,False
pun032,business,Hinjawadi IT Park,15.34,,False
pun032,swargate,Swargate,3.28,,False
pun033,airport,Pune International Airport,3.66,,False
pun033,railway,Pune Junction,7.28,,False
pun033,bus,Shivajinagar Bus Stand,9.91,,False
pun033,business,Hinjawadi IT Park,23.64,,False
pun033,swargate,Swargate,9.71,,False
pun034,airport,Pune International Airport,8.57,,False
pun034,railway,Pune Junction,1.07,,False
pun034,bus,Shivajinagar Bus Stand,2.01,,False
pun034,business,Hinjawadi IT Park,17.41,,False
pun034,swargate,Swargate,2.53,,False
pun035,airport,Pune International Airport,10.44,,False
pun035,railway,Pune Junction,3.19,,False
pun035,bus,Shivajinagar Bus Stand,1.3,,False
pun035,business,Hinjawadi IT Park,15.94,,False
pun035,swargate,Swargate,2.73,,False
pun036,airport,Pune International Airport,4.93,,False
pun036,railway,Pune Junction,3.56,,False
pun036,bus,Shivajinagar Bus Stand,6.28,,False
pun036,business,Hinjawadi IT Park,20.79,,False
pun036,swargate,Swargate,6.08,,False
pun037,airport,Pune International Airport,9.44,,False
pun037,railway,Pune Junction,2.41,,False
pun037,bus,Shivajinagar Bus Stand,0.64,,False
pun037,business,Hinjawadi IT Park,16.04,,False
pun037,swargate,Swargate,3.05,,False
pun038,airport,Pune International Airport,11.56,,False
pun038,railway,Pune Junction,7.09,,False
pun038,bus,Shivajinagar Bus Stand,9.24,,False
pun038,business,Hinjawadi IT Park,24.55,,False
pun038,swargate,Swargate,5.99,,False
pun039,airport,Pune International Airport,14.38,,False
pun039,railway,Pune Junction,7.16,,False
pun039,bus,Shivajinagar Bus Stand,7.3,,False
pun039,business,Hinjawadi IT Park,20.72,,False
pun039,swargate,Swargate,4.02,,False
pun040,airport,Pune International Airport,15.85,,False
pun040,railway,Pune Junction,13.64,,False
pun040,bus,Shivajinagar Bus Stand,11.33,,False
pun040,business,Hinjawadi IT Park,5.58,,False
pun040,swargate,Swargate,14.88,,False
pun041,airport,Pune International Airport,6.01,,False
pun041,railway,Pune Junction,7.88,,False
pun041,bus,Shivajinagar Bus Stand,10.71,,False
pun041,business,Hinjawadi IT Park,25.22,,False
pun041,swargate,Swargate,9.67,,False
pun042,airport,Pune International Airport,5.63,,False
pun042,railway,Pune Junction,1.98,,False
pun042,bus,Shivajinagar Bus Stand,4.39,,False
pun042,business,Hinjawadi IT Park,18.84,,False
pun042,swargate,Swargate,5.04,,False
pun043,airport,Pune International Airport,8.81,,False
pun043,railway,Pune Junction,6.47,,False
pun043,bus,Shivajinagar Bus Stand,9.19,,False
pun043,business,Hinjawadi IT Park,24.55,,False
pun043,swargate,Swargate,6.89,,False
pun044,airport,Pune International Airport,1.68,,False
pun044,railway,Pune Junction,6.29,,False
pun044,bus,Shivajinagar Bus Stand,8.51,,False
pun044,business,Hinjawadi IT Park,21.37,,False
pun044,swargate,Swargate,9.22,,False
pun045,airport,Pune International Airport,11.21,,False
pun045,railway,Pune Junction,4.12,,False
pun045,bus,Shivajinagar Bus Stand,1.74,,False
pun045,business,Hinjawadi IT Park,15.18,,False
pun045,swargate,Swargate,3.44,,False
pun046,airport,Pune International Airport,4.48,,False
pun046,railway,Pune Junction,3.14,,False
pun046,bus,Shivajinagar Bus Stand,5.16,,False
pun046,business,Hinjawadi IT Park,18.8,,False
pun046,swargate,Swargate,6.28,,False
