hotel_id,place_id,display_name,formatted_address,latitude,longitude,rating,user_rating_count,price_level,business_status,city,place_uri,directions_uri,reviews_uri,photos_uri,write_review_uri,website_uri,phone_number,international_phone,opening_hours,types,editorial_summary,serves_vegetarian_food,serves_breakfast,serves_lunch,serves_dinner,serves_brunch,serves_beer,serves_wine,serves_cocktails,allows_dogs,good_for_children,good_for_groups,good_for_watching_sports,live_music,menu_for_children,outdoor_seating,reservable,delivery,takeout,curbside_pickup,dine_in,restroom,wheelchair_accessible_entrance,wheelchair_accessible_parking,accepts_credit_cards,accepts_debit_cards,accepts_cash_only,parking_free,parking_paid,parking_street,parking_garage,valet_parking,ev_charging_available,fuel_options,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score,hospitals_count_1km,pharmacies_count_1km,banks_count_1km,restaurants_count_1km,shopping_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km
pun001,ChIJtZ5PJoXAwjsRoCWa10IoLYw,The Pride Hotel Pune,"5, University Rd, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005, India",18.531138,73.84728729999999,4,7192,,OPERATIONAL,Pune,https://maps.google.com/?cid=10100773806812046752&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bc2c085264f9eb5:0x8c2d2842d79a25a0!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bc2c085264f9eb5:0x8c2d2842d79a25a0!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c085264f9eb5:0x8c2d2842d79a25a0!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c085264f9eb5:0x8c2d2842d79a25a0!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.pridehotel.com/pune/the-pride-hotel-pune/overview/,,,,"[""hotel"", ""lodging"", ""sports_club"", ""point_of_interest"", ""establishment""]","Sophisticated hotel offering an outdoor pool, a spa & a fitness room, plus 2 restaurants & a bar.",,,,,,,,,,True,,,,,,,,,,,,True,True,,,,,,,,,False,,55,0,100,100,40,100,0,100,100,28,0,17,30,0,2,2,2,5,81
pun002,ChIJ3Vdy9hbBwjsRwCTSGoi5zwM,Hyatt Pune,"88, Nagar Rd, adjacent to Aga Khan Palace, Kalyani Nagar, Pune, Maharashtra 411006, India",18.5541438,73.90484219999999,4.4,11653,,OPERATIONAL,Pune,https://maps.google.com/?cid=274642096509560000&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bc2c116f67257dd:0x3cfb9881ad224c0!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bc2c116f67257dd:0x3cfb9881ad224c0!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c116f67257dd:0x3cfb9881ad224c0!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c116f67257dd:0x3cfb9881ad224c0!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.hyatt.com/en-US/hotel/india/hyatt-pune/pnqhy?src=corp_lclb_google_seo_pnqhy&utm_source=google&utm_medium=organic&utm_campaign=lmr,020 4141 1234,+91 20 4141 1234,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Modern rooms & suites in a polished, high-end hotel with 2 restaurants, a spa & an outdoor pool.",,,,,,,,,,True,,,,,,,,,,,,True,True,True,True,True,,,,,,False,,51,12,68,100,20,100,0,0,69,10,0,10,17,1,1,1,0,0,11
pun003,ChIJ21YrK_zAwjsRE6qWw-0hawc,"St Laurn - Koregaon Park, Pune","15/A, Koregaon Rd, Koregaon Park, Pune, Maharashtra 411001, India",18.538576,73.8859192,3.9,12412,,OPERATIONAL,Pune,https://maps.google.com/?cid=534558285845932563&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bc2c0fc2b2b56db:0x76b21edc396aa13!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bc2c0fc2b2b56db:0x76b21edc396aa13!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c0fc2b2b56db:0x76b21edc396aa13!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c0fc2b2b56db:0x76b21edc396aa13!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://stlaurnhotel.bookmystay.io/?utm_source=gmb&utm_campaign=website_buttton,020 4000 8000,+91 20 4000 8000,,"[""hotel"", ""swimming_pool"", ""banquet_hall"", ""lodging"", ""event_venue"", ""sports_activity_location"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]","Contemporary business hotel offering 24-hour dining & room service, as well as a rooftop pool.",,,True,True,True,,True,True,,,,,,False,False,True,True,,,,False,True,True,True,True,False,,,,,,False,,47,0,60,100,0,100,0,60,100,7,0,12,15,0,0,3,0,3,39
pun004,ChIJx_Vw9Uy5wjsRuFfk6fag9d0,The Orchid Hotel Pune,"SHREE SHIV CHHATRAPATI SPORTS COMPLEX, Bengaluru - Mumbai Hwy, adjacent Chatrapati Shivaji Maharaj Road, नॅशनल गेम्स पार्क, बालेवाडी, पुणे, महाराष्ट्र 411045, India",18.5707794,73.7644648,4.2,21100,,OPERATIONAL,Pune,https://maps.google.com/?cid=15993866634022639544&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bc2b94cf570f5c7:0xddf5a0f6e9e457b8!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bc2b94cf570f5c7:0xddf5a0f6e9e457b8!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2b94cf570f5c7:0xddf5a0f6e9e457b8!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2b94cf570f5c7:0xddf5a0f6e9e457b8!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.orchidhotel.com/pune/,091691 66789,+91 91691 66789,,"[""hotel"", ""motel"", ""resort_hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Haute hotel offering polished rooms & an outdoor pool, plus sprawling gardens, a spa & a gym.",,,,,,,,,,True,,,,,,,True,,False,,True,True,True,,True,True,,,,,,False,,47,12,68,100,0,80,0,0,48,4,0,11,17,1,0,6,3,0,2
pun005,ChIJGSlHprTBwjsR998vZOf8QFQ,O Hotel Pune- Koregaon Park,"15/A, N Main Rd, Vaswani Nagar, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India",18.5397097,73.8877455,4.1,5637,,OPERATIONAL,Pune,https://maps.google.com/?cid=6071130368443932663&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bc2c1b4a6472919:0x5440fce7642fdff7!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bc2c1b4a6472919:0x5440fce7642fdff7!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c1b4a6472919:0x5440fce7642fdff7!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c1b4a6472919:0x5440fce7642fdff7!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,http://www.ohotelsindia.com/pune,020 4001 1000,+91 20 4001 1000,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Polished hotel featuring a rooftop lounge & pool, in addition to restaurants, bars & a spa.",,,,,,False,False,False,,True,,,,,,,True,True,,True,True,False,True,,,,,,True,,,False,,47,0,60,100,0,100,0,40,100,6,0,12,15,0,0,3,0,2,35
pun006,ChIJc4LCUJ_BwjsRg3q0MouGVPc,AR Suites Jewels Royale (Award Winning 4-Star Upscale Apartment Hotel),"Koregaon Park NX, AR Suites Lane, next to Power Boulevard, near Passport office, Vanshaj Society, Pingale Wasti, Koregaon Park Annexe, Mundhwa, Pune, Maharashtra 411036, India",18.5295847,73.9130994,4.6,1283,,OPERATIONAL,Pune,https://maps.google.com/?cid=17822017557821160067&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bc2c19f50c28273:0xf754868b32b47a83!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bc2c19f50c28273:0xf754868b32b47a83!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c19f50c28273:0xf754868b32b47a83!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c19f50c28273:0xf754868b32b47a83!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://ahujaresidences.com/hotels/ar-suites-jewels-royale/?utm_source=Google&utm_medium=GMB,093117 80181,+91 93117 80181,,"[""hotel"", ""extended_stay_hotel"", ""coffee_shop"", ""cafe"", ""playground"", ""gym"", ""lodging"", ""event_venue"", ""sports_activity_location"", ""food_store"", ""restaurant"", ""food"", ""store"", ""health"", ""point_of_interest"", ""establishment""]","Informal apartment hotel featuring an indoor pool & a gym, along with an airy restaurant.",,,,,,,,,,True,,,,,,,,,,,,False,True,,,,,,,,,False,,4,0,16,10,20,0,0,0,37,0,0,1,4,0,1,2,0,0,9
pun007,ChIJxXr72lnAwjsRjvhU9fqjYPY,Lemon Tree Premier Pune,"City Center, 15 & 15A, Connaught Rd, Modi Colony, Pune, Maharashtra 411001, India",18.5278748,73.87657999999999,4.2,11803,,OPERATIONAL,Pune,https://maps.google.com/?cid=17753370029347633294&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bc2c059dafb7ac5:0xf660a3faf554f88e!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bc2c059dafb7ac5:0xf660a3faf554f88e!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c059dafb7ac5:0xf660a3faf554f88e!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c059dafb7ac5:0xf660a3faf554f88e!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.lemontreehotels.com/lemon-tree-premier/pune/city-center-pune?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,020 6768 4343,+91 20 6768 4343,,"[""hotel"", ""inn"", ""banquet_hall"", ""motel"", ""gym"", ""spa"", ""lodging"", ""bar"", ""event_venue"", ""sports_activity_location"", ""restaurant"", ""food"", ""health"", ""point_of_interest"", ""establishment""]","Sleek quarters in an upscale hotel offering 2 restaurants, an outdoor pool & a spa, plus a gym.",,,,True,,,,,,True,,,,,False,True,True,True,,True,True,False,True,True,True,False,,,,,,False,,60,12,100,80,40,100,25,100,100,27,2,8,30,1,2,4,0,6,62
pun008,ChIJa_yenZvBwjsRcyjlv5KYpo0,"FabHotel Happy Homely Stay - Hotel in Tingre Nagar, Pune","S. No. 34, 84, Plot No. 11, 1, Road No. 11, near Vidya pumping station, Adarsh Colony, Tingre Nagar, Pune, Maharashtra 411015, India",18.5766691,73.8935607,4.5,722,,OPERATIONAL,Pune,https://maps.google.com/?cid=10207013361533921395&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bc2c19b9d9efc6b:0x8da69892bfe52873!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bc2c19b9d9efc6b:0x8da69892bfe52873!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c19b9d9efc6b:0x8da69892bfe52873!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c19b9d9efc6b:0x8da69892bfe52873!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.fabhotels.com/hotels-in-pune/fabhotel-happy-homely-stay-rlkygwyu.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic,070424 24242,+91 70424 24242,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Simple rooms featuring a/c in an unassuming budget hotel with breakfast, Wi-Fi & parking.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,13,12,4,40,0,20,0,0,29,1,0,4,1,1,0,5,1,0,4
pun009,ChIJAfNqvzHBwjsRhz-3GgVIwl0,Hotel Madhav International Pune,"Before Hotel Sheraton Grand, Railway Station, 6A, Ramabai Ambedkar Rd, behind Pune, Sangamvadi, Pune, Maharashtra 411001, India",18.530819,73.8744629,3.9,644,,OPERATIONAL,Pune,https://maps.google.com/?cid=6756041577769418631&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bc2c131bf6af301:0x5dc248051ab73f87!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bc2c131bf6af301:0x5dc248051ab73f87!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c131bf6af301:0x5dc248051ab73f87!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c131bf6af301:0x5dc248051ab73f87!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.hotelmadhavint.com/index.html,020 2605 9118,+91 20 2605 9118,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","Straightforward rooms in an unassuming hotel with a restaurant, Wi-Fi & breakfast.",,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,False,,57,12,88,80,0,100,25,100,100,23,2,8,22,1,0,4,0,6,69
pun010,ChIJQRwz7qzBwjsR_0lMobYguOU,The Pride Hotel Pune,"5, University Rd, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005, India",18.531137599999997,73.8472878,4.5,11233,,OPERATIONAL,Pune,https://maps.google.com/?cid=16553016399162526207&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/dir//''/data=!4m7!4m6!1m1!4e2!1m2!1m1!1s0x3bc2c1acee331c41:0xe5b820b6a14c49ff!3e0?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m4!3m3!1s0x3bc2c1acee331c41:0xe5b820b6a14c49ff!9m1!1b1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c1acee331c41:0xe5b820b6a14c49ff!10e5?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,https://www.google.com/maps/place//data=!4m3!3m2!1s0x3bc2c1acee331c41:0xe5b820b6a14c49ff!12e1?g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,"[""hotel"", ""lodging"", ""point_of_interest"", ""establishment""]","8th century cave temple carved from basalt rock, with square pillars & ornate carvings.",,,,,,,,,,True,,,,,,,,,,,,False,False,,,,,,,,,False,,55,0,100,100,40,100,0,100,100,28,0,17,30,0,2,2,2,5,81
