hotel_id,city,display_name,latitude,longitude,formatted_address,hospitals_count_1km,pharmacies_count_1km,shopping_count_1km,restaurants_count_1km,banks_count_1km,parks_count_1km,fuel_stations_count_2_5km,ev_charging_count_2_5km,entertainment_count_2_5km,transport_hubs_count_2_5km,walkability_score,shopping_score,restaurant_score,bank_score,green_space_score,hospital_score,pharmacy_score,entertainment_score,locality_score
pun001,Pune,The Pride Hotel Pune,18.531138,73.84728729999999,"5, University Rd, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005, India",28,0,0,30,17,2,2,2,5,81,55,0,100,100,40,100,0,100,100
pun002,Pune,Hyatt Pune,18.5541438,73.90484219999999,"88, Nagar Rd, adjacent to Aga Khan Palace, Kalyani Nagar, Pune, Maharashtra 411006, India",10,0,1,17,10,1,1,0,0,11,51,12,68,100,20,100,0,0,69
pun003,Pune,"St Laurn - Koregaon Park, Pune",18.538576,73.8859192,"15/A, Koregaon Rd, Koregaon Park, Pune, Maharashtra 411001, India",7,0,0,15,12,0,3,0,3,39,47,0,60,100,0,100,0,60,100
pun004,Pune,The Orchid Hotel Pune,18.5707794,73.7644648,"SHREE SHIV CHHATRAPATI SPORTS COMPLEX, Bengaluru - Mumbai Hwy, adjacent Chatrapati Shivaji Maharaj Road, नॅशनल गेम्स पार्क, बालेवाडी, पुणे, महाराष्ट्र 411045, India",4,0,1,17,11,0,6,3,0,2,47,12,68,100,0,80,0,0,48
pun005,Pune,O Hotel Pune- Koregaon Park,18.5397097,73.8877455,"15/A, N Main Rd, Vaswani Nagar, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India",6,0,0,15,12,0,3,0,2,35,47,0,60,100,0,100,0,40,100
pun006,Pune,AR Suites Jewels Royale (Award Winning 4-Star Upscale Apartment Hotel),18.5295847,73.9130994,"Koregaon Park NX, AR Suites Lane, next to Power Boulevard, near Passport office, Vanshaj Society, Pingale Wasti, Koregaon Park Annexe, Mundhwa, Pune, Maharashtra 411036, India",0,0,0,4,1,1,2,0,0,9,4,0,16,10,20,0,0,0,37
pun007,Pune,Lemon Tree Premier Pune,18.5278748,73.87657999999999,"City Center, 15 & 15A, Connaught Rd, Modi Colony, Pune, Maharashtra 411001, India",27,2,1,30,8,2,4,0,6,62,60,12,100,80,40,100,25,100,100
pun008,Pune,"FabHotel Happy Homely Stay - Hotel in Tingre Nagar, Pune",18.5766691,73.8935607,"S. No. 34, 84, Plot No. 11, 1, Road No. 11, near Vidya pumping station, Adarsh Colony, Tingre Nagar, Pune, Maharashtra 411015, India",1,0,1,1,4,0,5,1,0,4,13,12,4,40,0,20,0,0,29
pun009,Pune,Hotel Madhav International Pune,18.530819,73.8744629,"Before Hotel Sheraton Grand, Railway Station, 6A, Ramabai Ambedkar Rd, behind Pune, Sangamvadi, Pune, Maharashtra 411001, India",23,2,1,22,8,0,4,0,6,69,57,12,88,80,0,100,25,100,100
pun010,Pune,The Pride Hotel Pune,18.531137599999997,73.8472878,"5, University Rd, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005, India",28,0,0,30,17,2,2,2,5,81,55,0,100,100,40,100,0,100,100
