hotel_id,place_id,display_name,formatted_address
pun001,ChIJtZ5PJoXAwjsRoCWa10IoLYw,The Pride Hotel Pune,"5, University Rd, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005, India"
pun002,ChIJ3Vdy9hbBwjsRwCTSGoi5zwM,Hyatt Pune,"88, Nagar Rd, adjacent to Aga Khan Palace, Kalyani Nagar, Pune, Maharashtra 411006, India"
pun003,ChIJ21YrK_zAwjsRE6qWw-0hawc,"St Laurn - Koregaon Park, Pune","15/A, Koregaon Rd, Koregaon Park, Pune, Maharashtra 411001, India"
pun004,ChIJx_Vw9Uy5wjsRuFfk6fag9d0,The Orchid Hotel Pune,"SHREE SHIV CHHATRAPATI SPORTS COMPLEX, Bengaluru - Mumbai Hwy, adjacent Chatrapati Shivaji Maharaj Road, नॅशनल गेम्स पार्क, बालेवाडी, पुणे, महाराष्ट्र 411045, India"
pun005,ChIJGSlHprTBwjsR998vZOf8QFQ,O Hotel Pune- Koregaon Park,"15/A, N Main Rd, Vaswani Nagar, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India"
pun006,ChIJc4LCUJ_BwjsRg3q0MouGVPc,AR Suites Jewels Royale (Award Winning 4-Star Upscale Apartment Hotel),"Koregaon Park NX, AR Suites Lane, next to Power Boulevard, near Passport office, Vanshaj Society, Pingale Wasti, Koregaon Park Annexe, Mundhwa, Pune, Maharashtra 411036, India"
pun007,ChIJxXr72lnAwjsRjvhU9fqjYPY,Lemon Tree Premier Pune,"City Center, 15 & 15A, Connaught Rd, Modi Colony, Pune, Maharashtra 411001, India"
pun008,ChIJa_yenZvBwjsRcyjlv5KYpo0,"FabHotel Happy Homely Stay - Hotel in Tingre Nagar, Pune","S. No. 34, 84, Plot No. 11, 1, Road No. 11, near Vidya pumping station, Adarsh Colony, Tingre Nagar, Pune, Maharashtra 411015, India"
pun009,ChIJAfNqvzHBwjsRhz-3GgVIwl0,Hotel Madhav International Pune,"Before Hotel Sheraton Grand, Railway Station, 6A, Ramabai Ambedkar Rd, behind Pune, Sangamvadi, Pune, Maharashtra 411001, India"
pun010,ChIJQRwz7qzBwjsR_0lMobYguOU,The Pride Hotel Pune,"5, University Rd, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005, India"
pun011,ChIJJ-a1B2XAwjsRL2ZRxnXKad4,Hotel Shree Panchratna,"7, Tadiwala Rd, behind Railway Station, Sangamvadi, Pune, Maharashtra 411001, India"
pun012,ChIJ00eOVcbBwjsRPvbF5LfHmjI,Bloom Hotel - Koregaon Park,"23, Koregaon Park-E Rd, near Primrose Nursery School, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001, India"
pun013,ChIJVcYqYbbBwjsRvKbwC9DVZgQ,Octave Koregaon Park,"361/2-3, Bund Garden Rd, Sangamvadi, Pune, Maharashtra 411011, India"
pun014,ChIJ6-S-6fvAwjsR8yHkFCcxA2A,Crowne Plaza Pune City Centre by IHG,"Cts No. 37 & 37/1, Bund Garden Rd, next to Jehangir Hospital, Central Excise Colony, Sangamvadi, Pune, Maharashtra 411001, India"
pun015,ChIJZbz_a6DBwjsRFmPrwaiT5AA,Marriott Suites Pune,"81, Mundhwa Rd, Koregaon Park Annexe, Mundhwa, Pune, Maharashtra 411036, India"
pun016,ChIJRYuO3nzAwjsR9H9rf2mplOc,Townhouse OAK The Citiotel Near Shaniwar Wada,"364 + 365, 14, off, Jangali Maharaj Rd, Shivajinagar, Pune, Maharashtra 411045, India"
pun017,ChIJubLr56DBwjsRqSbq6dBaQic,Royal Orchid Central Pune,"Marisoft Annexe, Kalyani Nagar, Pune, Maharashtra 411014, India"
pun018,ChIJdyV8aVfAwjsRvXDWNZv2YdE,"The Central Park Hotel, Pune","बंड गार्डन मार्ग, near Inox multiplex, आगरकर नगर, पुणे, महाराष्ट्र 411001, India"
pun019,ChIJy4VOvB7BwjsRyhFQCShcyhQ,"Treebo Trend Hotel Classic Grande, Camp","2158, opp, MG Road, New Modikhana, Pune Cantonment, Pune, Maharashtra 411001, India"
pun020,ChIJn0LT1njAwjsRqe3U03QyFUk,Coronet The Boutique Hotel,"1205/4, Apte Road, Opp Santosh Bakery Deccan Gymkhana, 020 - 69052222, 1205/4, Apte Rd, Shivajinagar, Pune, Maharashtra 411004, India"
pun021,ChIJIQOBykPBwjsRJbxr3DSzVX4,Hotel Parc Estique,"Nagar Rd, next to Phoenix Market City, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India"
pun022,ChIJvRLmPhnBwjsR8qWZy6s-Bas,"Lemon Tree Hotel, Viman Nagar","No. 100, Lalwani Vastu, 101, Sakore Nagar Rd, सकोरे नगर, विमान नगर, पुणे, महाराष्ट्र 411014, India"
pun023,ChIJQQHmbEPBwjsRcfOPrl8jNQU,"Four Points by Sheraton Hotel & Serviced Apartments, Pune","5th Mile, Stone, Nagar Rd, Clover Park, Viman Nagar, Pune, Maharashtra 411014, India"
pun024,ChIJA9WOeN7BwjsRk1uoHiLhk2o,Treebo Iris Suites,"S.No. 232 1+2, Plot, No. 46+47a, New Airport Rd, near Viman Nagar Road, Sakore Nagar, Viman Nagar, Pune, Maharashtra 411014, India"
pun025,ChIJW4szZ3u_wjsRosObFhMBA4Y,"E-Square The Fern - An Ecotel Hotel, Pune","Level 5 No, 132 A, University Rd, Premnagar, Ganeshkhind, Pune, Maharashtra 411016, India"
pun026,ChIJ-5eaLDzqwjsRDv8xKXO-hKA,The Corinthians Resort Pune,"Corinthians Club Internal Rd, Nyati County, Undri, Pune, Maharashtra 411060, India"
pun027,ChIJbVeoFnjAwjsRX4_jlwiu_NY,Hotel Kohinoor Executive,"1246-B, Apte Rd, Deccan Gymkhana, Pune, Maharashtra 411004, India"
pun028,ChIJBbLl2j_BwjsRG5iLmvhVGi8,ibis Pune Viman Nagar,"Survey No 32, Viman Nagar Rd, Maharashtra State, Viman Nagar, Pune, Maharashtra 411014, India"
pun029,ChIJSw6alYq_wjsRYIwHMVBHNJY,JW Marriott Hotel Pune,"Senapati Bapat Rd, Laxmi Society, Model Colony, Shivajinagar, Pune, Maharashtra 411016, India"
pun030,ChIJf13a5qHBwjsRpAPFmSKczHo,"Magnus Star Residency, Koregaon Park Annexe","Near Passport Office 2nd Main, Vanshaj Society, Pingale Wasti, Koregaon Park Annexe, Mundhwa, Pune, Maharashtra 411036, India"
