Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,city,state
"Taj Club House, Chennai",4.3,Excellent,2000,5,Royapettah,,,"6,390",767,Chennai,Tamil Nadu
The Park Chennai,3.7,Very Good,8366,5,Near US Consulate,,,"7,198","2,167",Chennai,Tamil Nadu
"Taj Fisherman's Cove Resort & Spa, Chennai",4.3,Excellent,1856,5,Covelong ,city centre,36.3 km ,"12,555","2,260",Chennai,Tamil Nadu
Hotel Savera,4,Very Good,7458,4,Mylapore,,,"4,612","1,091",Chennai,Tamil Nadu
Ibis Chennai OMR - An Accor Brand,4.1,Very Good,2545,4,Sholinganallur,,,"3,345",,Chennai,Tamil Nadu
"Taj Coromandel, Chennai",4.5,Excellent,784,5,Near US Consulate,,,"11,200",,Chennai,Tamil Nadu
Courtyard by Marriott Chennai,4.2,Very Good,1208,4,Mount road,,,"7,500",,Chennai,Tamil Nadu
Radisson Blu Hotel Chennai City Centre,4.3,Excellent,3991,5,Egmore,,,"9,443",,Chennai,Tamil Nadu
FIRST INN HOTELS,3.8,Very Good,214,,Perungudi,,,"2,907",594,Chennai,Tamil Nadu
Ibis Chennai City Centre - An Accor Brand,3.9,Very Good,2213,3,Mount road ,Thousand Lights Mosque,540 m ,"5,299",,Chennai,Tamil Nadu
Rohaan Inns - UPAR Ashok Nagar,4.1,Very Good,179,,Ashok Nagar ,Chennai Airport,9.4 km ,"1,771",495,Chennai,Tamil Nadu
"Vivanta Chennai, IT Expressway",4.4,Excellent,1601,5,Sholinganallur,,,"7,360",,Chennai,Tamil Nadu
"Taj Connemara, Chennai",4.5,Excellent,1215,5,Chennai,,,"7,600","1,368",Chennai,Tamil Nadu
Four Points by Sheraton Chennai OMR,4.1,Very Good,2314,4,Sholinganallur,,,"5,859","1,197",Chennai,Tamil Nadu
Ramada Plaza by Wyndham,4.5,Excellent,3185,5,Saidapet ,Chennai Airport,7.6 km ,"7,533","2,554",Chennai,Tamil Nadu
Citadines OMRChennai,4.4,Excellent,1714,5,Sholinganallur,,,"11,340",,Chennai,Tamil Nadu
The Leela Palace Chennai,4.5,Excellent,1261,5,Raja Annamalai Puram,,,"10,800",,Chennai,Tamil Nadu
"The Raintree, Annasalai",4.4,Excellent,2376,5,Mount road,,,"7,299",,Chennai,Tamil Nadu
Hablis,4.2,Very Good,4529,4,Mount road ,Chennai Airport,5.9 km ,"5,271","1,124",Chennai,Tamil Nadu
Novotel Chennai Chamiers Road,4.3,Excellent,1002,5,Nandanam,,,"7,391",,Chennai,Tamil Nadu
The Residency,4.2,Very Good,1714,4,T Nagar,,,"5,336","1,455",Chennai,Tamil Nadu
The Residency Towers,4.3,Excellent,1151,5,T Nagar,,,"6,696","1,826",Chennai,Tamil Nadu
Novotel Chennai OMR - An Accor Brand,4.3,Excellent,1001,5,Sholinganallur,,,"6,134",,Chennai,Tamil Nadu
Hotel Southern Comfort ( Chennai Airport ),3.6,Very Good,2962,3,Chennai Airport ,Chennai Airport,1.3 km ,"2,870",757,Chennai,Tamil Nadu
Lemon Tree Hotel Chennai,3.6,Very Good,3059,4,Saidapet ,Chennai Airport,7.8 km ,"2,487",903,Chennai,Tamil Nadu
The Pride Hotel Chennai,3.6,Very Good,1911,4,Kilpauk,,,"3,399",408,Chennai,Tamil Nadu
"Ginger Chennai, Vadapalani",3.5,Very Good,2282,3,Vadapalani,,,"2,699",,Chennai,Tamil Nadu
UPAR Nungambakkam,4.1,Very Good,281,,Nungambakkam,,,"2,716",633,Chennai,Tamil Nadu
Ginger Chennai,3.5,Very Good,2071,3,Tharamani,,,"3,299",,Chennai,Tamil Nadu
Holiday Inn Express Chennai OMR Thoraipakkam,3.5,Very Good,2087,4,Thoraipakkam,,,"3,680",480,Chennai,Tamil Nadu
Raj Park Chennai,3.6,Very Good,1158,4,Teynampet,,,"3,953",935,Chennai,Tamil Nadu
"UPAR Uthandi, ECR
Like a 3",3.6,Very Good,94,,East Coast Road (ECR),,,"1,317",397,Chennai,Tamil Nadu
Hotel Abu Palace,3.4,Good,1592,4,Purasawalkam ,Chennai Egmore Railway Station,920 m ,"2,947",789,Chennai,Tamil Nadu
Ramada Chennai Egmore,3.9,Very Good,4600,4,Egmore,,,"4,557","1,078",Chennai,Tamil Nadu
Hyatt Regency Chennai,4.1,Very Good,1152,5,Teynampet,,,"7,499",,Chennai,Tamil Nadu
"Lemon Tree Hotel, Shimona, Chennai",4,Very Good,1288,4,Manapakkam ,Chennai Airport,9.0 km ,"2,819","1,115",Chennai,Tamil Nadu
Trident Chennai,4.5,Excellent,1140,5,Chennai Airport ,Chennai Airport,3.0 km ,"12,750",,Chennai,Tamil Nadu
Holiday Inn Chennai OMR IT Expressway,4.2,Very Good,1676,5,Thiruvanmiyur,,,"7,499",,Chennai,Tamil Nadu
Ibis Chennai SIPCOT - An Accor Brand,4,Very Good,1479,3,Egatoor ,city centre,31.2 km ,"3,299",,Chennai,Tamil Nadu
The Accord Metropolitan,4.1,Very Good,2220,5,T Nagar,,,"6,500","1,957",Chennai,Tamil Nadu
Park Hyatt Chennai,4.5,Excellent,525,5,Guindy ,Chennai Airport,7.8 km ,"9,000",,Chennai,Tamil Nadu
OYO Home Fantasea Uthandi Near Juhu Beach,1.9,Poor,7,,Uthandi,,,769,40,Chennai,Tamil Nadu
Gokulam Park Sabari - Siruseri SIPCOT,4.2,Very Good,1271,4,Navallur,,,"5,719","1,244",Chennai,Tamil Nadu
BOULEVARD BY DESIGN HOTEL,4.1,Very Good,821,4,Velachery ,Chennai Airport,8.7 km ,"4,860","1,026",Chennai,Tamil Nadu
Fairfield by Marriott Chennai OMR,4.2,Very Good,983,4,Sholinganallur,,,"4,850",,Chennai,Tamil Nadu
ITC Grand Chola - A Luxury Collection Hotel,4.4,Excellent,2603,5,Guindy ,Chennai Airport,7.8 km ,"12,500",,Chennai,Tamil Nadu
The Ambassador Pallava,4,Very Good,1926,4,Egmore,,,"8,079","2,432",Chennai,Tamil Nadu
Le Royal Meridien,3.9,Very Good,1968,5,Mount road ,Chennai Airport,5.6 km ,"9,000",,Chennai,Tamil Nadu
