Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,city,state
The Park Kolkata,3.9,Very Good,7647,5,New Market Area ,Park Street,210 m ,"4,207",886,Kolkata,West Bengal
"Zone By The Park, Kolkata",3.8,Very Good,8656,5,New Town,,,"3,915",926,Kolkata,West Bengal
JW Marriott Hotel Kolkata,4.4,Excellent,1527,5,Tangra,,,"7,800",,Kolkata,West Bengal
ibis Kolkata Rajarhat - An Accor Brand,3.9,Very Good,2355,4,New Town,,,"2,220",,Kolkata,West Bengal
The Lalit Great Eastern Kolkata,4.2,Very Good,2486,5,Bow Barracks ,Eden Gardens,970 m ,"6,365",764,Kolkata,West Bengal
ITC Royal Bengal - A Luxury Collection Hotel,4.5,Excellent,3849,5,Tangra,,,"8,925",,Kolkata,West Bengal
"Lemon Tree Premier, New Town, Kolkata",4.2,Very Good,3026,5,New Town,,,"2,156",782,Kolkata,West Bengal
Novotel Kolkata Hotel and Residences,4.1,Very Good,2827,5,New Town,,,"5,060",,Kolkata,West Bengal
All Fresco Hotel,3.7,Very Good,688,3,Baguiati ,Netaji Subhash Chandra Bose International Airport,5.6 km ,"1,637",483,Kolkata,West Bengal
Regenta Orko's Kolkata,3.9,Very Good,2055,4,Kasba ,Acropolis Mall,680 m ,"3,321",449,Kolkata,West Bengal
"Holiday Inn Express, Kolkata Airport",4.1,Very Good,1655,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.7 km ,"4,099",,Kolkata,West Bengal
Himalayan Inn Guest House - Near TCS Gitobitan,3.3,Good,534,,Salt Lake City,,,724,257,Kolkata,West Bengal
Holiday Inn Kolkata Airport,4.1,Very Good,2486,5,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.7 km ,"4,600",,Kolkata,West Bengal
"Taj City Centre New Town, Kolkata",4.4,Excellent,1556,5,Rajarhat ,Netaji Subhash Chandra Bose International Airport,5.8 km ,"5,650",,Kolkata,West Bengal
"Vivanta Kolkata, EM Bypass",4.4,Excellent,2031,5,East Kolkata Township,,,"5,500",,Kolkata,West Bengal
Hyatt Regency Kolkata,4.2,Very Good,1426,5,Salt Lake City ,Salt Lake Stadium,740 m ,"5,780",694,Kolkata,West Bengal
"Bandhan Residency
Like a 3",3.7,Very Good,460,,Kaikhali ,Netaji Subhash Chandra Bose International Airport,3.0 km ,"1,102",350,Kolkata,West Bengal
The Oberoi Grand,4.7,Excellent,1268,5,New Market Area ,Park Street,930 m ,"8,000",,Kolkata,West Bengal
"Fairfield by Marriott, Kolkata",4.1,Very Good,2332,4,New Town,,,"2,499",,Kolkata,West Bengal
Ethnotel,4,Very Good,3211,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.7 km ,"2,949",621,Kolkata,West Bengal
Backpackers Park Hostel @ParkStreet,3.8,Very Good,417,,New Market Area ,Park Street,150 m ,893,209,Kolkata,West Bengal
THE WESTIN KOLKATA RAJARHAT,4.4,Excellent,2067,5,New Town ,Netaji Subhash Chandra Bose International Airport,9.3 km ,"5,699",,Kolkata,West Bengal
"Taj Bengal, Kolkata",4.6,Excellent,1165,5,Alipore,,,"8,000",,Kolkata,West Bengal
Hotel Senses,3.9,Very Good,1943,4,Salt Lake City ,Salt Lake Sec V,900 m ,"3,716","1,016",Kolkata,West Bengal
ITC Sonar - A Luxury Collection Hotel,4.4,Excellent,2325,5,Tangra,,,"7,225",,Kolkata,West Bengal
Kenilworth Hotel,4.3,Excellent,669,4,Park Street Area,,,"6,054",727,Kolkata,West Bengal
The Peerless Inn,3.9,Very Good,3539,4,Near Howrah Train Station ,Eden Gardens,770 m ,"4,186",855,Kolkata,West Bengal
De Sovrani,3.9,Very Good,1260,4,Salt Lake City,,,"2,916",690,Kolkata,West Bengal
"Pride Plaza Hotel, Kolkata",3.9,Very Good,1861,5,New Town,,,"2,800",336,Kolkata,West Bengal
"City Central Hostel, Kolkata",4.6,Excellent,77,,Kolkata ,Dharamtala Market,980 m ,736,198,Kolkata,West Bengal
Siamton Inn - A Cygnett Collection,4,Very Good,2312,4,Park Street ,Park Street,10 m ,"2,790",677,Kolkata,West Bengal
Hotel Aauris,4.1,Very Good,1658,4,Park Street ,Park Street,430 m ,"4,650",950,Kolkata,West Bengal
"Howard Johnson by Wyndham, Kolkata Airport",3.9,Very Good,1150,4,Chinar Park ,Netaji Subhash Chandra Bose International Airport,3.6 km ,"2,500",,Kolkata,West Bengal
Park Prime Kolkata,3.8,Very Good,2036,3,Ballygunge,,,"3,652","1,006",Kolkata,West Bengal
Joey's Nest,4.7,Excellent,54,,Salt Lake City ,Netaji Subhash Chandra Bose International Airport,9.5 km ,"2,245",583,Kolkata,West Bengal
Hotel Hindusthan International,3.6,Very Good,1907,5,Bhowanipore,,,"4,134",978,Kolkata,West Bengal
Hotel Niharika,4.1,Very Good,1551,3,Elgin,,,"2,790",570,Kolkata,West Bengal
Vedic Village Spa Resort,4,Very Good,3761,4,Vedic Village,,,"3,688",944,Kolkata,West Bengal
Park Palace Hotel,3.6,Very Good,1471,3,Ballygunge,,,"1,350",431,Kolkata,West Bengal
Offbeat CCU Bunkers,4.3,Excellent,92,,Topsia,,,944,205,Kolkata,West Bengal
Monotel Luxury Business Hotel,3.9,Very Good,1744,4,Salt Lake City,,,"3,523",855,Kolkata,West Bengal
AIRPORT CITY HOTEL,3.9,Very Good,1658,4,Birati ,Netaji Subhash Chandra Bose International Airport,2.0 km ,"2,994",767,Kolkata,West Bengal
The Lindsay,3.5,Very Good,1990,3,New Market Area ,Park Street,870 m ,"2,907",710,Kolkata,West Bengal
RituIvy,4,Very Good,547,3,East Kolkata Township,,,"2,132",588,Kolkata,West Bengal
Hotel O2 Oxygen,3.8,Very Good,826,4,Near Kolkata Airport ,Netaji Subhash Chandra Bose International Airport,2.1 km ,"2,856",583,Kolkata,West Bengal
VISITEL - A BOUTIQUE HOTEL,3.8,Very Good,1058,3,Kankurgachi,,,"1,991",590,Kolkata,West Bengal
IndiSmart Hotel,3.9,Very Good,277,3,Salt Lake City,,,"1,999",515,Kolkata,West Bengal
LYNQ AERO,4,Very Good,461,3,Salt Lake City,,,"3,242",767,Kolkata,West Bengal
"Park Guest House, Kolkata",3.7,Very Good,19,,Park Street ,Park Street,140 m ,"1,045",315,Kolkata,West Bengal
Regenta Inn Larica,3.6,Very Good,1448,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.1 km ,"2,713",419,Kolkata,West Bengal
Golden Tulip Kolkata,4.1,Very Good,1538,4,Salt Lake City,,,"3,772",770,Kolkata,West Bengal
The Senator,4.3,Excellent,1016,3,Elgin,,,"2,511",513,Kolkata,West Bengal
Gallery 67,4.2,Very Good,832,3,Ghose Bagan ,Netaji Subhash Chandra Bose International Airport,9.4 km ,"2,536",737,Kolkata,West Bengal
CHOWDHURY'S ESTATES,3.5,Very Good,24,,Elgin,,,"1,935",480,Kolkata,West Bengal
Pipal Tree Hotel,4,Very Good,2274,4,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.2 km ,"3,579",846,Kolkata,West Bengal
Stayotel,4,Very Good,606,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.5 km ,"2,365",672,Kolkata,West Bengal
"Raajkutir, Kolkata - IHCL SeleQtions",4.6,Excellent,576,5,Kankurgachi ,Salt Lake Stadium,810 m ,"5,350",,Kolkata,West Bengal
The Sonnet,4.1,Very Good,844,4,Salt Lake City,,,"4,937","1,233",Kolkata,West Bengal
"Krishna Kunja | Rooms & Caretaker
Like a 3",4.6,Excellent,99,,South Dum Dum ,Netaji Subhash Chandra Bose International Airport,5.1 km ,"1,440",418,Kolkata,West Bengal
Aristocrat Hotel,3.7,Very Good,262,4,New Town,,,"1,966",409,Kolkata,West Bengal
The Fern Residency Kolkata,3.8,Very Good,1051,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.2 km ,"2,462",582,Kolkata,West Bengal
Sapphire Suites,3.8,Very Good,776,3,New Market Area ,Park Street,780 m ,"3,089",631,Kolkata,West Bengal
Victoria Hotel,4,Very Good,862,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.0 km ,"2,388",720,Kolkata,West Bengal
The Pearl Hotel,3.3,Good,608,3,Beliaghata ,Salt Lake Stadium,840 m ,"1,517",484,Kolkata,West Bengal
The Astor,4.2,Very Good,933,4,Park Street Area,,,"4,502",920,Kolkata,West Bengal
Barsana Boutique Hotel (Pure vegetarian),4.2,Very Good,296,3,Tangra,,,"3,767",770,Kolkata,West Bengal
THE MAUREEN KOLKATA,4,Very Good,1441,3,Baguiati ,Netaji Subhash Chandra Bose International Airport,4.7 km ,"3,188",671,Kolkata,West Bengal
The Aster Penthouse,4.2,Very Good,12,,Ballygunge ,Park Street,960 m ,"1,766",532,Kolkata,West Bengal
The Firangipani Suites,4,Very Good,106,3,New Town,,,"1,980",484,Kolkata,West Bengal
Celesta,4.1,Very Good,1087,3,Baguiati ,Netaji Subhash Chandra Bose International Airport,5.8 km ,"3,085",842,Kolkata,West Bengal
HOTEL EASTERN PLAZA,3.3,Good,1312,3,Kaikhali ,Netaji Subhash Chandra Bose International Airport,4.1 km ,"1,192",331,Kolkata,West Bengal
Hotel Aura,3.6,Very Good,432,3,New Market Area,,,"2,106",599,Kolkata,West Bengal
Viceroy Kolkata (Boutique Hotel),3.8,Very Good,1077,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,3.8 km ,"2,562",523,Kolkata,West Bengal
Beyzaa Hotel & Suites (Brewery Hotel),4.2,Very Good,593,4,Salt Lake City,,,"4,589",551,Kolkata,West Bengal
The CORPORATE,3.4,Good,577,3,Park Street ,Park Street,130 m ,"3,086",867,Kolkata,West Bengal
Hotel Trimoorti,3.6,Very Good,1375,3,Bhowanipore,,,"1,488",476,Kolkata,West Bengal
Bubble Beds,3.9,Very Good,376,,Kalighat ,Kalighat Kali Temple,960 m ,597,161,Kolkata,West Bengal
The Opus Kolkata - A Boutique Hotel,3.9,Very Good,376,3,Bhowanipore,,,"2,372",485,Kolkata,West Bengal
Hotel Crest Inn,3.7,Very Good,975,,Park Circus,,,"1,260",382,Kolkata,West Bengal
Golden Parkk,3.6,Very Good,219,3,Park Street Area ,Park Street,960 m ,"3,767",770,Kolkata,West Bengal
Hotel The Crest,3.8,Very Good,324,,Park Circus,,,"1,328",384,Kolkata,West Bengal
Park Victoria Hotel,3.4,Good,383,,New Market Area ,Park Street,250 m ,"1,507",308,Kolkata,West Bengal
The Samilton,4,Very Good,777,3,Bhowanipore,,,"3,499",420,Kolkata,West Bengal
Treebo Trend Orion Sapphire Beck Bagan,3.8,Very Good,127,,Park Street ,Park Street,770 m ,"2,540",530,Kolkata,West Bengal
Eennra Oiitijhyya,4.4,Excellent,142,3,Keyatala,,,"1,994",567,Kolkata,West Bengal
"The Aster Heritage Homestay | Rooms & Caretaker
Like a 3",4.3,Excellent,115,,New Market Area ,Park Street,60 m ,"2,452",660,Kolkata,West Bengal
Basera Guest House,4.1,Very Good,635,,Gariahat,,,"1,000",289,Kolkata,West Bengal
LYNQ-CICO - Hotel,3.8,Very Good,634,3,Alipore,,,"2,372",576,Kolkata,West Bengal
The Lake Hotel,3.7,Very Good,396,3,Dhakuria,,,"1,986",528,Kolkata,West Bengal
"The Aster Heritage Gold
Like a 3",4.4,Excellent,17,,New Market Area ,Park Street,50 m ,"4,723","1,320",Kolkata,West Bengal
Treebo Tryst Tahoora International Park Street,3.7,Very Good,70,3,Park Street ,Park Street,100 m ,"3,257",680,Kolkata,West Bengal
Southern Plaza,3.8,Very Good,276,3,Kalighat,,,"3,201",674,Kolkata,West Bengal
DIAMOND PLAZA,3.8,Very Good,736,,Bow Bazaar ,College Street,800 m ,"1,850",438,Kolkata,West Bengal
Lytton Hotel,3.6,Very Good,431,3,New Market Area ,Park Street,560 m ,"3,004",711,Kolkata,West Bengal
"Dorota House | Room & Caretaker
Like a 3",4,Very Good,73,,Salt Lake City,,,"1,365",412,Kolkata,West Bengal
Hotel O2 VIP,3.9,Very Good,356,3,Near Kolkata Airport ,Netaji Subhash Chandra Bose International Airport,2.0 km ,"2,212",481,Kolkata,West Bengal
Hotel Gateway Continental,3.8,Very Good,600,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.3 km ,"2,800",737,Kolkata,West Bengal
Hotel Air View,4,Very Good,539,,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.8 km ,"1,078",255,Kolkata,West Bengal
Hotel Casa Fortuna,3.9,Very Good,693,3,Park Street Area,,,"3,934",950,Kolkata,West Bengal
Middleton Inn,3.5,Very Good,264,3,Park Street ,Park Street,710 m ,"2,590",545,Kolkata,West Bengal
Hotel Sawood International,3.6,Very Good,687,3,Tangra,,,"2,122",560,Kolkata,West Bengal
