hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Gangothri Residency,Bangalore,Karnataka,Outer Ring Road,,,,12.9212938,77.6635656,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6162-195214,info@gangothri.com,https://www.gangothriresid.com,,4.0,429,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Ringview Residency,Bangalore,Karnataka,Outer Ring Road,,,,12.9214046,77.6639051,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6068-654217,info@ringviewr.com,https://www.ringviewreside.com,,4.0,338,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Canara Bank Holiday Home,Bangalore,Karnataka,2nd Main Road,,,,12.9316521,77.5907098,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9301-599548,info@canaraban.com,https://www.canarabankhol.com,,3.2,310,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Hindustan,Bangalore,Karnataka,,,,,12.9762752,77.5767096,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9200-313156,info@hotelhind.com,https://www.hotelhindustan.com,,3.6,463,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Anand Regency,Bangalore,Karnataka,"10, 2nd Cross, 6th Main Road, Gandhi Nagar, Bangalore",,,,12.9769025,77.5763491,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-80-41139572,info@hotelanan.com,https://www.hotelanandreg.com,,3.8,414,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sri Krishna Lodge,Bangalore,Karnataka,Sampige Road,,,,12.9932258,77.5717309,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6429-942625,info@srikrishn.com,https://www.srikrishnalod.com,,3.5,165,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Capitol,Bangalore,Karnataka,"Raj Bhavan Road, Bangalore",,,,12.9822391,77.594459,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9130-232111,info@thecapito.com,https://www.thecapitol.com,,4.1,200,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Legislatures' Home,Bangalore,Karnataka,,,,,12.983448,77.5899594,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7773-231675,info@legislatur.com,https://www.legislaturesh.com,,3.4,471,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Infantry Hotel,Bangalore,Karnataka,"66, Infantry Road, Bangalore",,,,12.980445,77.604525,Internet,Budget,+918025591800,enquiry@theinfantryhotel.com,http://www.hotelinfantrycourt.com,,3.7,477,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Maurya,Bangalore,Karnataka,"22/4, Race Course Road, Gandhi Nagar, Bangalore",,,,12.980921,77.576491,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-80-22254111,reservations@hotelmaurya.com,https://www.hotelmaurya.com/,,3.6,228,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Swathi,Bangalore,Karnataka,"1, Railway Platform Road, Seshadripuram, Bangalore",,,,12.989096,77.572253,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-80-23561123,info@hotelswat.com,https://www.hotelswathi.com,,3.7,407,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Nalapad's Hotel Bangalore International,Bangalore,Karnataka,"2A-2B, Crescent Road, High Ground, Bangalore",3,,,12.9850452,77.579248,Internet,Budget,+91-6515-373016,reservation@nalapadhotels.net,http://www.nalapad.com,,3.8,409,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sudha Lodge,Bangalore,Karnataka,"6, Cottonpet Main Road, Chickpet, Bangalore",,,,12.9727609,77.5701982,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-80-26705420,info@sudhalodg.com,https://www.sudhalodge.com,,3.7,477,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Radha Krishna Delux Lodge,Bangalore,Karnataka,"13, Cottonpete Main Road",,,,12.9717886,77.5705791,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9903-692469,info@radhakris.com,https://www.radhakrishnad.com,,3.8,80,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Mahaveer,Bangalore,Karnataka,"Tank Bund Road, Bangalore",,,,12.974344,77.5712299,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8852-585074,info@hotelmaha.com,https://www.hotelmahaveer.com,,3.2,211,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Ganga Sagar,Bangalore,Karnataka,"3, Bangalore",,,,12.944337,77.620028,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-80-25704880,info@hotelgang.com,https://www.hotelgangasag.com,,3.4,121,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
MGM Mark,Bangalore,Karnataka,"23, EPIP Zone, Whitefield, Bangalore",,,,12.971672,77.7175701,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-80-41985555,info@themarkboulevard.com,https://www.mgm-hotels.com/mgm-mark-whitefield-bangalore/,,3.9,420,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
CYCD,Bangalore,Karnataka,,,,,12.967339,77.5427777,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9092-260327,info@cycd.com,https://www.cycd.com,,3.6,444,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Stamford Residency,Bangalore,Karnataka,"538, ITPL Main Road, B Block, AECS Layout",,,,12.9648741,77.7161185,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7496-366081,info@stamfordr.com,stamfordresidency.com,,3.2,39,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Maple's,Bangalore,Karnataka,,,,,12.9353574,77.6293981,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9456-144610,info@maples.com,https://www.maples.com,,4.2,273,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Verdisso Suites,Bangalore,Karnataka,"Outer Ring Road, Marathahalli, Bangalore",,,,12.9505253,77.6992384,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8764-245530,info@hotelverd.com,https://www.hotelverdisso.com,,3.8,236,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Ramada,Bangalore,Karnataka,,,,,12.984215,77.6005578,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8331-991187,info@hotelrama.com,https://www.hotelramada.com,,3.2,351,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Fortune Park JP Celestial Hotel,Bangalore,Karnataka,"5/43, Race Course Road, Bangalore",,,,12.980883,77.575992,Internet,Budget,+91-80-40441234; +91-80-39884433,jpcelestial@fortunehotels.in,https://www.fortunehotels.in/,,3.6,404,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Terminus,Bangalore,Karnataka,,,,,12.9342871,77.6161496,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7350-481664,info@terminus.com,https://www.terminus.com,,3.2,298,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Blue Petal Business Hotel,Bangalore,Karnataka,,,,,12.9335142,77.6151725,"Free WiFi, Air Conditioning, 24/7 Front Desk, Business Center, Meeting Rooms, Gym",Business,+91-6729-444382,info@bluepetal.com,https://www.bluepetalbusi.com,,4.3,31,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
HMT Guest House,Bangalore,Karnataka,,,,,13.0541469,77.549106,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6131-745499,info@hmtguest.com,https://www.hmtguesthouse.com,,3.7,133,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
BEL Guest House,Bangalore,Karnataka,,,,,13.0535251,77.5571463,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6325-882078,info@belguest.com,https://www.belguesthouse.com,,3.4,369,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Century,Bangalore,Karnataka,,,,,12.9671321,77.6822005,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9890-812580,info@century.com,https://www.century.com,,3.7,449,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
4 Seasons Suites,Bangalore,Karnataka,"95, 5th Cross Road 60 FEET ROAD, Bangalore",,,,12.9372193,77.619574,"Internet, Air Conditioning",Budget,+91-6134-413005,4SEASONSSUITES@GMAIL.COM,https://4SEASONSSSUITES.IN,,3.7,241,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Casa De Bengaluru,Bangalore,Karnataka,"17th E Main, Bangalore",,,,12.9363256,77.6222355,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7459-149138,info@casadebe.com,https://www.casadebengalu.com,,3.8,358,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Royal Comforts,Bangalore,Karnataka,Hosur road,,,,12.9262515,77.6168174,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6770-277512,info@royalcomf.com,https://www.royalcomforts.com,,3.6,54,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Woodstock,Bangalore,Karnataka,,,,,12.874318,77.647308,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7385-627433,info@woodstock.com,https://www.woodstock.com,,3.5,439,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Shilton Royale,Bangalore,Karnataka,,,,,12.938785,77.6300973,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6656-424364,info@shiltonro.com,https://www.shiltonroyale.com,,4.2,424,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
CHef Inn Residency,Bangalore,Karnataka,,,,,12.9383855,77.6310907,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9798-370185,info@chefinnr.com,https://www.chefinnreside.com,,3.3,380,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Pai Vijay,Bangalore,Karnataka,,,,,12.9264034,77.5858296,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7606-947573,info@paivijay.com,https://www.paivijay.com,,4.1,192,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Libra,Bangalore,Karnataka,Hosur road,,,,12.9353977,77.6090855,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8705-232005,info@libra.com,https://www.libra.com,,4.1,127,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Mayflower,Bangalore,Karnataka,,,,,12.9478373,77.5970782,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7915-539634,info@hotelmayf.com,https://www.hotelmayflower.com,,4.1,318,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Akshara Regency,Bangalore,Karnataka,,,,,13.0300838,77.5593527,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 80 41497575,info@aksharare.com,https://www.akshararegency.com,,4.2,432,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Lords Plaza,Bangalore,Karnataka,,,,,12.8452479,77.6653173,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7443-897827,info@lordsplaz.com,https://www.lordshotels.com/,,3.9,325,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Golden Residency,Bangalore,Karnataka,Beṅgaḷūru,,,,12.9780729,77.579383,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 80 4147 6435,goldenresidency@gmail.com,https://www.goldenresidenc.com,,4.0,415,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Kanthi Comforts,Bangalore,Karnataka,,,,,12.9775086,77.5793777,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9282-210487,info@hotelkant.com,https://www.hotelkanthico.com,,3.7,45,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Royal Habitat,Bangalore,Karnataka,,,,,12.9649841,77.6404672,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8632-994798,info@royalhabi.com,https://www.royalhabitat.com,,3.3,284,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Geo,Bangalore,Karnataka,,,,,12.9656255,77.5895554,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7712-437950,info@hotelgeo.com,https://www.hotelgeo.com,,3.4,163,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Prakash Cafe & Lodge,Bangalore,Karnataka,,,,,12.9604081,77.5709546,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8466-763101,info@prakashca.com,https://www.prakashcafe.com,,4.1,218,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Madhuvan,Bangalore,Karnataka,Pampa Mahakavi Road,,,,12.9608286,77.571561,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9694-905563,info@hotelmadh.com,https://www.hotelmadhuvan.com,,4.2,327,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Villa Lavelle,Bangalore,Karnataka,,,,,12.9684323,77.5964096,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8375-870412,info@villalave.com,https://www.villalavelle.com,,3.2,188,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Ramakrishna Lodge,Bangalore,Karnataka,,,,,12.9717723,77.5729725,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9494-107416,info@ramakrishn.com,https://www.ramakrishnalod.com,,3.9,276,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Lark,Bangalore,Karnataka,,,,,12.8216944,77.6870991,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8079-197679,info@thelark.com,https://www.thelark.com,,3.9,416,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Confident Propos,Bangalore,Karnataka,,,,,12.9560897,77.6055497,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8106-731830,info@confident.com,https://www.confidentpropo.com,,3.9,245,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Emilion HHI Select,Bangalore,Karnataka,,,,,12.9066302,77.592944,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9325-846310,info@emilionhh.com,https://www.emilionhhisel.com,,3.6,190,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
