hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Chola Sheraton,Chennai,Tamil Nadu,,,,,13.0453871,80.2573123,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8247-384771,info@cholasher.com,https://www.cholasheraton.com,,3.6,460,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Samco,Chennai,Tamil Nadu,,,,,13.0382411,80.256529,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9968-609861,info@samco.com,https://www.samco.com,,3.9,59,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Eldams Lodge,Chennai,Tamil Nadu,,,,,13.0390202,80.2488531,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6636-757616,info@eldamslod.com,https://www.eldamslodge.com,,3.3,339,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Green Park - Chennai,Chennai,Tamil Nadu,"Arcot Road, Chennai",,,,13.051048,80.2081917,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 44 66515151,info@greenpark.com,http://www.hotelgreenpark.com/default.htm,,3.7,231,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Le Royal Meridian,Chennai,Tamil Nadu,,,,,13.0070349,80.2055161,Air Conditioning,Budget,+91-7430-994567,info@leroyalm.com,https://www.leroyalmeridi.com,,3.3,202,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Residency Towers,Chennai,Tamil Nadu,,,,,13.0402539,80.2437255,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7762-152488,info@residency.com,https://www.residencytower.com,,3.2,158,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Accord Metropolitan,Chennai,Tamil Nadu,,,,,13.0459441,80.2425563,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7484-249308,info@accordmet.com,https://www.accordmetropol.com,,3.3,276,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Courtyard Marriott,Chennai,Tamil Nadu,"564, Anna Salai (Mount Road), Chennai",,,,13.0459725,80.2477447,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,66764000,info@courtyard.com,https://www.marriott.com/en-us/hotels/maacy-courtyard-chennai/overview/,,3.5,399,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Mount Palace,Chennai,Tamil Nadu,,,,,13.0404792,80.2469187,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-6764-763664,info@hotelmoun.com,https://www.hotelmountpal.com,,4.3,99,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Trident Hilton,Chennai,Tamil Nadu,,,,,12.9935805,80.1862283,Air Conditioning,Budget,+91-6215-481766,info@tridenthi.com,https://www.tridenthilton.com,,3.5,26,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Radisson Blu Hotel,Chennai,Tamil Nadu,,,,,12.9940405,80.1876359,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6191-817993,info@radissonb.com,https://www.radissonbluho.com,,3.2,213,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Clarion,Chennai,Tamil Nadu,"Dr Radhakrishnan Salai, Chennai",,,,13.0434191,80.2711218,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7098-137573,info@hotelclar.com,https://www.hotelclarion.com,,4.1,136,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Palmgrove,Chennai,Tamil Nadu,,,,,13.0528514,80.2480182,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7404-739997,info@palmgrove.com,https://www.palmgrove.com,,4.0,197,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Barathi Hostel,Chennai,Tamil Nadu,,,,,13.0575776,80.2630724,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6605-618057,info@barathiho.com,https://www.barathihostel.com,,3.3,166,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Maris,Chennai,Tamil Nadu,,,,,13.0452178,80.2578584,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8507-465721,info@hotelmari.com,https://www.hotelmaris.com,,4.0,433,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
