hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Hotel Surya,Faridabad,Haryana,,,,,28.5614243,77.2697503,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8128-165185,info@hotelsury.com,https://www.hotelsurya.com,,4.2,50,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Parkland Hotel,Faridabad,Haryana,,,,,28.5672888,77.2281718,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7427-718716,info@parklandh.com,https://www.parklandhotel.com,,3.3,333,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Imperial Villa,Faridabad,Haryana,,,,,28.5658144,77.2481626,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-11-4997-7000,info@imperialv.com,https://www.imperialvilla.com,,3.3,399,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Radisson Blu MBD Hote,Faridabad,Haryana,"L-2, Sector 18, Noida",,,,28.5685211,77.3225515,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8852-777573,info@radissonb.com,https://www.radissonblumb.com,,3.5,38,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Savoy Suites,Faridabad,Haryana,,,,,28.5800504,77.3152466,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9455-363355,info@savoysuit.com,https://www.savoysuites.com,,3.3,485,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Indus Biznotel,Faridabad,Haryana,"Greater Kailash 1, New Delhi",,,,28.5493151,77.2428571,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+911140267700,info@indusbizn.com,https://www.indusbiznotel.com/,,4.1,451,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Silver Ferns,Faridabad,Haryana,,,,,28.5229836,77.2081097,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7869-391017,info@silverfer.com,https://www.silverferns.com,,4.1,449,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Country Inn By Carlson,Faridabad,Haryana,,,,,28.5278241,77.2204446,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9858-900535,info@countryin.com,https://www.countryinns.com/new-delhi-hotel-in-110017/inddesk,,3.9,411,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Mapple Express,Faridabad,Haryana,,,,,28.5534058,77.2443542,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9277-272452,info@mappleexp.com,https://www.mappleexpress.com,,3.3,260,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Ikhaya Hotel,Faridabad,Haryana,"B-104, Greater Kailash-1",,,,28.5481071,77.2313232,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+918527205267,info@ikhayahot.com,https://www.ikhayahotel.com,,4.1,409,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Africa Avenue,Faridabad,Haryana,"6, Anand Lok, Delhi",,,,28.557303,77.2176313,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8946-446701,info@africaave.com,https://www.africaavenue.com,,3.6,415,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Clark's Inn,Faridabad,Haryana,,,,,28.5534271,77.2440202,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7249-638251,info@clarksin.com,https://www.clarksinn.com,,3.5,193,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Le Cadre,Faridabad,Haryana,,,,,28.5552111,77.242459,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9861-343453,info@hotellec.com,https://www.hotellecadre.com,,3.5,45,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Zara Grand,Faridabad,Haryana,"H 2A, Green Park Extension",,,,28.5598136,77.2061901,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,011 4678 6786,info@hotelzara.com,http://www.hotelzaragrand.com,,4.7,214,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Hotel Rockland,Faridabad,Haryana,,,,,28.5421256,77.2298224,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6966-519295,info@hotelrock.com,https://www.hotelrockland.com,,3.2,456,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Hamilton Lodge,Faridabad,Haryana,,,,,28.5413446,77.2114329,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7473-726271,info@hotelhami.com,https://www.hotelhamilton.com,,3.3,291,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel South View,Faridabad,Haryana,,,,,28.5471742,77.2494125,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9809-908288,info@hotelsout.com,https://www.hotelsouthvie.com,,3.5,249,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Shervani,Faridabad,Haryana,,,,,28.54661,77.2496586,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6969-589737,info@shervani.com,https://www.shervani.com,,3.3,25,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Muse,Faridabad,Haryana,,,,,28.5455235,77.2478958,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7203-874789,info@themuse.com,https://www.themuse.com,,3.7,135,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Shuhul Continental,Faridabad,Haryana,,,,,28.5588748,77.2468458,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6786-258341,info@shuhulcon.com,https://www.shuhulcontinen.com,,3.6,496,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Saket 27,Faridabad,Haryana,,,,,28.5194511,77.2154341,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6999-476753,info@hotelsake.com,https://www.hotelsaket27.com,,4.0,276,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
"76, Friends Colony",Faridabad,Haryana,,,,,28.5700827,77.2571343,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6117-163930,info@76friend.com,https://www.76friendscol.com,,3.9,185,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Manor,Faridabad,Haryana,,,,,28.5704573,77.25685,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8362-540366,info@themanor.com,https://www.themanor.com,,3.5,360,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
