hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Comfort Inn,Gandhinagar,Gujarat,Ahmedabad,,,,23.0810988,72.6169531,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9870-994515,info@comfortin.com,https://www.comfortinn.com,,3.3,233,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sabermati Ashram Guesthouse,Gandhinagar,Gujarat,,,,,23.0613841,72.579973,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9048-506101,info@sabermati.com,https://www.sabermatiashra.com,,3.9,328,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Gateway Hotel Ummed,Gandhinagar,Gujarat,Ahmedabad,,,,23.0823961,72.6165176,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6992-341894,info@gatewayho.com,https://www.gatewayhotelu.com,,4.1,290,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Naeeka,Gandhinagar,Gujarat,,,,,23.0552316,72.5908571,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9131-648437,info@naeeka.com,https://www.naeeka.com,,3.7,66,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Amrit hotel chhatral,Gandhinagar,Gujarat,sh-41,,,,23.265271,72.4638403,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6306-702187,info@amrithote.com,https://www.amrithotelchh.com,,3.9,470,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel silver inn,Gandhinagar,Gujarat,sh-41,,,,23.252596,72.4840781,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6698-819307,info@hotelsilv.com,https://www.hotelsilverin.com,,4.1,79,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel sindbad,Gandhinagar,Gujarat,,,,,23.2522793,72.4854844,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7398-580734,info@hotelsind.com,https://www.hotelsindbad.com,,3.9,25,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sattadhar Benquet,Gandhinagar,Gujarat,Ahnedabad -palanpur sh 41,,,,23.2487984,72.4847949,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8322-337517,info@sattadhar.com,https://www.sattadharbenqu.com,,4.1,74,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel royal hill,Gandhinagar,Gujarat,Ahmedabad -palanpur rpad sh 41,,,,23.2522871,72.4840233,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6496-271891,info@hotelroya.com,https://www.hotelroyalhil.com,,3.9,36,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
"Hotel Neptune
",Gandhinagar,Gujarat,Ahmedabad -palanpur highway,,,,23.2391067,72.4916641,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9608-282085,info@hotelnept.com,https://www.hotelneptune.com,,3.4,50,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Stop N Stay,Gandhinagar,Gujarat,,,,,23.1800454,72.5741461,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8342-585600,info@stopnsta.com,https://www.stopnstay.com,,3.5,341,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Royal Hotel,Gandhinagar,Gujarat,,,,,23.1615482,72.8080635,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8615-814057,info@royalhote.com,https://www.royalhotel.com,,4.0,401,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Fortune Inn Haveli,Gandhinagar,Gujarat,,4,,,23.2172456,72.6491326,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7629-656002,info@fortunein.com,https://www.fortuneinnhav.com,,3.3,325,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel marigol,Gandhinagar,Gujarat,,,,,23.2288072,72.6484446,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7845-123779,info@hotelmari.com,https://www.hotelmarigol.com,,4.1,405,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel King Palace,Gandhinagar,Gujarat,,,,,23.0639876,72.5813581,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-6275-154706,info@hotelking.com,https://www.hotelkingpala.com,,4.5,367,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Amba Suites Hotel & Conventions,Gandhinagar,Gujarat,"Shivam 2, Trimandir - Dadanagar Rd, Adalaj",,,,23.1872784,72.5740038,"Internet, Air Conditioning",Budget,+91-9420-749404,info@ambasuite.com,https://www.vinncahotels.com/,,3.2,347,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Leela Gandhinagar,Gandhinagar,Gujarat,Gandhinagar,,,,23.2341338,72.6288875,"Internet, Air Conditioning",Luxury,+91 (79) 690 21234,dm.tlgn@theleela.com,https://www.theleela.com/the-leela-gandhinagar,,4.7,462,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
MG Hostel and PG Accommodation,Gandhinagar,Gujarat,"17 Atulya Bungalows, Palsana road, Panchvati area, Kalol",,,,23.2219429,72.503733,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+919662340024,mehulmistry755@gmail.com,https://www.mghostelandp.com,,3.8,466,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Grand Vinayak Hotel,Gandhinagar,Gujarat,Gandhinagar,,,,23.2353537,72.6662414,Air Conditioning,Luxury,+91 75750 00601,reservation@tgvhotel.com,https://www.thegrandvinayakhotel.com,,4.2,397,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Hillton,Gandhinagar,Gujarat,"301-310, Gandhinagar",,,,23.1848365,72.6291705,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8288-609473,hotelhilltoninn@gmail.com,https://www.hotelhilltoninn.com,,3.6,74,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Downtown,Gandhinagar,Gujarat,,,,,23.1845139,72.6312887,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9665-770117,info@downtown.com,https://www.downtown.com,,4.1,334,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Cambay Sapphire,Gandhinagar,Gujarat,,4,,,23.2472875,72.6345089,Internet,Budget,+91-8992-450808,info@cambaysap.com,http://www.thecambay.com/hotel_gandhinagar.htm,,3.2,198,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Metropole Hotel,Gandhinagar,Gujarat,Balvantrai Mehta Road,,,,23.0652744,72.5842644,Internet,Budget,+91793013 0200,info@themetrop.com,http://www.themetropolehotel.co.in,,3.8,247,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Renaissance Ahmedabad Hotel,Gandhinagar,Gujarat,"SG Highway, Ahmedabad",,,,23.0752416,72.5266417,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+917940005000,info@renaissanc.com,https://www.marriott.com/en-us/hotels/amdbr-renaissance-ahmedabad-hotel/overview/,,3.5,57,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Gandhinagar Palace,Gandhinagar,Gujarat,"881 Bus Stand, Near Hospital, Gandhinagar",3,1557,Budget (Under ₹2000),23.208214,72.644266,"Free WiFi, Air Conditioning, 24/7 Front Desk, Laundry Service, Parking",Budget,+91-9538-860184,reservations@fabhotelgan.com,https://www.fabhotel.com,,4.3,55,Modern budget accommodation with excellent amenities,12:00,11:00,"Standard Room, Deluxe Room, Twin Room",Generated
Classic Marriott Deluxe,Gandhinagar,Gujarat,"662 Civil Lines, Near Shopping Mall, Gandhinagar",3,2493,Mid-range (₹2000-5000),23.153968,72.59819,"Free WiFi, Air Conditioning, 24/7 Front Desk, Business Center, Conference Hall, Meeting Rooms, Restaurant",Business,+91-6169-209943,reservations@marriottgan.com,https://www.marriott.com,,4.4,494,Modern business accommodation with excellent amenities,13:00,11:00,"Standard Room, Deluxe Room, Conference Room",Generated
Oberoi Royal Gandhinagar,Gandhinagar,Gujarat,"737 Brigade Road, Near Airport, Gandhinagar",4,6450,Premium (₹5000-10000),23.294665,72.581501,"Free WiFi, Air Conditioning, 24/7 Front Desk, Gym, Meeting Rooms, Conference Hall",Business,+91-9293-995133,reservations@oberoigan.com,https://www.oberoi.com,,4.4,242,A comfortable business hotel in the heart of Gandhinagar,12:00,12:00,"Standard Room, Deluxe Room, Conference Room, Executive Room",Generated
