hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Fraser Suites,Ghaziabad,Uttar Pradesh,,,,,28.5940973,77.299018,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9470-477695,info@frasersui.com,https://www.frasersuites.com,,3.7,136,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Radisson Blu MBD Hote,Ghaziabad,Uttar Pradesh,"L-2, Sector 18, Noida",,,,28.5685211,77.3225515,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7049-281583,info@radissonb.com,https://www.radissonblumb.com,,3.8,292,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Savoy Suites,Ghaziabad,Uttar Pradesh,,,,,28.5800504,77.3152466,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8923-506889,info@savoysuit.com,https://www.savoysuites.com,,3.4,293,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Red Fox Hotel,Ghaziabad,Uttar Pradesh,,,,,28.6069221,77.3329324,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8195-267827,info@redfoxho.com,https://www.redfoxhotel.com,,3.3,435,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Gaur Green Avenue ,Ghaziabad,Uttar Pradesh,"Abhay Khand II, Indirapuram ",,,,28.6344371,77.3420597,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9305-684654,info@gaurgreen.com,https://www.gaurgreenaven.com,,4.2,21,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Maharaja Residency ,Ghaziabad,Uttar Pradesh,"B21, Vikas Marg",,,,28.636957,77.2850794,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+911122041111,sales@maharajaresidency.com,https://www.maharajaresidency.com/,,3.7,137,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Holiday Inn,Ghaziabad,Uttar Pradesh,,,,,28.5904686,77.2983998,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6694-923683,info@holidayin.com,https://www.holidayinn.com,,4.0,256,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Laxmi packers and movers,Ghaziabad,Uttar Pradesh,"17/12, National Highway 24 Bypass",,,,28.6121665,77.3254393,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,971814075,info@laxmimoverspackerd.com,https://www.laxmimoverspackers.com/,,3.2,184,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Clarks inn,Ghaziabad,Uttar Pradesh,,,,,28.6435715,77.3269583,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9604-866827,info@clarksinn.com,https://www.clarksinn.com,,3.6,399,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Heritage Inn,Ghaziabad,Uttar Pradesh,,,,,28.6721908,77.3291104,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6846-763861,info@heritagei.com,https://www.heritageinn.com,,3.8,78,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Sunshine,Ghaziabad,Uttar Pradesh,,3,,,28.663845,77.321242,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8798-123379,info@hotelsuns.com,https://www.hotelsunshine.com,,3.3,270,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
