hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Shreemaya,Indore,Madhya Pradesh,"12 RNT Marg, Indore",,,,22.7163985,75.8737202,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8781-203198,info@shreemaya.com,https://www.shreemaya.com,,3.5,108,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Ashok Hotel,Indore,Madhya Pradesh,,,,,22.7139683,75.8692069,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9349-777396,info@ashokhote.com,https://www.ashokhotel.com,,4.1,463,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Neelam Hotel,Indore,Madhya Pradesh,,,,,22.7147784,75.8697955,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7623-375412,info@neelamhot.com,https://www.neelamhotel.com,,4.0,112,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Red Maple,Indore,Madhya Pradesh,,,,,22.6185588,75.8059333,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-731-4020 300-01-02,info@theredmaple.in,http://www.theredmaple.in/,,4.0,327,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Amar Vilas,Indore,Madhya Pradesh,,,,,22.7421334,75.8932362,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6504-140157,info@amarvilas.com,https://www.amarvilas.com,,4.0,328,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Centrum,Indore,Madhya Pradesh,"2, Joy Palasia",,,,22.7231408,75.8945872,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,07316537534,indore@infres.net,http://www.infres.net,,3.2,413,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Mathurawala sweets,Indore,Madhya Pradesh,"57-58, Chhavni Road, indore",,,,22.7085238,75.8756294,Internet,Budget,+91-9435-789432,info@mathurawal.com,https://www.mathurawalaswe.com,,3.4,110,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Chanakya,Indore,Madhya Pradesh,"57-58, RNT, indore",,,,22.7084855,75.8757193,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6567-646128,info@hotelchan.com,https://www.hotelchanakya.com,,4.0,336,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Resort Raghav Palace,Indore,Madhya Pradesh,Indore,,,,22.6864804,75.8710547,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-8865-893542,info@resortrag.com,https://www.resortraghavp.com,,4.6,225,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Terminal 10,Indore,Madhya Pradesh,,,,,22.7459336,75.9215105,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9630-659577,info@terminal1.com,https://www.terminal10.com,,3.5,345,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Sunder,Indore,Madhya Pradesh,,,,,22.7152454,75.8724841,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9633-295697,info@hotelsund.com,https://www.hotelsunder.com,,3.9,384,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Solitaire,Indore,Madhya Pradesh,MR10,,,,22.7530257,75.8879411,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,07314955977,info@hotelsoli.com,https://www.hotelsolitaire.com,,3.2,483,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Baywatch,Indore,Madhya Pradesh,,,,,22.6716527,75.8807001,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6536-226981,info@hotelbayw.com,https://www.hotelbaywatch.com,,3.7,191,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
