hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Hotel Centre Point,Itanagar,Arunachal Pradesh,,,,,27.0874768,93.6124426,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9742-313055,info@hotelcent.com,https://www.hotelcentrepo.com,,3.5,242,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Annapurna Hotel,Itanagar,Arunachal Pradesh,,,,,27.0877713,93.6115217,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6103-679751,info@annapurna.com,https://www.annapurnahotel.com,,3.8,110,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Nefa,Itanagar,Arunachal Pradesh,,,,,27.0877469,93.6113716,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6446-923801,info@hotelnefa.com,https://www.hotelnefa.com,,3.3,242,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel DawnLand,Itanagar,Arunachal Pradesh,,,,,27.0877213,93.6125799,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6172-429696,info@hoteldawn.com,https://www.hoteldawnland.com,,4.2,185,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Pine Ridge,Itanagar,Arunachal Pradesh,,,,,27.0875103,93.6113319,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9874-146309,info@hotelpine.com,https://www.hotelpineridg.com,,3.6,386,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Green Land,Itanagar,Arunachal Pradesh,,,,,27.0875963,93.6114676,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7805-463992,info@hotelgree.com,https://www.hotelgreenlan.com,,4.2,270,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Paramount,Itanagar,Arunachal Pradesh,,,,,27.0932639,93.6209675,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6663-876420,info@hotelpara.com,https://www.hotelparamount.com,,3.9,94,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Kosing,Itanagar,Arunachal Pradesh,,,,,27.0976247,93.6253776,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6629-526342,info@hotelkosi.com,https://www.hotelkosing.com,,4.0,303,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Shangri La,Itanagar,Arunachal Pradesh,,,,,27.0877197,93.6116718,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8743-627360,info@hotelshan.com,https://www.hotelshangril.com,,3.5,494,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Park,Itanagar,Arunachal Pradesh,,,,,27.0985483,93.6260905,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6314-246655,info@hotelpark.com,https://www.hotelpark.com,,4.0,478,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Rema Homestay,Itanagar,Arunachal Pradesh,,,,,27.1000653,93.6259848,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9631-436646,info@remahomes.com,https://www.remahomestay.com,,4.1,204,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
PYBSS,Itanagar,Arunachal Pradesh,,,,,27.0934126,93.6215493,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7944-216102,info@pybss.com,https://www.pybss.com,,3.9,64,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Regal Hilton Grand,Itanagar,Arunachal Pradesh,"940 Business District, Near Shopping Mall, Itanagar",4,4870,Mid-range (₹2000-5000),27.139761,93.575499,"Free WiFi, Air Conditioning, 24/7 Front Desk, Gym, Meeting Rooms, Restaurant, Airport Shuttle",Business,+91-9740-523797,reservations@hiltonita.com,https://www.hilton.com,,4.0,701,Modern business accommodation with excellent amenities,13:00,10:00,"Standard Room, Deluxe Room, Executive Room, Conference Room",Generated
Taj Lodge Itanagar,Itanagar,Arunachal Pradesh,"813 Airport Road, Near Hospital, Itanagar",4,4525,Mid-range (₹2000-5000),27.131516,93.674439,"Free WiFi, Air Conditioning, 24/7 Front Desk, Parking, Restaurant",Premium,+91-6990-711848,reservations@tajita.com,https://www.taj.com,,4.5,666,Popular premium hotel with convenient city access,14:00,12:00,"Standard Room, Deluxe Room, Family Room",Generated
Sterling Palace Itanagar,Itanagar,Arunachal Pradesh,"542 Bus Stand, Near Hospital, Itanagar",4,5884,Premium (₹5000-10000),27.103621,93.570486,"Free WiFi, Air Conditioning, 24/7 Front Desk, Meeting Rooms, Gym, Airport Shuttle, Business Center, Conference Hall",Business,+91-9335-703908,reservations@sterlingita.com,https://www.sterling.com,,4.0,641,Modern business accommodation with excellent amenities,12:00,12:00,"Standard Room, Deluxe Room, Conference Room",Generated
Itanagar Plaza,Itanagar,Arunachal Pradesh,"50 City Center, Near Metro Station, Itanagar",5,9952,Premium (₹5000-10000),27.060392,93.535213,"Free WiFi, Air Conditioning, 24/7 Front Desk, Conference Hall, Business Center, Gym, Meeting Rooms",Business,+91-6013-430329,reservations@redfoxita.com,https://www.redfox.com,,4.6,777,Well-located hotel offering quality service in Itanagar,13:00,12:00,"Standard Room, Deluxe Room, Conference Room, Business Suite",Generated
ITC Itanagar,Itanagar,Arunachal Pradesh,"346 Mall Road, Near University, Itanagar",5,14749,Luxury (Above ₹10000),27.009458,93.56986,"Free WiFi, Air Conditioning, 24/7 Front Desk, Gym, Swimming Pool, Concierge, Restaurant, Room Service",Luxury,+91-7546-603403,reservations@itcita.com,https://www.itc.com,,4.4,666,Well-located hotel offering quality service in Itanagar,14:00,10:00,"Standard Room, Deluxe Room, Junior Suite, Presidential Suite, Royal Suite",Generated
Elite Resort,Itanagar,Arunachal Pradesh,"879 Civil Lines, Near Hospital, Itanagar",5,14715,Luxury (Above ₹10000),27.087781,93.658592,"Free WiFi, Air Conditioning, 24/7 Front Desk, Gym, Meeting Rooms, Restaurant, Conference Hall, Business Center",Business,+91-9916-514693,reservations@bloomita.com,https://www.bloom.com,,3.8,79,Modern business accommodation with excellent amenities,13:00,10:00,"Standard Room, Deluxe Room, Business Suite, Executive Room",Generated
Hotel Red Fox Suites,Itanagar,Arunachal Pradesh,"318 Downtown, Near University, Itanagar",3,1581,Budget (Under ₹2000),27.136906,93.595516,"Free WiFi, Air Conditioning, 24/7 Front Desk, Gym, Conference Hall, Meeting Rooms, Restaurant",Business,+91-7411-294660,reservations@redfoxita.com,https://www.redfox.com,,4.0,325,Well-located hotel offering quality service in Itanagar,15:00,12:00,"Standard Room, Deluxe Room, Business Suite",Generated
Red Fox Itanagar,Itanagar,Arunachal Pradesh,"714 Main Bazaar, Near Hospital, Itanagar",4,8000,Premium (₹5000-10000),27.034367,93.546175,"Free WiFi, Air Conditioning, 24/7 Front Desk, Laundry Service",Premium,+91-8995-447947,reservations@redfoxita.com,https://www.redfox.com,,3.9,49,Well-located hotel offering quality service in Itanagar,12:00,11:00,"Standard Room, Deluxe Room, Family Room",Generated
Imperial ITC Grand,Itanagar,Arunachal Pradesh,"122 Downtown, Near Metro Station, Itanagar",3,3029,Mid-range (₹2000-5000),27.084556,93.663892,"Free WiFi, Air Conditioning, 24/7 Front Desk, Parking",Budget,+91-7357-571890,reservations@itcita.com,https://www.itc.com,,4.5,271,Popular budget hotel with convenient city access,14:00,12:00,"Standard Room, Deluxe Room, Family Room",Generated
Marriott Itanagar,Itanagar,Arunachal Pradesh,"270 Civil Lines, Near Metro Station, Itanagar",4,6679,Premium (₹5000-10000),27.037471,93.653006,"Free WiFi, Air Conditioning, 24/7 Front Desk, Gym, Conference Hall, Restaurant, Business Center",Business,+91-8983-766964,reservations@marriottita.com,https://www.marriott.com,,4.1,652,A comfortable business hotel in the heart of Itanagar,14:00,10:00,"Standard Room, Deluxe Room, Conference Room, Executive Room",Generated
The Inn,Itanagar,Arunachal Pradesh,"820 Mall Road, Near Metro Station, Itanagar",5,17766,Luxury (Above ₹10000),27.084855,93.610238,"Free WiFi, Air Conditioning, 24/7 Front Desk, Business Center, Airport Shuttle, Meeting Rooms, Gym",Business,+91-6582-601234,reservations@itcita.com,https://www.itc.com,,4.5,509,Modern business accommodation with excellent amenities,14:00,12:00,"Standard Room, Deluxe Room, Conference Room",Generated
Classic Red Fox Lodge,Itanagar,Arunachal Pradesh,"616 Park Street, Near University, Itanagar",4,7717,Premium (₹5000-10000),27.063589,93.642748,"Free WiFi, Air Conditioning, 24/7 Front Desk, Travel Desk",Premium,+91-7967-523771,reservations@redfoxita.com,https://www.redfox.com,,4.6,326,Well-located hotel offering quality service in Itanagar,15:00,11:00,"Standard Room, Deluxe Room, Twin Room",Generated
Taj Plaza Itanagar,Itanagar,Arunachal Pradesh,"818 City Center, Near Hospital, Itanagar",3,1901,Budget (Under ₹2000),27.07906,93.596192,"Free WiFi, Air Conditioning, 24/7 Front Desk, Laundry Service",Budget,+91-6842-628263,reservations@tajita.com,https://www.taj.com,,3.9,289,Modern budget accommodation with excellent amenities,14:00,11:00,"Standard Room, Deluxe Room, Twin Room",Generated
Itanagar Resort,Itanagar,Arunachal Pradesh,"380 MG Road, Near Hospital, Itanagar",3,2855,Mid-range (₹2000-5000),27.107115,93.53488,"Free WiFi, Air Conditioning, 24/7 Front Desk, Restaurant, Laundry Service",Budget,+91-9669-739513,reservations@fabhotelita.com,https://www.fabhotel.com,,4.6,125,Modern budget accommodation with excellent amenities,13:00,10:00,"Standard Room, Deluxe Room, Twin Room",Generated
Elite Inn,Itanagar,Arunachal Pradesh,"217 Main Bazaar, Near Airport, Itanagar",3,2062,Mid-range (₹2000-5000),27.140158,93.581011,"Free WiFi, Air Conditioning, 24/7 Front Desk, Parking",Budget,+91-7489-682904,reservations@countryinnita.com,https://www.countryinn.com,,4.0,645,Popular budget hotel with convenient city access,14:00,12:00,"Standard Room, Deluxe Room, Family Room",Generated
Radisson Royal Itanagar,Itanagar,Arunachal Pradesh,"254 Business District, Near Metro Station, Itanagar",3,2075,Mid-range (₹2000-5000),27.129757,93.63686,"Free WiFi, Air Conditioning, 24/7 Front Desk, Meeting Rooms, Gym, Restaurant, Conference Hall, Airport Shuttle",Business,+91-8837-168313,reservations@radissonita.com,https://www.radisson.com,,3.8,287,A comfortable business hotel in the heart of Itanagar,12:00,10:00,"Standard Room, Deluxe Room, Business Suite",Generated
Premium Lodge,Itanagar,Arunachal Pradesh,"782 Mall Road, Near Hospital, Itanagar",3,3497,Mid-range (₹2000-5000),27.090798,93.551582,"Free WiFi, Air Conditioning, 24/7 Front Desk, Parking, Laundry Service",Budget,+91-7684-378853,reservations@redfoxita.com,https://www.redfox.com,,3.6,28,Popular budget hotel with convenient city access,12:00,10:00,"Standard Room, Deluxe Room, Twin Room",Generated
Crown International,Itanagar,Arunachal Pradesh,"829 Mall Road, Near Metro Station, Itanagar",5,20882,Luxury (Above ₹10000),27.138441,93.537152,"Free WiFi, Air Conditioning, 24/7 Front Desk, Restaurant, Meeting Rooms, Airport Shuttle, Gym, Business Center",Business,+91-9472-350946,reservations@hiltonita.com,https://www.hilton.com,,4.4,612,A comfortable business hotel in the heart of Itanagar,13:00,10:00,"Standard Room, Deluxe Room, Business Suite",Generated
Palace Residency,Itanagar,Arunachal Pradesh,"229 Bus Stand, Near Shopping Mall, Itanagar",4,7415,Premium (₹5000-10000),27.09548,93.539783,"Free WiFi, Air Conditioning, 24/7 Front Desk, Restaurant, Meeting Rooms, Airport Shuttle, Business Center, Gym",Business,+91-7608-720404,reservations@oberoiita.com,https://www.oberoi.com,,3.5,406,A comfortable business hotel in the heart of Itanagar,13:00,12:00,"Standard Room, Deluxe Room, Business Suite, Executive Room",Generated
Elite Red Fox Resort,Itanagar,Arunachal Pradesh,"739 Mall Road, Near Metro Station, Itanagar",5,18917,Luxury (Above ₹10000),27.062186,93.643065,"Free WiFi, Air Conditioning, 24/7 Front Desk, Valet Parking, Concierge, Gym, Restaurant, Room Service, Bar, Swimming Pool",Luxury,+91-8805-640603,reservations@redfoxita.com,https://www.redfox.com,,3.3,733,Well-located hotel offering quality service in Itanagar,13:00,11:00,"Standard Room, Deluxe Room, Junior Suite, Executive Suite, Presidential Suite",Generated
Country Inn Itanagar,Itanagar,Arunachal Pradesh,"410 City Center, Near Metro Station, Itanagar",3,1892,Budget (Under ₹2000),27.022372,93.554949,"Free WiFi, Air Conditioning, 24/7 Front Desk, Meeting Rooms, Gym, Airport Shuttle",Business,+91-6402-601257,reservations@countryinnita.com,https://www.countryinn.com,,3.4,310,Modern business accommodation with excellent amenities,12:00,12:00,"Standard Room, Deluxe Room, Conference Room, Executive Room",Generated
Ginger Park Itanagar,Itanagar,Arunachal Pradesh,"677 Old City, Near Metro Station, Itanagar",4,4259,Mid-range (₹2000-5000),27.128286,93.654426,"Free WiFi, Air Conditioning, 24/7 Front Desk, Restaurant, Gym, Airport Shuttle",Business,+91-6786-913124,reservations@gingerita.com,https://www.ginger.com,,3.3,204,Well-located hotel offering quality service in Itanagar,15:00,12:00,"Standard Room, Deluxe Room, Business Suite",Generated
Country Inn Premium Itanagar,Itanagar,Arunachal Pradesh,"239 Airport Road, Near Shopping Mall, Itanagar",5,16266,Luxury (Above ₹10000),27.128109,93.631878,"Free WiFi, Air Conditioning, 24/7 Front Desk, Room Service, Valet Parking, Bar, Swimming Pool, Restaurant, Spa, Gym",Luxury,+91-6139-122353,reservations@countryinnita.com,https://www.countryinn.com,,3.3,335,Well-located hotel offering quality service in Itanagar,14:00,11:00,"Standard Room, Deluxe Room, Executive Suite, Presidential Suite",Generated
Bloom Classic Itanagar,Itanagar,Arunachal Pradesh,"808 Sector 1, Near University, Itanagar",4,4879,Mid-range (₹2000-5000),27.115915,93.636186,"Free WiFi, Air Conditioning, 24/7 Front Desk, Airport Shuttle, Gym, Restaurant, Conference Hall, Business Center",Business,+91-8169-963747,reservations@bloomita.com,https://www.bloom.com,,3.6,527,Modern business accommodation with excellent amenities,15:00,12:00,"Standard Room, Deluxe Room, Executive Room, Conference Room",Generated
Imperial Red Fox Premium,Itanagar,Arunachal Pradesh,"535 City Center, Near Metro Station, Itanagar",5,20110,Luxury (Above ₹10000),27.04334,93.579112,"Free WiFi, Air Conditioning, 24/7 Front Desk, Restaurant, Spa, Gym, Bar, Swimming Pool",Luxury,+91-7677-313242,reservations@redfoxita.com,https://www.redfox.com,,3.5,670,A comfortable luxury hotel in the heart of Itanagar,12:00,12:00,"Standard Room, Deluxe Room, Presidential Suite, Junior Suite, Royal Suite",Generated
Treebo Deluxe Itanagar,Itanagar,Arunachal Pradesh,"257 Commercial Street, Near Hospital, Itanagar",4,5095,Premium (₹5000-10000),27.16124,93.671722,"Free WiFi, Air Conditioning, 24/7 Front Desk, Restaurant, Travel Desk, Laundry Service",Premium,+91-9262-748670,reservations@treeboita.com,https://www.treebo.com,,3.7,138,Popular premium hotel with convenient city access,14:00,12:00,"Standard Room, Deluxe Room, Family Room",Generated
Zostel Royal Itanagar,Itanagar,Arunachal Pradesh,"757 Airport Road, Near Hospital, Itanagar",4,3405,Mid-range (₹2000-5000),27.043953,93.566132,"Free WiFi, Air Conditioning, 24/7 Front Desk, Meeting Rooms, Airport Shuttle, Restaurant, Conference Hall, Business Center",Business,+91-7403-996700,reservations@zostelita.com,https://www.zostel.com,,4.5,370,Well-located hotel offering quality service in Itanagar,15:00,10:00,"Standard Room, Deluxe Room, Executive Room",Generated
Ginger Tower Itanagar,Itanagar,Arunachal Pradesh,"101 Airport Road, Near Shopping Mall, Itanagar",5,8594,Premium (₹5000-10000),27.140186,93.540123,"Free WiFi, Air Conditioning, 24/7 Front Desk, Room Service, Restaurant, Bar, Valet Parking, Concierge, Spa",Luxury,+91-6353-547994,reservations@gingerita.com,https://www.ginger.com,,4.4,541,Modern luxury accommodation with excellent amenities,15:00,10:00,"Standard Room, Deluxe Room, Presidential Suite, Junior Suite, Royal Suite",Generated
Crown Palace,Itanagar,Arunachal Pradesh,"552 Brigade Road, Near Metro Station, Itanagar",4,5971,Premium (₹5000-10000),27.026431,93.585237,"Free WiFi, Air Conditioning, 24/7 Front Desk, Restaurant, Laundry Service, Parking",Premium,+91-8736-788608,reservations@redfoxita.com,https://www.redfox.com,,3.9,705,A comfortable premium hotel in the heart of Itanagar,13:00,10:00,"Standard Room, Deluxe Room, Twin Room",Generated
Bloom Itanagar,Itanagar,Arunachal Pradesh,"184 MG Road, Near Metro Station, Itanagar",4,5055,Premium (₹5000-10000),27.036236,93.639962,"Free WiFi, Air Conditioning, 24/7 Front Desk, Gym, Meeting Rooms, Business Center, Restaurant",Business,+91-8270-166282,reservations@bloomita.com,https://www.bloom.com,,4.2,137,Well-located hotel offering quality service in Itanagar,15:00,10:00,"Standard Room, Deluxe Room, Business Suite, Conference Room",Generated
Radisson Itanagar,Itanagar,Arunachal Pradesh,"433 Sector 1, Near Hospital, Itanagar",5,16514,Luxury (Above ₹10000),27.061892,93.614568,"Free WiFi, Air Conditioning, 24/7 Front Desk, Restaurant, Business Center, Airport Shuttle, Conference Hall",Business,+91-7577-807075,reservations@radissonita.com,https://www.radisson.com,,3.4,589,Modern business accommodation with excellent amenities,15:00,12:00,"Standard Room, Deluxe Room, Conference Room",Generated
Itanagar Continental,Itanagar,Arunachal Pradesh,"44 Airport Road, Near Metro Station, Itanagar",5,9894,Premium (₹5000-10000),27.105972,93.597077,"Free WiFi, Air Conditioning, 24/7 Front Desk, Restaurant, Conference Hall, Airport Shuttle",Business,+91-6941-307382,reservations@radissonita.com,https://www.radisson.com,,4.5,775,Popular business hotel with convenient city access,12:00,10:00,"Standard Room, Deluxe Room, Business Suite, Executive Room",Generated
Marriott Residency Itanagar,Itanagar,Arunachal Pradesh,"978 MG Road, Near Airport, Itanagar",5,24620,Luxury (Above ₹10000),27.014214,93.533428,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Concierge, Bar, Restaurant, Valet Parking",Luxury,+91-9974-208509,reservations@marriottita.com,https://www.marriott.com,,3.9,789,Popular luxury hotel with convenient city access,14:00,12:00,"Standard Room, Deluxe Room, Executive Suite, Junior Suite",Generated
Treebo Itanagar,Itanagar,Arunachal Pradesh,"225 Downtown, Near Metro Station, Itanagar",5,17165,Luxury (Above ₹10000),27.017479,93.669418,"Free WiFi, Air Conditioning, 24/7 Front Desk, Meeting Rooms, Gym, Airport Shuttle, Business Center",Business,+91-9873-285030,reservations@treeboita.com,https://www.treebo.com,,3.5,629,Popular business hotel with convenient city access,13:00,12:00,"Standard Room, Deluxe Room, Business Suite",Generated
FabHotel Executive Itanagar,Itanagar,Arunachal Pradesh,"728 City Center, Near Airport, Itanagar",5,13652,Luxury (Above ₹10000),27.135971,93.613256,"Free WiFi, Air Conditioning, 24/7 Front Desk, Meeting Rooms, Business Center, Gym",Business,+91-9540-474807,reservations@fabhotelita.com,https://www.fabhotel.com,,4.0,636,Well-located hotel offering quality service in Itanagar,12:00,10:00,"Standard Room, Deluxe Room, Business Suite, Executive Room",Generated
Radisson Itanagar,Itanagar,Arunachal Pradesh,"69 Old City, Near Metro Station, Itanagar",5,21853,Luxury (Above ₹10000),27.065735,93.638378,"Free WiFi, Air Conditioning, 24/7 Front Desk, Conference Hall, Meeting Rooms, Business Center, Gym",Business,+91-7644-826555,reservations@radissonita.com,https://www.radisson.com,,3.9,325,A comfortable business hotel in the heart of Itanagar,14:00,12:00,"Standard Room, Deluxe Room, Conference Room, Business Suite",Generated
Leela Itanagar,Itanagar,Arunachal Pradesh,"441 Sector 1, Near Airport, Itanagar",3,2988,Mid-range (₹2000-5000),27.154475,93.628098,"Free WiFi, Air Conditioning, 24/7 Front Desk, Gym, Restaurant, Meeting Rooms",Business,+91-7994-419353,reservations@leelaita.com,https://www.leela.com,,3.8,703,A comfortable business hotel in the heart of Itanagar,15:00,11:00,"Standard Room, Deluxe Room, Executive Room",Generated
Hilton Tower Itanagar,Itanagar,Arunachal Pradesh,"352 Mall Road, Near Airport, Itanagar",3,2801,Mid-range (₹2000-5000),27.029081,93.552024,"Free WiFi, Air Conditioning, 24/7 Front Desk, Meeting Rooms, Restaurant, Conference Hall, Airport Shuttle, Gym",Business,+91-9521-292291,reservations@hiltonita.com,https://www.hilton.com,,3.7,581,Popular business hotel with convenient city access,13:00,12:00,"Standard Room, Deluxe Room, Executive Room, Conference Room",Generated
Treebo Park Itanagar,Itanagar,Arunachal Pradesh,"315 Old City, Near University, Itanagar",5,22747,Luxury (Above ₹10000),27.004484,93.584153,"Free WiFi, Air Conditioning, 24/7 Front Desk, Gym, Business Center, Airport Shuttle",Business,+91-9960-833434,reservations@treeboita.com,https://www.treebo.com,,3.3,34,A comfortable business hotel in the heart of Itanagar,15:00,11:00,"Standard Room, Deluxe Room, Business Suite",Generated
