hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Ashok,Kolkata,West Bengal,,,,,22.6422014,88.4323903,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6880-714512,info@ashok.com,https://www.ashok.com,,3.3,182,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Centrepoint Guesthouse,Kolkata,West Bengal,"20, Free School Street (Mirza Ghalib Street), Kolkata",,,,22.5583663,88.3546394,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8701-378534,info@centrepoin.com,https://www.centrepointgue.com,,3.7,247,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Boudir Bhater,Kolkata,West Bengal,,,,,22.5758168,88.4295722,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6834-499356,info@boudirbha.com,https://www.boudirbhater.com,,4.2,175,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
"NIPS Serviced Apartment / Guest House EC-98, Salt Lake",Kolkata,West Bengal,,,,,22.5844699,88.4103937,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8445-126551,info@nipsservi.com,https://www.nipsserviceda.com,,3.8,270,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Kempton,Kolkata,West Bengal,,,,,22.5565659,88.3540897,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7160-909518,info@hotelkemp.com,https://www.hotelkempton.com,,3.5,427,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Arya International,Kolkata,West Bengal,"Ray Street, Kolkata",,,,22.536831,88.3523981,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9488-772701,info@aryainter.com,https://www.aryainternatio.com,,4.2,339,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Trimoorti,Kolkata,West Bengal,"24, Ray Street, Kolkata",,,,22.5365749,88.3525724,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 033 2486 8572,booking@hoteltrimoorti.com,http://www.hoteltrimoorti.com,,3.8,116,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Swissotel Kolkata,Kolkata,West Bengal,,,,,22.6221946,88.4500672,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7778-411095,info@swissotel.com,https://www.swissotelkolka.com,,4.1,387,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Shivangan,Kolkata,West Bengal,,,,,22.6132295,88.429197,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6692-702906,info@hotelshiv.com,https://www.hotelshivangan.com,,3.8,92,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
ICAR-CAU Guest House,Kolkata,West Bengal,,,,,22.570388,88.4278577,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9820-617286,info@icarcaug.com,https://www.icarcauguest.com,,3.7,469,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Indismart Hotel,Kolkata,West Bengal,,,,,22.5715694,88.4341448,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9313-165569,info@indismart.com,https://www.indismarthotel.com,,4.2,303,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
