hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Shiva Guest House,Lucknow,Uttar Pradesh,,,,,26.8601977,80.9866812,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6189-735747,info@shivagues.com,https://www.shivaguesthou.com,,3.2,92,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Gemini Continental,Lucknow,Uttar Pradesh,,,,,26.852589,80.936321,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7051-102678,info@geminicon.com,https://www.geminicontinen.com,,3.6,357,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Metro,Lucknow,Uttar Pradesh,,,,,26.818672,80.907891,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7523-537394,info@hotelmetr.com,https://www.hotelmetro.com,,4.1,287,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel ANR,Lucknow,Uttar Pradesh,,,,,26.8371877,80.9214561,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8690-880968,info@hotelanr.com,https://www.hotelanr.com,,3.6,329,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Central Hotel,Lucknow,Uttar Pradesh,,,,,26.8490973,80.9249952,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8201-715273,info@centralho.com,https://www.centralhotel.com,,3.8,129,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
The Grand Radiant,Lucknow,Uttar Pradesh,"36, Cantonment Road, Lucknow",,,,26.8420248,80.9368118,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,0522-2200008,info@thegrand.com,https://www.thegrandradiant.com/,,4.2,424,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
kanha inn,Lucknow,Uttar Pradesh,,,,,26.8423254,80.9193821,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7353-486320,info@kanhainn.com,https://www.kanhainn.com,,3.4,235,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Memorable Homestay,Lucknow,Uttar Pradesh,"Sai chetna mandir road Santpuram, indira nagar",,,,26.8887031,81.0150148,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+917905362531,info@memorable.com,https://www.memorablehomes.com,,3.4,253,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Ram Krishna Guest House,Lucknow,Uttar Pradesh,,,,,26.8450829,80.9482153,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9035-532339,info@ramkrishn.com,https://www.ramkrishnague.com,,3.2,291,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
OYO Flagship Polytechnic Chauraha,Lucknow,Uttar Pradesh,,,,,26.874206,81.0015339,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7298-999599,info@oyoflagsh.com,https://www.oyoflagshippo.com,,3.3,479,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Best Western,Lucknow,Uttar Pradesh,,,,,26.857139,80.9729424,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7610-406634,info@bestweste.com,https://www.bestwestern.com,,3.5,102,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Power Grid Corporation Guest House,Lucknow,Uttar Pradesh,2/3,,,,26.8521721,80.9822424,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9615-208533,info@powergrid.com,https://www.powergridcorp.com,,3.3,317,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Treebo Annaya Royals,Lucknow,Uttar Pradesh,,,,,26.77434,80.8955614,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8195-118875,info@treeboann.com,https://www.treeboannayar.com,,3.5,89,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hastag Traveler's,Lucknow,Uttar Pradesh,,,,,26.7982415,80.8988214,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6988-789934,info@hastagtra.com,https://www.hastagtraveler.com,,4.1,122,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Golden Sky,Lucknow,Uttar Pradesh,,,,,26.8334596,80.9299811,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9871-676775,info@goldensky.com,https://www.goldensky.com,,3.9,54,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Purvanchal Hotel,Lucknow,Uttar Pradesh,,,,,26.8733715,81.0028984,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9964-237708,info@purvanchal.com,https://www.purvanchalhote.com,,3.3,336,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Central Government Touring Officers Guest House,Lucknow,Uttar Pradesh,,,,,26.8985913,80.9400752,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8587-988382,info@centralgo.com,https://www.centralgovernm.com,,3.5,113,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Janardan Guest House Lucknow,Lucknow,Uttar Pradesh,"643/068, Sitapur Road, Lucknow",,,,26.9294726,80.9350308,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+916388905061,contact@janardanresort.in,https://www.janardanresort.in/,,3.9,115,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
OYO Townhouse,Lucknow,Uttar Pradesh,,,,,26.8858093,80.9835184,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6849-801654,info@oyotownho.com,https://www.oyotownhouse.com,,3.5,288,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Bandhan,Lucknow,Uttar Pradesh,,,,,26.8725626,80.981356,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7416-840990,info@hotelband.com,https://www.hotelbandhan.com,,3.8,231,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Shubhkamna Grand,Lucknow,Uttar Pradesh,,2,,,26.8740021,80.9776093,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-8707-254627,info@shubhkamna.com,https://www.shubhkamnagran.com,,4.7,92,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Renaissance Hotel,Lucknow,Uttar Pradesh,,,,,26.8525168,80.9731692,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9404-860023,info@renaissanc.com,https://www.renaissancehot.com,,3.6,37,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Savvy Grand,Lucknow,Uttar Pradesh,,,,,26.865763,80.9965736,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-8160-760520,info@hotelsavv.com,https://www.hotelsavvygra.com,,4.4,375,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Madhur Milan Guest House,Lucknow,Uttar Pradesh,,,,,26.8471144,80.9272964,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6178-777989,info@madhurmil.com,https://www.madhurmilangu.com,,4.0,25,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
pinnacle,Lucknow,Uttar Pradesh,,,,,26.7878444,80.9092367,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7545-542925,info@pinnacle.com,https://www.pinnacle.com,,3.3,22,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Damson Plum,Lucknow,Uttar Pradesh,,,,,26.7794717,80.9929917,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8887-607932,info@damsonplu.com,https://www.damsonplum.com,,3.3,304,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Holiday Inn,Lucknow,Uttar Pradesh,"Opp TP Nagar Metro stn, Kanpur Road, Lucknow, Lucknow",,,,26.7771379,80.8810935,Internet,Budget,05223536700,info@holidayin.com,https://www.ihg.com/holidayinn/hotels/us/en,,3.4,141,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Grand Inn,Lucknow,Uttar Pradesh,,,,,26.8830019,80.9976119,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-9235-320495,info@hotelgran.com,https://www.hotelgrandinn.com,,4.4,286,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Paying guest and hostel,Lucknow,Uttar Pradesh,,,,,26.8840432,80.9988073,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7599-964836,info@payinggue.com,https://www.payingguestan.com,,3.6,54,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel The Golf,Lucknow,Uttar Pradesh,,,,,26.7794563,81.0256053,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7344-195674,info@hotelthe.com,https://www.hotelthegolf.com,,3.5,321,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Spring Grand,Lucknow,Uttar Pradesh,,,,,26.7996747,81.016077,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-6251-889176,info@springgra.com,https://www.springgrand.com,,4.0,275,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Atulyam Stays,Lucknow,Uttar Pradesh,,,,,26.7801425,81.0265681,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7454-503168,info@atulyamst.com,https://www.atulyamstays.com,,3.5,253,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Ranjan Heritage,Lucknow,Uttar Pradesh,,,,,26.8714587,81.0150684,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6868-317338,info@ranjanher.com,https://www.ranjanheritage.com,,4.0,355,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Dehati Rasoi,Lucknow,Uttar Pradesh,,,,,26.8719018,81.0151652,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8749-457220,info@dehatiras.com,https://www.dehatirasoi.com,,4.0,116,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
FabHotel Gayatri Palace,Lucknow,Uttar Pradesh,,,,,26.8726733,81.0200206,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-7730-658377,info@fabhotelg.com,https://www.fabhotelgayatr.com,,4.5,27,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
BBD Viraj Tower,Lucknow,Uttar Pradesh,,,,,26.8712445,81.013224,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8726-478833,info@bbdviraj.com,https://www.bbdvirajtower.com,,3.2,425,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Utopian Luxe,Lucknow,Uttar Pradesh,,,,,26.8703683,81.0147426,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7928-718908,info@utopianlu.com,https://www.utopianluxe.com,,4.0,200,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Guest House 1,Lucknow,Uttar Pradesh,,,,,26.8689479,81.0229991,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9205-770288,info@guesthous.com,https://www.guesthouse1.com,,3.6,275,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Guest House Number 2,Lucknow,Uttar Pradesh,,,,,26.8688023,81.0236298,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9328-510488,info@guesthous.com,https://www.guesthousenum.com,,3.5,427,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Guest House 4,Lucknow,Uttar Pradesh,,,,,26.8685952,81.024713,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6000-117706,info@guesthous.com,https://www.guesthouse4.com,,3.5,488,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Guest House 2,Lucknow,Uttar Pradesh,,,,,26.8686833,81.0241717,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6363-533488,info@guesthous.com,https://www.guesthouse2.com,,3.9,130,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
hELLO,Lucknow,Uttar Pradesh,,,,,26.8718493,81.0218271,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6721-909339,info@hello.com,https://www.hello.com,,3.4,408,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Guest House A,Lucknow,Uttar Pradesh,,,,,26.7699661,80.9917871,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6425-921145,info@guesthous.com,https://www.guesthousea.com,,4.1,399,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Best Non-Veg shop,Lucknow,Uttar Pradesh,,,,,26.8854482,81.006499,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7495-205702,info@bestnonv.com,https://www.bestnonvegsh.com,,3.5,311,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Taj Residency,Lucknow,Uttar Pradesh,,,,,26.851312,80.9753465,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-6196-714373,info@tajreside.com,https://www.tajresidency.com,,4.7,290,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Clarks Avadh,Lucknow,Uttar Pradesh,,,,,26.8563567,80.9356865,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9613-829180,info@clarksava.com,https://www.clarksavadh.com,,4.1,290,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Carlton,Lucknow,Uttar Pradesh,,,,,26.8559683,80.9468813,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6503-356365,info@carlton.com,https://www.carlton.com,,3.5,38,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Saraka,Lucknow,Uttar Pradesh,,,,,26.8342112,80.9480796,Air Conditioning,Budget,+91-8797-736293,info@saraka.com,https://www.saraka.com,,4.0,136,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hilton Garden Inn Lucknow,Lucknow,Uttar Pradesh,"TCG -7/7, Vibhuti Khand, Lucknow",4,,,26.8641762,81.0080473,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-522-427 7777,achint.rastogi@hilton.com,https://www.hilton.com/en/hotels/lkogigi-hilton-garden-inn-lucknow/,,3.5,25,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Piccadily,Lucknow,Uttar Pradesh,,,,,26.7983659,80.8949212,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9756-346207,info@piccadily.com,https://www.piccadily.com,,3.3,93,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Renaissance,Lucknow,Uttar Pradesh,,,,,26.8526407,80.9733194,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9077-110003,info@renaissanc.com,https://www.renaissance.com,,3.2,85,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Meghalaya,Lucknow,Uttar Pradesh,,,,,26.8071834,81.0102906,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7840-223726,info@hotelmegh.com,https://www.hotelmeghalaya.com,,3.9,420,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
