hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Imperial Palace,Mumbai,Maharashtra,,,,,18.9447467,72.834718,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-9708-786050,info@imperialp.com,https://www.imperialpalace.com,,4.5,456,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Sharada,Mumbai,Maharashtra,,,,,18.9461969,72.8274147,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9741-645293,info@sharada.com,https://www.sharada.com,,4.0,59,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Cecil,Mumbai,Maharashtra,,,,,18.958401,72.811296,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6569-419403,info@cecil.com,https://www.cecil.com,,3.2,24,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sunbeam Geeta,Mumbai,Maharashtra,,,,,18.9978253,72.818454,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7504-735434,info@sunbeamge.com,https://www.sunbeamgeeta.com,,3.8,168,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Vivako,Mumbai,Maharashtra,,,,,19.0059,72.8186,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7673-451175,info@vivako.com,https://www.vivako.com,,4.2,183,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Jollyland,Mumbai,Maharashtra,,,,,19.0491708,72.9051478,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8170-998460,info@jollyland.com,https://www.jollyland.com,,3.3,248,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Ghatla,Mumbai,Maharashtra,,,,,19.0517387,72.9103117,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9482-789068,info@ghatla.com,https://www.ghatla.com,,4.1,487,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Jewel of Chembur,Mumbai,Maharashtra,,,,,19.0616667,72.8997266,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8891-983829,info@jewelofc.com,https://www.jewelofchembu.com,,3.7,401,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Maruthi Mahal,Mumbai,Maharashtra,,,,,19.0636369,72.8940601,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8301-665233,info@maruthima.com,https://www.maruthimahal.com,,3.3,289,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Anita Mahal,Mumbai,Maharashtra,,,,,19.0693839,72.8836606,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9343-934144,info@anitamaha.com,https://www.anitamahal.com,,3.4,286,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Regency,Mumbai,Maharashtra,,,,,19.0790449,72.8462916,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7407-172672,info@regency.com,https://www.regency.com,,3.4,160,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Classic,Mumbai,Maharashtra,,,,,19.0835527,72.8384747,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7231-319686,info@classic.com,https://www.classic.com,,3.2,381,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Atlantic,Mumbai,Maharashtra,,3,,,19.0870126,72.8274729,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7094-361817,info@atlantic.com,https://www.atlantic.com,,3.3,413,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Ajanta,Mumbai,Maharashtra,,,,,19.0886,72.8275,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8673-892309,info@ajanta.com,https://www.ajanta.com,,4.0,462,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
