hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
The Nagpur Ashok,Nagpur,Maharashtra,,,,,21.1233222,79.0644202,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8914-281366,info@thenagpur.com,https://www.thenagpurasho.com,,3.3,248,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Airport Centre Point,Nagpur,Maharashtra,"131/1, Adjacent To Airport, Wardha Road, Nagpur",,,,21.0938157,79.0653145,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,0712 669 5555,info@hotelairp.com,https://www.airportcentrepoint.com/,,3.5,466,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Suraburdi Club,Nagpur,Maharashtra,,,,,21.1535284,78.9388646,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7004-627964,info@suraburdi.com,https://www.suraburdiclub.com,,3.6,213,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Jagannath,Nagpur,Maharashtra,Ajni Road,,,,21.1409079,79.0859448,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9383-279249,info@jagannath.com,https://www.jagannath.com,,4.1,452,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Arafat,Nagpur,Maharashtra,,,,,21.1490091,79.113781,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9536-790593,info@hotelaraf.com,https://www.hotelarafat.com,,3.9,286,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Pride Hotel,Nagpur,Maharashtra,,,,,21.0871603,79.0645442,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9468-887734,info@pridehote.com,https://www.pridehotel.com,,3.4,80,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
HOTEL SHOURYA ,Nagpur,Maharashtra,,,,,21.0786436,79.0781503,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6084-746641,info@hotelshou.com,https://www.hotelshourya.com,,3.6,425,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Shanti Nivas,Nagpur,Maharashtra,,,,,21.2133124,79.1971993,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8762-615884,info@shantiniv.com,https://www.shantinivas.com,,3.7,40,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Orient Prime and Restaurant,Nagpur,Maharashtra,,,,,21.1559645,79.1151211,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7513-205060,info@hotelorie.com,https://www.hotelorientpr.com,,4.2,273,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Jejani Rest House,Nagpur,Maharashtra,,,,,21.1399122,79.0949079,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6261-766788,info@jejanires.com,https://www.jejaniresthou.com,,3.9,316,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Seventh Sense,Nagpur,Maharashtra,,,,,21.143268,79.0797094,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6720-897884,info@hotelseve.com,https://www.hotelsevenths.com,,3.2,118,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Tree House Cafe THC,Nagpur,Maharashtra,"507, Professor Colony beside Basket Ball ground, Nagpur",,,,21.1258653,79.1028488,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,9552169422,treehousecafethc@gmail.com,https://www.treehousecafe.com,,3.2,433,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Orange Green Celebration,Nagpur,Maharashtra,,,,,21.170063,79.0706863,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6995-672926,info@orangegre.com,https://www.orangegreence.com,,4.0,105,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
oyo flagship hotel lake view,Nagpur,Maharashtra,,,,,21.121514,79.0283725,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7323-421978,info@oyoflagsh.com,https://www.oyoflagshipho.com,,4.0,334,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Tuli International,Nagpur,Maharashtra,,,,,21.1581138,79.0800747,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7247-867674,info@tuliinter.com,https://www.tuliinternatio.com,,4.1,328,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
