hotel_name,city,state,address,star_rating,price_per_night,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,guest_rating,review_count,description,check_in_time,check_out_time,room_types,data_source
Hotel Green Park,Panaji,Goa,,,,,15.5746755,73.8069679,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6417-430873,info@hotelgree.com,https://www.hotelgreenpar.com,,3.6,429,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Sunset Guesthouse,Panaji,Goa,,,,,15.5759051,73.7406353,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7228-193554,info@sunsetgue.com,https://www.sunsetguesthou.com,,4.1,323,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Mandovi,Panaji,Goa,Panaji,,,,15.50011,73.8293449,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9317-481638,info@mandovi.com,https://www.mandovi.com,,4.2,144,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Royal Goan Beach Club at Monterio,Panaji,Goa,,,,,15.5691298,73.7537219,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9098-344319,info@royalgoan.com,https://www.royalgoanbeac.com,,4.0,493,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Coconut Creek Hotel,Panaji,Goa,,,,,15.3731432,73.833213,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9216-489713,info@coconutcr.com,https://www.coconutcreekh.com,,3.9,273,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Bogmalo Beach Resort,Panaji,Goa,,,,,15.3687239,73.8356248,"Free WiFi, Air Conditioning, 24/7 Front Desk, Pool, Restaurant, Gym, Spa",Resort,+91-8887-528597,info@bogmalobe.com,https://www.bogmalobeachr.com,,3.9,337,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Park Hyatt,Panaji,Goa,,,,,15.3275963,73.8995255,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7690-285937,info@parkhyatt.com,https://www.parkhyatt.com,,3.7,83,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
La Paz,Panaji,Goa,,,,,15.3977044,73.8139606,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8226-566946,info@lapaz.com,https://www.lapaz.com,,3.3,490,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
GTDC Calangute Residency,Panaji,Goa,,,,,15.5453792,73.7564642,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9069-425814,info@gtdccalan.com,https://www.gtdccalangute.com,,3.4,332,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel A Canoa,Panaji,Goa,,,,,15.5444824,73.7569256,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8253-660062,info@hotelaca.com,https://www.hotelacanoa.com,,4.1,470,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Casa de Goa,Panaji,Goa,,3,,,15.5405653,73.7610873,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+918326717777,info@casadegoa.com,https://www.casadegoa.com/,,3.6,108,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Paradise Village Beach Resort,Panaji,Goa,,,,,15.5397723,73.7592017,"Free WiFi, Air Conditioning, 24/7 Front Desk, Pool, Restaurant, Gym, Spa",Resort,+918322276351 ‎,info@paradisev.com,https://paradisevillage.org/,,3.6,438,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Neelam Grand,Panaji,Goa,,,,,15.5441857,73.7656586,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-8139-404717,info@hotelneel.com,https://www.hotelneelamgr.com,,4.4,372,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Hotel Neelam Glitz,Panaji,Goa,,,,,15.544014,73.7663689,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9247-359659,info@hotelneel.com,https://www.hotelneelamgl.com,,3.2,41,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Hotel Satyaheera,Panaji,Goa,,,,,15.5910323,73.810367,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7143-997167,info@hotelsaty.com,https://www.hotelsatyaheer.com,,3.4,270,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Taj Holiday Village,Panaji,Goa,,5,,,15.4999998,73.7699372,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,+91-9080-174670,info@tajholida.com,https://www.vivantabytaj.com/Holiday-Village-Goa/Overview.html,,4.4,489,,14:00,12:00,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap
Villa Anjuna,Panaji,Goa,,,,,15.5848408,73.7390694,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6520-798941,info@villaanju.com,https://www.villaanjuna.com,,3.9,105,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
CLOSE2C,Panaji,Goa,,,,,15.5780344,73.7473803,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8801-222376,info@close2c.com,https://www.close2c.com,,3.4,412,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Julie Jolly,Panaji,Goa,,,,,15.5955535,73.7416474,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 832 2273620 / 4897,info@hoteljollygoa.com,http://www.hoteljollygoa.com,,3.4,340,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Afonso Guesthouse,Panaji,Goa,,,,,15.4962303,73.8312855,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-6884-813730,info@afonsogue.com,https://www.afonsoguesthou.com,,4.1,500,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
OYO 805 Hotel Manvins,Panaji,Goa,"Municipal Gardens, Church Square, Panaji",3,,,15.4993361,73.8287869,Air Conditioning,Budget,+91-7648-185999,info@oyo805ho.com,https://www.oyo805hotelm.com,,3.6,438,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Elite,Panaji,Goa,,,,,15.4985182,73.8317488,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8786-680640,info@elite.com,https://www.elite.com,,3.2,179,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Menino Regency,Panaji,Goa,,,,,15.4978491,73.8282726,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-8804-122960,info@meninoreg.com,https://www.meninoregency.com,,4.1,464,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Oravs,Panaji,Goa,,,,,15.4985977,73.83175,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-9530-222452,info@oravs.com,https://www.oravs.com,,4.1,180,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Renton Manor 3*,Panaji,Goa,,,,,15.5638765,73.7636092,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91-7692-732940,info@rentonman.com,https://www.rentonmanor3.com,,3.6,158,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Royale Assagao Resort,Panaji,Goa,,4,,,15.5984285,73.7730549,Internet,Resort,+91-9874-692011,info@royaleass.com,https://www.royaleassagao.com,,4.0,483,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Resort Rio,Panaji,Goa,,,,,15.5643863,73.7593353,"Free WiFi, Air Conditioning, 24/7 Front Desk, Pool, Restaurant, Gym, Spa",Resort,+91-6919-543282,info@resortrio.com,https://www.resortrio.com,,3.4,328,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Santana Beach Resort,Panaji,Goa,"Shop No. P-1-2, Quinta Costa Frias Complex, Candolim",3,,,15.5060492,73.7700185,Air Conditioning,Resort,+919822484446,info@santanabe.com,https://www.santana-goa.com/,,3.6,152,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
Goa Marriott Resort and Spa,Panaji,Goa,,,,,15.4868443,73.8095296,"Free WiFi, Air Conditioning, 24/7 Front Desk, Pool, Restaurant, Gym, Spa",Resort,+91-7366-867317,info@goamarrio.com,https://www.goamarriottre.com,,3.4,26,,14:00,12:00,"Standard Room, Deluxe Room",OpenStreetMap
